Player,1st: RiP%,RiP W%.1_x,RetWnr%.2,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,<=3 W%,SvImpact,1st: Unret%,D Wide%,A Wide%,2ndAgg,SnV Freq,Net W%,Drop: Freq,BreakBack%,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,Wnr/Pt,UFE/Pt
AlexanderZverev,72.7,42.5,3.4,3.9,4.8,54.2,53.6,47.1,50.4,46.9,43.0,44.1,50.4,45.6,38.1,2.4,62.8,0.8,21.5,92.7,95.5,80.6,100.0,100.0,21.8,15.4
AndreyRublev,61.2,55.5,9.5,3.4,3.6,53.0,58.0,59.1,57.5,48.8,42.8,39.3,52.9,52.6,39.2,1.7,74.6,0.5,34.0,87.5,100.0,100.0,100.0,100.0,28.3,14.5
CarlosAlcaraz,73.9,52.2,2.0,4.2,4.3,53.1,58.0,53.8,57.4,36.4,32.0,26.0,47.2,68.0,-28.3,6.8,74.5,3.5,42.7,84.0,86.7,100.0,85.7,100.0,22.4,15.6
CasperRuud,75.6,49.8,6.1,4.7,4.3,53.2,55.5,51.1,54.0,35.1,30.4,26.1,48.6,61.4,-30.8,0.7,73.0,1.0,25.0,81.2,90.0,75.0,87.5,50.0,17.7,14.3
DaniilMedvedev,89.4,52.4,5.9,6.3,7.2,55.6,70.4,43.8,65.4,30.0,28.8,25.0,57.1,23.5,136.0,0.0,72.7,0.6,0.0,100.0,100.0,,100.0,,14.9,15.8
HolgerRune,55.2,33.6,8.9,4.4,3.2,42.2,49.4,46.9,32.6,33.2,28.1,25.1,41.2,47.7,5.4,5.2,63.4,4.1,5.7,86.7,66.7,55.0,,50.0,16.2,17.4
HubertHurkacz,75.2,42.3,3.4,3.8,5.0,57.3,45.5,44.5,43.3,47.2,39.1,43.4,54.5,49.8,-36.3,8.4,70.6,1.9,15.0,86.2,88.9,93.8,83.3,100.0,19.9,18.9
JannikSinner,71.9,49.9,3.5,4.2,4.2,54.0,59.8,58.7,58.2,41.9,35.9,38.5,40.2,60.8,-21.0,1.6,78.6,2.2,27.1,95.5,96.7,83.3,83.3,50.0,18.4,14.1
NovakDjokovic,77.0,49.5,9.0,4.6,5.0,54.5,58.1,56.8,59.0,37.8,33.2,29.7,50.5,54.2,-8.6,4.9,70.4,3.9,40.7,75.2,87.5,61.1,100.0,0.0,16.2,13.2
StefanosTsitsipas,69.9,52.3,5.7,4.0,4.7,54.2,53.5,50.5,58.7,39.3,32.7,28.4,56.2,51.3,-19.7,5.7,71.0,2.7,33.3,88.8,88.9,75.0,83.3,66.7,20.0,16.3
