Player,1st: RiP%,RiP W%.1_x,RetWnr%.2,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,<=3 W%,SvImpact,1st: Unret%,D Wide%,A Wide%,2ndAgg,SnV Freq,Net W%,Drop: Freq,BreakBack%,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,Wnr/Pt,UFE/Pt
AlexanderZverev,65.0,44.2,3.1,3.9,4.4,53.3,55.6,52.1,53.9,47.6,43.4,42.5,52.0,44.4,13.6,2.2,68.0,0.7,17.1,92.6,91.1,91.3,88.9,84.6,22.3,15.1
AndreyRublev,54.0,51.9,8.3,3.7,3.5,51.2,55.0,56.8,56.9,47.1,40.9,41.3,51.9,50.7,-3.9,1.0,68.3,0.2,18.9,88.9,91.4,94.4,92.3,90.0,23.9,14.4
CarlosAlcaraz,70.0,49.4,4.8,3.8,4.1,53.1,57.7,55.5,59.2,42.6,37.1,34.6,48.4,48.4,6.2,6.6,72.1,2.7,24.3,90.8,92.1,86.0,93.4,68.2,23.1,15.8
CasperRuud,68.5,43.2,6.3,4.2,4.1,51.8,52.9,48.8,52.9,40.1,35.1,32.3,47.1,53.6,-17.4,1.6,71.3,1.0,19.5,81.9,93.9,81.3,95.7,92.3,18.2,14.1
DaniilMedvedev,68.5,47.2,5.7,4.7,5.1,50.8,54.2,52.4,57.0,36.9,34.0,36.9,52.6,45.5,32.8,1.2,67.2,0.9,20.3,84.4,80.7,72.7,97.4,89.3,17.6,15.5
HolgerRune,59.0,38.0,7.8,4.0,3.7,45.1,50.7,50.7,44.5,37.2,32.1,31.9,51.9,45.0,4.7,4.5,63.7,2.1,12.2,91.1,89.3,72.9,88.9,66.7,17.5,16.9
HubertHurkacz,66.1,39.4,3.7,3.4,4.3,55.0,48.1,41.1,45.9,51.3,44.5,49.4,52.0,51.7,-12.2,5.3,71.2,1.6,11.3,89.2,92.0,90.5,97.0,87.5,19.3,16.9
JannikSinner,65.9,49.5,5.7,4.1,4.3,55.5,58.4,54.8,59.4,44.9,39.4,43.1,48.2,54.4,-7.3,2.2,76.5,1.2,26.8,95.1,97.7,90.4,96.8,71.4,18.9,14.0
NovakDjokovic,68.1,48.2,5.6,4.3,4.7,54.7,56.6,54.8,56.0,42.9,38.1,37.7,49.8,49.5,-0.5,4.5,70.7,2.0,28.2,86.1,93.9,84.8,100.0,66.7,17.8,13.2
StefanosTsitsipas,62.4,45.7,8.1,3.6,4.0,51.6,49.4,51.0,50.1,43.7,37.1,36.5,52.5,49.7,9.5,4.8,68.8,1.9,15.4,84.3,88.1,88.3,91.2,76.5,20.5,16.5
