Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
12,Tommy Paul[USA],3,0-3,0.0%,53.7%,52.7%,13,5.7%,7,3.1%,8.8%,64.8%,59.9%,42.5%,46.6%,60.0%,6.5,3.0,Tommy Paul[USA],3,33.0%,32.8%,8.4%,4.4%,26.2%,45.1%,16.7%,6.3,2.1,6.0,4.7,Tommy Paul[USA],3,37.5%,6,16,0.44,2.0,5.3,0.75,2.0,33.3%,7,21,0.60,2.6,7.0,1.75,4.7,Tommy Paul[USA],3,0.71,454,43.4%,2,0-2,0.0%,25.0%,8,1-7,12.5%,71,27-44,38.0%,1:57,43.8,46.3
13,Ben Shelton[USA],2,0-2,0.0%,54.8%,55.0%,10,6.0%,9,5.4%,13.6%,60.7%,61.8%,43.9%,50.9%,60.9%,7.3,3.3,Ben Shelton[USA],2,27.7%,27.5%,8.8%,3.6%,19.3%,42.9%,8.7%,6.0,1.7,2.0,2.0,Ben Shelton[USA],2,28.6%,2,7,0.30,1.4,3.5,0.40,1.0,47.1%,8,17,0.74,3.4,8.5,1.80,4.5,Ben Shelton[USA],2,0.61,305,42.6%,1,0-1,0.0%,20.0%,5,0-5,0.0%,46,16-30,34.8%,1:54,45.4,44.7
14,Arthur Fils[FRA],5,2-3,40.0%,61.8%,63.9%,13,3.4%,20,5.2%,13.7%,61.8%,70.8%,47.3%,54.8%,77.0%,6.3,2.4,Arthur Fils[FRA],5,36.8%,36.3%,5.6%,4.0%,32.2%,45.1%,25.4%,6.0,2.2,3.0,4.4,Arthur Fils[FRA],5,47.1%,16,34,0.54,2.6,6.8,1.23,3.2,58.8%,20,34,0.56,2.6,6.8,1.08,2.8,Arthur Fils[FRA],5,0.96,757,49.4%,1,0-1,0.0%,7.7%,13,6-7,46.2%,124,63-61,50.8%,1:49,41.8,43.1
15,Grigor Dimitrov[BUL],3,0-3,0.0%,42.0%,42.9%,4,2.9%,8,5.8%,12.9%,55.1%,51.3%,30.6%,35.2%,28.6%,6.6,3.8,Grigor Dimitrov[BUL],3,25.0%,25.5%,9.5%,2.6%,22.4%,32.3%,4.5%,5.3,1.3,5.0,6.0,Grigor Dimitrov[BUL],3,20.0%,1,5,0.23,0.8,1.7,0.17,0.3,46.4%,13,28,1.33,4.7,9.3,2.50,5.0,Grigor Dimitrov[BUL],3,0.43,254,34.3%,0,0-0,-,0.0%,6,0-6,0.0%,43,7-36,16.3%,1:03,31.3,44.4
17,Andrey Rublev[RUS],1,1-0,100.0%,64.5%,61.9%,8,8.6%,1,1.1%,3.8%,72.0%,64.2%,65.4%,68.0%,85.7%,6.6,2.4,Andrey Rublev[RUS],1,42.1%,42.1%,3.5%,2.6%,35.8%,51.1%,21.4%,8.1,3.4,8.0,8.0,Andrey Rublev[RUS],1,27.3%,3,11,0.79,3.7,11.0,1.00,3.0,50.0%,2,4,0.29,1.3,4.0,0.67,2.0,Andrey Rublev[RUS],1,1.19,207,52.2%,1,1-0,100.0%,33.3%,3,2-1,66.7%,28,15-13,53.6%,2:39,53.0,46.1
18,Francisco Cerundolo[ARG],7,4-3,57.1%,60.2%,61.9%,19,3.3%,27,4.8%,12.7%,62.5%,65.9%,50.7%,58.1%,76.5%,6.7,2.7,Francisco Cerundolo[ARG],7,38.9%,37.9%,4.6%,4.4%,31.9%,50.2%,26.7%,6.4,2.5,3.0,4.9,Francisco Cerundolo[ARG],7,46.0%,23,50,0.58,2.8,7.1,1.28,3.3,59.2%,29,49,0.58,2.7,7.0,1.11,2.9,Francisco Cerundolo[ARG],7,0.98,1116,49.7%,2,0-2,0.0%,11.1%,18,10-8,55.6%,171,88-83,51.5%,2:02,47.3,45.8
20,Tomas Machac[CZE],4,0-4,0.0%,58.5%,60.1%,21,6.0%,23,6.5%,18.0%,63.6%,68.3%,41.4%,50.5%,72.2%,6.5,2.7,Tomas Machac[CZE],4,33.3%,34.3%,11.0%,4.2%,23.1%,51.2%,13.0%,6.6,2.2,6.5,6.8,Tomas Machac[CZE],4,25.9%,7,27,0.50,2.5,6.8,0.64,1.8,48.3%,14,29,0.54,2.6,7.3,1.36,3.8,Tomas Machac[CZE],4,0.80,706,45.9%,2,1-1,50.0%,18.2%,11,3-8,27.3%,108,46-62,42.6%,2:14,48.6,45.5
21,Jakub Mensik[CZE],5,4-1,80.0%,69.2%,62.9%,94,21.4%,11,2.5%,7.1%,64.5%,78.8%,51.9%,55.9%,91.2%,6.5,2.0,Jakub Mensik[CZE],5,33.1%,34.3%,9.3%,3.1%,25.9%,48.0%,10.3%,6.7,2.2,6.0,6.0,Jakub Mensik[CZE],5,23.3%,7,30,0.44,2.3,6.0,0.54,1.4,71.4%,15,21,0.31,1.6,4.2,0.46,1.2,Jakub Mensik[CZE],5,1.08,892,50.9%,6,6-0,100.0%,46.2%,13,9-4,69.2%,136,69-67,50.7%,2:07,48.8,42.6
22,Ugo Humbert[FRA],1,0-1,0.0%,55.8%,51.7%,12,11.5%,3,2.9%,10.0%,71.2%,68.9%,23.3%,25.9%,62.5%,6.5,2.9,Ugo Humbert[FRA],1,26.7%,31.3%,22.1%,3.5%,16.4%,52.0%,12.5%,5.4,1.4,2.0,2.0,Ugo Humbert[FRA],1,28.6%,2,7,0.44,1.8,7.0,0.50,2.0,62.5%,10,16,1.00,4.0,16.0,1.50,6.0,Ugo Humbert[FRA],1,0.60,190,42.6%,0,0-0,-,0.0%,4,1-3,25.0%,32,12-20,37.5%,2:16,34.0,42.9
23,Sebastian Korda[USA],2,1-1,50.0%,66.9%,63.7%,15,11.5%,2,1.5%,4.2%,63.1%,73.2%,56.3%,58.7%,81.0%,6.2,2.0,Sebastian Korda[USA],2,29.9%,34.0%,13.7%,0.9%,21.4%,51.5%,19.0%,5.6,1.7,7.5,7.5,Sebastian Korda[USA],2,80.0%,4,5,0.24,1.3,2.5,1.00,2.0,50.0%,4,8,0.38,2.0,4.0,1.00,2.0,Sebastian Korda[USA],2,0.90,247,49.4%,2,1-1,50.0%,50.0%,4,2-2,50.0%,42,21-21,50.0%,1:29,44.3,43.0
