Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
12,Tommy Paul[USA],2,1-1,50.0%,67.0%,65.1%,17,8.3%,3,1.5%,3.7%,60.7%,77.6%,50.6%,52.6%,88.2%,6.1,2.0,Tommy Paul[USA],2,38.7%,40.2%,6.6%,2.0%,29.9%,54.3%,17.1%,7.3,2.8,62.0,62.0,Tommy Paul[USA],2,26.1%,6,23,0.66,3.3,11.5,0.86,3.0,63.6%,7,11,0.32,1.6,5.5,0.57,2.0,Tommy Paul[USA],2,1.17,462,51.3%,1,0-1,0.0%,14.3%,7,3-4,42.9%,69,36-33,52.2%,2:47,47.7,43.4
13,Ben Shelton[USA],1,1-0,100.0%,70.6%,69.5%,11,9.2%,3,2.5%,8.3%,69.7%,80.7%,47.2%,51.5%,90.0%,6.0,1.8,Ben Shelton[USA],1,31.9%,30.6%,1.7%,2.6%,26.1%,40.4%,15.0%,5.8,1.9,15.0,15.0,Ben Shelton[USA],1,50.0%,3,6,0.30,1.5,6.0,0.75,3.0,66.7%,4,6,0.30,1.5,6.0,0.50,2.0,Ben Shelton[USA],1,1.08,235,51.5%,1,1-0,100.0%,25.0%,4,3-1,75.0%,40,21-19,52.5%,2:52,43.0,43.9
14,Arthur Fils[FRA],3,2-1,66.7%,60.9%,60.7%,12,5.3%,7,3.1%,8.0%,60.9%,67.2%,51.1%,55.6%,75.8%,6.8,2.7,Arthur Fils[FRA],3,38.2%,40.2%,9.1%,2.7%,29.5%,51.4%,23.3%,6.2,2.4,16.0,41.7,Arthur Fils[FRA],3,58.3%,7,12,0.40,1.7,4.0,1.00,2.3,60.0%,12,20,0.61,2.9,6.7,1.14,2.7,Arthur Fils[FRA],3,0.98,411,50.6%,1,1-0,100.0%,14.3%,7,4-3,57.1%,63,32-31,50.8%,1:45,44.9,45.8
15,Grigor Dimitrov[BUL],1,0-1,0.0%,33.3%,36.8%,0,0.0%,2,9.5%,22.2%,57.1%,41.7%,22.2%,28.6%,0.0%,7.0,4.7,Grigor Dimitrov[BUL],1,29.4%,33.3%,11.8%,0.0%,22.2%,37.5%,0.0%,5.7,1.7,75.0,75.0,Grigor Dimitrov[BUL],1,-,0,0,0.00,0.0,0.0,0.00,0.0,57.1%,4,7,2.33,7.0,7.0,3.00,3.0,Grigor Dimitrov[BUL],1,0.44,38,31.6%,0,0-0,-,0.0%,1,0-1,0.0%,6,0-6,0.0%,0:26,26.0,41.1
16,Frances Tiafoe[USA],1,0-1,0.0%,65.3%,64.1%,6,8.3%,2,2.8%,5.9%,52.8%,81.6%,47.1%,50.0%,90.9%,6.5,2.3,Frances Tiafoe[USA],1,32.0%,39.2%,26.7%,5.3%,20.0%,56.0%,0.0%,6.8,2.2,31.0,31.0,Frances Tiafoe[USA],1,0.0%,0,2,0.18,1.0,2.0,0.00,0.0,66.7%,2,3,0.27,1.5,3.0,0.50,1.0,Frances Tiafoe[USA],1,0.92,147,48.3%,1,0-1,0.0%,50.0%,2,0-2,0.0%,22,10-12,45.5%,1:32,46.0,37.6
17,Andrey Rublev[RUS],2,1-1,50.0%,71.8%,69.7%,12,11.7%,2,1.9%,5.0%,61.2%,82.5%,55.0%,57.9%,85.0%,5.2,1.5,Andrey Rublev[RUS],2,35.7%,40.0%,13.2%,1.6%,27.7%,50.0%,19.0%,6.1,2.2,106.5,106.5,Andrey Rublev[RUS],2,36.4%,4,11,0.52,2.8,5.5,1.00,2.0,62.5%,5,8,0.40,2.0,4.0,0.75,1.5,Andrey Rublev[RUS],2,1.27,232,51.7%,0,0-0,-,0.0%,4,2-2,50.0%,41,21-20,51.2%,1:20,39.8,41.1
18,Francisco Cerundolo[ARG],1,0-1,0.0%,64.3%,62.6%,7,6.1%,1,0.9%,2.4%,63.5%,69.9%,54.8%,56.1%,82.4%,6.8,2.4,Francisco Cerundolo[ARG],1,31.5%,31.6%,6.5%,2.8%,19.7%,50.0%,11.8%,6.4,2.0,15.0,15.0,Francisco Cerundolo[ARG],1,40.0%,2,5,0.29,1.7,5.0,0.67,2.0,76.9%,10,13,0.76,4.3,13.0,1.00,3.0,Francisco Cerundolo[ARG],1,0.88,223,48.4%,2,1-1,50.0%,66.7%,3,1-2,33.3%,34,16-18,47.1%,2:48,56.0,45.2
19,Stefanos Tsitsipas[GRE],2,0-2,0.0%,61.6%,66.4%,2,1.2%,13,7.9%,16.9%,53.0%,72.4%,49.4%,59.4%,80.0%,6.6,2.5,Stefanos Tsitsipas[GRE],2,35.7%,36.4%,2.7%,0.5%,30.9%,50.0%,16.0%,7.3,2.6,13.5,13.5,Stefanos Tsitsipas[GRE],2,18.2%,4,22,0.88,4.4,11.0,0.80,2.0,64.3%,9,14,0.56,2.8,7.0,1.00,2.5,Stefanos Tsitsipas[GRE],2,0.93,346,48.0%,1,0-1,0.0%,20.0%,5,1-4,20.0%,50,24-26,48.0%,2:08,51.0,44.2
20,Tomas Machac[CZE],2,1-1,50.0%,62.4%,61.4%,8,6.4%,3,2.4%,7.0%,65.6%,65.9%,55.8%,60.0%,73.7%,6.6,2.5,Tomas Machac[CZE],2,36.5%,36.6%,7.8%,4.3%,36.6%,36.4%,22.2%,6.4,2.3,65.0,65.0,Tomas Machac[CZE],2,57.1%,4,7,0.39,1.8,3.5,1.00,2.0,37.5%,3,8,0.42,2.0,4.0,1.25,2.5,Tomas Machac[CZE],2,0.97,240,50.0%,2,1-1,50.0%,50.0%,4,2-2,50.0%,37,18-19,48.6%,1:26,43.0,43.0
21,Jakub Mensik[CZE],2,1-1,50.0%,69.8%,69.1%,14,10.9%,5,3.9%,11.6%,66.7%,75.6%,58.1%,65.8%,90.5%,6.1,1.9,Jakub Mensik[CZE],2,35.4%,42.0%,18.9%,2.4%,35.6%,35.1%,20.0%,6.4,2.3,56.0,56.0,Jakub Mensik[CZE],2,44.4%,4,9,0.45,2.3,4.5,1.00,2.0,60.0%,3,5,0.24,1.3,2.5,0.50,1.0,Jakub Mensik[CZE],2,1.17,256,52.7%,1,0-1,0.0%,25.0%,4,2-2,50.0%,41,23-18,56.1%,1:19,39.3,36.8
23,Sebastian Korda[USA],2,1-1,50.0%,66.9%,65.7%,13,8.6%,4,2.6%,6.5%,58.9%,75.3%,54.8%,58.6%,86.4%,6.9,2.3,Sebastian Korda[USA],2,32.0%,31.3%,4.8%,3.2%,27.4%,38.5%,14.3%,6.0,1.9,13.0,13.0,Sebastian Korda[USA],2,75.0%,3,4,0.19,1.0,2.0,0.75,1.5,76.9%,10,13,0.59,3.3,6.5,0.75,1.5,Sebastian Korda[USA],2,0.97,276,51.1%,2,1-1,50.0%,50.0%,4,2-2,50.0%,43,22-21,51.2%,1:36,48.0,41.7
24,Karen Khachanov[RUS],3,1-2,33.3%,67.0%,65.7%,18,6.7%,4,1.5%,3.7%,59.9%,76.9%,52.3%,54.4%,87.5%,6.7,2.2,Karen Khachanov[RUS],3,33.2%,31.3%,8.2%,6.6%,21.8%,53.4%,20.0%,6.1,2.0,15.0,68.0,Karen Khachanov[RUS],3,33.3%,8,24,0.60,3.0,8.0,1.00,2.7,78.3%,18,23,0.57,2.9,7.7,0.63,1.7,Karen Khachanov[RUS],3,1.01,511,50.9%,2,1-1,50.0%,25.0%,8,4-4,50.0%,80,43-37,53.8%,2:08,48.1,45.2
26,Alejandro Davidovich Fokina[ESP],2,2-0,100.0%,62.8%,65.0%,3,2.3%,6,4.7%,13.6%,65.9%,69.4%,50.0%,57.9%,75.0%,6.5,2.4,Alejandro Davidovich Fokina[ESP],2,47.7%,45.8%,1.3%,4.6%,36.5%,58.4%,42.9%,7.2,3.4,97.0,97.0,Alejandro Davidovich Fokina[ESP],2,52.9%,9,17,0.81,4.3,8.5,2.25,4.5,58.3%,7,12,0.60,3.0,6.0,1.25,2.5,Alejandro Davidovich Fokina[ESP],2,1.28,280,54.6%,2,2-0,100.0%,50.0%,4,4-0,100.0%,41,24-17,58.5%,1:43,51.5,44.1
27,Felix Auger Aliassime[CAN],5,1-4,20.0%,65.1%,63.1%,43,11.3%,13,3.4%,12.3%,72.2%,71.6%,48.1%,54.8%,78.0%,6.5,2.3,Felix Auger Aliassime[CAN],5,33.4%,33.3%,5.7%,2.9%,24.7%,48.0%,13.1%,6.7,2.2,84.0,106.0,Felix Auger Aliassime[CAN],5,25.8%,8,31,0.51,2.6,6.2,0.67,1.6,60.6%,20,33,0.56,2.8,6.6,1.08,2.6,Felix Auger Aliassime[CAN],5,0.96,788,48.7%,4,2-2,50.0%,33.3%,12,4-8,33.3%,120,54-66,45.0%,2:02,51.0,46.6
28,Denis Shapovalov[CAN],1,0-1,0.0%,58.9%,66.3%,5,4.5%,15,13.4%,31.9%,58.0%,70.8%,42.6%,62.5%,81.3%,7.0,2.9,Denis Shapovalov[CAN],1,30.6%,28.8%,2.7%,3.6%,23.7%,45.7%,6.3%,6.9,2.1,15.0,15.0,Denis Shapovalov[CAN],1,20.0%,1,5,0.31,1.7,5.0,0.33,1.0,72.7%,8,11,0.69,3.7,11.0,1.00,3.0,Denis Shapovalov[CAN],1,0.75,223,44.8%,2,0-2,0.0%,66.7%,3,0-3,0.0%,32,14-18,43.8%,2:42,54.0,43.6
29,Brandon Nakashima[USA],3,2-1,66.7%,76.8%,75.7%,17,10.4%,3,1.8%,5.0%,63.4%,85.6%,61.7%,64.9%,93.5%,5.3,1.2,Brandon Nakashima[USA],3,33.8%,35.2%,9.5%,3.0%,29.9%,42.2%,13.3%,6.7,2.3,117.0,104.7,Brandon Nakashima[USA],3,30.8%,4,13,0.43,2.2,4.3,0.67,1.3,60.0%,3,5,0.16,0.8,1.7,0.33,0.7,Brandon Nakashima[USA],3,1.46,365,53.2%,1,1-0,100.0%,16.7%,6,4-2,66.7%,61,33-28,54.1%,1:28,43.8,43.2
30,Matteo Berrettini[ITA],5,2-3,40.0%,70.2%,67.2%,37,11.7%,4,1.3%,4.2%,69.8%,75.0%,58.9%,61.5%,86.8%,5.9,1.8,Matteo Berrettini[ITA],5,31.9%,31.7%,4.8%,2.6%,27.8%,40.4%,11.5%,6.0,1.9,16.0,37.2,Matteo Berrettini[ITA],5,37.5%,6,16,0.31,1.5,3.2,0.55,1.2,66.7%,14,21,0.40,1.9,4.2,0.64,1.4,Matteo Berrettini[ITA],5,1.07,628,51.1%,3,2-1,66.7%,27.3%,11,5-6,45.5%,105,52-53,49.5%,1:33,42.1,44.2
32,Alex Michelsen[USA],3,2-1,66.7%,62.1%,63.6%,15,5.5%,15,5.5%,14.4%,61.8%,67.3%,53.8%,62.9%,75.6%,6.0,2.3,Alex Michelsen[USA],3,34.1%,36.1%,10.7%,3.0%,25.9%,45.5%,22.2%,6.0,2.0,32.0,36.0,Alex Michelsen[USA],3,45.5%,10,22,0.49,2.4,7.3,1.11,3.3,42.1%,8,19,0.42,2.1,6.3,1.22,3.7,Alex Michelsen[USA],3,0.90,542,48.2%,1,1-0,100.0%,11.1%,9,5-4,55.6%,90,44-46,48.9%,2:10,43.4,43.3
