Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
41,Jordan Thompson[AUS],12,6-6,50.0%,64.6%,63.2%,75,8.0%,23,2.5%,6.0%,58.8%,71.5%,54.7%,58.1%,78.4%,6.1,2.2,12,33.5%,34.4%,8.1%,2.9%,27.3%,44.5%,17.9%,6.1,2.1,33.5,47.1,12,37.8%,28,74,0.47,2.3,6.2,0.88,2.3,60.2%,50,83,0.54,2.6,6.9,1.03,2.8,12,0.95,1895,48.9%,3,3-0,100.0%,9.4%,32,16-16,50.0%,309,148-161,47.9%,1:59,44.7,45.3
42,Alejandro Tabilo[CHI],14,4-10,28.6%,60.3%,59.8%,82,6.0%,44,3.2%,8.3%,61.4%,68.3%,47.5%,51.9%,77.6%,7.0,2.8,14,34.9%,36.6%,9.1%,2.6%,28.8%,45.5%,18.7%,6.3,2.2,92.0,108.9,14,34.3%,36,105,0.54,2.7,7.5,0.92,2.6,65.9%,85,129,0.66,3.3,9.2,1.13,3.1,14,0.88,2585,48.3%,7,1-6,14.3%,17.9%,39,16-23,41.0%,389,188-201,48.3%,2:13,47.7,43.2
43,Gael Monfils[FRA],22,16-6,72.7%,67.9%,68.2%,213,11.1%,106,5.5%,14.1%,60.7%,78.4%,51.8%,60.3%,87.0%,6.2,2.0,22,34.8%,35.3%,6.3%,2.6%,28.2%,46.0%,18.7%,6.3,2.2,42.0,60.7,22,39.2%,56,143,0.48,2.3,6.5,0.92,2.5,65.2%,75,115,0.37,1.9,5.2,0.66,1.8,22,1.09,3815,51.4%,18,11-7,61.1%,29.5%,61,38-23,62.3%,608,324-284,53.3%,2:04,44.6,42.7
44,Lorenzo Sonego[ITA],20,9-11,45.0%,65.2%,64.3%,128,7.0%,45,2.4%,7.1%,65.4%,73.7%,49.2%,53.0%,83.5%,6.6,2.3,20,32.8%,32.6%,5.5%,3.0%,25.8%,44.7%,15.9%,6.1,2.0,51.0,62.2,20,38.9%,44,113,0.41,2.0,5.7,0.79,2.2,70.3%,109,155,0.56,2.8,7.8,0.82,2.3,20,0.94,3534,49.7%,12,5-7,41.7%,21.4%,56,26-30,46.4%,555,277-278,49.9%,2:19,49.8,47.3
45,Marcos Giron[USA],21,12-9,57.1%,62.9%,61.7%,112,6.3%,36,2.0%,5.0%,59.6%,70.5%,51.5%,54.2%,78.8%,6.6,2.5,21,36.7%,37.7%,8.2%,3.3%,28.7%,49.3%,19.9%,6.5,2.4,37.5,53.5,21,36.0%,54,150,0.55,2.6,7.1,0.93,2.6,63.7%,100,157,0.58,2.7,7.5,0.98,2.7,21,0.99,3540,49.9%,10,7-3,70.0%,17.2%,58,32-26,55.2%,540,266-274,49.3%,2:00,43.5,42.8
46,Luciano Darderi[ITA],20,10-10,50.0%,63.7%,62.9%,96,7.1%,39,2.9%,7.4%,60.8%,69.6%,54.6%,59.0%,78.6%,6.4,2.3,20,34.9%,35.9%,7.5%,2.8%,27.6%,46.9%,16.3%,6.4,2.2,51.5,61.2,20,30.4%,34,112,0.54,2.6,5.6,0.79,1.7,59.1%,65,110,0.52,2.6,5.5,1.05,2.3,20,0.96,2691,49.3%,7,7-0,100.0%,16.3%,43,21-22,48.8%,419,199-220,47.5%,1:36,44.5,42.7
47,Miomir Kecmanovic[SRB],24,13-11,54.2%,65.6%,64.9%,122,6.3%,45,2.3%,6.2%,62.7%,74.0%,51.6%,55.1%,84.4%,6.5,2.2,24,36.5%,38.3%,10.8%,3.8%,27.3%,51.9%,21.0%,6.5,2.4,47.0,64.2,24,40.3%,64,159,0.52,2.4,6.6,0.97,2.7,65.9%,91,138,0.46,2.1,5.8,0.71,2.0,24,1.06,3923,51.0%,13,6-7,46.2%,19.7%,66,37-29,56.1%,607,319-288,52.6%,1:52,40.7,41.1
48,David Goffin[BEL],17,7-10,41.2%,58.7%,58.0%,65,5.5%,33,2.8%,6.2%,54.6%,67.1%,48.5%,51.7%,67.0%,6.4,2.6,17,39.2%,39.9%,7.1%,3.6%,30.8%,51.4%,25.3%,6.6,2.6,42.0,50.3,17,40.5%,49,121,0.62,2.9,7.1,1.17,2.9,53.4%,70,131,0.71,3.1,7.7,1.45,3.6,17,0.95,2464,48.5%,5,2-3,40.0%,11.9%,42,17-25,40.5%,379,173-206,45.6%,1:47,43.3,44.3
49,Pedro Martinez[ESP],23,10-13,43.5%,58.7%,60.6%,20,1.3%,58,3.9%,13.5%,71.2%,63.1%,48.0%,55.5%,70.0%,6.6,2.7,23,37.6%,39.5%,9.5%,3.0%,29.9%,51.7%,21.1%,6.5,2.4,52.0,77.8,23,34.0%,49,144,0.62,2.7,6.3,0.91,2.1,58.5%,96,164,0.72,3.0,7.1,1.26,3.0,23,0.91,2994,48.1%,4,3-1,75.0%,7.4%,54,23-31,42.6%,459,208-251,45.3%,1:43,43.7,47.3
50,Zizou Bergs[BEL],27,17-10,63.0%,64.3%,63.4%,154,8.9%,63,3.6%,8.9%,59.5%,73.3%,51.1%,56.2%,80.1%,6.3,2.2,27,37.2%,36.6%,5.4%,4.0%,29.9%,48.9%,22.8%,6.4,2.4,73.0,126.8,27,41.7%,63,151,0.55,2.5,5.6,1.03,2.3,58.0%,76,131,0.47,2.1,4.9,0.90,2.0,27,1.04,3504,50.7%,10,4-6,40.0%,16.4%,61,35-26,57.4%,552,284-268,51.4%,1:35,42.2,44.1
51,Tomas Martin Etcheverry[ARG],22,9-13,40.9%,63.1%,61.2%,125,7.8%,29,1.8%,4.8%,62.5%,70.9%,50.1%,52.6%,79.7%,6.5,2.4,22,36.2%,37.3%,7.9%,2.9%,28.8%,47.0%,20.1%,6.5,2.3,63.5,85.5,22,36.0%,50,139,0.56,2.5,6.3,0.91,2.3,69.5%,114,164,0.67,3.0,7.5,0.91,2.3,22,0.98,3218,49.6%,10,3-7,30.0%,18.2%,55,23-32,41.8%,495,246-249,49.7%,1:58,47.3,48.6
52,Quentin Halys[FRA],14,6-8,42.9%,66.6%,63.8%,197,15.5%,55,4.3%,10.8%,60.0%,78.0%,49.6%,55.6%,85.1%,6.3,2.1,14,29.8%,30.2%,8.3%,3.0%,23.8%,40.3%,11.2%,6.1,1.8,49.0,53.7,14,30.6%,22,72,0.37,1.8,5.1,0.56,1.6,66.7%,60,90,0.45,2.3,6.4,0.77,2.1,14,0.89,2464,48.8%,10,5-5,50.0%,25.6%,39,18-21,46.2%,397,193-204,48.6%,2:01,43.6,41.4
53,Nicolas Jarry[CHI],13,4-9,30.8%,67.0%,66.0%,106,9.9%,38,3.6%,9.5%,62.5%,75.0%,53.9%,59.5%,84.3%,6.4,2.1,13,33.7%,33.4%,6.2%,3.6%,26.6%,45.0%,13.6%,6.7,2.3,67.0,79.1,13,28.0%,23,82,0.49,2.5,6.3,0.70,1.8,67.1%,53,79,0.48,2.4,6.1,0.79,2.0,13,1.02,2203,49.9%,9,2-7,22.2%,27.3%,33,13-20,39.4%,335,163-172,48.7%,2:11,51.7,46.4
54,Gabriel Diallo[CAN],19,10-9,52.6%,65.0%,63.7%,125,8.6%,42,2.9%,8.8%,67.1%,71.5%,51.7%,56.7%,81.4%,6.4,2.3,19,34.3%,33.7%,5.9%,3.9%,26.7%,47.4%,17.7%,6.4,2.2,50.0,48.6,19,33.6%,39,116,0.53,2.3,6.1,0.76,2.1,64.1%,75,117,0.52,2.3,6.2,0.82,2.2,19,0.98,2852,49.9%,11,6-5,54.5%,21.6%,51,26-25,51.0%,446,223-223,50.0%,1:54,42.4,45.4
55,Zhizhen Zhang[CHN],13,4-9,30.8%,66.3%,64.0%,101,11.1%,25,2.8%,7.8%,64.6%,73.9%,52.3%,56.8%,83.8%,6.4,2.2,13,29.7%,31.5%,13.7%,3.7%,20.8%,45.3%,11.7%,5.9,1.8,43.5,46.2,13,37.0%,17,46,0.32,1.4,3.5,0.53,1.3,67.6%,48,71,0.50,2.2,5.5,0.72,1.8,13,0.88,1761,48.6%,5,1-4,20.0%,15.6%,32,12-20,37.5%,287,136-151,47.4%,1:35,38.5,42.0
56,Roberto Bautista Agut[ESP],15,4-11,26.7%,59.1%,59.7%,30,2.4%,34,2.7%,7.8%,65.1%,64.6%,48.6%,52.8%,72.4%,6.7,2.8,15,36.2%,38.6%,11.4%,3.3%,26.3%,51.4%,19.6%,6.1,2.2,56.0,53.9,15,48.0%,36,75,0.41,1.9,5.0,0.92,2.4,63.6%,89,140,0.76,3.6,9.3,1.31,3.4,15,0.88,2365,48.2%,5,1-4,20.0%,12.8%,39,13-26,33.3%,369,170-199,46.1%,2:03,47.2,46.7
57,Jacob Fearnley[GBR],13,7-6,53.8%,62.2%,62.4%,78,8.9%,50,5.7%,14.4%,60.3%,69.6%,51.0%,59.6%,76.3%,6.5,2.4,13,37.3%,37.9%,7.4%,3.5%,28.9%,51.4%,21.7%,6.5,2.4,59.0,44.3,13,36.6%,30,82,0.59,2.5,6.3,0.91,2.3,54.9%,39,71,0.53,2.2,5.5,0.97,2.5,13,0.99,1764,49.6%,6,4-2,66.7%,18.2%,33,17-16,51.5%,273,133-140,48.7%,1:38,38.5,43.3
58,Benjamin Bonzi[FRA],14,6-8,42.9%,64.6%,63.7%,69,6.0%,22,1.9%,5.3%,63.9%,69.4%,56.2%,59.3%,80.8%,6.5,2.3,14,36.3%,38.4%,10.1%,2.9%,25.6%,52.9%,22.3%,6.3,2.3,54.5,131.9,14,42.4%,39,92,0.53,2.6,6.6,1.08,2.8,64.6%,62,96,0.54,2.7,6.9,0.94,2.4,14,1.03,2249,50.7%,6,2-4,33.3%,16.7%,36,18-18,50.0%,352,182-170,51.7%,1:53,44.0,42.3
59,Roberto Carballes Baena[ESP],20,9-11,45.0%,58.9%,59.0%,68,4.4%,51,3.3%,9.2%,63.9%,66.3%,45.8%,50.4%,70.9%,6.5,2.7,20,39.9%,41.6%,7.3%,2.4%,31.7%,53.0%,25.6%,6.7,2.7,74.5,114.9,20,38.5%,60,156,0.67,3.1,7.8,1.18,3.0,58.0%,94,162,0.69,3.2,8.1,1.33,3.4,20,0.97,3087,49.3%,7,3-4,42.9%,13.7%,51,25-26,49.0%,468,226-242,48.3%,2:03,48.2,47.8
60,Camilo Ugo Carabelli[ARG],17,9-8,52.9%,61.0%,61.5%,56,4.1%,45,3.3%,9.4%,64.8%,70.5%,43.7%,48.2%,73.8%,6.4,2.5,17,37.8%,37.6%,5.9%,3.9%,32.2%,49.1%,22.8%,6.5,2.5,87.0,87.0,17,40.2%,49,122,0.57,2.8,7.2,1.11,2.9,52.5%,62,118,0.55,2.7,6.9,1.27,3.3,17,0.97,2762,49.3%,7,4-3,57.1%,15.9%,44,22-22,50.0%,429,207-222,48.3%,2:02,47.2,45.1
61,Fabian Marozsan[HUN],22,11-11,50.0%,65.2%,64.3%,127,7.4%,48,2.8%,7.7%,63.9%,71.9%,53.3%,57.7%,84.2%,6.5,2.3,22,34.9%,36.4%,10.8%,3.8%,25.5%,51.5%,17.7%,6.5,2.3,45.5,68.0,22,31.5%,46,146,0.56,2.5,6.6,0.79,2.1,66.9%,85,127,0.48,2.2,5.8,0.72,1.9,22,1.00,3406,50.2%,12,4-8,33.3%,20.7%,58,29-29,50.0%,525,269-256,51.2%,1:42,38.6,39.4
62,Kei Nishikori[JPN],17,9-8,52.9%,62.0%,61.7%,51,4.6%,26,2.4%,7.2%,67.2%,68.0%,49.7%,53.6%,75.1%,6.1,2.3,17,36.3%,37.5%,8.6%,3.4%,28.5%,51.4%,22.2%,6.3,2.3,58.0,68.2,17,42.6%,40,94,0.52,2.2,5.5,0.93,2.4,53.1%,51,96,0.53,2.2,5.6,1.05,2.6,17,0.96,2239,49.0%,5,3-2,60.0%,11.6%,43,21-22,48.8%,361,176-185,48.8%,1:33,36.7,42.3
63,Francisco Comesana[ARG],16,8-8,50.0%,64.9%,63.2%,139,9.6%,44,3.0%,8.0%,62.0%,73.3%,51.1%,55.5%,81.3%,6.4,2.3,16,34.5%,34.0%,4.6%,3.2%,28.5%,46.2%,16.1%,6.5,2.3,50.0,106.6,16,34.0%,36,106,0.48,2.5,6.6,0.84,2.3,61.5%,67,109,0.48,2.5,6.8,0.98,2.6,16,0.98,2909,49.6%,14,7-7,50.0%,32.6%,43,21-22,48.8%,448,219-229,48.9%,2:18,51.2,45.4
64,Laslo Djere[SRB],13,10-3,76.9%,66.7%,67.0%,72,7.6%,40,4.2%,10.8%,61.2%,75.1%,53.4%,59.9%,84.4%,6.2,2.1,13,39.1%,37.9%,3.3%,4.0%,30.9%,53.7%,25.2%,6.6,2.6,59.5,66.3,13,42.4%,39,92,0.59,2.8,7.1,1.18,3.0,68.0%,51,75,0.49,2.3,5.8,0.73,1.8,13,1.17,1970,52.4%,5,3-2,60.0%,15.2%,33,22-11,66.7%,309,169-140,54.7%,1:53,44.5,44.7
65,Joao Fonseca[BRA],16,10-6,62.5%,64.2%,63.2%,85,6.8%,30,2.4%,6.9%,65.4%,71.5%,50.2%,54.0%,81.4%,6.4,2.3,16,37.5%,38.1%,6.2%,2.8%,31.7%,47.1%,21.9%,6.7,2.5,45.5,50.2,16,33.3%,43,129,0.66,3.1,8.1,1.02,2.7,58.6%,51,87,0.45,2.1,5.4,0.86,2.3,16,1.05,2561,50.5%,9,5-4,55.6%,21.4%,42,24-18,57.1%,390,201-189,51.5%,1:57,44.4,43.7
66,Jaume Munar[ESP],19,10-9,52.6%,64.3%,64.7%,79,5.0%,51,3.3%,9.3%,64.9%,71.7%,50.8%,56.0%,81.3%,6.2,2.2,19,37.6%,37.5%,5.3%,3.4%,29.5%,51.6%,23.3%,6.2,2.3,46.0,48.4,19,44.4%,59,133,0.53,2.6,7.0,1.13,3.1,59.5%,69,116,0.46,2.2,6.1,0.90,2.5,19,1.05,3137,50.9%,7,3-4,42.9%,13.5%,52,28-24,53.8%,505,264-241,52.3%,2:10,47.4,47.1
67,Juncheng Shang[CHN],5,3-2,60.0%,65.0%,63.9%,28,9.5%,11,3.7%,10.9%,65.6%,74.1%,47.5%,53.3%,84.1%,6.7,2.3,5,36.4%,37.6%,10.8%,4.5%,24.6%,57.3%,21.7%,6.2,2.3,66.0,88.6,5,38.5%,10,26,0.57,2.6,5.2,1.00,2.0,70.8%,17,24,0.55,2.4,4.8,0.70,1.4,5,1.04,580,50.9%,3,1-2,33.3%,30.0%,10,6-4,60.0%,90,47-43,52.2%,1:20,40.1,41.5
68,Mattia Bellucci[ITA],12,6-6,50.0%,64.6%,63.7%,74,8.7%,31,3.6%,9.1%,59.9%,74.1%,50.3%,55.3%,85.4%,6.6,2.3,12,34.6%,34.2%,5.6%,3.4%,25.8%,47.7%,18.0%,6.4,2.2,82.5,134.3,12,31.5%,23,73,0.57,2.7,6.1,0.85,1.9,70.8%,46,65,0.50,2.4,5.4,0.70,1.6,12,0.97,1668,49.9%,4,0-4,0.0%,14.8%,27,14-13,51.9%,258,134-124,51.9%,1:47,47.7,46.4
69,Damir Dzumhur[BIH],19,11-8,57.9%,57.6%,58.9%,17,1.3%,41,3.0%,9.1%,66.6%,58.9%,55.1%,60.6%,70.1%,7.0,3.0,19,41.6%,41.8%,4.3%,2.8%,37.6%,49.1%,30.3%,6.8,2.8,64.0,109.3,19,43.5%,60,138,0.70,2.8,7.3,1.22,3.2,60.8%,90,148,0.76,3.0,7.8,1.18,3.1,19,0.98,2692,49.7%,6,3-3,50.0%,12.2%,49,25-24,51.0%,392,196-196,50.0%,1:47,41.4,45.2
70,Learner Tien[USA],15,6-9,40.0%,59.3%,60.6%,59,4.1%,68,4.7%,12.5%,62.1%,66.7%,47.3%,54.1%,71.3%,6.9,2.8,15,37.8%,40.2%,10.2%,3.0%,28.7%,54.7%,23.9%,6.5,2.5,49.0,49.3,15,41.7%,50,120,0.57,2.9,8.0,1.19,3.3,59.7%,89,149,0.71,3.5,9.9,1.43,4.0,15,0.93,2792,48.9%,10,6-4,60.0%,23.8%,42,19-23,45.2%,418,199-219,47.6%,2:14,48.0,43.3
71,Daniel Altmaier[GER],20,9-11,45.0%,61.3%,58.8%,137,8.5%,28,1.7%,4.4%,60.4%,71.9%,45.1%,47.1%,75.4%,6.5,2.5,20,35.0%,34.8%,5.7%,3.3%,25.6%,49.5%,19.4%,6.2,2.2,65.0,68.5,20,41.5%,49,118,0.47,2.3,5.9,0.96,2.5,60.4%,93,154,0.62,3.0,7.7,1.20,3.1,20,0.90,3175,48.3%,9,5-4,55.6%,17.6%,51,22-29,43.1%,500,236-264,47.2%,1:59,46.5,44.9
72,Hamad Medjedovic[SRB],12,7-5,58.3%,66.1%,64.8%,67,8.1%,20,2.4%,7.0%,65.6%,73.1%,52.8%,56.8%,83.2%,6.4,2.2,12,37.4%,38.5%,8.4%,3.5%,29.9%,50.6%,20.5%,6.8,2.6,23.0,48.0,12,28.3%,26,92,0.72,3.1,7.7,0.87,2.2,64.5%,40,62,0.47,2.1,5.2,0.73,1.8,12,1.10,1699,51.4%,6,4-2,66.7%,20.0%,30,17-13,56.7%,258,135-123,52.3%,1:43,41.1,43.6
73,Bu Yunchaokete[CHN],18,5-13,27.8%,62.6%,60.0%,113,8.6%,19,1.4%,3.5%,59.2%,71.7%,49.4%,51.3%,78.4%,6.6,2.5,18,34.6%,35.9%,9.2%,3.1%,26.7%,48.0%,20.1%,6.2,2.1,47.0,61.1,18,43.2%,41,95,0.47,2.3,5.3,1.00,2.3,61.6%,69,112,0.56,2.7,6.2,1.05,2.4,18,0.92,2580,48.8%,9,1-8,11.1%,22.0%,41,14-27,34.1%,403,197-206,48.9%,1:50,48.3,46.0
74,Yoshihito Nishioka[JPN],12,7-5,58.3%,65.0%,65.0%,29,3.9%,16,2.1%,5.7%,62.8%,70.6%,55.6%,58.9%,80.7%,6.3,2.2,12,32.1%,34.8%,14.8%,3.8%,23.8%,46.4%,15.0%,5.9,1.9,59.0,67.7,12,47.4%,18,38,0.32,1.3,3.2,0.60,1.5,65.2%,43,66,0.55,2.2,5.5,0.77,1.9,12,0.92,1461,49.0%,4,4-0,100.0%,13.3%,30,17-13,56.7%,239,114-125,47.7%,1:27,35.0,43.1
75,Arthur Rinderknech[FRA],14,3-11,21.4%,62.3%,59.9%,130,11.7%,43,3.9%,10.6%,63.4%,72.6%,44.3%,49.6%,76.5%,6.8,2.6,14,30.7%,31.5%,7.8%,2.4%,23.0%,44.1%,10.2%,6.2,1.9,62.5,71.1,14,30.9%,17,55,0.33,1.6,3.9,0.50,1.2,61.6%,61,99,0.61,2.9,7.1,1.12,2.7,14,0.81,2135,47.1%,9,4-5,44.4%,26.5%,34,10-24,29.4%,328,141-187,43.0%,1:50,45.4,43.4
76,Alexander Bublik[KAZ],17,6-11,35.3%,63.2%,62.9%,185,14.1%,102,7.8%,19.1%,59.2%,75.0%,46.2%,57.0%,78.8%,6.6,2.4,17,31.1%,31.5%,9.4%,3.7%,23.6%,45.0%,12.9%,6.0,1.9,36.0,63.1,17,33.8%,26,77,0.38,1.9,4.5,0.65,1.5,69.1%,94,136,0.69,3.4,8.0,1.05,2.5,17,0.84,2524,47.7%,8,5-3,62.5%,20.0%,40,16-24,40.0%,399,182-217,45.6%,1:33,39.5,37.6
77,Roman Safiullin[RUS],11,3-8,27.3%,62.4%,61.6%,77,8.2%,36,3.8%,11.0%,65.0%,70.2%,47.9%,53.8%,75.0%,6.5,2.4,11,36.0%,38.4%,12.1%,3.7%,25.6%,54.6%,20.1%,6.7,2.4,58.0,115.9,11,34.5%,30,87,0.58,3.0,7.9,1.03,2.7,55.0%,44,80,0.56,2.8,7.3,1.24,3.3,11,0.96,1933,48.8%,7,0-7,0.0%,24.1%,29,10-19,34.5%,293,138-155,47.1%,2:10,49.3,44.4
78,Hugo Gaston[FRA],12,4-8,33.3%,57.9%,58.3%,38,4.4%,33,3.8%,8.1%,52.9%,68.9%,45.5%,49.5%,68.5%,6.8,2.9,12,38.0%,39.3%,7.1%,2.5%,30.1%,50.5%,24.4%,6.4,2.4,58.5,75.8,12,41.3%,31,75,0.59,2.6,6.3,1.07,2.6,62.3%,66,106,0.83,3.7,8.8,1.38,3.3,12,0.90,1679,48.2%,1,0-1,0.0%,3.4%,29,11-18,37.9%,254,118-136,46.5%,1:35,39.4,40.9
79,Aleksandar Vukic[AUS],14,4-10,28.6%,63.2%,60.4%,151,11.5%,40,3.1%,7.8%,61.1%,73.0%,47.6%,51.7%,80.5%,6.6,2.4,14,32.9%,35.0%,10.1%,2.2%,28.2%,41.1%,17.5%,6.0,2.0,59.0,105.9,14,44.9%,35,78,0.39,1.8,5.6,0.81,2.5,68.3%,84,123,0.62,2.9,8.8,0.91,2.8,14,0.89,2515,48.7%,6,0-6,0.0%,14.0%,43,18-25,41.9%,400,196-204,49.0%,2:04,40.4,41.5
80,Aleksandar Kovacevic[USA],12,6-6,50.0%,66.8%,66.3%,74,8.1%,30,3.3%,7.7%,57.3%,77.7%,52.2%,56.5%,85.8%,6.1,2.0,12,35.0%,36.4%,10.9%,4.0%,25.1%,50.5%,17.4%,6.5,2.3,52.0,117.3,12,29.1%,25,86,0.60,2.9,7.2,0.83,2.1,67.7%,44,65,0.44,2.2,5.4,0.70,1.8,12,1.05,1853,50.6%,3,2-1,66.7%,10.0%,30,17-13,56.7%,292,152-140,52.1%,1:53,45.3,44.0
81,Christopher Oconnell[AUS],17,7-10,41.2%,61.8%,59.7%,113,8.6%,31,2.4%,6.1%,61.5%,68.9%,50.4%,53.7%,78.5%,6.7,2.6,17,33.2%,34.6%,8.0%,2.1%,26.7%,44.4%,15.5%,6.3,2.1,52.0,52.7,17,36.1%,30,83,0.43,2.1,4.9,0.75,1.8,64.4%,76,118,0.61,3.0,6.9,1.05,2.5,17,0.87,2527,48.1%,12,5-7,41.7%,30.0%,40,17-23,42.5%,388,183-205,47.2%,1:49,46.3,43.9
82,Rinky Hijikata[AUS],15,5-10,33.3%,58.6%,58.5%,53,5.0%,37,3.5%,9.3%,62.2%,64.4%,49.0%,54.0%,71.1%,6.6,2.7,15,32.9%,36.5%,13.0%,1.9%,27.5%,43.4%,17.9%,5.9,1.9,63.0,63.2,15,46.0%,29,63,0.39,1.9,4.2,0.85,1.9,59.6%,68,114,0.72,3.4,7.6,1.35,3.1,15,0.79,2003,46.4%,3,1-2,33.3%,8.8%,34,11-23,32.4%,321,142-179,44.2%,1:34,41.6,42.4
83,Corentin Moutet[FRA],13,5-8,38.5%,59.7%,59.5%,43,3.9%,25,2.3%,6.5%,65.1%,63.2%,53.1%,56.8%,72.2%,6.6,2.6,13,37.9%,36.5%,2.3%,3.6%,30.7%,51.0%,21.3%,6.8,2.6,46.0,78.5,13,33.3%,36,108,0.64,3.1,8.3,1.03,2.8,58.4%,66,113,0.67,3.2,8.7,1.34,3.6,13,0.94,2257,48.6%,4,2-2,50.0%,11.4%,35,15-20,42.9%,338,158-180,46.7%,2:20,52.1,48.5
84,Borna Coric[CRO],5,1-4,20.0%,57.1%,57.7%,19,4.9%,18,4.7%,11.2%,58.4%,68.6%,41.0%,46.2%,65.0%,6.5,2.8,5,32.2%,33.7%,10.9%,3.3%,25.5%,42.2%,12.7%,5.8,1.9,44.0,80.8,5,32.0%,8,25,0.40,1.9,5.0,0.62,1.6,48.8%,20,41,0.68,3.2,8.2,1.62,4.2,5,0.75,754,45.0%,0,0-0,-,0.0%,13,3-10,23.1%,123,47-76,38.2%,2:04,47.5,49.2
85,Botic Van De Zandschulp[NED],13,4-9,30.8%,60.0%,61.6%,59,6.1%,62,6.4%,16.1%,60.3%,69.0%,46.4%,55.2%,72.5%,6.4,2.5,13,37.3%,37.4%,5.4%,3.0%,30.1%,48.2%,19.6%,6.5,2.4,35.0,138.0,13,38.0%,30,79,0.52,2.4,6.1,0.91,2.3,49.4%,41,83,0.54,2.5,6.4,1.27,3.2,13,0.93,1974,48.5%,3,1-2,33.3%,9.1%,33,12-21,36.4%,306,141-165,46.1%,1:56,45.9,46.0
86,Raphael Collignon[BEL],3,1-2,33.3%,61.5%,61.7%,20,8.4%,13,5.4%,16.9%,67.8%,68.5%,46.8%,56.3%,84.8%,7.2,2.8,3,32.5%,33.9%,8.9%,2.5%,23.1%,49.3%,15.2%,6.2,2.0,96.0,79.3,3,27.8%,5,18,0.55,2.6,6.0,0.71,1.7,76.2%,16,21,0.64,3.0,7.0,0.71,1.7,3,0.84,442,48.2%,1,0-1,0.0%,14.3%,7,3-4,42.9%,66,33-33,50.0%,1:36,41.1,39.1
87,Jan Lennard Struff[GER],15,4-11,26.7%,60.9%,57.9%,127,11.2%,35,3.1%,7.6%,59.5%,70.3%,47.1%,50.9%,73.1%,6.6,2.6,15,34.0%,34.8%,10.7%,4.5%,23.3%,51.7%,14.0%,6.7,2.3,51.0,80.5,15,27.6%,24,87,0.51,2.4,5.8,0.67,1.6,57.8%,63,109,0.64,3.0,7.3,1.28,3.1,15,0.87,2276,47.4%,7,1-6,14.3%,19.4%,36,11-25,30.6%,343,149-194,43.4%,1:40,41.5,39.4
88,Adam Walton[AUS],12,4-8,33.3%,61.6%,59.3%,76,8.7%,18,2.1%,6.0%,65.5%,69.0%,47.5%,50.5%,75.7%,6.2,2.4,12,36.0%,38.5%,12.3%,3.6%,28.4%,48.1%,17.4%,6.2,2.2,67.5,106.2,12,34.2%,25,73,0.51,2.6,6.1,0.89,2.1,56.4%,44,78,0.56,2.8,6.5,1.21,2.8,12,0.94,1767,48.6%,5,2-3,40.0%,17.9%,28,10-18,35.7%,284,131-153,46.1%,1:45,45.0,42.8
89,Kamil Majchrzak[POL],7,4-3,57.1%,67.2%,66.5%,27,6.2%,9,2.1%,5.9%,64.7%,74.6%,53.6%,56.9%,82.2%,5.9,1.9,7,36.2%,36.6%,8.7%,4.4%,26.6%,52.4%,18.1%,6.3,2.3,78.0,140.0,7,36.1%,13,36,0.50,2.3,5.1,0.81,1.9,63.9%,23,36,0.49,2.3,5.1,0.81,1.9,7,1.10,883,51.4%,3,2-1,66.7%,18.8%,16,9-7,56.3%,145,73-72,50.3%,1:30,39.6,43.0
90,James Duckworth[AUS],5,1-4,20.0%,61.9%,60.5%,32,8.4%,12,3.1%,8.5%,62.9%,68.0%,51.4%,56.2%,75.4%,6.3,2.4,5,29.5%,30.2%,10.3%,3.4%,22.6%,41.4%,10.0%,5.8,1.7,179.0,149.0,5,26.1%,6,23,0.38,1.8,4.6,0.46,1.2,60.5%,23,38,0.62,2.9,7.6,1.15,3.0,5,0.77,732,46.4%,0,0-0,-,0.0%,13,4-9,30.8%,121,52-69,43.0%,1:48,41.5,44.2
91,Cameron Norrie[GBR],19,9-10,47.4%,61.6%,60.5%,108,6.9%,42,2.7%,7.8%,65.8%,68.8%,47.7%,51.7%,77.7%,6.6,2.5,19,36.2%,37.5%,10.6%,4.3%,26.1%,53.8%,21.5%,6.2,2.3,67.0,72.6,19,39.5%,51,129,0.54,2.6,6.8,1.04,2.7,64.2%,95,148,0.62,3.0,7.8,1.08,2.8,19,0.94,3049,49.3%,8,4-4,50.0%,16.3%,49,23-26,46.9%,475,236-239,49.7%,1:56,45.1,43.5
