Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],25,16-9,64.0%,64.1%,64.2%,162,9.2%,92,5.2%,12.8%,59.3%,74.0%,49.7%,57.1%,78.4%,6.1,2.2,25,41.9%,41.5%,3.7%,3.3%,34.7%,54.1%,29.4%,6.9,2.9,46.0,71.8,25,40.0%,86,215,0.73,3.5,8.6,1.39,3.4,58.4%,87,149,0.52,2.4,6.0,1.00,2.5,25,1.17,3789,52.2%,9,5-4,55.6%,14.5%,62,36-26,58.1%,580,311-269,53.6%,1:51,44.9,44.1
12,Tommy Paul[USA],24,17-7,70.8%,65.2%,64.2%,157,8.1%,57,2.9%,7.5%,60.8%,73.2%,52.6%,56.9%,82.8%,6.3,2.2,24,40.9%,40.9%,5.5%,3.8%,33.2%,54.8%,29.6%,6.7,2.8,76.0,140.5,24,43.6%,92,211,0.68,3.2,8.8,1.42,3.8,62.1%,87,140,0.45,2.2,5.8,0.82,2.2,24,1.17,4039,52.6%,15,6-9,40.0%,23.1%,65,41-24,63.1%,619,347-272,56.1%,2:01,44.7,43.2
13,Ben Shelton[USA],24,15-9,62.5%,66.9%,66.2%,187,9.0%,76,3.7%,9.9%,62.9%,73.4%,55.8%,61.9%,85.3%,6.4,2.1,24,33.1%,33.0%,5.2%,2.8%,26.5%,45.1%,16.0%,6.2,2.1,44.5,68.6,24,44.1%,52,118,0.36,1.8,4.9,0.81,2.2,65.0%,89,137,0.42,2.1,5.7,0.75,2.0,24,1.00,4086,50.3%,22,14-8,63.6%,34.4%,64,38-26,59.4%,650,330-320,50.8%,2:02,45.7,42.9
14,Arthur Fils[FRA],26,17-9,65.4%,65.0%,65.1%,129,6.8%,72,3.8%,9.9%,62.0%,72.7%,52.5%,58.3%,81.0%,6.2,2.2,26,38.5%,39.0%,7.3%,3.9%,30.3%,51.4%,23.6%,6.6,2.5,48.5,51.2,26,40.3%,71,176,0.58,2.6,6.8,1.06,2.7,58.3%,81,139,0.45,2.1,5.3,0.87,2.2,26,1.10,3889,51.5%,11,6-5,54.5%,16.4%,67,39-28,58.2%,607,319-288,52.6%,1:46,41.0,42.4
15,Grigor Dimitrov[BUL],22,14-8,63.6%,66.0%,65.8%,135,9.5%,65,4.6%,11.4%,59.9%,75.2%,52.3%,59.0%,81.7%,6.2,2.1,22,36.8%,37.3%,6.8%,3.2%,30.0%,49.5%,20.1%,6.4,2.4,39.0,72.1,22,34.3%,46,134,0.59,2.8,6.1,0.96,2.1,63.8%,74,116,0.50,2.4,5.3,0.88,1.9,22,1.08,2894,51.2%,9,6-3,66.7%,18.8%,48,29-19,60.4%,459,234-225,51.0%,1:36,43.9,43.7
16,Frances Tiafoe[USA],22,12-10,54.5%,63.3%,62.3%,157,8.5%,64,3.5%,8.1%,57.1%,73.8%,49.4%,53.7%,77.8%,6.5,2.4,22,38.4%,40.3%,10.1%,3.7%,30.8%,51.0%,23.9%,6.8,2.6,47.5,87.5,22,36.6%,68,186,0.65,3.3,8.5,1.19,3.1,61.6%,101,164,0.58,2.9,7.5,1.11,2.9,22,1.05,3767,50.6%,13,9-4,69.2%,22.8%,57,32-25,56.1%,568,289-279,50.9%,2:01,46.6,42.3
17,Andrey Rublev[RUS],21,11-10,52.4%,66.9%,65.4%,144,9.7%,41,2.8%,7.8%,64.2%,74.0%,54.3%,58.8%,82.7%,6.0,2.0,21,37.0%,39.2%,11.2%,3.6%,28.7%,50.7%,20.7%,6.5,2.4,49.0,58.5,21,34.7%,51,147,0.60,3.0,7.0,1.04,2.4,59.4%,63,106,0.43,2.2,5.0,0.88,2.0,21,1.12,3084,51.4%,9,6-3,66.7%,18.4%,49,25-24,51.0%,494,256-238,51.8%,1:41,43.3,41.3
18,Francisco Cerundolo[ARG],34,24-10,70.6%,64.4%,65.0%,122,5.0%,88,3.6%,9.6%,62.4%,70.0%,55.1%,61.0%,81.1%,6.4,2.3,34,41.6%,41.0%,4.2%,3.8%,34.6%,53.3%,30.9%,6.7,2.8,51.5,55.2,34,44.2%,117,265,0.70,3.3,7.8,1.44,3.4,65.4%,136,208,0.55,2.6,6.1,0.89,2.1,34,1.17,4970,52.7%,13,7-6,53.8%,16.0%,81,54-27,66.7%,760,426-334,56.1%,1:46,44.5,43.5
19,Stefanos Tsitsipas[GRE],25,16-9,64.0%,68.1%,68.5%,133,7.4%,71,4.0%,9.9%,60.2%,76.9%,54.8%,60.8%,86.0%,6.1,2.0,25,35.9%,36.5%,6.0%,2.4%,28.7%,49.7%,20.9%,6.5,2.3,42.0,56.9,25,35.7%,61,171,0.59,2.9,6.8,1.02,2.4,64.7%,75,116,0.40,1.9,4.6,0.68,1.6,25,1.12,3684,51.5%,11,5-6,45.5%,18.3%,60,35-25,58.3%,585,313-272,53.5%,1:47,44.4,43.4
20,Tomas Machac[CZE],22,15-7,68.2%,65.4%,65.8%,131,8.2%,79,5.0%,12.9%,61.5%,74.5%,50.8%,58.3%,81.5%,6.1,2.1,22,37.9%,39.2%,10.6%,4.7%,29.5%,51.9%,24.3%,6.3,2.4,54.0,80.6,22,45.3%,63,139,0.54,2.4,6.3,1.11,2.9,54.7%,58,106,0.41,1.9,4.8,0.84,2.2,22,1.09,3210,51.5%,10,7-3,70.0%,17.5%,57,37-20,64.9%,518,274-244,52.9%,1:43,39.6,42.2
