Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],6,6-0,100.0%,66.7%,67.1%,34,8.2%,19,4.6%,12.2%,62.4%,75.7%,51.9%,59.1%,89.4%,6.3,2.1,Daniil Medvedev[RUS],6,43.0%,42.8%,3.2%,2.8%,34.0%,55.4%,28.8%,7.0,3.0,42.5,69.8,Daniil Medvedev[RUS],6,45.2%,19,42,0.64,3.0,7.0,1.36,3.2,72.0%,18,25,0.38,1.8,4.2,0.50,1.2,Daniil Medvedev[RUS],6,1.29,878,54.2%,3,2-1,66.7%,21.4%,14,11-3,78.6%,132,78-54,59.1%,1:47,45.9,43.9
12,Tommy Paul[USA],6,5-1,83.3%,64.0%,64.1%,29,6.7%,17,4.0%,9.6%,58.6%,73.4%,50.6%,55.9%,79.7%,6.2,2.2,Tommy Paul[USA],6,44.8%,43.0%,2.9%,5.3%,36.4%,58.4%,40.8%,6.4,2.9,67.0,227.5,Tommy Paul[USA],6,52.7%,29,55,0.77,3.7,9.2,1.93,4.8,58.8%,20,34,0.49,2.3,5.7,0.93,2.3,Tommy Paul[USA],6,1.24,883,54.1%,3,1-2,33.3%,20.0%,15,11-4,73.3%,140,84-56,60.0%,1:50,44.1,45.0
13,Ben Shelton[USA],6,5-1,83.3%,69.0%,68.1%,52,10.5%,18,3.6%,9.4%,61.3%,76.3%,57.3%,63.2%,88.5%,6.4,2.0,Ben Shelton[USA],6,30.9%,31.8%,7.6%,2.2%,22.1%,46.1%,13.2%,5.9,1.8,31.0,96.0,Ben Shelton[USA],6,35.7%,10,28,0.37,1.9,4.7,0.67,1.7,73.5%,25,34,0.44,2.3,5.7,0.60,1.5,Ben Shelton[USA],6,1.00,942,51.0%,5,5-0,100.0%,33.3%,15,11-4,73.3%,154,79-75,51.3%,1:51,44.2,42.2
14,Arthur Fils[FRA],7,5-2,71.4%,64.0%,62.1%,54,9.4%,15,2.6%,7.0%,62.6%,70.0%,54.0%,58.0%,78.7%,6.5,2.3,Arthur Fils[FRA],7,39.5%,39.0%,4.6%,3.8%,32.2%,49.8%,24.1%,6.7,2.6,36.0,55.6,Arthur Fils[FRA],7,38.2%,21,55,0.63,2.9,7.9,1.11,3.0,56.8%,25,44,0.49,2.3,6.3,1.00,2.7,Arthur Fils[FRA],7,1.10,1158,51.6%,4,3-1,75.0%,21.1%,19,11-8,57.9%,176,91-85,51.7%,1:59,43.9,43.3
15,Grigor Dimitrov[BUL],7,5-2,71.4%,65.6%,65.0%,51,10.1%,23,4.5%,11.1%,59.1%,73.9%,53.6%,60.3%,81.5%,6.2,2.1,Grigor Dimitrov[BUL],7,38.5%,39.5%,7.3%,3.1%,30.5%,53.4%,20.7%,6.7,2.6,68.0,83.4,Grigor Dimitrov[BUL],7,35.4%,17,48,0.59,3.0,6.9,1.06,2.4,65.9%,29,44,0.54,2.8,6.3,0.94,2.1,Grigor Dimitrov[BUL],7,1.12,1054,51.5%,5,4-1,80.0%,31.3%,16,10-6,62.5%,163,83-80,50.9%,1:51,48.4,44.1
16,Frances Tiafoe[USA],8,4-4,50.0%,60.6%,59.2%,51,7.5%,20,3.0%,6.8%,56.3%,70.3%,48.0%,51.4%,76.3%,7.0,2.8,Frances Tiafoe[USA],8,39.4%,41.9%,11.4%,4.0%,31.0%,53.3%,27.7%,6.4,2.5,49.0,92.6,Frances Tiafoe[USA],8,45.6%,26,57,0.61,2.9,7.1,1.30,3.3,68.1%,49,72,0.74,3.6,9.0,1.15,2.9,Frances Tiafoe[USA],8,1.00,1281,50.6%,3,1-2,33.3%,15.0%,20,11-9,55.0%,191,100-91,52.4%,1:54,45.8,42.9
17,Andrey Rublev[RUS],6,4-2,66.7%,70.4%,69.2%,38,9.8%,10,2.6%,6.8%,62.5%,77.0%,59.6%,64.0%,88.2%,5.7,1.7,Andrey Rublev[RUS],6,38.7%,40.4%,14.6%,6.9%,27.2%,53.3%,27.7%,6.4,2.5,62.5,64.7,Andrey Rublev[RUS],6,40.9%,18,44,0.68,3.1,7.3,1.29,3.0,65.2%,15,23,0.34,1.6,3.8,0.57,1.3,Andrey Rublev[RUS],6,1.31,808,54.0%,2,1-1,50.0%,14.3%,14,10-4,71.4%,133,78-55,58.6%,1:29,38.1,39.6
18,Francisco Cerundolo[ARG],8,6-2,75.0%,61.2%,62.5%,22,3.8%,25,4.3%,10.9%,60.9%,66.0%,53.7%,60.3%,76.1%,6.6,2.6,Francisco Cerundolo[ARG],8,42.4%,41.5%,2.7%,3.6%,35.6%,51.4%,35.6%,6.7,2.9,55.0,47.8,Francisco Cerundolo[ARG],8,50.0%,31,62,0.71,3.3,7.8,1.63,3.9,61.1%,33,54,0.61,2.8,6.8,1.11,2.6,Francisco Cerundolo[ARG],8,1.09,1172,51.8%,3,2-1,66.7%,15.8%,19,14-5,73.7%,175,98-77,56.0%,1:49,46.1,44.8
19,Stefanos Tsitsipas[GRE],8,5-3,62.5%,72.2%,72.8%,33,6.2%,17,3.2%,7.7%,58.6%,80.4%,60.5%,65.5%,90.2%,5.8,1.6,Stefanos Tsitsipas[GRE],8,37.1%,38.3%,6.5%,2.1%,28.5%,53.2%,23.1%,6.4,2.4,36.5,56.8,Stefanos Tsitsipas[GRE],8,37.5%,21,56,0.62,3.1,7.0,1.17,2.6,65.4%,17,26,0.28,1.4,3.3,0.50,1.1,Stefanos Tsitsipas[GRE],8,1.33,1114,53.9%,5,1-4,20.0%,27.8%,18,11-7,61.1%,183,104-79,56.8%,1:42,45.1,43.7
20,Tomas Machac[CZE],5,3-2,60.0%,63.4%,63.2%,26,7.4%,14,4.0%,10.7%,62.6%,73.5%,46.6%,52.1%,77.2%,6.1,2.2,Tomas Machac[CZE],5,37.5%,39.6%,12.7%,4.8%,25.7%,54.5%,20.7%,6.1,2.3,54.0,51.2,Tomas Machac[CZE],5,44.4%,12,27,0.47,2.1,5.4,0.92,2.4,58.1%,18,31,0.54,2.4,6.2,1.00,2.6,Tomas Machac[CZE],5,1.02,705,50.4%,1,1-0,100.0%,7.7%,13,7-6,53.8%,115,56-59,48.7%,1:44,40.0,44.3
21,Jakub Mensik[CZE],8,5-3,62.5%,67.2%,64.6%,102,16.2%,30,4.8%,11.6%,58.8%,81.4%,47.1%,53.3%,85.0%,5.9,1.9,Jakub Mensik[CZE],8,37.1%,37.5%,4.9%,2.3%,29.8%,49.6%,22.9%,6.3,2.3,68.5,81.5,Jakub Mensik[CZE],8,39.1%,25,64,0.59,2.9,8.0,1.14,3.1,48.4%,15,31,0.29,1.4,3.9,0.73,2.0,Jakub Mensik[CZE],8,1.13,1319,51.5%,3,1-2,33.3%,13.6%,22,14-8,63.6%,216,116-100,53.7%,1:55,41.8,41.8
22,Ugo Humbert[FRA],4,3-1,75.0%,65.2%,65.4%,23,7.0%,13,4.0%,9.7%,59.1%,77.3%,47.8%,52.9%,83.9%,5.9,2.0,Ugo Humbert[FRA],4,41.6%,41.5%,7.0%,5.1%,33.0%,53.5%,30.2%,7.0,2.9,21.5,28.5,Ugo Humbert[FRA],4,34.8%,16,46,0.87,3.8,11.5,1.33,4.0,57.1%,12,21,0.38,1.8,5.3,0.75,2.3,Ugo Humbert[FRA],4,1.20,698,52.7%,0,0-0,-,0.0%,12,8-4,66.7%,109,63-46,57.8%,2:10,43.3,44.7
23,Sebastian Korda[USA],4,2-2,50.0%,64.7%,63.7%,26,8.5%,10,3.3%,9.2%,64.4%,71.6%,52.3%,57.6%,78.0%,6.1,2.2,Sebastian Korda[USA],4,36.5%,38.6%,8.7%,1.9%,28.5%,49.6%,20.4%,6.3,2.3,28.5,41.3,Sebastian Korda[USA],4,43.5%,10,23,0.47,2.3,5.8,1.00,2.5,56.0%,14,25,0.50,2.5,6.3,1.10,2.8,Sebastian Korda[USA],4,1.03,616,50.5%,3,2-1,66.7%,30.0%,10,5-5,50.0%,99,49-50,49.5%,1:48,43.3,42.2
24,Karen Khachanov[RUS],7,2-5,28.6%,65.8%,64.2%,45,8.1%,11,2.0%,5.0%,60.6%,73.7%,53.7%,56.5%,80.6%,5.9,2.0,Karen Khachanov[RUS],7,34.2%,35.2%,8.7%,3.2%,25.4%,51.2%,14.7%,6.3,2.2,15.0,50.4,Karen Khachanov[RUS],7,30.4%,14,46,0.48,2.4,6.6,0.74,2.0,60.0%,27,45,0.48,2.4,6.4,0.95,2.6,Karen Khachanov[RUS],7,1.00,1152,49.4%,3,1-2,33.3%,15.8%,19,7-12,36.8%,188,89-99,47.3%,2:03,45.2,44.7
25,Alexei Popyrin[AUS],6,2-4,33.3%,63.8%,63.4%,32,8.8%,16,4.4%,11.2%,60.8%,72.5%,50.3%,56.7%,76.9%,5.6,2.0,Alexei Popyrin[AUS],6,35.5%,37.6%,9.7%,2.5%,30.9%,41.9%,14.9%,6.6,2.4,30.5,51.7,Alexei Popyrin[AUS],6,23.8%,10,42,0.63,3.0,7.0,0.71,1.7,44.4%,12,27,0.42,1.9,4.5,1.07,2.5,Alexei Popyrin[AUS],6,0.98,810,48.3%,1,0-1,0.0%,7.1%,14,5-9,35.7%,132,60-72,45.5%,1:37,41.5,43.0
26,Alejandro Davidovich Fokina[ESP],9,7-2,77.8%,65.9%,65.8%,39,5.3%,19,2.6%,7.3%,64.3%,72.8%,53.6%,57.9%,85.3%,6.3,2.1,Alejandro Davidovich Fokina[ESP],9,39.5%,39.3%,7.0%,4.9%,28.9%,55.7%,27.4%,6.2,2.5,62.0,82.1,Alejandro Davidovich Fokina[ESP],9,52.5%,32,61,0.52,2.5,6.8,1.33,3.6,73.8%,48,65,0.56,2.7,7.2,0.71,1.9,Alejandro Davidovich Fokina[ESP],9,1.16,1460,52.7%,6,4-2,66.7%,25.0%,24,17-7,70.8%,233,131-102,56.2%,2:00,45.2,44.5
27,Felix Auger Aliassime[CAN],5,2-3,40.0%,66.5%,66.5%,39,8.4%,20,4.3%,14.3%,69.9%,72.3%,52.9%,61.7%,81.7%,6.5,2.2,Felix Auger Aliassime[CAN],5,37.5%,37.6%,6.3%,3.7%,34.2%,43.7%,17.8%,7.4,2.8,70.0,106.6,Felix Auger Aliassime[CAN],5,22.0%,13,59,0.81,4.2,11.8,0.93,2.6,67.5%,27,40,0.56,2.9,8.0,0.93,2.6,Felix Auger Aliassime[CAN],5,1.12,1003,50.9%,5,3-2,60.0%,35.7%,14,7-7,50.0%,144,71-73,49.3%,2:30,53.6,44.9
