Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],6,6-0,100.0%,74.2%,73.5%,45,8.5%,11,2.1%,5.0%,58.8%,81.8%,63.5%,66.8%,95.5%,6.0,1.5,Jannik Sinner[ITA],6,41.8%,43.0%,7.1%,3.3%,33.7%,55.3%,29.1%,6.8,2.8,16.5,20.8,Jannik Sinner[ITA],6,44.6%,25,56,0.65,2.9,9.3,1.32,4.2,81.8%,18,22,0.25,1.2,3.7,0.21,0.7,Jannik Sinner[ITA],6,1.62,1113,57.3%,4,4-0,100.0%,21.1%,19,18-1,94.7%,175,110-65,62.9%,2:30,47.4,48.5
2,Alexander Zverev[GER],17,11-6,64.7%,68.2%,67.3%,125,9.3%,44,3.3%,10.7%,69.3%,73.7%,55.6%,62.2%,85.3%,6.0,1.9,Alexander Zverev[GER],17,37.5%,38.0%,5.5%,2.5%,30.4%,50.8%,22.1%,6.5,2.4,29.0,26.9,Alexander Zverev[GER],17,41.0%,50,122,0.54,2.6,7.2,1.06,2.9,62.9%,56,89,0.40,1.9,5.2,0.70,1.9,Alexander Zverev[GER],17,1.18,2814,52.1%,11,6-5,54.5%,23.4%,47,28-19,59.6%,451,242-209,53.7%,2:13,48.1,48.2
3,Carlos Alcaraz[ESP],18,14-4,77.8%,65.7%,66.8%,72,5.4%,57,4.3%,12.8%,66.3%,72.5%,52.2%,59.9%,83.7%,6.2,2.1,Carlos Alcaraz[ESP],18,43.2%,42.3%,3.5%,4.1%,36.2%,55.3%,33.2%,6.9,3.0,17.0,20.4,Carlos Alcaraz[ESP],18,41.5%,71,171,0.80,3.6,9.5,1.51,3.9,65.7%,67,102,0.47,2.2,5.7,0.74,1.9,Carlos Alcaraz[ESP],18,1.26,2798,53.8%,5,2-3,40.0%,10.6%,47,32-15,68.1%,429,251-178,58.5%,1:54,43.7,44.1
4,Taylor Fritz[USA],11,7-4,63.6%,70.7%,67.4%,119,13.8%,15,1.7%,5.3%,67.4%,77.8%,55.9%,59.0%,87.9%,5.8,1.7,Taylor Fritz[USA],11,33.4%,36.4%,12.8%,2.7%,26.0%,48.2%,15.3%,6.2,2.1,29.0,28.4,Taylor Fritz[USA],11,39.7%,23,58,0.39,2.1,5.3,0.82,2.1,62.5%,30,48,0.32,1.7,4.4,0.64,1.6,Taylor Fritz[USA],11,1.14,1800,51.3%,5,2-3,40.0%,17.9%,28,15-13,53.6%,299,154-145,51.5%,1:58,46.5,43.4
5,Jack Draper[GBR],18,14-4,77.8%,66.5%,65.0%,120,9.4%,36,2.8%,7.5%,62.5%,73.8%,54.2%,58.6%,84.6%,6.1,2.1,Jack Draper[GBR],18,39.7%,40.6%,5.9%,2.6%,32.6%,52.4%,26.3%,6.7,2.6,20.0,22.9,Jack Draper[GBR],18,40.4%,55,136,0.65,3.1,7.6,1.25,3.1,63.2%,55,87,0.42,2.0,4.8,0.73,1.8,Jack Draper[GBR],18,1.18,2669,52.5%,5,5-0,100.0%,11.4%,44,31-13,70.5%,417,231-186,55.4%,1:48,44.3,43.8
6,Novak Djokovic[SRB],10,6-4,60.0%,67.4%,66.2%,61,8.9%,18,2.6%,7.6%,65.4%,75.4%,52.3%,56.6%,84.8%,6.1,2.0,Novak Djokovic[SRB],10,37.9%,39.4%,9.1%,3.4%,28.5%,55.5%,24.8%,6.5,2.5,25.0,22.6,Novak Djokovic[SRB],10,37.0%,27,73,0.67,3.2,7.3,1.17,2.7,60.5%,26,43,0.38,1.9,4.3,0.74,1.7,Novak Djokovic[SRB],10,1.16,1392,52.4%,4,2-2,50.0%,17.4%,23,15-8,65.2%,221,122-99,55.2%,1:52,48.5,48.1
7,Casper Ruud[NOR],16,11-5,68.8%,63.8%,64.0%,75,6.4%,45,3.8%,11.0%,65.4%,71.4%,49.5%,55.6%,82.5%,6.7,2.4,Casper Ruud[NOR],16,36.4%,36.9%,7.0%,3.4%,28.7%,49.5%,18.5%,6.5,2.4,24.5,27.3,Casper Ruud[NOR],16,32.3%,32,99,0.57,2.5,6.2,0.82,2.0,72.6%,82,113,0.64,2.9,7.1,0.79,1.9,Casper Ruud[NOR],16,1.01,2311,50.4%,3,2-1,66.7%,7.7%,39,25-14,64.1%,350,178-172,50.9%,1:45,43.0,43.6
8,Alex De Minaur[AUS],19,11-8,57.9%,64.0%,64.8%,55,4.2%,45,3.4%,7.5%,54.8%,72.1%,54.3%,58.7%,78.7%,6.3,2.3,Alex De Minaur[AUS],19,40.9%,41.1%,5.3%,3.3%,33.7%,52.3%,30.5%,6.3,2.6,22.0,23.6,Alex De Minaur[AUS],19,49.6%,64,129,0.61,2.8,6.8,1.39,3.4,53.1%,51,96,0.45,2.1,5.1,0.98,2.4,Alex De Minaur[AUS],19,1.14,2646,52.5%,6,3-3,50.0%,13.0%,46,27-19,58.7%,421,230-191,54.6%,1:46,44.0,45.9
9,Lorenzo Musetti[ITA],13,8-5,61.5%,62.0%,62.0%,35,3.2%,22,2.0%,6.0%,66.7%,65.8%,54.4%,57.9%,74.3%,6.4,2.4,Lorenzo Musetti[ITA],13,39.0%,37.8%,4.5%,4.7%,29.5%,54.3%,25.3%,6.9,2.7,18.5,18.5,Lorenzo Musetti[ITA],13,33.3%,43,129,0.76,3.6,9.9,1.19,3.3,56.9%,58,102,0.60,2.8,7.8,1.22,3.4,Lorenzo Musetti[ITA],13,1.03,2273,50.1%,7,4-3,57.1%,19.4%,36,20-16,55.6%,341,170-171,49.9%,2:15,48.6,46.2
10,Holger Rune[DEN],20,12-8,60.0%,63.4%,63.7%,54,3.9%,39,2.8%,7.6%,62.8%,69.0%,53.9%,58.4%,78.4%,6.2,2.3,Holger Rune[DEN],20,37.9%,39.4%,7.3%,2.3%,31.1%,49.6%,22.0%,6.4,2.4,34.0,28.7,Holger Rune[DEN],20,38.3%,49,128,0.57,2.7,6.4,1.02,2.5,52.9%,54,102,0.46,2.1,5.1,1.00,2.4,Holger Rune[DEN],20,1.04,2788,50.4%,6,5-1,83.3%,12.5%,48,27-21,56.3%,445,223-222,50.1%,1:45,43.8,45.3
