Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],1,1-0,100.0%,69.7%,66.7%,8,9.0%,0,0.0%,0.0%,57.3%,74.5%,63.2%,63.2%,85.7%,6.4,1.9,Jannik Sinner[ITA],1,47.5%,47.6%,5.9%,5.1%,42.9%,54.2%,42.9%,8.4,4.0,20.0,20.0,Jannik Sinner[ITA],1,46.2%,6,13,0.93,4.3,13.0,2.00,6.0,71.4%,5,7,0.50,2.3,7.0,0.67,2.0,Jannik Sinner[ITA],1,1.56,207,57.0%,1,1-0,100.0%,33.3%,3,3-0,100.0%,28,18-10,64.3%,2:36,52.0,45.2
2,Alexander Zverev[GER],4,3-1,75.0%,71.7%,69.9%,40,16.4%,11,4.5%,15.7%,71.3%,82.2%,45.7%,54.2%,88.6%,5.5,1.6,Alexander Zverev[GER],4,38.9%,41.0%,9.1%,2.6%,29.2%,58.6%,26.7%,5.9,2.3,49.0,55.3,Alexander Zverev[GER],4,44.4%,12,27,0.60,2.7,6.8,1.20,3.0,61.5%,8,13,0.30,1.3,3.3,0.50,1.3,Alexander Zverev[GER],4,1.37,509,54.6%,0,0-0,-,0.0%,10,7-3,70.0%,89,51-38,57.3%,1:33,37.2,43.9
3,Carlos Alcaraz[ESP],4,3-1,75.0%,67.1%,68.6%,25,9.9%,17,6.7%,18.5%,63.5%,75.6%,52.2%,64.0%,85.7%,6.0,2.0,Carlos Alcaraz[ESP],4,46.3%,45.2%,4.7%,5.8%,37.7%,58.5%,43.9%,6.3,2.9,23.0,31.3,Carlos Alcaraz[ESP],4,46.2%,18,39,0.95,3.9,9.8,1.80,4.5,50.0%,6,12,0.29,1.2,3.0,0.60,1.5,Carlos Alcaraz[ESP],4,1.41,509,56.6%,0,0-0,-,0.0%,10,8-2,80.0%,83,54-29,65.1%,1:31,36.3,42.8
4,Taylor Fritz[USA],5,3-2,60.0%,69.3%,66.9%,41,12.0%,8,2.3%,6.8%,65.5%,80.8%,47.5%,50.9%,86.7%,5.7,1.8,Taylor Fritz[USA],5,37.4%,36.5%,9.5%,7.0%,29.7%,48.3%,23.7%,6.1,2.3,31.0,68.8,Taylor Fritz[USA],5,50.0%,14,28,0.47,2.3,5.6,1.17,2.8,65.2%,15,23,0.38,1.9,4.6,0.67,1.6,Taylor Fritz[USA],5,1.22,700,53.0%,1,0-1,0.0%,8.3%,12,7-5,58.3%,119,66-53,55.5%,1:38,40.8,41.9
5,Jack Draper[GBR],1,1-0,100.0%,69.1%,68.8%,3,4.4%,1,1.5%,5.3%,72.1%,67.3%,73.7%,77.8%,90.9%,6.2,1.9,Jack Draper[GBR],1,41.3%,38.8%,4.0%,6.7%,33.3%,51.5%,27.3%,6.8,2.8,12.0,12.0,Jack Draper[GBR],1,60.0%,3,5,0.45,2.5,5.0,1.50,3.0,0.0%,0,1,0.09,0.5,1.0,0.50,1.0,Jack Draper[GBR],1,1.34,143,54.5%,0,0-0,-,0.0%,2,2-0,100.0%,22,13-9,59.1%,1:39,49.5,41.5
6,Novak Djokovic[SRB],1,0-1,0.0%,55.4%,54.9%,3,5.4%,2,3.6%,7.7%,53.6%,66.7%,42.3%,45.8%,66.7%,6.2,2.8,Novak Djokovic[SRB],1,30.5%,29.1%,3.4%,3.4%,18.9%,50.0%,10.0%,5.9,1.8,32.0,32.0,Novak Djokovic[SRB],1,33.3%,1,3,0.30,1.5,3.0,0.50,1.0,62.5%,5,8,0.89,4.0,8.0,1.50,3.0,Novak Djokovic[SRB],1,0.68,115,42.6%,0,0-0,-,0.0%,2,0-2,0.0%,19,7-12,36.8%,1:27,43.5,45.4
7,Casper Ruud[NOR],4,3-1,75.0%,69.3%,68.8%,29,10.4%,11,3.9%,12.2%,67.9%,75.8%,55.6%,63.3%,89.1%,6.1,1.9,Casper Ruud[NOR],4,35.3%,37.3%,8.7%,1.9%,30.6%,46.2%,13.3%,6.9,2.4,54.0,102.8,Casper Ruud[NOR],4,27.3%,6,22,0.49,2.4,5.5,0.67,1.5,68.8%,11,16,0.35,1.8,4.0,0.56,1.3,Casper Ruud[NOR],4,1.15,589,51.4%,2,1-1,50.0%,22.2%,9,6-3,66.7%,91,47-44,51.6%,1:46,47.1,43.2
8,Alex De Minaur[AUS],2,2-0,100.0%,75.5%,75.7%,2,1.9%,1,0.9%,1.9%,49.1%,78.8%,72.2%,73.6%,100.0%,5.9,1.4,Alex De Minaur[AUS],2,40.9%,39.2%,5.5%,6.4%,30.8%,55.6%,33.3%,6.1,2.5,61.0,61.0,Alex De Minaur[AUS],2,85.7%,6,7,0.39,1.8,3.5,1.50,3.0,100.0%,1,1,0.06,0.3,0.5,0.00,0.0,Alex De Minaur[AUS],2,1.67,216,57.9%,1,1-0,100.0%,25.0%,4,4-0,100.0%,36,24-12,66.7%,1:18,39.0,43.3
9,Lorenzo Musetti[ITA],4,2-2,50.0%,68.3%,69.6%,10,2.8%,11,3.1%,9.2%,66.4%,73.8%,57.5%,63.3%,89.1%,6.5,2.1,Lorenzo Musetti[ITA],4,35.1%,32.9%,5.4%,6.0%,25.8%,52.9%,16.4%,6.4,2.2,38.0,37.0,Lorenzo Musetti[ITA],4,37.5%,9,24,0.44,2.2,6.0,0.82,2.3,71.4%,15,21,0.38,1.9,5.3,0.55,1.5,Lorenzo Musetti[ITA],4,1.11,707,51.9%,4,2-2,50.0%,36.4%,11,6-5,54.5%,110,58-52,52.7%,2:15,49.1,45.8
10,Holger Rune[DEN],4,3-1,75.0%,62.9%,64.2%,13,4.6%,13,4.6%,11.6%,60.4%,70.2%,51.8%,58.6%,77.8%,6.3,2.3,Holger Rune[DEN],4,40.2%,41.5%,8.2%,3.6%,32.1%,51.7%,26.7%,6.2,2.5,49.0,86.5,Holger Rune[DEN],4,42.9%,12,28,0.62,3.1,7.0,1.33,3.0,61.5%,16,26,0.58,2.9,6.5,1.11,2.5,Holger Rune[DEN],4,1.08,564,51.6%,0,0-0,-,0.0%,9,6-3,66.7%,90,47-43,52.2%,1:48,47.8,45.7
