Player,Rk,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,TB/S,S W%,G W%
Jannik Sinner[ITA],-1.703845078222079,2.2875951034682367,2.692860088092377,1.8904265227963257,1.9981602645125447,0.39706440655823855,-0.7623232103462383,-0.8413087585292147,-0.45924934014900054,1.5478384172120734,2.0581696299930625,1.6130872392921531,1.804710166432547,1.425621144527323,-0.7260308179821726,-0.5681343145307327,1.1029444994256115,1.692910449453713,1.3682932485008792,0.48240332296893573,2.9979295282694776,1.8571391513126114,1.8114875383698337,1.5656125640902474,1.9709623275219041,1.6985837846729255,1.868716193418328,-1.5149369430686497,-1.6295028392444093,-1.7446209137822315,-1.8432760413791993,-1.9208917290161596,2.198113085912448,1.6705814775463572,-1.024443054411166,3.0768654943434965,2.1458206929438823
Alexander Zverev[GER],-1.6693571079207121,1.986034630441132,1.5052278143158815,1.6324041527271607,1.6326308628572206,0.6598276167806018,-0.5696338541991466,-0.10466754012362306,2.3342535426883737,0.8413328857594355,1.3004203054511736,1.3187626132317811,1.519982984796178,0.35015256181373017,-0.5635968044675169,-1.0224582009486847,0.3441761662702715,0.4475852133992064,0.14554519424509332,0.13532535077471625,2.1572365061621026,0.20325510951397383,0.5675296218476602,0.7971661394748063,0.537495291899896,0.8577848112598272,1.3231588955390472,-1.3606378099783245,-1.2521442869983357,-1.1067640265520433,-1.4652482430624485,-1.3933791598827343,1.205895342408288,0.4385282431566083,0.29602791333382944,1.5884775993797753,1.0634414807083346
Carlos Alcaraz[ESP],-1.6348691376193452,0.8551828565894904,1.7112456577260902,1.7184116094168804,2.0978501013276376,-0.3649489030866156,-0.7623232103462383,-0.7185352221282827,0.595440523779397,0.9422622473955239,2.184461184083377,1.8338307088374322,1.3143466869476885,1.2005230690756417,-1.253941361904803,-0.2955399826799612,1.4823286660032815,0.8325039227251456,1.0765010991898398,0.27415653965240405,1.2051263365465215,1.5814918110128382,1.604161218949472,1.1045447093209828,1.580016772352266,1.1941044006250667,0.11408596510388407,-1.6692360761589753,-2.0068613914904834,-2.028112863662315,-1.3621497526124253,-1.5252573021660907,1.6821598592902849,0.23238704051552111,-0.5116387950927214,1.9174031010292165,1.5659746863891246
Taylor Fritz[USA],-1.6003811673179782,1.232133447873371,1.0023019024615494,1.1736977170486365,0.8351121683365016,0.9488671480252014,-0.5696338541991466,-0.620316393007537,-0.25971341994633074,1.0179592686225951,1.1488704405427959,0.828221569797828,1.1561649193719272,0.125054486362046,-0.4417712943315252,0.5222430128723528,-0.13005404195181602,0.3117315512841691,0.1316503299921863,0.12144223188694747,1.235512831321487,0.20325510951397383,0.36020330242729764,0.48978756962863057,0.3637417118245008,0.5214652218945883,0.969283891509245,-0.9748899772525106,-0.8747857347522622,-0.8232720766719595,-1.1215866082290384,-0.9977447330326653,0.8486969547467904,0.7789009265872392,-0.7295806053030603,1.2019901349416824,0.8508312783049233
Jack Draper[GBR],-1.5658931970166112,1.0059630931030428,1.0023019024615494,0.3709614546112242,0.43635282107614765,0.39706440655823855,0.458042711918675,0.16543423995842713,-1.2858981524172042,1.0179592686225951,-0.08878678954228635,-0.005698204039889796,0.5076196723113076,0.9254031990791404,-0.522988301088853,0.34051345830517177,1.0318099681922983,0.37965838234168775,1.0209216421782124,1.0932605540307614,1.1848686733632112,0.6626673433469283,0.7748559412680218,0.7971661394748063,1.6234551673711148,1.6985837846729255,0.24678909161506213,-0.5119925779815343,-0.4974271825061881,-0.5397801267918763,-0.5373618290122415,-0.47023216389924033,0.9280743742271232,0.07418565244212957,-1.1526441192407773,1.2102132724829184,1.0247850802713527
Novak Djokovic[SRB],-1.5314052267152443,-0.3510590355189272,1.577939994343014,1.2597051737383622,1.5661709716471572,0.23940648042482035,0.07266399962449231,0.04266070355749507,-0.20270315703128222,1.0936562898496633,1.1993870621789247,1.2942355610600835,1.140346742614351,1.0254467881687759,0.16735625634843304,-0.4772695372471422,0.5338682495591065,1.6702681724345427,0.812498678384613,-0.07292143254181545,0.1618566826060444,1.5814918110128382,1.3968348995291096,1.8729911339364225,0.9718792420883829,1.5304239899903056,0.49745055280283984,-1.2834882434331618,-1.4408235631213728,-1.177637014022064,-1.2590512621624024,-0.9977447330326653,1.5234050203296192,0.7261671305627752,-0.3321573043312655,1.6707089747921355,1.3340362837672215
Casper Ruud[NOR],-1.4969172564138773,1.3075235661301472,0.6266223056546982,0.8583370425196561,1.0012618963616506,-0.12846201388648837,-0.5696338541991466,-0.35021461292548683,1.023017495642261,0.43761543921507107,0.7699957782718515,0.5829510480808514,0.9505286215234375,-0.2000871781792736,0.695266800271064,-0.11381042811278017,-0.4857266981183803,0.13059333513078591,-0.021193176789787143,0.16309158855025305,0.8810037256135578,-0.07239223078579944,-0.26177565583379003,-0.27865885498680987,-0.07064223836398657,-0.1511739568358908,0.18780992427675985,-1.1291891103428362,-1.4408235631213728,-1.3902559764321265,-1.0528542812623565,-0.9977447330326653,0.4518098573451263,-0.04086990252033713,-0.2295964524675764,0.5523622691840356,0.5802364752460385
Alex De Minaur[AUS],-1.4624292861125103,1.4583038026436994,1.0023019024615494,0.08426993231215162,0.33666298426105457,-0.49633050819779706,-0.055795571140235554,-0.4484334420462325,-2.28357775343055,0.1600596947158205,0.8962873323621663,0.681059256767642,0.2703470209476656,1.1505012745308218,-0.9290733348754916,-0.20467520539637069,0.7235603328479415,1.2853494631086035,1.0487113706840263,0.9683124840408422,1.6913102529459672,0.8464322368801105,0.7748559412680218,0.8740107819363507,1.5365783773334172,1.6985837846729255,-0.16606507975304236,-0.5119925779815343,-0.6861064586292251,-0.5397801267918763,-0.3655310115955363,-0.33835402161588396,0.8090082450066239,0.7261671305627752,-1.4859668877977663,1.0704199342819058,0.8508312783049233
Lorenzo Musetti[ITA],-1.4279413158111434,0.553622383562386,-0.1004994946166258,-0.4891131122859999,-0.3279359278395378,-1.1269622127314693,-0.6980934249638744,-0.6694258075679098,0.25337894628910596,-0.9249309428721563,0.23957125109253216,-0.15286051707007578,-0.8369253520826636,0.1500653836344552,-0.19812027405954225,0.34051345830517177,-0.2486115940073366,0.6966502606101083,-0.03508804104269343,-0.7948436147057912,0.8911325572052129,0.8464322368801105,0.9821822606883843,1.1045447093209828,0.10311134171140811,0.1851456325293488,-1.2571796755116043,0.1823535209249304,0.2572899219859591,0.4524416977884167,0.9747493642547622,1.1123055435010354,-0.3419643374582018,0.34264861402121916,-0.024474748740198594,-0.21238952215091422,-0.5407991374264921
Holger Rune[DEN],-1.3934533455097764,1.5336939209004754,1.04471734081071,0.7149912813701184,0.9348020051515947,0.10802487531363891,0.07266399962449231,-0.0555581255632499,-0.6872903918091946,0.46284777962409385,1.2246453729969877,1.269708508888386,0.7448923236749495,-0.1000435890896368,-0.11690326730221383,-0.022945650829189652,-0.3434576356517541,0.26644699724582327,-0.11845722656013348,-0.07292143254181545,1.1038380206299703,-0.07239223078579944,0.15287698300693509,-0.20181421252526607,0.016234551673711014,-0.1511739568358908,0.24678909161506213,-0.8205908441621854,-0.8747857347522622,-1.0358910390820222,-0.7091926464289466,-0.8658665907493093,0.4121211476049599,0.5535837981190748,-0.38343773026311,0.8319489455860608,0.38695447306111924
