Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],9,9-0,100.0%,73.5%,71.9%,84,12.2%,17,2.5%,6.5%,61.9%,80.4%,62.4%,66.7%,97.5%,5.9,1.6,1,Jannik Sinner[ITA],9,41.4%,43.0%,6.8%,2.4%,28.6%,60.6%,29.8%,6.6,2.7,52.0,53.8,1,Jannik Sinner[ITA],9,42.0%,34,81,0.71,3.2,9.0,1.36,3.8,90.6%,29,32,0.27,1.3,3.6,0.12,0.3,1,Jannik Sinner[ITA],9,1.56,1444,56.8%,2,0-2,0.0%,8.0%,25,22-3,88.0%,232,149-83,64.2%,1:46,38.1,39.6
2,Alexander Zverev[GER],18,17-1,94.4%,70.4%,69.2%,154,10.9%,44,3.1%,10.0%,68.9%,76.7%,56.4%,62.6%,88.6%,6.0,1.8,2,Alexander Zverev[GER],18,39.5%,40.6%,5.8%,2.1%,31.9%,54.2%,26.9%,6.5,2.6,39.0,85.5,2,Alexander Zverev[GER],18,43.4%,63,145,0.62,3.0,8.1,1.31,3.5,64.5%,49,76,0.32,1.6,4.2,0.56,1.5,2,Alexander Zverev[GER],18,1.33,2931,54.4%,10,8-2,80.0%,20.8%,48,39-9,81.3%,471,273-198,58.0%,1:48,40.5,39.8
3,Carlos Alcaraz[ESP],14,13-1,92.9%,68.3%,68.4%,74,6.7%,36,3.3%,9.0%,63.7%,73.2%,59.5%,65.5%,89.8%,6.2,2.0,3,Carlos Alcaraz[ESP],14,41.3%,40.1%,5.4%,5.5%,32.4%,54.8%,29.1%,6.8,2.8,35.0,92.1,3,Carlos Alcaraz[ESP],14,46.3%,50,108,0.63,2.9,7.7,1.35,3.6,74.3%,52,70,0.40,1.9,5.0,0.49,1.3,3,Carlos Alcaraz[ESP],14,1.30,2263,54.4%,8,6-2,75.0%,21.6%,37,30-7,81.1%,348,208-140,59.8%,1:43,39.1,38.4
4,Taylor Fritz[USA],14,10-4,71.4%,71.1%,68.9%,157,13.0%,33,2.7%,7.5%,63.5%,79.3%,56.8%,61.4%,92.9%,6.1,1.8,4,Taylor Fritz[USA],14,34.1%,35.6%,9.5%,3.0%,28.7%,43.6%,18.8%,6.0,2.1,36.0,68.1,4,Taylor Fritz[USA],14,40.4%,36,89,0.47,2.3,6.4,0.92,2.6,78.1%,50,64,0.32,1.6,4.6,0.36,1.0,4,Taylor Fritz[USA],14,1.18,2358,53.0%,6,1-5,16.7%,15.4%,39,25-14,64.1%,388,219-169,56.4%,1:32,33.0,32.7
5,Jack Draper[GBR],14,12-2,85.7%,71.6%,70.3%,131,13.0%,37,3.7%,9.9%,63.0%,80.8%,55.9%,62.1%,88.2%,5.9,1.7,5,Jack Draper[GBR],14,37.1%,37.6%,8.0%,4.0%,28.6%,50.7%,20.2%,6.8,2.5,44.5,112.9,5,Jack Draper[GBR],14,34.0%,35,103,0.60,3.0,7.4,1.03,2.5,62.3%,33,53,0.31,1.6,3.8,0.59,1.4,5,Jack Draper[GBR],14,1.31,2175,53.1%,10,9-1,90.0%,29.4%,34,26-8,76.5%,343,185-158,53.9%,1:39,40.7,38.2
6,Novak Djokovic[SRB],10,7-3,70.0%,68.6%,67.5%,91,11.7%,31,4.0%,11.2%,64.5%,78.0%,51.6%,58.1%,84.8%,5.9,1.9,6,Novak Djokovic[SRB],10,40.5%,42.1%,8.0%,3.1%,32.2%,55.5%,27.9%,6.6,2.7,33.5,52.6,6,Novak Djokovic[SRB],10,38.7%,36,93,0.72,3.3,9.3,1.29,3.6,50.0%,20,40,0.30,1.4,4.0,0.71,2.0,6,Novak Djokovic[SRB],10,1.29,1626,54.0%,4,2-2,50.0%,14.3%,28,18-10,64.3%,261,148-113,56.7%,1:35,33.9,35.0
7,Casper Ruud[NOR],14,10-4,71.4%,67.3%,67.2%,85,7.9%,41,3.8%,11.8%,67.6%,73.2%,54.8%,62.1%,85.2%,6.1,2.0,7,Casper Ruud[NOR],14,38.4%,40.0%,8.5%,3.0%,31.7%,49.9%,26.4%,6.3,2.4,48.5,62.8,7,Casper Ruud[NOR],14,41.1%,46,112,0.64,2.9,8.0,1.21,3.3,69.0%,58,84,0.48,2.2,6.0,0.68,1.9,7,Casper Ruud[NOR],14,1.17,2176,52.6%,5,1-4,20.0%,13.2%,38,24-14,63.2%,350,196-154,56.0%,1:37,35.7,37.4
8,Alex De Minaur[AUS],14,12-2,85.7%,65.4%,66.5%,56,4.9%,47,4.1%,8.8%,53.4%,74.2%,55.4%,60.8%,84.4%,6.4,2.2,8,Alex De Minaur[AUS],14,42.1%,42.0%,5.3%,4.0%,33.6%,53.4%,33.3%,6.4,2.7,46.0,72.4,8,Alex De Minaur[AUS],14,56.1%,60,107,0.59,2.7,7.6,1.54,4.3,61.6%,45,73,0.41,1.9,5.2,0.72,2.0,8,Alex De Minaur[AUS],14,1.22,2306,53.7%,4,3-1,75.0%,10.3%,39,29-10,74.4%,360,212-148,58.9%,1:52,40.2,40.7
9,Lorenzo Musetti[ITA],14,9-5,64.3%,65.1%,65.1%,51,3.9%,27,2.0%,5.7%,64.0%,70.5%,55.5%,58.8%,81.7%,6.4,2.2,9,Lorenzo Musetti[ITA],14,36.3%,36.9%,7.1%,3.3%,27.2%,53.3%,19.4%,6.6,2.4,27.0,38.4,9,Lorenzo Musetti[ITA],14,33.1%,39,118,0.59,2.8,8.4,0.93,2.8,58.7%,54,92,0.44,2.2,6.6,0.90,2.7,9,Lorenzo Musetti[ITA],14,1.04,2653,50.7%,10,6-4,60.0%,23.8%,42,24-18,57.1%,409,209-200,51.1%,1:57,39.0,37.0
10,Holger Rune[DEN],16,14-2,87.5%,68.1%,67.9%,103,7.8%,45,3.4%,8.5%,59.8%,76.0%,56.4%,61.6%,88.0%,6.1,1.9,10,Holger Rune[DEN],16,37.6%,37.9%,7.7%,4.2%,29.1%,51.4%,23.0%,6.5,2.5,41.0,114.4,10,Holger Rune[DEN],16,38.6%,49,127,0.60,3.0,7.9,1.17,3.1,59.4%,38,64,0.29,1.5,4.0,0.62,1.6,10,Holger Rune[DEN],16,1.18,2713,52.5%,9,6-3,66.7%,21.4%,42,32-10,76.2%,430,240-190,55.8%,1:50,41.8,38.8
