Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],10,3-7,30.0%,60.1%,60.7%,57,7.4%,44,5.7%,15.5%,63.3%,69.9%,43.1%,51.0%,70.8%,6.4,2.6,11,Daniil Medvedev[RUS],10,31.6%,33.1%,8.1%,1.7%,24.9%,42.0%,15.6%,5.8,1.8,3.0,4.4,11,Daniil Medvedev[RUS],10,51.4%,19,37,0.30,1.4,3.7,0.73,1.9,52.7%,39,74,0.62,2.8,7.4,1.35,3.5,11,Daniil Medvedev[RUS],10,0.79,1475,46.5%,3,2-1,66.7%,11.5%,26,8-18,30.8%,242,104-138,43.0%,1:49,41.8,44.3
12,Tommy Paul[USA],7,1-6,14.3%,57.0%,56.3%,27,4.5%,13,2.1%,5.8%,63.1%,62.0%,48.4%,51.4%,66.3%,6.8,2.9,12,Tommy Paul[USA],7,34.9%,35.5%,7.6%,3.3%,28.5%,45.3%,18.7%,6.4,2.2,3.0,4.4,12,Tommy Paul[USA],7,39.5%,17,43,0.47,2.3,6.1,0.89,2.4,57.7%,41,71,0.80,3.7,10.1,1.58,4.3,12,Tommy Paul[USA],7,0.81,1186,46.2%,5,0-5,0.0%,26.3%,19,4-15,21.1%,180,76-104,42.2%,1:53,41.5,39.9
13,Ben Shelton[USA],7,1-6,14.3%,64.2%,62.7%,63,10.3%,23,3.8%,11.8%,68.1%,70.3%,51.3%,58.1%,81.7%,6.6,2.4,13,Ben Shelton[USA],7,24.1%,23.9%,9.1%,3.0%,18.3%,36.3%,6.5%,5.7,1.4,3.0,2.9,13,Ben Shelton[USA],7,22.2%,6,27,0.29,1.5,3.9,0.33,0.9,65.3%,32,49,0.53,2.7,7.0,0.94,2.4,13,Ben Shelton[USA],7,0.67,1140,45.6%,5,0-5,0.0%,27.8%,18,3-15,16.7%,185,82-103,44.3%,1:59,46.2,43.7
14,Arthur Fils[FRA],11,5-6,45.5%,62.5%,63.9%,53,5.0%,53,5.0%,13.0%,61.8%,72.2%,46.7%,53.7%,79.2%,6.7,2.5,14,Arthur Fils[FRA],11,34.5%,35.3%,8.2%,3.2%,28.6%,44.7%,17.4%,6.2,2.1,4.0,5.1,14,Arthur Fils[FRA],11,38.4%,28,73,0.45,2.3,6.6,0.88,2.5,68.6%,72,105,0.66,3.3,9.5,1.03,3.0,14,Arthur Fils[FRA],11,0.92,2067,48.9%,4,3-1,75.0%,12.5%,32,15-17,46.9%,320,154-166,48.1%,2:20,48.2,44.8
15,Grigor Dimitrov[BUL],7,2-5,28.6%,58.1%,58.9%,31,5.6%,29,5.2%,12.7%,58.8%,69.1%,42.4%,48.5%,66.7%,6.9,2.9,15,Grigor Dimitrov[BUL],7,30.5%,32.9%,13.8%,3.1%,23.0%,43.4%,10.0%,6.0,1.8,5.0,5.6,15,Grigor Dimitrov[BUL],7,29.6%,8,27,0.34,1.5,3.9,0.44,1.1,59.1%,39,66,0.81,3.7,9.4,1.50,3.9,15,Grigor Dimitrov[BUL],7,0.73,1035,45.3%,4,3-1,75.0%,22.2%,18,6-12,33.3%,161,62-99,38.5%,1:04,24.8,25.9
16,Frances Tiafoe[USA],5,3-2,60.0%,67.3%,67.9%,30,7.0%,18,4.2%,9.6%,56.4%,76.5%,55.3%,61.2%,86.6%,6.4,2.1,16,Frances Tiafoe[USA],5,35.2%,35.7%,10.5%,5.0%,25.9%,47.7%,18.8%,6.6,2.3,7.0,5.6,16,Frances Tiafoe[USA],5,36.1%,13,36,0.52,2.6,7.2,0.93,2.6,60.9%,14,23,0.34,1.6,4.6,0.64,1.8,16,Frances Tiafoe[USA],5,1.07,889,50.7%,4,1-3,25.0%,28.6%,14,8-6,57.1%,136,71-65,52.2%,2:11,46.7,44.1
17,Andrey Rublev[RUS],7,2-5,28.6%,64.1%,63.0%,57,9.1%,23,3.7%,9.9%,62.8%,72.5%,49.8%,55.2%,80.0%,6.3,2.3,17,Andrey Rublev[RUS],7,34.4%,35.8%,11.6%,4.3%,22.5%,53.0%,16.8%,6.4,2.2,3.0,4.4,17,Andrey Rublev[RUS],7,34.7%,17,49,0.49,2.3,7.0,0.81,2.4,61.5%,32,52,0.52,2.5,7.4,0.95,2.9,17,Andrey Rublev[RUS],7,0.96,1274,49.0%,3,1-2,33.3%,14.3%,21,8-13,38.1%,201,97-104,48.3%,2:09,43.0,42.5
18,Francisco Cerundolo[ARG],13,7-6,53.8%,60.4%,61.7%,42,3.9%,48,4.5%,11.6%,61.4%,66.0%,51.7%,58.5%,74.8%,7.1,2.8,18,Francisco Cerundolo[ARG],13,37.9%,36.9%,4.2%,4.0%,30.3%,51.0%,24.0%,7.1,2.7,6.0,5.5,18,Francisco Cerundolo[ARG],13,36.6%,37,101,0.66,3.1,7.8,1.12,2.8,60.0%,57,95,0.63,2.9,7.3,1.15,2.9,18,Francisco Cerundolo[ARG],13,0.96,2160,49.1%,5,3-2,60.0%,15.2%,33,18-15,54.5%,305,150-155,49.2%,1:39,38.8,35.6
19,Stefanos Tsitsipas[GRE],4,0-4,0.0%,60.2%,61.3%,12,3.7%,13,4.0%,10.1%,59.9%,66.8%,50.4%,56.0%,76.6%,6.9,2.7,19,Stefanos Tsitsipas[GRE],4,28.1%,29.2%,9.7%,2.4%,25.6%,34.1%,8.3%,6.0,1.7,3.0,3.3,19,Stefanos Tsitsipas[GRE],4,40.0%,4,10,0.21,1.1,2.5,0.44,1.0,63.3%,19,30,0.64,3.3,7.5,1.22,2.8,19,Stefanos Tsitsipas[GRE],4,0.71,610,45.1%,3,0-3,0.0%,33.3%,9,0-9,0.0%,95,40-55,42.1%,0:53,23.4,20.8
20,Tomas Machac[CZE],12,3-9,25.0%,59.0%,59.2%,55,5.3%,42,4.0%,11.2%,63.9%,64.4%,49.5%,55.7%,74.0%,6.8,2.8,20,Tomas Machac[CZE],12,35.1%,36.4%,9.3%,3.3%,26.9%,49.9%,17.9%,6.5,2.3,4.5,4.9,20,Tomas Machac[CZE],12,37.8%,28,74,0.47,2.4,6.2,0.90,2.3,53.5%,46,86,0.56,2.8,7.2,1.29,3.3,20,Tomas Machac[CZE],12,0.86,2056,47.2%,6,3-3,50.0%,19.4%,31,11-20,35.5%,310,142-168,45.8%,1:43,39.8,36.0
