Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],42,25-17,59.5%,64.2%,64.8%,239,8.6%,157,5.6%,14.5%,61.0%,74.0%,48.9%,57.2%,79.8%,6.4,2.3,11,Daniil Medvedev[RUS],42,40.3%,40.3%,4.9%,3.3%,33.3%,52.9%,27.3%,6.8,2.7,35.5,44.8,11,Daniil Medvedev[RUS],42,40.7%,122,300,0.67,3.2,7.1,1.30,2.9,61.2%,139,227,0.52,2.4,5.4,0.94,2.1,11,Daniil Medvedev[RUS],42,1.13,5810,51.7%,13,7-6,53.8%,13.8%,94,54-40,57.4%,882,469-413,53.2%,1:34,42.1,40.9
12,Tommy Paul[USA],44,30-14,68.2%,65.6%,64.4%,249,7.7%,79,2.4%,6.4%,62.0%,72.3%,54.5%,58.3%,82.4%,6.4,2.2,12,Tommy Paul[USA],44,39.0%,39.3%,5.7%,3.2%,32.2%,51.9%,25.0%,6.7,2.6,50.5,99.4,12,Tommy Paul[USA],44,38.6%,125,324,0.65,3.1,7.4,1.21,2.8,63.7%,156,245,0.49,2.4,5.6,0.86,2.0,12,Tommy Paul[USA],44,1.13,6586,52.1%,21,13-8,61.9%,20.4%,103,66-37,64.1%,1006,541-465,53.8%,1:36,41.1,38.6
13,Ben Shelton[USA],49,27-22,55.1%,68.3%,67.1%,434,11.2%,143,3.7%,11.4%,67.6%,75.0%,54.5%,61.5%,88.0%,6.4,2.0,13,Ben Shelton[USA],49,31.5%,31.6%,8.1%,3.5%,23.7%,45.6%,14.4%,6.2,1.9,54.0,80.2,13,Ben Shelton[USA],49,39.4%,86,218,0.37,1.9,4.4,0.75,1.8,71.3%,179,251,0.42,2.2,5.1,0.63,1.5,13,Ben Shelton[USA],49,0.99,7559,50.3%,40,19-21,47.5%,34.8%,115,63-52,54.8%,1199,616-583,51.4%,1:44,44.4,40.5
14,Arthur Fils[FRA],53,35-18,66.0%,66.6%,66.5%,293,7.7%,144,3.8%,10.0%,62.0%,75.8%,51.4%,57.1%,85.1%,6.4,2.1,14,Arthur Fils[FRA],53,37.2%,38.5%,8.3%,3.1%,29.2%,50.9%,20.8%,6.7,2.5,39.0,48.6,14,Arthur Fils[FRA],53,37.7%,123,326,0.55,2.7,6.2,1.00,2.3,65.9%,172,261,0.44,2.1,4.9,0.72,1.7,14,Arthur Fils[FRA],53,1.11,7741,51.6%,30,14-16,46.7%,24.4%,123,73-50,59.3%,1187,630-557,53.1%,1:44,44.8,42.7
15,Grigor Dimitrov[BUL],39,25-14,64.1%,66.9%,66.7%,281,10.2%,132,4.8%,11.9%,59.7%,77.4%,51.4%,58.4%,83.5%,6.2,2.1,15,Grigor Dimitrov[BUL],39,37.0%,38.2%,8.7%,3.5%,28.2%,52.2%,20.7%,6.6,2.4,40.0,65.4,15,Grigor Dimitrov[BUL],39,36.4%,91,250,0.57,2.7,6.4,1.00,2.3,66.4%,144,217,0.49,2.4,5.6,0.80,1.9,15,Grigor Dimitrov[BUL],39,1.12,5620,51.6%,17,12-5,70.6%,18.7%,91,56-35,61.5%,881,460-421,52.2%,1:44,44.5,43.2
16,Frances Tiafoe[USA],46,25-21,54.3%,65.1%,63.1%,364,10.1%,100,2.8%,6.6%,58.3%,74.3%,52.2%,55.9%,82.0%,6.6,2.3,16,Frances Tiafoe[USA],46,36.6%,38.9%,12.4%,4.2%,28.2%,51.1%,19.8%,6.7,2.5,47.5,80.0,16,Frances Tiafoe[USA],46,35.5%,110,310,0.56,2.8,6.7,1.01,2.4,64.9%,183,282,0.51,2.6,6.1,0.91,2.2,16,Frances Tiafoe[USA],46,1.05,7349,50.6%,31,18-13,58.1%,28.4%,109,59-50,54.1%,1105,560-545,50.7%,1:52,47.3,42.1
17,Andrey Rublev[RUS],50,27-23,54.0%,66.6%,65.1%,357,10.0%,106,3.0%,7.9%,62.5%,75.6%,51.7%,56.2%,83.3%,6.1,2.0,17,Andrey Rublev[RUS],50,37.1%,39.0%,10.7%,3.7%,28.1%,51.0%,21.4%,6.5,2.4,49.0,57.6,17,Andrey Rublev[RUS],50,38.0%,123,324,0.56,2.8,6.5,1.07,2.5,60.7%,150,247,0.42,2.1,4.9,0.84,1.9,17,Andrey Rublev[RUS],50,1.11,7273,51.6%,23,13-10,56.5%,20.0%,115,62-53,53.9%,1157,608-549,52.5%,1:39,43.1,40.9
18,Francisco Cerundolo[ARG],63,40-23,63.5%,64.0%,64.8%,215,4.8%,174,3.9%,10.4%,62.7%,70.1%,53.7%,59.9%,80.4%,6.5,2.4,18,Francisco Cerundolo[ARG],63,39.2%,39.3%,4.8%,3.0%,32.2%,51.7%,26.9%,6.7,2.6,54.0,67.5,18,Francisco Cerundolo[ARG],63,42.8%,184,430,0.63,3.0,6.8,1.28,2.9,64.3%,243,378,0.55,2.6,6.0,0.94,2.1,18,Francisco Cerundolo[ARG],63,1.09,9058,51.5%,30,17-13,56.7%,20.8%,144,88-56,61.1%,1372,737-635,53.7%,1:39,43.3,41.3
19,Stefanos Tsitsipas[GRE],50,32-18,64.0%,67.9%,67.9%,301,8.3%,143,4.0%,10.2%,61.0%,76.1%,55.0%,61.2%,86.6%,6.2,2.0,19,Stefanos Tsitsipas[GRE],50,34.3%,35.2%,7.3%,2.7%,27.2%,47.4%,19.1%,6.3,2.2,43.0,67.8,19,Stefanos Tsitsipas[GRE],50,37.6%,109,290,0.51,2.5,5.8,0.94,2.2,65.6%,149,227,0.39,2.0,4.5,0.67,1.6,19,Stefanos Tsitsipas[GRE],50,1.07,7207,51.1%,25,13-12,52.0%,21.6%,116,68-48,58.6%,1152,611-541,53.0%,1:35,40.9,39.5
20,Tomas Machac[CZE],47,28-19,59.6%,64.2%,64.0%,255,7.8%,132,4.0%,10.9%,63.1%,71.6%,51.6%,57.9%,80.9%,6.4,2.3,20,Tomas Machac[CZE],47,36.4%,38.1%,9.7%,3.1%,28.9%,49.2%,22.3%,6.3,2.3,42.0,62.1,20,Tomas Machac[CZE],47,44.4%,114,257,0.50,2.3,5.5,1.03,2.4,58.6%,139,237,0.46,2.1,5.0,0.88,2.1,20,Tomas Machac[CZE],47,1.02,6488,50.4%,19,14-5,73.7%,17.1%,111,66-45,59.5%,1024,528-496,51.6%,1:34,39.7,40.8
