Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],4,4-0,100.0%,68.8%,67.8%,40,9.8%,13,3.2%,7.5%,57.8%,78.9%,54.9%,59.4%,89.2%,6.3,2.0,1,Jannik Sinner[ITA],4,42.2%,42.5%,8.2%,5.5%,34.7%,56.0%,30.6%,6.5,2.7,78.0,83.0,1,Jannik Sinner[ITA],4,54.3%,19,35,0.56,2.5,8.8,1.36,4.8,79.4%,27,34,0.52,2.4,8.5,0.50,1.8,1,Jannik Sinner[ITA],4,1.35,813,55.6%,2,2-0,100.0%,14.3%,14,12-2,85.7%,127,77-50,60.6%,2:01,34.4,35.6
2,Alexander Zverev[GER],4,4-0,100.0%,72.1%,69.0%,65,17.8%,13,3.6%,11.8%,69.9%,78.4%,57.3%,64.9%,95.1%,6.0,1.7,2,Alexander Zverev[GER],4,43.8%,43.4%,4.4%,4.1%,38.2%,52.7%,32.3%,7.0,3.1,101.5,135.5,2,Alexander Zverev[GER],4,30.3%,20,66,1.06,5.1,16.5,1.54,5.0,88.0%,22,25,0.41,1.9,6.3,0.23,0.8,2,Alexander Zverev[GER],4,1.57,801,56.7%,2,1-1,50.0%,15.4%,13,12-1,92.3%,123,78-45,63.4%,1:47,32.8,32.0
3,Carlos Alcaraz[ESP],4,4-0,100.0%,71.0%,71.9%,23,7.0%,13,4.0%,10.7%,63.1%,75.8%,62.8%,70.4%,86.0%,5.8,1.7,3,Carlos Alcaraz[ESP],4,50.1%,50.1%,2.4%,2.4%,44.9%,57.9%,50.9%,6.6,3.3,146.5,159.8,3,Carlos Alcaraz[ESP],4,46.0%,29,63,1.11,4.8,15.8,2.23,7.3,61.9%,13,21,0.37,1.6,5.3,0.62,2.0,3,Carlos Alcaraz[ESP],4,1.73,707,59.8%,1,1-0,100.0%,7.7%,13,12-1,92.3%,114,78-36,68.4%,1:45,32.2,35.5
4,Taylor Fritz[USA],4,4-0,100.0%,71.4%,68.7%,44,14.5%,8,2.6%,6.6%,59.9%,82.4%,54.9%,58.8%,90.7%,5.6,1.6,4,Taylor Fritz[USA],4,50.0%,48.4%,1.8%,4.8%,38.2%,64.9%,51.0%,6.5,3.3,79.0,81.0,4,Taylor Fritz[USA],4,70.3%,26,37,0.73,2.8,9.3,2.00,6.5,58.3%,7,12,0.22,0.9,3.0,0.38,1.3,4,Taylor Fritz[USA],4,1.75,638,60.2%,0,0-0,-,0.0%,13,12-1,92.3%,105,75-30,71.4%,1:17,23.7,29.0
5,Jack Draper[GBR],4,3-1,75.0%,62.7%,61.7%,39,7.9%,16,3.3%,7.5%,56.6%,70.5%,52.6%,56.9%,76.5%,6.1,2.3,5,Jack Draper[GBR],4,42.9%,43.4%,5.8%,3.5%,36.8%,51.6%,35.0%,6.5,2.8,111.5,117.3,5,Jack Draper[GBR],4,50.9%,28,55,0.69,3.1,13.8,1.56,7.0,51.3%,20,39,0.48,2.2,9.8,1.06,4.8,5,Jack Draper[GBR],4,1.15,1011,52.5%,1,1-0,100.0%,5.6%,18,11-7,61.1%,161,90-71,55.9%,2:06,28.1,30.0
6,Novak Djokovic[SRB],4,4-0,100.0%,74.5%,75.2%,45,13.7%,18,5.5%,14.8%,62.9%,81.2%,63.1%,74.0%,95.0%,5.5,1.4,6,Novak Djokovic[SRB],4,43.6%,42.3%,4.0%,5.2%,35.5%,56.5%,32.8%,7.2,3.2,130.5,127.5,6,Novak Djokovic[SRB],4,38.8%,19,49,0.84,3.8,12.3,1.46,4.8,57.1%,4,7,0.12,0.5,1.8,0.23,0.8,6,Novak Djokovic[SRB],4,1.71,749,57.1%,1,1-0,100.0%,7.7%,13,12-1,92.3%,118,76-42,64.4%,1:46,32.6,34.0
7,Casper Ruud[NOR],4,4-0,100.0%,72.3%,71.8%,40,10.8%,13,3.5%,10.7%,67.5%,78.9%,58.7%,65.7%,88.1%,5.6,1.5,7,Casper Ruud[NOR],4,41.3%,44.1%,8.5%,1.8%,32.0%,56.7%,28.1%,6.8,2.8,130.0,139.0,7,Casper Ruud[NOR],4,40.0%,18,45,0.70,3.2,11.3,1.29,4.5,63.6%,14,22,0.33,1.6,5.5,0.57,2.0,7,Casper Ruud[NOR],4,1.49,805,55.7%,2,2-0,100.0%,14.3%,14,12-2,85.7%,131,77-54,58.8%,1:57,33.4,34.9
8,Alex De Minaur[AUS],4,4-0,100.0%,66.0%,67.2%,40,9.6%,27,6.5%,13.0%,50.5%,76.3%,55.6%,63.9%,85.9%,6.5,2.2,8,Alex De Minaur[AUS],4,46.3%,45.6%,3.3%,3.9%,40.1%,54.3%,34.9%,7.7,3.5,70.5,67.8,8,Alex De Minaur[AUS],4,39.3%,22,56,0.89,4.3,14.0,1.69,5.5,67.9%,19,28,0.44,2.2,7.0,0.69,2.3,8,Alex De Minaur[AUS],4,1.36,900,55.4%,3,3-0,100.0%,23.1%,13,12-1,92.3%,127,77-50,60.6%,2:14,41.2,35.7
9,Lorenzo Musetti[ITA],4,4-0,100.0%,64.2%,63.7%,29,6.0%,13,2.7%,6.8%,60.2%,69.9%,55.5%,59.6%,77.3%,6.4,2.3,9,Lorenzo Musetti[ITA],4,43.7%,43.9%,6.9%,5.1%,33.1%,57.5%,35.1%,7.5,3.3,99.0,140.3,9,Lorenzo Musetti[ITA],4,39.4%,26,66,0.89,4.4,16.5,1.73,6.5,58.5%,24,41,0.55,2.7,10.3,1.13,4.3,9,Lorenzo Musetti[ITA],4,1.22,1034,53.2%,4,4-0,100.0%,26.7%,15,12-3,80.0%,149,84-65,56.4%,2:32,40.5,35.2
10,Holger Rune[DEN],4,3-1,75.0%,68.1%,67.3%,36,9.5%,13,3.4%,8.1%,57.5%,77.1%,55.9%,60.8%,86.2%,5.8,1.9,10,Holger Rune[DEN],4,35.6%,37.2%,9.0%,2.7%,25.5%,50.9%,18.5%,6.2,2.2,56.0,132.0,10,Holger Rune[DEN],4,30.0%,12,40,0.62,2.9,10.0,0.86,3.0,60.9%,14,23,0.35,1.6,5.8,0.64,2.3,10,Holger Rune[DEN],4,1.11,781,51.3%,0,0-0,-,0.0%,14,9-5,64.3%,130,68-62,52.3%,1:40,28.6,30.8
11,Daniil Medvedev[RUS],4,4-0,100.0%,69.4%,69.7%,55,13.2%,26,6.2%,15.9%,60.8%,80.3%,52.4%,62.3%,88.9%,5.8,1.8,11,Daniil Medvedev[RUS],4,43.5%,42.9%,3.3%,3.5%,36.4%,55.3%,32.4%,6.8,2.9,77.0,159.3,11,Daniil Medvedev[RUS],4,53.5%,23,43,0.61,2.7,10.8,1.44,5.8,61.9%,13,21,0.29,1.3,5.3,0.50,2.0,11,Daniil Medvedev[RUS],4,1.42,899,55.5%,0,0-0,-,0.0%,16,12-4,75.0%,143,87-56,60.8%,1:52,27.9,29.8
12,Tommy Paul[USA],4,4-0,100.0%,67.2%,65.8%,37,8.3%,10,2.2%,5.5%,59.3%,76.9%,53.0%,56.1%,88.9%,6.2,2.0,12,Tommy Paul[USA],4,44.0%,43.8%,3.8%,3.4%,37.2%,55.7%,37.5%,6.6,2.9,59.5,68.8,12,Tommy Paul[USA],4,47.4%,27,57,0.79,3.6,14.3,1.69,6.8,71.4%,20,28,0.39,1.8,7.0,0.50,2.0,12,Tommy Paul[USA],4,1.34,922,55.2%,1,0-1,0.0%,6.3%,16,12-4,75.0%,144,91-53,63.2%,2:19,34.8,36.2
