Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
12,Tommy Paul[USA],2,2-0,100.0%,68.9%,66.9%,12,9.1%,2,1.5%,4.4%,65.9%,71.3%,64.4%,67.4%,85.0%,6.6,2.1,12,Tommy Paul[USA],2,43.0%,42.5%,3.5%,3.5%,36.8%,55.3%,38.9%,6.3,2.7,20.0,20.0,12,Tommy Paul[USA],2,58.3%,7,12,0.67,3.0,6.0,1.75,3.5,57.1%,4,7,0.35,1.8,3.5,0.75,1.5,12,Tommy Paul[USA],2,1.38,246,56.9%,1,1-0,100.0%,25.0%,4,4-0,100.0%,38,24-14,63.2%,1:27,43.3,42.2
13,Ben Shelton[USA],2,0-2,0.0%,65.3%,64.2%,13,10.5%,5,4.0%,12.2%,66.9%,73.5%,48.8%,55.6%,80.0%,6.2,2.2,13,Ben Shelton[USA],2,21.4%,21.5%,23.2%,6.3%,13.2%,38.9%,0.0%,5.6,1.2,26.5,26.5,13,Ben Shelton[USA],2,-,0,0,0.00,0.0,0.0,0.00,0.0,42.9%,3,7,0.35,1.8,3.5,1.00,2.0,13,Ben Shelton[USA],2,0.62,236,44.5%,1,0-1,0.0%,25.0%,4,0-4,0.0%,40,16-24,40.0%,1:19,39.3,39.9
14,Arthur Fils[FRA],2,2-0,100.0%,64.9%,65.1%,10,4.1%,6,2.4%,6.5%,62.0%,73.0%,51.6%,55.2%,90.6%,7.7,2.7,14,Arthur Fils[FRA],2,38.3%,40.7%,8.8%,2.1%,31.6%,51.2%,9.7%,7.7,3.0,11.0,11.0,14,Arthur Fils[FRA],2,23.1%,3,13,0.42,2.2,6.5,0.50,1.5,88.9%,24,27,0.84,4.5,13.5,0.50,1.5,14,Arthur Fils[FRA],2,1.09,485,51.8%,2,2-0,100.0%,33.3%,6,4-2,66.7%,63,32-31,50.8%,3:19,66.2,49.1
15,Grigor Dimitrov[BUL],1,0-1,0.0%,50.0%,51.9%,2,3.4%,4,6.9%,16.0%,56.9%,60.6%,36.0%,42.9%,55.6%,6.4,3.2,15,Grigor Dimitrov[BUL],1,33.3%,35.7%,9.5%,1.6%,35.0%,30.4%,20.0%,6.3,2.1,13.0,13.0,15,Grigor Dimitrov[BUL],1,50.0%,2,4,0.40,2.0,4.0,1.00,2.0,50.0%,4,8,0.89,4.0,8.0,2.00,4.0,15,Grigor Dimitrov[BUL],1,0.67,121,41.3%,0,0-0,-,0.0%,2,0-2,0.0%,19,7-12,36.8%,1:25,42.5,42.1
16,Frances Tiafoe[USA],2,0-2,0.0%,54.7%,54.6%,5,3.6%,4,2.9%,6.2%,53.2%,66.2%,41.5%,44.3%,63.2%,7.3,3.3,16,Frances Tiafoe[USA],2,26.7%,29.5%,15.5%,2.6%,27.0%,26.2%,10.5%,6.1,1.6,254.0,254.0,16,Frances Tiafoe[USA],2,22.2%,2,9,0.47,2.3,4.5,0.50,1.0,50.0%,7,14,0.74,3.5,7.0,1.75,3.5,16,Frances Tiafoe[USA],2,0.59,255,42.0%,1,0-1,0.0%,25.0%,4,0-4,0.0%,38,14-24,36.8%,1:32,45.8,43.1
17,Andrey Rublev[RUS],2,1-1,50.0%,64.6%,63.3%,14,9.5%,5,3.4%,7.9%,57.1%,73.8%,52.4%,56.9%,80.0%,5.9,2.1,17,Andrey Rublev[RUS],2,35.7%,39.4%,14.3%,3.2%,24.7%,54.4%,16.7%,6.4,2.3,39.0,39.0,17,Andrey Rublev[RUS],2,30.8%,4,13,0.54,2.6,6.5,0.80,2.0,58.3%,7,12,0.48,2.4,6.0,1.00,2.5,17,Andrey Rublev[RUS],2,1.01,301,49.8%,0,0-0,-,0.0%,5,2-3,40.0%,49,24-25,49.0%,1:47,42.6,42.5
18,Francisco Cerundolo[ARG],2,1-1,50.0%,57.7%,58.4%,4,2.1%,5,2.6%,8.3%,69.1%,59.7%,53.3%,58.2%,69.2%,7.5,3.2,18,Francisco Cerundolo[ARG],2,38.7%,39.3%,4.0%,1.7%,30.9%,52.4%,23.1%,6.7,2.6,58.0,58.0,18,Francisco Cerundolo[ARG],2,66.7%,6,9,0.35,1.8,4.5,1.20,3.0,60.0%,12,20,0.77,4.0,10.0,1.60,4.0,18,Francisco Cerundolo[ARG],2,0.92,367,48.8%,2,1-1,50.0%,40.0%,5,2-3,40.0%,52,24-28,46.2%,2:23,57.0,46.6
19,Stefanos Tsitsipas[GRE],1,1-0,100.0%,66.7%,69.0%,4,6.1%,4,6.1%,16.7%,63.6%,83.3%,37.5%,45.0%,100.0%,7.3,2.4,19,Stefanos Tsitsipas[GRE],1,40.4%,41.3%,7.7%,3.8%,29.4%,61.1%,33.3%,5.8,2.3,21.0,21.0,19,Stefanos Tsitsipas[GRE],1,50.0%,3,6,0.67,3.0,6.0,1.50,3.0,100.0%,7,7,0.78,3.5,7.0,0.00,0.0,19,Stefanos Tsitsipas[GRE],1,1.21,118,55.1%,0,0-0,-,0.0%,2,2-0,100.0%,18,12-6,66.7%,1:28,44.0,44.7
20,Tomas Machac[CZE],2,1-1,50.0%,68.2%,67.3%,14,10.6%,5,3.8%,9.1%,58.3%,77.9%,54.5%,60.0%,85.0%,6.6,2.1,20,Tomas Machac[CZE],2,37.2%,38.0%,4.1%,1.4%,34.4%,41.8%,14.3%,6.9,2.6,27.5,27.5,20,Tomas Machac[CZE],2,75.0%,3,4,0.19,1.0,2.0,0.75,1.5,40.0%,2,5,0.25,1.3,2.5,0.75,1.5,20,Tomas Machac[CZE],2,1.17,277,52.0%,1,1-0,100.0%,25.0%,4,2-2,50.0%,41,20-21,48.8%,1:42,51.0,44.2
21,Jakub Mensik[CZE],1,1-0,100.0%,69.2%,63.5%,14,17.9%,1,1.3%,3.8%,66.7%,76.9%,53.8%,56.0%,91.7%,6.5,2.0,21,Jakub Mensik[CZE],1,29.7%,31.8%,9.5%,1.4%,23.2%,50.0%,8.3%,6.2,1.8,5.0,5.0,21,Jakub Mensik[CZE],1,33.3%,1,3,0.25,1.5,3.0,0.50,1.0,0.0%,0,1,0.08,0.5,1.0,0.50,1.0,21,Jakub Mensik[CZE],1,0.97,152,50.0%,2,2-0,100.0%,100.0%,2,2-0,100.0%,24,12-12,50.0%,2:03,61.5,48.6
