Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],38,23-15,60.5%,64.6%,65.2%,274,9.9%,172,6.2%,15.3%,59.2%,74.8%,49.8%,58.8%,80.4%,6.3,2.2,11,Daniil Medvedev[RUS],38,41.1%,40.7%,4.2%,3.6%,33.3%,53.7%,28.8%,6.8,2.8,35.5,55.5,11,Daniil Medvedev[RUS],38,38.9%,129,332,0.74,3.5,8.7,1.36,3.4,62.1%,141,227,0.52,2.4,6.0,0.91,2.3,11,Daniil Medvedev[RUS],38,1.16,5827,52.2%,13,7-6,53.8%,13.7%,95,57-38,60.0%,887,482-405,54.3%,1:51,44.4,43.5
12,Tommy Paul[USA],36,24-12,66.7%,64.9%,63.7%,231,7.8%,76,2.6%,6.6%,60.8%,72.3%,53.5%,57.2%,82.3%,6.4,2.3,12,Tommy Paul[USA],36,40.9%,41.4%,6.3%,3.7%,33.1%,54.2%,29.7%,6.7,2.7,57.0,99.3,12,Tommy Paul[USA],36,42.4%,137,323,0.70,3.3,9.0,1.41,3.8,63.5%,141,222,0.48,2.3,6.2,0.84,2.3,12,Tommy Paul[USA],36,1.17,6041,52.6%,20,8-12,40.0%,20.6%,97,61-36,62.9%,919,514-405,55.9%,2:00,44.6,43.0
13,Ben Shelton[USA],45,28-17,62.2%,69.8%,68.4%,435,11.3%,119,3.1%,9.8%,68.3%,76.0%,56.5%,62.6%,90.6%,6.3,1.9,13,Ben Shelton[USA],45,31.7%,31.9%,7.4%,3.2%,23.7%,45.1%,14.7%,6.2,2.0,50.0,72.2,13,Ben Shelton[USA],45,37.8%,88,233,0.39,2.0,5.2,0.77,2.0,75.0%,171,228,0.38,2.0,5.1,0.50,1.3,13,Ben Shelton[USA],45,1.05,7593,51.0%,39,19-20,48.7%,33.9%,115,70-45,60.9%,1207,639-568,52.9%,1:57,45.7,41.5
14,Arthur Fils[FRA],41,25-16,61.0%,66.4%,65.7%,302,9.3%,123,3.8%,9.8%,61.0%,76.5%,50.6%,56.1%,82.9%,6.2,2.1,14,Arthur Fils[FRA],41,36.6%,38.1%,9.2%,3.2%,27.9%,50.9%,19.3%,6.7,2.4,49.0,65.5,14,Arthur Fils[FRA],41,36.4%,99,272,0.53,2.5,6.6,0.89,2.4,59.9%,133,222,0.43,2.0,5.4,0.80,2.2,14,Arthur Fils[FRA],41,1.09,6659,51.1%,29,16-13,55.2%,26.1%,111,61-50,55.0%,1032,529-503,51.3%,1:57,43.3,43.3
15,Grigor Dimitrov[BUL],36,23-13,63.9%,67.2%,67.4%,285,10.6%,147,5.5%,13.5%,59.6%,78.6%,50.3%,58.1%,84.3%,6.3,2.1,15,Grigor Dimitrov[BUL],36,36.5%,37.6%,9.3%,3.8%,27.6%,51.1%,19.8%,6.5,2.4,40.0,66.4,15,Grigor Dimitrov[BUL],36,35.6%,84,236,0.56,2.7,6.6,0.94,2.3,66.2%,131,198,0.46,2.2,5.5,0.75,1.9,15,Grigor Dimitrov[BUL],36,1.11,5451,51.6%,18,14-4,77.8%,20.2%,89,55-34,61.8%,851,443-408,52.1%,1:49,44.2,43.3
16,Frances Tiafoe[USA],39,23-16,59.0%,66.3%,64.6%,370,10.5%,113,3.2%,7.6%,57.9%,75.5%,53.6%,58.0%,83.8%,6.5,2.2,16,Frances Tiafoe[USA],39,35.8%,38.3%,13.7%,4.4%,26.5%,50.7%,19.1%,6.6,2.4,48.0,69.6,16,Frances Tiafoe[USA],39,35.8%,105,293,0.53,2.7,7.5,0.96,2.7,65.4%,166,254,0.47,2.3,6.5,0.81,2.3,16,Frances Tiafoe[USA],39,1.06,7143,50.8%,31,17-14,54.8%,28.4%,109,61-48,56.0%,1094,561-533,51.3%,2:10,46.4,42.5
17,Andrey Rublev[RUS],45,26-19,57.8%,67.6%,65.9%,399,11.6%,115,3.3%,8.9%,62.4%,76.9%,52.2%,57.3%,85.0%,6.1,2.0,17,Andrey Rublev[RUS],45,36.9%,39.1%,11.3%,3.6%,27.8%,50.9%,21.1%,6.5,2.4,49.5,56.8,17,Andrey Rublev[RUS],45,35.7%,117,328,0.59,3.0,7.3,1.05,2.6,65.6%,160,244,0.43,2.2,5.4,0.76,1.9,17,Andrey Rublev[RUS],45,1.14,7062,51.8%,23,13-10,56.5%,20.7%,111,63-48,56.8%,1116,594-522,53.2%,1:48,43.7,41.2
18,Francisco Cerundolo[ARG],33,19-14,57.6%,62.9%,63.8%,129,5.1%,108,4.2%,10.6%,60.1%,70.0%,52.2%,58.4%,79.4%,6.6,2.4,18,Francisco Cerundolo[ARG],33,38.8%,39.0%,6.9%,4.0%,29.5%,53.9%,25.9%,6.6,2.6,41.0,62.3,18,Francisco Cerundolo[ARG],33,44.8%,100,223,0.58,2.8,6.8,1.27,3.0,62.1%,131,211,0.54,2.7,6.4,1.01,2.4,18,Francisco Cerundolo[ARG],33,1.05,5092,50.9%,20,12-8,60.0%,25.3%,79,46-33,58.2%,774,408-366,52.7%,1:50,46.1,42.9
19,Stefanos Tsitsipas[GRE],35,21-14,60.0%,67.7%,67.1%,255,9.4%,104,3.8%,9.7%,60.8%,76.6%,53.8%,59.6%,86.0%,6.1,2.0,19,Stefanos Tsitsipas[GRE],35,33.6%,34.1%,7.7%,3.1%,26.3%,46.2%,16.8%,6.3,2.1,43.0,71.8,19,Stefanos Tsitsipas[GRE],35,35.6%,74,208,0.47,2.4,5.9,0.85,2.1,64.2%,111,173,0.39,2.0,4.9,0.71,1.8,19,Stefanos Tsitsipas[GRE],35,1.04,5487,50.5%,18,8-10,44.4%,20.7%,87,47-40,54.0%,885,456-429,51.5%,1:53,45.7,43.4
20,Tomas Machac[CZE],42,27-15,64.3%,65.6%,65.7%,254,8.4%,139,4.6%,11.7%,60.9%,73.7%,52.8%,59.9%,83.1%,6.3,2.2,20,Tomas Machac[CZE],42,36.2%,37.7%,10.9%,4.2%,27.9%,49.4%,22.2%,6.2,2.3,54.0,67.7,20,Tomas Machac[CZE],42,44.7%,106,237,0.50,2.3,5.6,1.03,2.5,62.7%,136,217,0.45,2.1,5.2,0.79,1.9,20,Tomas Machac[CZE],42,1.05,5997,51.0%,20,14-6,70.0%,19.4%,103,66-37,64.1%,957,504-453,52.7%,1:41,41.1,42.3
