Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],9,4-5,44.4%,63.2%,63.8%,57,7.4%,40,5.2%,13.9%,62.5%,71.7%,49.0%,56.9%,80.5%,6.8,2.5,11,Daniil Medvedev[RUS],9,34.3%,34.4%,6.7%,3.4%,25.7%,48.5%,16.7%,6.3,2.1,21.0,20.8,11,Daniil Medvedev[RUS],9,30.2%,19,63,0.55,2.6,7.0,0.79,2.1,67.2%,45,67,0.59,2.8,7.4,0.92,2.4,11,Daniil Medvedev[RUS],9,0.93,1482,49.3%,4,2-2,50.0%,16.7%,24,11-13,45.8%,227,110-117,48.5%,2:00,45.0,43.8
12,Tommy Paul[USA],9,5-4,55.6%,64.6%,64.1%,46,6.3%,20,2.7%,6.8%,60.1%,72.4%,52.7%,56.6%,80.4%,6.5,2.3,12,Tommy Paul[USA],9,35.6%,36.2%,6.1%,2.6%,29.9%,46.6%,21.2%,6.5,2.3,31.0,60.4,12,Tommy Paul[USA],9,40.0%,24,60,0.53,2.6,6.7,1.04,2.7,64.5%,40,62,0.55,2.7,6.9,0.96,2.4,12,Tommy Paul[USA],9,1.00,1464,50.1%,6,3-3,50.0%,26.1%,23,12-11,52.2%,225,114-111,50.7%,1:45,41.1,38.8
13,Ben Shelton[USA],8,4-4,50.0%,65.5%,64.4%,76,8.9%,27,3.2%,10.0%,68.4%,70.9%,53.7%,59.7%,87.7%,7.0,2.4,13,Ben Shelton[USA],8,31.0%,29.8%,5.5%,4.1%,23.4%,46.1%,14.2%,6.3,2.0,35.5,72.4,13,Ben Shelton[USA],8,37.8%,17,45,0.38,2.1,5.6,0.81,2.1,78.9%,56,71,0.58,3.4,8.9,0.71,1.9,13,Ben Shelton[USA],8,0.90,1613,49.3%,7,3-4,42.9%,33.3%,21,11-10,52.4%,242,124-118,51.2%,2:09,49.0,38.3
14,Arthur Fils[FRA],9,4-5,44.4%,65.7%,67.9%,32,5.0%,36,5.6%,14.0%,59.9%,77.7%,47.7%,55.4%,78.8%,6.2,2.1,14,Arthur Fils[FRA],9,35.6%,36.7%,8.1%,3.0%,27.9%,50.0%,19.8%,6.6,2.3,16.0,21.7,14,Arthur Fils[FRA],9,31.8%,21,66,0.62,3.0,7.3,0.95,2.3,55.1%,27,49,0.47,2.2,5.4,1.00,2.4,14,Arthur Fils[FRA],9,1.04,1344,50.0%,6,3-3,50.0%,27.3%,22,11-11,50.0%,210,103-107,49.0%,1:48,44.0,43.3
15,Grigor Dimitrov[BUL],7,3-4,42.9%,60.3%,61.2%,31,6.0%,27,5.2%,13.1%,60.2%,74.6%,38.8%,44.7%,72.2%,6.5,2.6,15,Grigor Dimitrov[BUL],7,31.8%,32.9%,7.1%,1.9%,25.1%,41.0%,14.5%,6.1,1.9,21.0,60.0,15,Grigor Dimitrov[BUL],7,37.9%,11,29,0.38,1.6,4.1,0.61,1.6,56.0%,28,50,0.63,2.8,7.1,1.22,3.1,15,Grigor Dimitrov[BUL],7,0.80,979,46.9%,4,2-2,50.0%,22.2%,18,7-11,38.9%,155,68-87,43.9%,1:23,32.1,35.4
16,Frances Tiafoe[USA],7,4-3,57.1%,67.5%,66.7%,49,9.6%,18,3.5%,8.8%,59.9%,75.2%,56.1%,61.5%,89.9%,6.5,2.1,16,Frances Tiafoe[USA],7,34.7%,36.9%,14.3%,4.9%,23.1%,51.6%,18.8%,6.7,2.3,34.0,38.4,16,Frances Tiafoe[USA],7,35.7%,15,42,0.53,2.6,6.0,0.94,2.1,73.3%,22,30,0.38,1.9,4.3,0.50,1.1,16,Frances Tiafoe[USA],7,1.07,1044,50.8%,5,1-4,20.0%,31.3%,16,9-7,56.3%,159,86-73,54.1%,1:43,44.9,41.3
17,Andrey Rublev[RUS],10,4-6,40.0%,64.6%,63.1%,74,9.1%,24,2.9%,7.6%,61.4%,73.5%,50.5%,54.6%,81.6%,6.5,2.3,17,Andrey Rublev[RUS],10,34.8%,36.7%,11.0%,3.4%,24.1%,49.9%,17.2%,6.5,2.3,29.0,62.6,17,Andrey Rublev[RUS],10,34.4%,22,64,0.50,2.6,6.4,0.88,2.2,62.3%,38,61,0.49,2.4,6.1,0.92,2.3,17,Andrey Rublev[RUS],10,0.98,1643,49.6%,6,3-3,50.0%,24.0%,25,10-15,40.0%,253,124-129,49.0%,1:53,45.4,41.4
18,Francisco Cerundolo[ARG],11,6-5,54.5%,63.5%,64.7%,32,3.8%,33,3.9%,10.6%,63.1%,71.1%,50.6%,56.7%,79.7%,6.3,2.3,18,Francisco Cerundolo[ARG],11,36.3%,37.0%,6.2%,2.6%,29.6%,49.6%,20.1%,6.3,2.3,49.0,47.1,18,Francisco Cerundolo[ARG],11,37.0%,27,73,0.54,2.6,6.6,0.96,2.5,64.5%,49,76,0.57,2.7,6.9,0.96,2.5,18,Francisco Cerundolo[ARG],11,1.00,1684,49.9%,5,3-2,60.0%,17.9%,28,14-14,50.0%,267,133-134,49.8%,1:55,45.2,45.1
19,Stefanos Tsitsipas[GRE],10,2-8,20.0%,62.6%,62.4%,42,6.3%,23,3.4%,8.3%,58.9%,70.5%,51.4%,56.1%,77.1%,6.4,2.4,19,Stefanos Tsitsipas[GRE],10,29.4%,30.3%,8.2%,2.2%,25.7%,37.2%,10.6%,6.0,1.8,18.0,29.3,19,Stefanos Tsitsipas[GRE],10,27.5%,11,40,0.38,1.8,4.0,0.50,1.1,59.3%,35,59,0.56,2.7,5.9,1.09,2.4,19,Stefanos Tsitsipas[GRE],10,0.79,1295,46.6%,4,1-3,25.0%,18.2%,22,5-17,22.7%,209,92-117,44.0%,1:09,31.5,32.2
20,Tomas Machac[CZE],7,5-2,71.4%,65.0%,63.8%,38,8.1%,13,2.8%,7.3%,62.0%,72.1%,53.4%,57.6%,82.2%,6.4,2.2,20,Tomas Machac[CZE],7,38.9%,39.5%,7.9%,4.2%,31.7%,52.9%,25.0%,6.3,2.5,49.0,43.3,20,Tomas Machac[CZE],7,40.0%,18,45,0.63,3.0,6.4,1.20,2.6,55.2%,16,29,0.40,1.9,4.1,0.87,1.9,20,Tomas Machac[CZE],7,1.11,923,52.1%,4,3-1,75.0%,26.7%,15,11-4,73.3%,145,78-67,53.8%,1:33,43.4,42.3
