Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],9,7-2,77.8%,62.1%,61.9%,65,8.7%,38,5.1%,11.9%,57.4%,72.9%,47.5%,53.9%,75.0%,6.3,2.4,11,Daniil Medvedev[RUS],9,46.1%,46.0%,2.1%,1.8%,39.4%,58.5%,41.5%,7.1,3.3,71.0,72.2,11,Daniil Medvedev[RUS],9,43.6%,51,117,0.95,4.7,13.0,2.04,5.7,50.8%,31,61,0.51,2.4,6.8,1.20,3.3,11,Daniil Medvedev[RUS],9,1.21,1628,53.4%,6,3-3,50.0%,24.0%,25,18-7,72.0%,243,141-102,58.0%,2:00,43.3,39.9
12,Tommy Paul[USA],12,10-2,83.3%,68.5%,66.7%,89,9.5%,19,2.0%,5.4%,62.4%,75.5%,56.9%,60.2%,85.9%,6.0,1.9,12,Tommy Paul[USA],12,41.9%,41.6%,5.3%,4.2%,35.9%,51.0%,32.0%,6.7,2.8,78.0,75.9,12,Tommy Paul[USA],12,45.4%,49,108,0.71,3.3,9.0,1.48,4.1,63.9%,39,61,0.39,1.8,5.1,0.67,1.8,12,Tommy Paul[USA],12,1.33,1962,54.6%,4,3-1,75.0%,12.1%,33,25-8,75.8%,309,183-126,59.2%,1:36,34.9,35.3
13,Ben Shelton[USA],12,10-2,83.3%,72.0%,71.1%,122,11.4%,36,3.4%,10.3%,67.3%,78.6%,58.3%,65.0%,92.0%,6.1,1.7,13,Ben Shelton[USA],12,34.4%,34.9%,6.6%,2.8%,28.2%,47.1%,17.4%,6.5,2.2,93.5,134.0,13,Ben Shelton[USA],12,40.5%,30,74,0.43,2.2,6.2,0.88,2.5,72.5%,37,51,0.29,1.5,4.3,0.41,1.2,13,Ben Shelton[USA],12,1.23,2180,52.8%,13,8-5,61.5%,38.2%,34,25-9,73.5%,348,192-156,55.2%,1:57,41.1,38.5
14,Arthur Fils[FRA],12,7-5,58.3%,66.3%,67.4%,63,6.4%,46,4.7%,12.7%,63.3%,76.5%,48.8%,55.8%,84.0%,6.3,2.1,14,Arthur Fils[FRA],12,35.6%,37.4%,9.7%,2.8%,27.4%,48.1%,18.6%,6.5,2.3,72.0,87.2,14,Arthur Fils[FRA],12,39.2%,29,74,0.47,2.5,6.2,0.97,2.4,65.3%,47,72,0.46,2.4,6.0,0.83,2.1,14,Arthur Fils[FRA],12,1.06,2009,50.7%,9,4-5,44.4%,30.0%,30,15-15,50.0%,312,160-152,51.3%,1:53,45.3,40.6
15,Grigor Dimitrov[BUL],8,8-0,100.0%,69.2%,70.5%,60,9.3%,37,5.8%,13.5%,57.2%,81.5%,52.7%,60.9%,90.4%,6.2,1.9,15,Grigor Dimitrov[BUL],8,42.6%,43.0%,6.7%,4.4%,35.3%,55.5%,34.3%,6.6,2.8,60.0,107.6,15,Grigor Dimitrov[BUL],8,45.9%,34,74,0.75,3.4,9.3,1.55,4.3,76.2%,32,42,0.40,1.9,5.3,0.45,1.3,15,Grigor Dimitrov[BUL],8,1.38,1297,55.7%,2,1-1,50.0%,9.1%,22,19-3,86.4%,203,128-75,63.1%,1:46,38.5,39.2
16,Frances Tiafoe[USA],12,8-4,66.7%,65.5%,65.0%,88,8.5%,40,3.9%,9.9%,60.7%,71.7%,55.9%,62.0%,81.1%,6.5,2.2,16,Frances Tiafoe[USA],12,38.7%,38.8%,8.6%,5.3%,33.5%,46.8%,22.5%,7.0,2.7,56.0,90.7,16,Frances Tiafoe[USA],12,29.8%,36,121,0.76,3.7,10.1,1.09,3.0,61.0%,47,77,0.48,2.3,6.4,0.91,2.5,16,Frances Tiafoe[USA],12,1.12,2153,51.6%,10,9-1,90.0%,30.3%,33,22-11,66.7%,319,165-154,51.7%,1:45,38.2,35.1
17,Andrey Rublev[RUS],5,2-3,40.0%,62.4%,60.0%,60,12.1%,20,4.0%,9.9%,59.2%,73.0%,47.0%,52.2%,73.3%,6.6,2.5,17,Andrey Rublev[RUS],5,43.1%,44.5%,7.5%,3.5%,33.2%,55.5%,34.2%,6.7,2.9,49.5,49.5,17,Andrey Rublev[RUS],5,36.8%,25,68,0.93,4.5,13.6,1.67,5.0,64.9%,37,57,0.76,3.8,11.4,1.33,4.0,17,Andrey Rublev[RUS],5,1.15,987,52.8%,1,1-0,100.0%,6.7%,15,7-8,46.7%,148,80-68,54.1%,2:00,40.1,36.6
18,Francisco Cerundolo[ARG],11,8-3,72.7%,64.8%,65.0%,38,5.2%,22,3.0%,8.0%,62.4%,70.3%,55.8%,60.7%,80.2%,6.3,2.2,18,Francisco Cerundolo[ARG],11,43.4%,44.4%,6.2%,3.2%,35.9%,56.7%,38.5%,6.9,3.0,90.0,100.6,18,Francisco Cerundolo[ARG],11,53.6%,45,84,0.72,3.1,7.6,1.67,4.1,57.4%,31,54,0.47,2.0,4.9,0.85,2.1,18,Francisco Cerundolo[ARG],11,1.23,1534,53.6%,4,3-1,75.0%,14.8%,27,19-8,70.4%,233,138-95,59.2%,1:21,33.2,35.0
19,Stefanos Tsitsipas[GRE],9,8-1,88.9%,67.6%,66.4%,94,11.3%,33,4.0%,11.0%,63.9%,74.1%,56.1%,63.1%,88.7%,6.3,2.0,19,Stefanos Tsitsipas[GRE],9,36.2%,36.5%,6.5%,3.2%,27.0%,52.0%,21.7%,6.4,2.3,87.0,87.3,19,Stefanos Tsitsipas[GRE],9,39.4%,28,71,0.55,2.6,7.9,1.04,3.1,68.8%,33,48,0.36,1.8,5.3,0.56,1.7,19,Stefanos Tsitsipas[GRE],9,1.12,1664,51.9%,5,2-3,40.0%,18.5%,27,18-9,66.7%,262,146-116,55.7%,1:34,31.4,30.5
20,Tomas Machac[CZE],13,7-6,53.8%,61.5%,62.3%,71,6.0%,58,4.9%,14.4%,66.0%,65.7%,53.3%,62.3%,75.8%,6.5,2.5,20,Tomas Machac[CZE],13,37.1%,38.0%,10.5%,5.0%,30.8%,50.6%,26.1%,6.0,2.2,60.0,80.1,20,Tomas Machac[CZE],13,52.7%,48,91,0.49,2.3,7.0,1.20,3.7,55.6%,55,99,0.54,2.5,7.6,1.10,3.4,20,Tomas Machac[CZE],13,0.96,2296,49.7%,6,4-2,66.7%,15.0%,40,21-19,52.5%,366,186-180,50.8%,1:36,31.4,32.8
