Player,SnV Freq,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%.1,Drop: Freq,RallyAgg,ReturnAgg
AlexanderZverev,3.7,13.3,63.1,10.6,13.0,7.9,7.2,21.9,1.0,-50.3,-23.1
AndreyRublev,0.5,6.5,69.4,15.7,17.8,13.2,5.7,23.1,0.4,-52.3,-44.7
CarlosAlcaraz,6.0,11.5,70.8,17.3,21.6,12.5,8.9,23.0,4.2,14.1,13.8
CasperRuud,0.5,8.1,73.0,16.5,21.0,10.9,6.9,25.3,1.1,-46.1,-39.6
DaniilMedvedev,2.6,10.7,66.8,9.7,13.8,13.6,5.7,24.5,2.1,-79.5,-59.2
HolgerRune,7.3,14.4,70.3,13.8,15.4,11.1,8.5,30.9,4.5,-21.0,-22.6
HubertHurkacz,4.3,12.7,70.1,13.3,16.6,12.1,6.1,13.1,2.3,-14.2,15.0
JannikSinner,2.0,10.3,68.1,13.5,18.2,15.7,6.4,29.8,1.5,-13.1,-14.5
NovakDjokovic,2.1,12.2,72.4,12.6,15.9,14.0,7.5,21.3,3.0,-46.0,-44.5
StefanosTsitsipas,3.5,12.7,73.3,16.0,21.4,13.6,4.2,16.1,2.1,-27.8,-20.8
