Player,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%.1,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2,RetWnr%.2,RDI.2,Slice%.2
AlexanderZverev,75.8,46.0,2.2,,2.2,15.0,72.4,43.0,2.0,2.1,21.2,88.6,50.7,2.8,2.2,4.0
AndreyRublev,72.2,50.5,4.6,,2.3,10.7,68.3,46.4,2.4,2.3,20.5,85.8,55.8,8.7,2.3,0.5
CarlosAlcaraz,75.8,52.2,4.0,,2.2,6.2,75.4,49.8,3.9,2.2,8.0,85.7,55.9,4.7,2.2,2.9
CasperRuud,74.3,46.9,3.3,,2.2,10.6,71.6,42.6,3.2,2.2,15.4,86.8,53.6,3.8,2.3,2.4
DaniilMedvedev,79.3,47.5,2.9,,2.3,12.5,77.0,44.5,2.5,2.2,21.1,89.4,54.0,3.9,2.4,0.7
HolgerRune,73.3,48.9,3.3,,2.3,6.2,72.9,48.0,3.3,2.3,10.1,83.1,50.0,3.9,2.4,1.0
HubertHurkacz,71.7,42.3,3.0,,2.3,17.4,69.4,38.0,2.7,2.3,26.3,81.9,49.2,4.5,2.4,7.3
JannikSinner,75.7,51.2,2.8,,2.2,8.4,74.4,47.7,2.0,2.2,13.3,89.0,55.9,5.5,2.3,1.5
NovakDjokovic,76.2,51.5,1.9,,2.2,10.2,72.9,49.8,1.5,2.1,14.4,88.8,54.3,2.8,2.2,2.3
StefanosTsitsipas,74.2,45.8,2.9,,2.2,10.3,70.7,42.0,2.3,2.2,15.7,88.0,51.1,4.6,2.2,2.4
