Rk,Player,M,M W%,Ace%,1stIn,1st%,2nd%,2%-InP,Hld%,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,G W%,DF_avg,SPW_avg,RPW_avg
1,Jannik Sinner,79,92.4,9.9,61.6,79.3,57.8,61.7,91.5,7.5,3.1,31.9,55.9,28.3,42.2,658,0.67,3.1,8.3,3.5,73.6,0.32,1.6,4.1,0.41,1.1,55.3,75.8,60.3,4.4,70.4,41.6
2,Alexander Zverev,89,76.4,11.5,71.4,76.6,54.8,60.3,90.0,6.5,2.5,29.8,51.4,22.5,37.3,705,0.6,2.9,7.9,3.0,69.2,0.32,1.6,4.3,0.49,1.3,53.4,60.0,56.3,5.9,69.5,38.3
3,Carlos Alcaraz,67,80.6,6.3,65.5,73.6,57.7,62.5,86.7,5.1,3.5,34.4,54.4,30.9,42.0,593,0.74,3.4,8.9,3.7,64.5,0.37,1.8,4.5,0.62,1.6,54.2,58.1,58.9,5.2,68.0,41.7
4,Taylor Fritz,76,69.7,13.1,62.9,78.3,55.7,59.3,88.5,7.7,3.8,27.4,49.5,20.1,39.1,501,0.51,2.5,6.6,2.6,69.6,0.38,1.9,5.0,0.57,1.5,52.6,64.7,54.8,4.2,68.5,35.8
5,Jack Draper,61,63.9,10.8,59.6,78.0,50.9,56.6,84.1,8.3,3.5,29.7,50.4,24.2,42.4,446,0.57,2.8,7.3,3.1,60.3,0.4,1.9,5.1,0.77,2.0,52.0,54.2,54.1,7.1,66.5,38.2
6,Novak Djokovic,46,80.4,8.2,64.4,75.4,55.9,60.9,85.9,6.9,3.2,33.5,54.6,29.9,41.6,418,0.72,3.3,9.1,3.8,65.3,0.41,1.9,5.3,0.66,1.8,54.6,68.4,58.3,5.6,68.1,41.8
7,Casper Ruud,76,67.1,7.5,65.8,73.0,54.4,59.0,84.0,8.5,3.3,29.7,50.3,24.0,40.5,533,0.59,2.7,7.0,2.8,63.4,0.44,2.0,5.2,0.73,1.9,52.0,60.7,54.2,5.2,66.2,38.2
8,Alex De Minaur,68,69.1,6.2,54.6,72.6,54.6,59.3,80.7,5.8,3.9,32.9,55.6,31.1,45.0,575,0.69,3.2,8.5,3.8,59.7,0.48,2.2,5.8,0.89,2.3,52.7,61.1,55.7,5.8,64.5,42.1
9,Lorenzo Musetti,68,58.8,4.4,64.7,70.4,52.4,55.7,78.8,6.9,3.3,29.2,51.7,22.2,36.8,524,0.6,2.9,7.7,2.8,57.0,0.49,2.3,6.3,1.01,2.7,50.5,52.9,50.6,4.0,63.9,37.8
10,Holger Rune,68,66.2,8.4,60.2,74.0,55.2,60.6,84.7,7.8,3.5,26.8,48.7,18.9,37.9,428,0.5,2.4,6.3,2.4,65.8,0.45,2.2,5.6,0.74,1.9,50.9,64.5,51.9,6.3,66.2,35.4
11,Daniil Medvedev,65,70.8,8.0,61.8,73.2,49.3,57.5,80.0,5.8,3.1,32.5,52.7,28.0,44.4,538,0.63,3.0,8.3,3.7,61.2,0.51,2.4,6.7,0.94,2.6,51.8,71.4,53.8,9.9,64.4,40.2
12,Tommy Paul,64,70.3,7.0,61.9,71.6,55.0,58.3,82.2,5.2,2.9,34.2,52.2,28.5,41.4,536,0.69,3.2,8.4,3.5,66.2,0.53,2.5,6.5,0.84,2.2,52.9,60.9,55.6,3.8,64.6,41.0
13,Ben Shelton,67,61.2,11.0,69.0,75.6,54.2,61.8,88.8,7.1,3.6,25.0,45.5,14.9,34.6,396,0.43,2.2,5.9,2.0,72.8,0.41,2.1,5.7,0.57,1.6,50.8,48.0,52.1,8.0,68.6,32.4
14,Arthur Fils,66,57.6,8.4,61.1,75.2,49.5,55.7,82.3,7.3,2.8,29.3,48.3,20.0,39.0,413,0.51,2.4,6.3,2.4,63.8,0.49,2.3,6.0,0.84,2.2,50.7,60.0,51.2,7.7,65.2,36.8
15,Grigor Dimitrov,64,71.9,10.7,61.2,80.1,52.4,59.6,87.3,9.5,3.3,28.3,51.4,21.1,37.3,464,0.57,2.7,7.3,2.7,67.2,0.39,1.9,5.0,0.62,1.7,52.7,71.4,54.5,8.3,69.4,38.0
16,Frances Tiafoe,57,56.1,9.6,59.0,74.2,54.1,58.1,84.0,12.9,4.2,27.2,48.8,18.1,35.2,401,0.51,2.6,7.0,2.5,64.4,0.45,2.2,6.1,0.79,2.2,50.5,51.3,50.9,5.0,65.2,36.4
17,Andrey Rublev,69,62.3,10.2,61.8,76.4,53.6,58.5,86.8,10.0,3.7,28.5,51.9,20.5,35.5,518,0.58,2.9,7.5,2.7,68.8,0.42,2.1,5.6,0.67,1.7,52.2,43.2,53.7,5.8,67.1,38.4
18,Francisco Cerundolo,66,53.0,4.2,64.3,67.9,51.7,57.8,77.4,4.9,2.5,31.5,50.5,25.7,43.4,475,0.59,2.8,7.2,3.1,60.9,0.58,2.8,7.0,1.08,2.8,50.4,48.5,51.6,7.2,62.5,38.6
19,Stefanos Tsitsipas,67,67.2,8.4,60.8,74.3,54.8,60.6,86.4,6.8,2.7,28.6,48.0,22.4,41.5,436,0.54,2.6,6.5,2.7,68.4,0.43,2.1,5.3,0.68,1.7,51.6,56.3,54.7,6.7,66.5,36.2
20,Tomas Machac,56,58.9,6.3,64.0,69.1,52.8,58.1,79.0,8.3,3.4,30.1,50.3,24.4,43.7,389,0.56,2.7,6.9,3.0,59.4,0.52,2.5,6.4,1.0,2.6,50.5,62.5,51.7,6.2,63.1,38.2
21,Jakub Mensik,45,55.6,12.0,59.9,74.1,47.3,53.2,80.5,8.5,3.8,27.2,50.3,19.5,39.6,285,0.49,2.2,6.3,2.5,64.8,0.55,2.6,7.2,0.9,2.5,49.9,54.3,50.1,7.8,62.4,35.8
22,Ugo Humbert,63,61.9,8.6,63.8,73.5,55.0,58.8,85.9,7.7,3.9,28.7,50.6,22.2,38.4,461,0.58,2.7,7.3,2.8,66.0,0.42,2.0,5.4,0.68,1.8,51.9,41.7,54.3,4.4,66.0,37.2
23,Sebastian Korda,50,62.0,10.5,60.2,74.4,52.3,55.5,82.1,8.0,3.8,28.4,51.7,22.2,38.3,350,0.58,2.8,7.0,2.7,60.4,0.45,2.2,5.5,0.86,2.2,51.0,46.2,52.1,4.1,64.4,37.6
24,Karen Khachanov,59,62.7,9.6,64.3,74.6,52.2,55.5,83.2,9.7,3.4,27.4,52.2,21.9,40.5,407,0.54,2.7,6.9,2.8,61.9,0.44,2.2,5.6,0.83,2.1,51.3,60.6,52.5,4.0,65.6,37.4
25,Alexei Popyrin,50,56.0,11.8,64.1,75.1,50.4,56.2,84.5,8.9,4.0,26.9,47.2,18.2,36.1,321,0.5,2.5,6.4,2.3,66.8,0.47,2.3,5.9,0.75,2.0,50.4,46.2,51.2,7.0,65.3,34.8
26,Alejandro Davidovich Fokina,40,45.0,6.2,67.6,68.2,51.7,56.9,78.9,9.3,3.5,28.7,50.4,22.5,40.4,280,0.56,2.7,7.0,2.8,62.3,0.56,2.8,7.1,1.04,2.7,50.1,29.2,50.7,6.2,62.6,38.0
