Rk;Player;M;M W-L;M W%;SPW;SPW-InP;Aces;Ace%;DFs;DF%;DF/2s;1stIn;1st%;2nd%;2%-InP;Hld%;Pts/SG;PtsL/SG;Rk;Player;M;RPW;RPW-InP;vAce%;vDF%;v1st%;v2nd%;Brk%;Pts/RG;PtsW/RG;MdOppRk;MnOppRk;Rk;Player;M;BPConv%;BPConv;BPChnc;BP/G;BP/S;BP/M;Bks/S;Bks/M;BPSvd%;BPSaved;BPvs;BPvs/G;BPvs/S;BPvs/M;Bkn/S;Bkn/M;Rk;Player;M;DR;Points;TPW%;TBs;TB W-L;TB W%;TB/S;Sets;Set W-L;S W%;Gms;Game W-L;G W%;Time/Mt;Min/Set;Sec/Pt
11;Stefanos Tsitsipas [GRE];73;49-24;67.1%;69.9%;68.7%;557;9.6%;154;2.7%;7.4%;64.0%;78.1%;55.3%;59.7%;88.8%;6.0;1.8;11;Stefanos Tsitsipas [GRE];73;34.7%;35.0%;6.9%;3.3%;27.0%;48.6%;19.3%;6.2;2.1;42.5;60.6;11;Stefanos Tsitsipas [GRE];73;38.0%;183;482;0.51;2.5;6.6;0.95;2.5;65.9%;207;314;0.33;1.6;4.3;0.56;1.5;11;Stefanos Tsitsipas [GRE];73;1.15;11643;52.2%;50;27-23;54.0%;26.0%;192;122-70;63.5%;1907;1035-872;54.3%;1:54;43.3;42.9
12;Tommy Paul [USA];68;41-27;60.3%;64.7%;63.6%;456;8.1%;163;2.9%;7.7%;62.2%;72.1%;52.7%;57.1%;81.4%;6.4;2.2;12;Tommy Paul [USA];68;38.4%;38.4%;6.4%;3.9%;30.7%;51.1%;24.3%;6.6;2.6;48.5;82.9;12;Tommy Paul [USA];68;37.7%;213;565;0.64;3.1;8.3;1.16;3.1;61.3%;260;424;0.48;2.3;6.2;0.90;2.4;12;Tommy Paul [USA];68;1.09;11439;51.3%;35;17-18;48.6%;19.1%;183;105-78;57.4%;1760;932-828;53.0%;0,083333333;44.5;42.7
13;Holger Rune [DEN];68;44-24;64.7%;65.1%;66.0%;362;6.7%;260;4.8%;12.8%;62.0%;72.4%;53.2%;61.0%;83.2%;6.3;2.2;13;Holger Rune [DEN];68;36.8%;36.3%;6.4%;4.4%;28.9%;49.4%;21.7%;6.4;2.3;46.0;77.1;13;Holger Rune [DEN];68;39.6%;182;460;0.55;2.6;6.8;1.02;2.7;64.1%;253;395;0.47;2.2;5.8;0.79;2.1;13;Holger Rune [DEN];68;1.05;10721;51.0%;34;23-nov;67.6%;19.0%;179;112-67;62.6%;1685;887-798;52.6%;1:56;44.2;44.3
14;Ugo Humbert [FRA];56;33-23;58.9%;65.1%;64.2%;369;8.6%;142;3.3%;8.4%;60.6%;74.2%;51.3%;56.0%;81.7%;6.3;2.2;14;Ugo Humbert [FRA];56;36.8%;37.1%;6.5%;3.5%;28.9%;50.4%;21.7%;6.5;2.4;45.5;66.0;14;Ugo Humbert [FRA];56;35.7%;146;409;0.61;2.9;7.3;1.04;2.6;61.7%;201;326;0.48;2.3;5.8;0.89;2.2;14;Ugo Humbert [FRA];56;1.06;8654;50.9%;29;13-16;44.8%;20.6%;141;79-62;56.0%;1358;705-653;51.9%;1:52;44.3;43.3
15;Jack Draper [GBR];31;19-dic;61.3%;66.5%;64.6%;261;11.7%;77;3.4%;8.7%;60.5%;76.9%;50.7%;55.6%;86.3%;6.4;2.1;15;Jack Draper [GBR];31;38.1%;38.9%;7.2%;3.3%;29.0%;52.7%;26.1%;6.3;2.4;35.0;53.7;15;Jack Draper [GBR];31;45.6%;93;204;0.57;2.7;6.6;1.24;3.0;71.1%;118;166;0.47;2.2;5.4;0.64;1.5;15;Jack Draper [GBR];31;1.14;4485;52.3%;13;05-ago;38.5%;17.3%;75;48-27;64.0%;707;396-311;56.0%;1:43;42.4;42.5
16;Hubert Hurkacz [POL];68;45-23;66.2%;69.2%;64.7%;1044;16.8%;138;2.2%;6.2%;63.9%;79.6%;50.7%;54.0%;88.1%;6.2;1.9;16;Hubert Hurkacz [POL];68;34.3%;34.5%;7.1%;3.4%;27.1%;46.2%;16.3%;6.6;2.2;45.5;54.7;16;Hubert Hurkacz [POL];68;35.2%;162;460;0.46;2.3;6.8;0.83;2.4;64.6%;217;336;0.33;1.7;4.9;0.61;1.8;16;Hubert Hurkacz [POL];68;1.11;12726;51.3%;62;32-30;51.6%;31.6%;196;116-80;59.2%;1997;1047-950;52.4%;2:10;45.0;41.6
17;Lorenzo Musetti [ITA];61;32-29;52.5%;63.1%;63.2%;236;5.4%;147;3.4%;8.7%;61.6%;70.6%;51.1%;56.0%;78.7%;6.3;2.3;17;Lorenzo Musetti [ITA];61;38.7%;38.7%;5.5%;3.4%;31.5%;50.8%;25.4%;6.3;2.5;64.5;91.8;17;Lorenzo Musetti [ITA];61;42.9%;178;415;0.59;2.8;6.8;1.19;2.9;57.7%;202;350;0.50;2.3;5.7;0.99;2.4;17;Lorenzo Musetti [ITA];61;1.05;8827;50.8%;15;10-may;66.7%;10.1%;149;78-71;52.3%;1395;724-671;51.9%;1:45;43.0;43.6
18;Frances Tiafoe [USA];60;39-21;65.0%;67.1%;65.4%;495;10.6%;137;2.9%;7.4%;60.1%;76.4%;53.2%;57.5%;85.7%;6.3;2.1;18;Frances Tiafoe [USA];60;36.3%;38.3%;11.8%;4.0%;27.2%;50.6%;21.4%;6.5;2.3;59.0;99.5;18;Frances Tiafoe [USA];60;38.5%;160;416;0.56;2.8;6.9;1.06;2.7;65.2%;199;305;0.41;2.0;5.1;0.70;1.8;18;Frances Tiafoe [USA];60;1.10;9489;51.4%;35;20-15;57.1%;23.2%;151;93-58;61.6%;1489;795-694;53.4%;1:48;42.8;40.9
19;Karen Khachanov [RUS];52;34-18;65.4%;66.4%;64.8%;362;9.0%;99;2.5%;6.8%;63.6%;73.9%;53.3%;57.1%;84.0%;6.3;2.1;19;Karen Khachanov [RUS];52;38.5%;39.7%;8.4%;3.4%;30.3%;51.3%;23.5%;6.5;2.5;40.5;52.4;19;Karen Khachanov [RUS];52;40.9%;150;367;0.57;2.7;7.1;1.11;2.9;62.5%;172;275;0.43;2.0;5.3;0.76;2.0;19;Karen Khachanov [RUS];52;1.14;8203;52.1%;19;12-jul;63.2%;14.1%;135;84-51;62.2%;1282;690-592;53.8%;2:00;46.2;45.6
20;Arthur Fils [FRA];40;23-17;57.5%;64.6%;64.5%;258;8.4%;134;4.3%;11.2%;61.2%;74.2%;49.5%;55.7%;82.0%;6.4;2.3;20;Arthur Fils [FRA];40;35.1%;35.3%;7.4%;3.6%;27.5%;48.7%;19.0%;6.3;2.2;52.5;56.5;20;Arthur Fils [FRA];40;37.9%;91;240;0.50;2.3;6.0;0.87;2.3;62.7%;146;233;0.48;2.2;5.8;0.83;2.2;20;Arthur Fils [FRA];40;0.99;6081;50.1%;21;14-jul;66.7%;20.0%;105;59-46;56.2%;960;486-474;50.6%;1:44;39.4;40.8
