Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
16‑Jan‑2023,Australian Open,Hard,R16,16,4,(3)Stefanos Tsitsipas[GRE]d.(15)Sinner,6-4 6-4 3-6 4-6 6-3,(ch),1.06,8.1%,2.2%,67.6%,71.7%,52.3%,6/11,4:00
16‑Jan‑2023,Australian Open,Hard,R32,16,78,(15)Sinnerd.Marton Fucsovics[HUN],4-6 4-6 6-1 6-2 6-0,(ch),1.27,4.4%,3.7%,59.3%,71.3%,45.5%,7/12,3:33
16‑Jan‑2023,Australian Open,Hard,R64,16,79,(15)Sinnerd.Tomas Martin Etcheverry[ARG],6-3 6-2 6-2,(ch),2.09,8.8%,4.4%,61.8%,88.1%,61.5%,0/0,1:44
16‑Jan‑2023,Australian Open,Hard,R128,16,581,(15)Sinnerd.Kyle Edmund[GBR],6-4 6-0 6-2,(ch),1.71,7.3%,2.4%,65.9%,81.5%,42.9%,5/6,1:56
2‑Jan‑2023,Adelaide 1,Hard,QF,15,33,Sebastian Korda[USA]d.(6)Sinner,7-5 6-1,(ch),0.64,15.1%,5.7%,64.2%,67.6%,31.6%,4/9,1:26
2‑Jan‑2023,Adelaide 1,Hard,R16,15,93,(6)Sinnerd.(WC)Thanasi Kokkinakis[AUS],7-6(2) 6-4,(ch),1.08,6.4%,2.6%,74.4%,69.0%,60.0%,6/7,2:02
2‑Jan‑2023,Adelaide 1,Hard,R32,15,582,(6)Sinnerd.(PR)Kyle Edmund[GBR],6-3 6-2,,3.76,12.2%,2.4%,61.0%,92.0%,81.3%,0/0,1:05
31‑Oct‑2022,Paris Masters,Hard,R64,12,61,(Q)Marc Andrea Huesler[SUI]d.(11)Sinner,6-2 6-3,,0.57,4.0%,8.0%,42.0%,66.7%,44.8%,1/5,1:08
24‑Oct‑2022,Vienna,Hard,QF,12,4,(1)Daniil Medvedev[RUS]d.(6)Sinner,6-4 6-2,(ch),0.61,6.5%,0.0%,53.2%,63.6%,48.3%,3/6,1:30
24‑Oct‑2022,Vienna,Hard,R16,12,29,(6)Sinnerd.Francisco Cerundolo[ARG],7-5 6-3,,1.23,3.1%,0.0%,64.6%,64.3%,60.9%,2/4,1:29
24‑Oct‑2022,Vienna,Hard,R32,12,86,(6)Sinnerd.Cristian Garin[CHI],6-3 6-2,(ch),2.77,20.9%,2.3%,60.5%,92.3%,70.6%,0/0,1:13
26‑Sep‑2022,Sofia,Hard,SF,10,31,(5)Holger Rune[DEN]d.(1)Sinner,5-7 6-4 5-2 RET,(ch),1.07,13.8%,1.3%,67.5%,72.2%,53.8%,1/4,2:29
26‑Sep‑2022,Sofia,Hard,QF,10,144,(1)Sinnerd.Aleksandar Vukic[AUS],6-2 6-3,,1.80,15.0%,8.3%,50.0%,83.3%,56.7%,6/7,1:20
26‑Sep‑2022,Sofia,Hard,R16,10,93,(1)Sinnerd.Nuno Borges[POR],6-3 6-4,,1.23,16.4%,8.2%,59.0%,88.9%,44.0%,0/0,1:25
18‑Sep‑2022,Davis Cup Finals RR: ITA vs SWE,Hard,RR,11,98,Mikael Ymer[SWE]d.Sinner,6-4 3-6 6-3,,,,,,,,,
16‑Sep‑2022,Davis Cup Finals RR: ITA vs ARG,Hard,RR,11,27,Sinnerd.Francisco Cerundolo[ARG],7-5 1-6 6-3,,,,,,,,,
29‑Aug‑2022,US Open,Hard,QF,13,4,(3)Carlos Alcaraz[ESP]d.(11)Sinner,6-3 6-7(7) 6-7(0) 7-5 6-3,(ch),0.86,3.8%,5.2%,54.9%,64.1%,44.8%,15/26,5:15
29‑Aug‑2022,US Open,Hard,R16,13,73,(11)Sinnerd.Ilya Ivashka[BLR],6-1 5-7 6-2 4-6 6-3,(ch),1.24,3.7%,10.4%,46.3%,72.6%,48.6%,6/14,3:48
29‑Aug‑2022,US Open,Hard,R32,13,69,(11)Sinnerd.Brandon Nakashima[USA],3-6 6-4 6-1 6-2,(ch),1.27,13.8%,3.4%,60.3%,74.3%,50.0%,6/8,2:59
29‑Aug‑2022,US Open,Hard,R64,13,145,(11)Sinnerd.Christopher Eubanks[USA],6-4 7-6(8) 6-2,,1.64,13.6%,4.5%,54.5%,85.4%,62.5%,3/4,2:24
29‑Aug‑2022,US Open,Hard,R128,13,93,(11)Sinnerd.Daniel Altmaier[GER],5-7 6-2 6-1 3-6 6-1,,1.60,13.2%,4.1%,57.0%,75.4%,67.3%,6/9,3:35
15‑Aug‑2022,Cincinnati Masters,Hard,R16,12,9,(7)Felix Auger Aliassime[CAN]d.(10)Sinner,2-6 7-6(1) 6-1,(ch),0.87,4.3%,4.3%,55.9%,63.5%,56.1%,5/8,2:26
15‑Aug‑2022,Cincinnati Masters,Hard,R32,12,36,(10)Sinnerd.Miomir Kecmanovic[SRB],7-5 3-1 RET,,1.67,12.5%,5.0%,55.0%,95.5%,44.4%,0/1,1:15
15‑Aug‑2022,Cincinnati Masters,Hard,R64,12,75,(10)Sinnerd.(Q)Thanasi Kokkinakis[AUS],6-7(9) 6-4 7-6(6),,1.15,5.4%,2.7%,53.6%,76.7%,63.5%,5/6,3:14
8‑Aug‑2022,Canada Masters,Hard,R16,12,23,Pablo Carreno Busta[ESP]d.(7)Sinner,6-2 6-4,(ch),0.63,9.3%,3.7%,50.0%,77.8%,44.4%,2/5,1:24
8‑Aug‑2022,Canada Masters,Hard,R32,12,70,(7)Sinnerd.(Q)Adrian Mannarino[FRA],2-6 6-4 6-2,,0.98,16.5%,5.1%,53.2%,78.6%,48.6%,2/4,2:05
25‑Jul‑2022,Umag,Clay,F,10,5,(2)Sinnerd.(1)Carlos Alcaraz[ESP],6-7(5) 6-1 6-1,(ch),1.36,6.5%,4.3%,57.6%,77.4%,61.5%,9/9,2:25
25‑Jul‑2022,Umag,Clay,SF,10,136,(2)Sinnerd.(Q)Franco Agamenone[ITA],6-1 6-3,(ch),1.74,0.0%,2.3%,62.8%,77.8%,56.3%,2/3,1:26
25‑Jul‑2022,Umag,Clay,QF,10,86,(2)Sinnerd.Roberto Carballes Baena[ESP],6-4 7-6(5),(ch),1.45,8.8%,2.9%,51.5%,82.9%,60.6%,0/1,2:18
25‑Jul‑2022,Umag,Clay,R16,10,59,(2)Sinnerd.Jaume Munar[ESP],6-4 6-4,,1.25,1.5%,5.9%,52.9%,72.2%,50.0%,6/8,1:56
27‑Jun‑2022,Wimbledon,Grass,QF,13,3,(1)Novak Djokovic[SRB]d.(10)Sinner,5-7 2-6 6-3 6-2 6-2,(ch),0.79,6.0%,5.2%,53.7%,69.4%,50.0%,9/15,3:35
27‑Jun‑2022,Wimbledon,Grass,R16,13,7,(10)Sinnerd.(5)Carlos Alcaraz[ESP],6-1 6-4 6-7(8) 6-3,(ch),1.27,2.8%,3.5%,57.3%,74.4%,65.6%,7/7,3:35
27‑Jun‑2022,Wimbledon,Grass,R32,13,24,(10)Sinnerd.(20)John Isner[USA],6-4 7-6(4) 6-3,,1.46,2.1%,3.2%,55.8%,81.1%,69.0%,0/0,2:20
27‑Jun‑2022,Wimbledon,Grass,R64,13,88,(10)Sinnerd.Mikael Ymer[SWE],6-4 6-3 5-7 6-2,,1.47,3.8%,4.7%,59.4%,79.4%,55.8%,3/6,3:03
27‑Jun‑2022,Wimbledon,Grass,R128,13,267,(10)Sinnerd.Stan Wawrinka[SUI],7-5 4-6 6-3 6-2,,1.34,7.8%,2.6%,63.8%,77.0%,59.5%,3/5,2:41
20‑Jun‑2022,Eastbourne,Grass,R16,13,35,Tommy Paul[USA]d.(2)Sinner,6-3 3-6 6-3,(ch),1.02,6.6%,5.3%,48.7%,81.1%,59.0%,2/4,2:04
23‑May‑2022,Roland Garros,Clay,R16,12,7,(7)Andrey Rublev[RUS]d.(11)Sinner,1-6 6-4 2-0 RET,,0.79,9.1%,4.5%,51.5%,70.6%,50.0%,3/5,
23‑May‑2022,Roland Garros,Clay,R32,12,60,(11)Sinnerd.Mackenzie Mcdonald[USA],6-3 7-6(6) 6-3,,1.27,3.8%,1.9%,56.6%,75.0%,56.5%,7/8,
