Rk;Player;M;M W-L;M W%;SPW;SPW-InP;Aces;Ace%;DFs;DF%;DF/2s;1stIn;1st%;2nd%;2%-InP;Hld%;Pts/SG;PtsL/SG;Rk;Player;M;RPW;RPW-InP;vAce%;vDF%;v1st%;v2nd%;Brk%;Pts/RG;PtsW/RG;MdOppRk;MnOppRk;Rk;Player;M;BPConv%;BPConv;BPChnc;BP/G;BP/S;BP/M;Bks/S;Bks/M;BPSvd%;BPSaved;BPvs;BPvs/G;BPvs/S;BPvs/M;Bkn/S;Bkn/M;Rk;Player;M;DR;Points;TPW%;TBs;TB W-L;TB W%;TB/S;Sets;Set W-L;S W%;Gms;Game W-L;G W%;Time/Mt;Min/Set;Sec/Pt
1;Jannik Sinner [ITA];63;47-16;74.6%;65.7%;65.3%;384;7.6%;172;3.4%;8.1%;58.4%;74.5%;53.4%;58.1%;83.4%;6.2;2.1;1;Jannik Sinner [ITA];63;39.9%;40.0%;5.5%;3.5%;32.4%;52.7%;26.5%;6.6;2.6;60.5;71.0;1;Jannik Sinner [ITA];63;41.7%;212;508;0.64;2.9;8.1;1.20;3.4;62.1%;221;356;0.44;2.0;5.7;0.77;2.1;1;Jannik Sinner [ITA];63;1.16;10322;52.6%;23;16-jul;69.6%;13.1%;176;119-57;67.6%;1614;892-722;55.3%;1:58;42.3;43.2
2;Alexander Zverev [GER];39;29-oct;74.4%;66.3%;66.3%;282;9.7%;144;4.9%;17.4%;71.6%;73.4%;48.4%;58.6%;84.2%;6.2;2.1;2;Alexander Zverev [GER];39;39.6%;39.5%;3.6%;2.4%;34.0%;49.6%;26.9%;6.4;2.5;38.0;56.5;2;Alexander Zverev [GER];39;45.7%;126;276;0.59;2.8;7.1;1.29;3.2;61.5%;120;195;0.41;2.0;5.0;0.77;1.9;2;Alexander Zverev [GER];39;1.17;5916;52.7%;15;12-mar;80.0%;15.3%;98;70-28;71.4%;943;525-418;55.7%;1:34;37.5;37.3
3;Carlos Alcaraz [ESP];70;57-13;81.4%;66.3%;66.8%;259;4.6%;173;3.1%;9.0%;66.0%;71.9%;55.5%;61.0%;84.7%;6.2;2.1;3;Carlos Alcaraz [ESP];70;41.4%;41.1%;4.1%;3.5%;34.0%;53.4%;30.6%;6.8;2.8;29.0;46.5;3;Carlos Alcaraz [ESP];70;40.2%;278;691;0.76;3.6;9.9;1.45;4.0;65.5%;264;403;0.44;2.1;5.8;0.72;2.0;3;Carlos Alcaraz [ESP];70;1.23;11790;53.3%;37;22-15;59.5%;19.3%;192;141-51;73.4%;1814;1045-769;57.6%;0,083333333;43.6;42.6
4;Taylor Fritz [USA];66;45-21;68.2%;67.3%;64.7%;641;12.1%;136;2.6%;6.7%;62.0%;76.4%;52.6%;56.4%;84.5%;6.2;2.0;4;Taylor Fritz [USA];66;38.2%;38.5%;6.7%;3.6%;30.0%;52.3%;24.7%;6.6;2.5;39.0;76.6;4;Taylor Fritz [USA];66;38.1%;208;546;0.65;3.0;8.3;1.13;3.2;62.3%;220;353;0.41;1.9;5.3;0.72;2.0;4;Taylor Fritz [USA];66;1.17;10852;52.4%;44;24-20;54.5%;23.9%;184;116-68;63.0%;1701;934-767;54.9%;1:51;39.6;40.3
5;Daniil Medvedev [RUS];64;45-19;70.3%;67.3%;66.7%;590;11.8%;252;5.1%;14.2%;64.4%;76.3%;51.0%;59.5%;86.4%;6.3;2.1;5;Daniil Medvedev [RUS];64;39.6%;39.5%;4.6%;3.2%;31.8%;53.7%;26.7%;6.6;2.6;38.5;55.7;5;Daniil Medvedev [RUS];64;42.4%;208;490;0.63;3.0;7.7;1.28;3.3;68.0%;227;334;0.42;2.0;5.2;0.66;1.7;5;Daniil Medvedev [RUS];64;1.21;10099;53.3%;29;17-dic;58.6%;17.8%;163;115-48;70.6%;1565;887-678;56.7%;1:48;42.4;41.0
6;Casper Ruud [NOR];72;50-22;69.4%;68.0%;67.3%;423;7.5%;145;2.6%;7.3%;65.1%;74.8%;55.4%;59.8%;85.6%;6.1;1.9;6;Casper Ruud [NOR];72;36.9%;37.8%;7.5%;3.1%;29.2%;50.6%;22.4%;6.4;2.4;39.5;68.3;6;Casper Ruud [NOR];72;37.5%;203;542;0.60;2.9;7.5;1.07;2.8;63.1%;229;363;0.39;1.9;5.0;0.71;1.9;6;Casper Ruud [NOR];72;1.16;11438;52.3%;38;25-13;65.8%;20.1%;189;122-67;64.6%;1837;1001-836;54.5%;1:46;40.3;40.0
7;Novak Djokovic [SRB];49;42-7;85.7%;70.1%;69.3%;282;8.0%;88;2.5%;7.3%;65.6%;77.2%;56.5%;60.9%;87.9%;6.0;1.8;7;Novak Djokovic [SRB];49;41.2%;42.2%;7.8%;3.9%;33.5%;55.6%;28.5%;6.8;2.8;22.0;46.3;7;Novak Djokovic [SRB];49;42.2%;159;377;0.68;3.0;7.7;1.26;3.2;64.3%;128;199;0.34;1.6;4.1;0.56;1.4;7;Novak Djokovic [SRB];49;1.38;7289;55.1%;24;19-may;79.2%;19.0%;126;99-27;78.6%;1142;673-469;58.9%;1:46;41.2;42.7
8;Andrey Rublev [RUS];71;51-20;71.8%;66.9%;65.0%;558;10.2%;146;2.7%;7.1%;62.3%;76.3%;51.3%;55.2%;84.8%;6.2;2.0;8;Andrey Rublev [RUS];71;38.2%;39.4%;8.9%;3.9%;29.9%;51.5%;23.5%;6.6;2.5;39.0;50.4;8;Andrey Rublev [RUS];71;39.4%;209;531;0.60;2.9;7.5;1.13;2.9;63.6%;236;371;0.42;2.0;5.2;0.73;1.9;8;Andrey Rublev [RUS];71;1.15;11355;52.1%;25;15-oct;60.0%;13.5%;185;119-66;64.3%;1781;964-817;54.1%;1:38;37.7;36.9
9;Alex De Minaur [AUS];71;46-25;64.8%;62.5%;62.5%;238;4.6%;141;2.7%;6.7%;59.4%;69.3%;52.6%;56.4%;78.5%;6.5;2.4;9;Alex De Minaur [AUS];71;40.3%;40.9%;5.2%;2.7%;33.2%;52.5%;28.4%;6.5;2.6;43.0;50.1;9;Alex De Minaur [AUS];71;43.4%;228;525;0.65;2.9;7.4;1.26;3.2;62.6%;288;460;0.58;2.5;6.5;0.95;2.4;9;Alex De Minaur [AUS];71;1.08;10399;51.4%;27;15-dic;55.6%;14.9%;181;111-70;61.3%;1602;855-747;53.4%;1:45;41.2;43.0
10;Grigor Dimitrov [BUL];48;26-22;54.2%;66.2%;66.3%;267;7.7%;140;4.0%;10.8%;63.0%;75.0%;51.2%;57.4%;82.4%;6.1;2.1;10;Grigor Dimitrov [BUL];48;37.0%;37.3%;7.2%;3.7%;30.1%;49.5%;22.2%;6.5;2.4;54.0;63.5;10;Grigor Dimitrov [BUL];48;38.9%;126;324;0.57;2.7;6.8;1.07;2.6;60.5%;153;253;0.44;2.1;5.3;0.85;2.1;10;Grigor Dimitrov [BUL];48;1.09;7176;51.2%;22;10-dic;45.5%;18.6%;118;64-54;54.2%;1137;595-542;52.3%;1:43;41.9;41.4
11;Stefanos Tsitsipas [GRE];84;61-23;72.6%;68.5%;67.2%;615;9.5%;174;2.7%;7.3%;63.2%;76.4%;55.0%;59.4%;86.2%;6.1;1.9;11;Stefanos Tsitsipas [GRE];84;36.0%;35.8%;6.0%;3.5%;28.4%;49.5%;20.9%;6.4;2.3;41.5;62.3;11;Stefanos Tsitsipas [GRE];84;41.0%;215;525;0.51;2.4;6.3;0.99;2.6;66.2%;284;429;0.41;2.0;5.1;0.67;1.7;11;Stefanos Tsitsipas [GRE];84;1.14;13000;52.2%;45;29-16;64.4%;20.6%;218;143-75;65.6%;2083;1124-959;54.0%;1:45;40.5;40.8
12;Tommy Paul [USA];66;39-27;59.1%;63.5%;63.7%;255;5.0%;158;3.1%;8.2%;62.0%;71.0%;51.3%;55.9%;79.7%;6.4;2.3;12;Tommy Paul [USA];66;38.1%;38.0%;5.3%;3.4%;31.3%;50.0%;24.5%;6.5;2.5;46.0;75.3;12;Tommy Paul [USA];66;39.3%;193;491;0.62;2.9;7.4;1.13;2.9;61.7%;259;420;0.53;2.5;6.4;0.94;2.4;12;Tommy Paul [USA];66;1.04;10208;50.8%;31;15-16;48.4%;18.1%;171;95-76;55.6%;1582;826-756;52.2%;1:49;41.9;42.1
