Rk;Player;M;M W-L;M W%;SPW;SPW-InP;Aces;Ace%;DFs;DF%;DF/2s;1stIn;1st%;2nd%;2%-InP;Hld%;Pts/SG;PtsL/SG;Rk;Player;M;RPW;RPW-InP;vAce%;vDF%;v1st%;v2nd%;Brk%;Pts/RG;PtsW/RG;MdOppRk;MnOppRk;Rk;Player;M;BPConv%;BPConv;BPChnc;BP/G;BP/S;BP/M;Bks/S;Bks/M;BPSvd%;BPSaved;BPvs;BPvs/G;BPvs/S;BPvs/M;Bkn/S;Bkn/M;Rk;Player;M;DR;Points;TPW%;TBs;TB W-L;TB W%;TB/S;Sets;Set W-L;S W%;Gms;Game W-L;G W%;Time/Mt;Min/Set;Sec/Pt
1;Jannik Sinner [ITA];79;73-6;92.4%;71.1%;69.8%;594;9.9%;144;2.4%;6.3%;61.6%;79.3%;57.8%;61.7%;91.5%;5.9;1.7;1;Jannik Sinner [ITA];79;40.9%;42.3%;7.5%;3.1%;31.9%;55.9%;28.3%;6.7;2.7;27.0;41.0;1;Jannik Sinner [ITA];79;42.2%;278;658;0.67;3.1;8.3;1.32;3.5;73.6%;240;326;0.32;1.6;4.1;0.41;1.1;1;Jannik Sinner [ITA];79;1.41;12582;55.3%;33;25-ago;75.8%;15.7%;210;176-34;83.8%;1990;1200-790;60.3%;1:49;41.2;41.2
2;Alexander Zverev [GER];89;68-21;76.4%;70.4%;68.6%;808;11.5%;185;2.6%;9.2%;71.4%;76.6%;54.8%;60.3%;90.0%;6.0;1.8;2;Alexander Zverev [GER];89;37.9%;38.8%;6.5%;2.5%;29.8%;51.4%;22.5%;6.6;2.5;33.0;56.4;2;Alexander Zverev [GER];89;37.3%;263;705;0.60;2.9;7.9;1.09;3.0;69.2%;263;380;0.32;1.6;4.3;0.49;1.3;2;Alexander Zverev [GER];89;1.28;14735;53.4%;50;30-20;60.0%;20.7%;241;170-71;70.5%;2341;1317-1024;56.3%;1:52;41.3;40.5
3;Carlos Alcaraz [ESP];67;54-13;80.6%;68.1%;67.9%;308;6.3%;130;2.6%;7.7%;65.5%;73.6%;57.7%;62.5%;86.7%;6.1;1.9;3;Carlos Alcaraz [ESP];67;41.6%;41.7%;5.1%;3.5%;34.4%;54.4%;30.9%;6.7;2.8;29.0;56.2;3;Carlos Alcaraz [ESP];67;42.0%;249;593;0.74;3.4;8.9;1.44;3.7;64.5%;196;304;0.37;1.8;4.5;0.62;1.6;3;Carlos Alcaraz [ESP];67;1.31;10348;54.2%;31;18-13;58.1%;17.9%;173;130-43;75.1%;1618;953-665;58.9%;1:31;35.3;35.4
4;Taylor Fritz [USA];76;53-23;69.7%;69.9%;67.1%;795;13.1%;137;2.3%;6.1%;62.9%;78.3%;55.7%;59.3%;88.5%;6.0;1.8;4;Taylor Fritz [USA];76;35.6%;35.9%;7.7%;3.8%;27.4%;49.5%;20.1%;6.3;2.2;27.0;55.8;4;Taylor Fritz [USA];76;39.1%;196;501;0.51;2.5;6.6;0.96;2.6;69.6%;265;381;0.38;1.9;5.0;0.57;1.5;4;Taylor Fritz [USA];76;1.18;12181;52.6%;34;22-dic;64.7%;16.7%;204;133-71;65.2%;1981;1086-895;54.8%;1:41;37.7;37.9
5;Daniil Medvedev [RUS];65;46-19;70.8%;64.0%;64.8%;434;8.0%;298;5.5%;14.3%;61.8%;73.2%;49.3%;57.5%;80.0%;6.5;2.3;5;Daniil Medvedev [RUS];65;39.9%;40.5%;5.8%;3.1%;32.5%;52.7%;28.0%;6.6;2.6;31.0;36.0;5;Daniil Medvedev [RUS];65;44.4%;239;538;0.63;3.0;8.3;1.34;3.7;61.2%;265;433;0.51;2.4;6.7;0.94;2.6;5;Daniil Medvedev [RUS];65;1.11;11051;51.8%;28;20-ago;71.4%;15.7%;178;115-63;64.6%;1694;912-782;53.8%;1:50;40.2;38.9
6;Casper Ruud [NOR];76;51-25;67.1%;66.6%;65.9%;426;7.5%;152;2.7%;7.8%;65.8%;73.0%;54.4%;59.0%;84.0%;6.3;2.1;6;Casper Ruud [NOR];76;37.6%;38.9%;8.5%;3.3%;29.7%;50.3%;24.0%;6.4;2.4;37.0;72.5;6;Casper Ruud [NOR];76;40.5%;216;533;0.59;2.7;7.0;1.09;2.8;63.4%;251;396;0.44;2.0;5.2;0.73;1.9;6;Casper Ruud [NOR];76;1.13;11428;52.0%;28;17-nov;60.7%;14.1%;198;122-76;61.6%;1809;980-829;54.2%;1:36;36.7;38.2
7;Novak Djokovic [SRB];46;37-9;80.4%;68.4%;67.8%;299;8.2%;106;2.9%;8.2%;64.4%;75.4%;55.9%;60.9%;85.9%;6.1;1.9;7;Novak Djokovic [SRB];46;41.3%;42.4%;6.9%;3.2%;33.5%;54.6%;29.9%;6.6;2.7;32.0;68.7;7;Novak Djokovic [SRB];46;41.6%;174;418;0.72;3.3;9.1;1.36;3.8;65.3%;158;242;0.41;1.9;5.3;0.66;1.8;7;Novak Djokovic [SRB];46;1.31;7467;54.6%;19;13-jun;68.4%;14.8%;128;95-33;74.2%;1178;687-491;58.3%;1:39;35.6;36.6
8;Andrey Rublev [RUS];69;43-26;62.3%;67.7%;66.4%;578;10.2%;182;3.2%;8.4%;61.8%;76.4%;53.6%;58.5%;86.8%;6.2;2.0;8;Andrey Rublev [RUS];69;37.5%;39.2%;10.0%;3.7%;28.5%;51.9%;20.5%;6.6;2.5;48.5;58.6;8;Andrey Rublev [RUS];69;35.5%;184;518;0.58;2.9;7.5;1.02;2.7;68.8%;265;385;0.42;2.1;5.6;0.67;1.7;8;Andrey Rublev [RUS];69;1.16;11606;52.2%;37;16-21;43.2%;20.6%;180;106-74;58.9%;1805;970-835;53.7%;1:46;40.6;37.8
9;Alex De Minaur [AUS];68;47-21;69.1%;64.4%;64.6%;312;6.2%;184;3.6%;8.0%;54.6%;72.6%;54.6%;59.3%;80.7%;6.2;2.2;9;Alex De Minaur [AUS];68;42.0%;42.2%;5.8%;3.9%;32.9%;55.6%;31.1%;6.6;2.8;33.5;73.8;9;Alex De Minaur [AUS];68;45.0%;259;575;0.69;3.2;8.5;1.46;3.8;59.7%;234;392;0.48;2.2;5.8;0.89;2.3;9;Alex De Minaur [AUS];68;1.18;10590;52.7%;18;11-jul;61.1%;10.1%;178;116-62;65.2%;1653;920-733;55.7%;1:47;40.8;41.1
10;Grigor Dimitrov [BUL];64;46-18;71.9%;69.4%;69.3%;541;10.7%;234;4.6%;12.0%;61.2%;80.1%;52.4%;59.6%;87.3%;6.0;1.9;10;Grigor Dimitrov [BUL];64;37.1%;38.8%;9.5%;3.3%;28.3%;51.4%;21.1%;6.6;2.5;45.0;53.2;10;Grigor Dimitrov [BUL];64;37.3%;173;464;0.57;2.7;7.3;1.02;2.7;67.2%;217;323;0.39;1.9;5.0;0.62;1.7;10;Grigor Dimitrov [BUL];64;1.21;10470;52.7%;35;25-oct;71.4%;20.6%;170;115-55;67.6%;1652;901-751;54.5%;1:49;41.1;40.0
11;Stefanos Tsitsipas [GRE];67;45-22;67.2%;66.7%;66.3%;446;8.4%;199;3.8%;9.6%;60.8%;74.3%;54.8%;60.6%;86.4%;6.4;2.1;11;Stefanos Tsitsipas [GRE];67;35.8%;36.5%;6.8%;2.7%;28.6%;48.0%;22.4%;6.2;2.2;44.0;69.6;11;Stefanos Tsitsipas [GRE];67;41.5%;181;436;0.54;2.6;6.5;1.08;2.7;68.4%;245;358;0.43;2.1;5.3;0.68;1.7;11;Stefanos Tsitsipas [GRE];67;1.07;10341;51.6%;32;18-14;56.3%;19.2%;167;105-62;62.9%;1637;896-741;54.7%;1:35;38.2;37.0
12;Tommy Paul [USA];64;45-19;70.3%;65.2%;64.1%;355;7.0%;109;2.1%;5.6%;61.9%;71.6%;55.0%;58.3%;82.2%;6.4;2.2;12;Tommy Paul [USA];64;40.8%;41.3%;5.2%;2.9%;34.2%;52.2%;28.5%;6.6;2.7;48.5;58.8;12;Tommy Paul [USA];64;41.4%;222;536;0.69;3.2;8.4;1.32;3.5;66.2%;276;417;0.53;2.5;6.5;0.84;2.2;12;Tommy Paul [USA];64;1.17;10239;52.9%;23;14-sep;60.9%;13.7%;168;113-55;67.3%;1569;872-697;55.6%;1:43;39.1;38.5
13;Holger Rune [DEN];68;45-23;66.2%;66.5%;66.0%;456;8.4%;194;3.6%;9.0%;60.2%;74.0%;55.2%;60.6%;84.7%;6.3;2.1;13;Holger Rune [DEN];68;35.2%;35.7%;7.8%;3.5%;26.8%;48.7%;18.9%;6.3;2.2;45.0;79.7;13;Holger Rune [DEN];68;37.9%;162;428;0.50;2.4;6.3;0.91;2.4;65.8%;252;383;0.45;2.2;5.6;0.74;1.9;13;Holger Rune [DEN];68;1.05;10833;50.9%;31;20-nov;64.5%;17.4%;178;107-71;60.1%;1714;889-825;51.9%;1:46;40.3;39.8
14;Ugo Humbert [FRA];63;39-24;61.9%;66.8%;65.3%;434;8.6%;116;2.3%;6.4%;63.8%;73.5%;55.0%;58.8%;85.9%;6.2;2.1;14;Ugo Humbert [FRA];63;37.0%;37.4%;7.7%;3.9%;28.7%;50.6%;22.2%;6.3;2.3;49.0;55.7;14;Ugo Humbert [FRA];63;38.4%;177;461;0.58;2.7;7.3;1.05;2.8;66.0%;223;338;0.42;2.0;5.4;0.68;1.8;14;Ugo Humbert [FRA];63;1.11;10093;51.9%;24;oct-14;41.7%;14.2%;169;101-68;59.8%;1612;876-736;54.3%;1:52;41.9;42.1
15;Jack Draper [GBR];61;39-22;63.9%;67.0%;66.0%;513;10.8%;194;4.1%;10.1%;59.6%;78.0%;50.9%;56.6%;84.1%;6.1;2.0;15;Jack Draper [GBR];61;37.7%;38.8%;8.3%;3.5%;29.7%;50.4%;24.2%;6.4;2.4;31.0;56.1;15;Jack Draper [GBR];61;42.4%;189;446;0.57;2.8;7.3;1.17;3.1;60.3%;188;312;0.40;1.9;5.1;0.77;2.0;15;Jack Draper [GBR];61;1.14;9748;52.0%;24;13-nov;54.2%;14.8%;162;98-64;60.5%;1562;845-717;54.1%;1:51;41.8;41.7
16;Hubert Hurkacz [POL];59;40-19;67.8%;69.3%;65.4%;776;14.9%;101;1.9%;5.3%;63.2%;77.9%;54.5%;57.6%;88.7%;6.2;1.9;16;Hubert Hurkacz [POL];59;34.8%;35.5%;7.2%;2.9%;27.3%;47.8%;17.1%;6.6;2.3;49.0;76.3;16;Hubert Hurkacz [POL];59;36.6%;138;377;0.47;2.3;6.4;0.86;2.3;70.3%;222;316;0.38;2.0;5.4;0.58;1.6;16;Hubert Hurkacz [POL];59;1.13;10560;51.8%;51;29-22;56.9%;31.7%;161;100-61;62.1%;1643;878-765;53.4%;1:54;41.9;38.4
17;Lorenzo Musetti [ITA];68;40-28;58.8%;64.0%;63.8%;242;4.4%;115;2.1%;5.9%;64.7%;70.4%;52.4%;55.7%;78.8%;6.3;2.3;17;Lorenzo Musetti [ITA];68;37.6%;38.1%;6.9%;3.3%;29.2%;51.7%;22.2%;6.7;2.5;48.5;58.8;17;Lorenzo Musetti [ITA];68;36.8%;193;524;0.60;2.9;7.7;1.05;2.8;57.0%;245;430;0.49;2.3;6.3;1.01;2.7;17;Lorenzo Musetti [ITA];68;1.04;11316;50.5%;34;18-16;52.9%;18.6%;183;99-84;54.1%;1740;880-860;50.6%;1:50;40.9;39.7
18;Frances Tiafoe [USA];57;32-25;56.1%;65.9%;64.4%;482;9.6%;144;2.9%;7.0%;59.0%;74.2%;54.1%;58.1%;84.0%;6.5;2.2;18;Frances Tiafoe [USA];57;35.3%;37.5%;12.9%;4.2%;27.2%;48.8%;18.1%;6.5;2.3;58.0;67.2;18;Frances Tiafoe [USA];57;35.2%;141;401;0.51;2.6;7.0;0.90;2.5;64.4%;224;348;0.45;2.2;6.1;0.79;2.2;18;Frances Tiafoe [USA];57;1.04;10094;50.5%;39;20-19;51.3%;24.8%;157;85-72;54.1%;1557;793-764;50.9%;1:59;43.2;40.3
19;Karen Khachanov [RUS];59;37-22;62.7%;66.6%;64.6%;449;9.6%;100;2.1%;6.0%;64.3%;74.6%;52.2%;55.5%;83.2%;6.2;2.1;19;Karen Khachanov [RUS];59;36.6%;38.2%;9.7%;3.4%;27.4%;52.2%;21.9%;6.5;2.4;47.0;62.2;19;Karen Khachanov [RUS];59;40.5%;165;407;0.54;2.7;6.9;1.09;2.8;61.9%;205;331;0.44;2.2;5.6;0.83;2.1;19;Karen Khachanov [RUS];59;1.10;9543;51.3%;33;20-13;60.6%;21.9%;151;91-60;60.3%;1504;790-714;52.5%;1:55;44.9;42.6
20;Arthur Fils [FRA];63;37-26;58.7%;65.2%;65.1%;402;8.2%;209;4.3%;11.0%;61.2%;75.1%;49.6%;55.7%;82.4%;6.3;2.2;20;Arthur Fils [FRA];63;36.4%;37.4%;7.4%;2.8%;29.5%;48.1%;20.3%;6.4;2.3;54.0;74.2;20;Arthur Fils [FRA];63;39.2%;156;398;0.52;2.5;6.3;0.99;2.5;63.5%;237;373;0.48;2.4;5.9;0.86;2.2;20;Arthur Fils [FRA];63;1.05;9821;50.7%;26;15-nov;57.7%;16.5%;158;87-71;55.1%;1541;792-749;51.4%;1:50;43.7;42.2
