Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
24‑Apr‑2023,Madrid Masters,Clay,R64,2,41,(1)Alcarazd.Emil Ruusuvuori[FIN],2-6 6-4 6-2,(ch),0.91,10.0%,1.0%,69.0%,63.8%,58.1%,9/11,2:16,50.6%,34.7%,4.2%,26.7%,48.1%,3/5,172,10,1,100,69,31,3
17‑Apr‑2023,Barcelona,Clay,F,2,5,(1)Alcarazd.(2)Stefanos Tsitsipas[GRE],6-3 6-4,(ch),1.90,6.3%,2.1%,77.1%,81.1%,72.7%,1/2,1:18,58.4%,39.6%,1.9%,30.0%,52.2%,3/6,101,3,1,48,37,11,1
17‑Apr‑2023,Barcelona,Clay,SF,2,26,(1)Alcarazd.(12)Daniel Evans[GBR],6-2 6-2,(ch),1.62,7.8%,0.0%,64.7%,69.7%,55.6%,3/4,1:20,61.0%,57.1%,0.0%,53.6%,61.9%,5/7,100,4,0,51,33,18,0
17‑Apr‑2023,Barcelona,Clay,QF,2,38,(1)Alcarazd.(10)Alejandro Davidovich Fokina[ESP],7-6(5) 6-4,,1.04,1.1%,3.4%,55.7%,67.3%,46.2%,8/11,2:10,51.2%,43.6%,1.3%,34.6%,61.5%,4/11,166,1,3,88,49,39,1
17‑Apr‑2023,Barcelona,Clay,R16,2,25,(1)Alcarazd.(13)Roberto Bautista Agut[ESP],6-3 7-5,,1.23,4.0%,4.0%,56.0%,61.9%,54.5%,4/7,1:53,54.9%,50.7%,1.4%,54.8%,44.4%,5/10,144,3,3,75,42,33,1
17‑Apr‑2023,Barcelona,Clay,R32,2,79,(1)Alcarazd.Nuno Borges[POR],6-3 6-1,,1.91,0.0%,4.7%,48.8%,76.2%,68.2%,1/2,1:03,62.2%,53.2%,0.0%,32.0%,77.3%,5/7,90,0,2,43,21,22,0
20‑Mar‑2023,Miami Masters,Hard,SF,1,11,(10)Jannik Sinner[ITA]d.(1)Alcaraz,6-7(4) 6-4 6-2,(ch),0.81,4.4%,8.0%,54.9%,66.1%,41.2%,6/12,3:01,46.1%,36.5%,7.7%,31.8%,44.7%,3/12,217,5,9,113,62,51,8
20‑Mar‑2023,Miami Masters,Hard,QF,1,10,(1)Alcarazd.(9)Taylor Fritz[USA],6-4 6-2,(ch),1.52,11.1%,0.0%,68.5%,75.7%,64.7%,2/2,1:18,56.8%,42.1%,7.0%,27.3%,62.5%,3/5,111,6,0,54,37,17,4
20‑Mar‑2023,Miami Masters,Hard,R16,1,19,(1)Alcarazd.(16)Tommy Paul[USA],6-4 6-4,(ch),1.59,5.4%,5.4%,60.7%,79.4%,68.2%,1/1,1:36,55.6%,39.7%,7.4%,31.0%,53.8%,2/6,124,3,3,56,34,22,5
20‑Mar‑2023,Miami Masters,Hard,R32,1,76,(1)Alcarazd.Dusan Lajovic[SRB],6-0 7-6(5),(ch),1.39,4.6%,0.0%,75.4%,71.4%,43.8%,2/3,1:31,57.1%,49.2%,0.0%,43.6%,59.1%,4/5,126,3,0,65,49,16,0
20‑Mar‑2023,Miami Masters,Hard,R64,1,100,(1)Alcarazd.Facundo Bagnis[ARG],6-0 6-2,,1.99,7.5%,5.0%,52.5%,81.0%,52.6%,1/2,1:04,65.9%,64.6%,2.1%,67.9%,60.0%,6/11,88,3,2,40,21,19,1
6‑Mar‑2023,Indian Wells Masters,Hard,F,2,6,(1)Alcarazd.(5)Daniil Medvedev[RUS],6-3 6-2,(ch),1.87,2.0%,0.0%,75.5%,81.1%,58.3%,0/0,1:10,60.8%,45.8%,0.0%,38.7%,58.8%,3/3,97,1,0,49,37,12,0
6‑Mar‑2023,Indian Wells Masters,Hard,SF,2,13,(1)Alcarazd.(11)Jannik Sinner[ITA],7-6(4) 6-3,(ch),1.08,6.9%,1.4%,72.2%,73.1%,45.0%,1/2,1:52,51.4%,37.5%,5.6%,22.2%,52.8%,2/6,144,5,1,72,52,20,4
6‑Mar‑2023,Indian Wells Masters,Hard,QF,2,10,(1)Alcarazd.(8)Felix Auger Aliassime[CAN],6-4 6-4,(ch),1.55,3.4%,3.4%,62.1%,80.6%,59.1%,3/4,2:00,55.0%,42.7%,7.3%,30.4%,58.3%,3/12,140,2,2,58,36,22,6
6‑Mar‑2023,Indian Wells Masters,Hard,R16,2,56,(1)Alcarazd.Jack Draper[GBR],6-2 2-0 RET,,3.02,11.1%,0.0%,74.1%,80.0%,85.7%,3/3,0:46,67.2%,55.9%,2.9%,50.0%,66.7%,3/5,61,3,0,27,20,7,1
6‑Mar‑2023,Indian Wells Masters,Hard,R32,2,36,(1)Alcarazd.(31)Tallon Griekspoor[NED],7-6(4) 6-3,(ch),1.25,0.0%,4.2%,61.1%,75.0%,67.9%,2/2,1:41,53.9%,34.8%,1.4%,28.3%,47.8%,1/4,141,0,3,72,44,28,1
6‑Mar‑2023,Indian Wells Masters,Hard,R64,2,94,(1)Alcarazd.(Q)Thanasi Kokkinakis[AUS],6-3 6-3,(ch),2.56,2.3%,2.3%,63.6%,82.1%,87.5%,0/0,1:16,59.2%,40.7%,10.2%,32.4%,52.0%,3/9,103,1,1,44,28,16,6
