Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
18‑Apr‑2022,Barcelona,Clay,R32,11,71,(5)Alcarazd.Soon Woo Kwon[KOR],6-1 2-6 6-2,,1.41,1.5%,3.0%,56.7%,81.6%,44.8%,4/7,1:33,57.6%,48.3%,0.0%,32.1%,63.3%,5/7,125,1,2,67,38,29,0
11‑Apr‑2022,Monte Carlo Masters,Clay,R32,11,42,Sebastian Korda[USA]d.(8)Alcaraz,7-6(2) 6-7(5) 6-3,(ch),1.00,0.9%,3.8%,64.2%,61.8%,44.7%,3/10,3:02,49.0%,44.2%,1.4%,34.5%,58.3%,6/19,253,1,4,106,68,38,2
21‑Mar‑2022,Miami Masters,Hard,F,16,8,(14)Alcarazd.(6)Casper Ruud[NOR],7-5 6-4,(ch),1.26,8.8%,2.9%,70.6%,75.0%,45.0%,6/8,1:52,53.9%,42.5%,6.8%,39.5%,46.7%,4/9,141,6,2,68,48,20,5
21‑Mar‑2022,Miami Masters,Hard,SF,16,10,(14)Alcarazd.(8)Hubert Hurkacz[POL],7-6(5) 7-6(2),(ch),1.27,3.7%,0.0%,71.6%,77.6%,69.6%,3/3,2:02,52.7%,31.4%,15.1%,19.3%,55.2%,0/3,167,3,0,81,58,23,13
21‑Mar‑2022,Miami Masters,Hard,QF,16,48,(14)Alcarazd.Miomir Kecmanovic[SRB],6-7(5) 6-3 7-6(5),(ch),0.97,4.7%,2.8%,74.5%,78.5%,51.9%,1/2,2:23,50.7%,27.4%,2.1%,23.4%,35.5%,2/2,201,5,3,106,79,27,2
21‑Mar‑2022,Miami Masters,Hard,R16,16,5,(14)Alcarazd.(3)Stefanos Tsitsipas[GRE],7-5 6-3,(ch),1.29,1.4%,2.8%,69.4%,74.0%,45.5%,7/8,1:50,54.7%,44.9%,6.4%,26.1%,71.9%,4/11,150,1,2,72,50,22,5
21‑Mar‑2022,Miami Masters,Hard,R32,16,23,(14)Alcarazd.(21)Marin Cilic[CRO],6-4 6-4,,1.49,3.6%,1.8%,65.5%,77.8%,68.4%,1/1,1:35,54.5%,37.9%,3.0%,31.1%,52.4%,2/9,121,2,1,55,36,19,2
21‑Mar‑2022,Miami Masters,Hard,R64,16,55,(14)Alcarazd.Marton Fucsovics[HUN],6-3 6-2,,1.52,3.6%,5.5%,63.6%,82.9%,55.0%,3/3,1:21,56.6%,41.4%,1.7%,33.3%,54.5%,3/6,113,2,3,55,35,20,1
7‑Mar‑2022,Indian Wells Masters,Hard,SF,19,4,(4)Rafael Nadal[ESP]d.(19)Alcaraz,6-4 4-6 6-3,(ch),0.97,1.0%,3.0%,63.0%,60.3%,45.9%,15/21,3:12,49.0%,43.5%,1.9%,37.5%,55.6%,5/14,208,1,3,100,63,37,2
7‑Mar‑2022,Indian Wells Masters,Hard,QF,19,12,(19)Alcarazd.(12)Cameron Norrie[GBR],6-4 6-3,,1.25,0.0%,1.4%,62.0%,59.1%,48.1%,5/9,1:44,55.6%,56.5%,0.0%,44.4%,73.1%,6/8,133,0,1,71,44,27,0
7‑Mar‑2022,Indian Wells Masters,Hard,R16,19,28,(19)Alcarazd.(26)Gael Monfils[FRA],7-5 6-1,(ch),2.93,9.3%,2.3%,69.8%,86.7%,76.9%,0/0,1:17,61.8%,47.8%,4.5%,37.8%,60.0%,4/7,110,4,1,43,30,13,3
7‑Mar‑2022,Indian Wells Masters,Hard,R32,19,15,(19)Alcarazd.(15)Roberto Bautista Agut[ESP],6-2 6-0,(ch),2.12,9.3%,4.7%,62.8%,85.2%,50.0%,1/1,1:06,65.5%,59.1%,0.0%,53.3%,71.4%,5/9,87,4,2,43,27,16,0
7‑Mar‑2022,Indian Wells Masters,Hard,R64,19,59,(19)Alcarazd.Mackenzie Mcdonald[USA],6-3 6-3,,1.32,0.0%,5.3%,57.9%,63.6%,58.3%,4/6,1:35,55.8%,50.8%,1.6%,50.0%,52.2%,5/9,120,0,3,57,33,24,1
4‑Mar‑2022,Davis Cup QLS R1: ESP vs ROU,Clay,RR,19,261,Alcarazd.Marius Copil[ROU],6-4 6-3,,1.48,1.7%,1.7%,66.7%,75.0%,65.0%,2/2,1:32,55.8%,42.0%,1.4%,23.5%,60.0%,2/7,129,1,1,60,40,20,1
14‑Feb‑2022,Rio de Janeiro,Clay,F,29,14,(7)Alcarazd.(3)Diego Schwartzman[ARG],6-4 6-2,(ch),1.53,2.0%,0.0%,68.0%,76.5%,37.5%,2/4,1:26,59.6%,55.1%,0.0%,51.6%,61.1%,5/6,99,1,0,50,34,16,0
14‑Feb‑2022,Rio de Janeiro,Clay,SF,29,38,(7)Alcarazd.Fabio Fognini[ITA],6-2 7-5,(ch),1.24,0.0%,3.9%,68.4%,67.3%,54.2%,5/6,1:45,54.9%,45.6%,1.5%,37.1%,54.5%,4/10,144,0,3,76,52,24,1
14‑Feb‑2022,Rio de Janeiro,Clay,QF,29,6,(7)Alcarazd.(1)Matteo Berrettini[ITA],6-2 2-6 6-2,(ch),1.19,1.5%,6.1%,62.1%,73.2%,56.0%,0/2,2:02,53.5%,39.7%,1.6%,30.8%,54.2%,4/6,129,1,4,66,41,25,1
14‑Feb‑2022,Rio de Janeiro,Clay,R16,29,37,(7)Alcarazd.Federico Delbonis[ARG],6-4 7-6(1),(ch),1.22,3.0%,4.5%,63.6%,69.0%,62.5%,0/2,1:49,53.8%,40.6%,3.1%,32.5%,54.2%,3/5,130,2,3,66,42,24,2
14‑Feb‑2022,Rio de Janeiro,Clay,R32,29,89,(7)Alcarazd.Jaume Munar[ESP],2-6 6-2 6-1,(ch),1.18,2.4%,3.6%,63.1%,62.3%,54.8%,10/13,2:15,54.3%,47.8%,1.5%,44.4%,54.5%,5/9,151,2,3,84,53,31,1
17‑Jan‑2022,Australian Open,Hard,R32,31,7,(7)Matteo Berrettini[ITA]d.(31)Alcaraz,6-2 7-6(3) 4-6 2-6 7-6(5),(ch),1.03,7.7%,5.2%,61.9%,74.0%,61.0%,5/8,4:10,50.0%,31.9%,6.1%,21.7%,56.3%,4/13,318,12,8,155,96,59,10
17‑Jan‑2022,Australian Open,Hard,R64,31,39,(31)Alcarazd.Dusan Lajovic[SRB],6-2 6-1 7-5,,1.58,3.6%,3.6%,73.5%,73.8%,59.1%,0/1,1:56,58.5%,47.7%,0.0%,43.8%,58.3%,6/11,171,3,3,83,61,22,0
17‑Jan‑2022,Australian Open,Hard,R128,31,135,(31)Alcarazd.(Q)Alejandro Tabilo[CHI],6-2 6-2 6-3,,1.72,17.6%,4.4%,61.8%,78.6%,57.7%,0/1,1:54,58.5%,50.5%,1.9%,47.0%,56.8%,7/16,171,12,3,68,42,26,2
8‑Nov‑2021,NextGen Finals,Hard,F,32,39,(1)Alcarazd.(2)Sebastian Korda[USA],4-3(5) 4-2 4-2,(ch),1.13,6.7%,1.7%,68.3%,73.2%,47.4%,6/6,1:22,52.5%,39.7%,6.9%,21.6%,71.4%,2/6,118,4,1,60,41,19,4
8‑Nov‑2021,NextGen Finals,Hard,SF,32,111,(1)Alcarazd.(6)Sebastian Baez[ARG],4-2 4-1 4-2,(ch),3.77,18.9%,0.0%,67.6%,84.0%,91.7%,3/3,1:02,65.6%,50.9%,0.0%,47.5%,61.5%,4/9,90,7,0,37,25,12,0
8‑Nov‑2021,NextGen Finals,Hard,RR,32,109,(1)Alcarazd.(7)Holger Rune[DEN],4-3(6) 4-2 4-0,(ch),1.85,18.4%,0.0%,65.3%,87.5%,52.9%,0/0,1:15,59.8%,45.3%,3.8%,42.4%,50.0%,3/7,102,9,0,49,32,17,2
8‑Nov‑2021,NextGen Finals,Hard,RR,32,91,(1)Alcarazd.(5)Juan Manuel Cerundolo[ARG],4-0 4-1 2-4 4-3(3),,1.19,2.9%,1.4%,75.7%,73.6%,52.9%,9/10,1:23,54.3%,37.3%,0.0%,30.2%,56.3%,3/5,129,2,1,70,53,17,0
8‑Nov‑2021,NextGen Finals,Hard,RR,32,63,(1)Alcarazd.(4)Brandon Nakashima[USA],4-3(4) 4-1 4-3(4),(ch),1.29,15.9%,6.3%,52.4%,87.9%,60.0%,4/5,1:26,55.7%,32.7%,9.6%,22.9%,52.9%,2/2,115,10,4,63,33,30,5
1‑Nov‑2021,Paris Masters,Hard,R16,35,103,(Q)Hugo Gaston[FRA]d.Alcaraz,6-4 7-5,(ch),0.72,1.5%,6.1%,53.0%,48.6%,41.9%,6/12,1:43,42.5%,39.3%,1.6%,33.3%,46.4%,4/5,127,1,4,66,35,31,1
1‑Nov‑2021,Paris Masters,Hard,R32,35,9,Alcarazd.(8)Jannik Sinner[ITA],7-6(1) 7-5,(ch),1.32,3.8%,5.1%,57.0%,80.0%,55.9%,1/2,2:07,54.3%,40.0%,5.9%,38.9%,41.9%,2/11,164,3,4,79,45,34,5
1‑Nov‑2021,Paris Masters,Hard,R64,35,99,Alcarazd.(WC)Pierre Hugues Herbert[FRA],6-7(4) 7-6(2) 7-5,(ch),1.18,1.8%,1.8%,62.2%,69.6%,69.0%,3/5,2:53,51.7%,36.0%,6.4%,26.0%,50.0%,3/11,236,2,2,111,69,42,8
25‑Oct‑2021,Vienna,Hard,SF,42,4,(2)Alexander Zverev[GER]d.Alcaraz,6-3 6-3,,0.54,2.2%,2.2%,51.1%,73.9%,54.5%,1/4,1:08,41.3%,19.1%,17.0%,16.2%,30.0%,0/1,92,1,1,45,23,22,8
25‑Oct‑2021,Vienna,Hard,QF,42,7,Alcarazd.(3)Matteo Berrettini[ITA],6-1 6-7(2) 7-6(5),,1.42,6.5%,4.3%,66.3%,80.3%,64.5%,0/1,2:40,53.8%,35.5%,11.2%,23.1%,54.8%,3/9,199,6,4,92,61,31,12
25‑Oct‑2021,Vienna,Hard,R16,42,156,Alcarazd.(WC)Andy Murray[GBR],6-3 6-4,,1.17,4.5%,1.5%,62.1%,58.5%,60.0%,8/10,2:06,53.2%,48.0%,6.7%,42.1%,54.1%,5/15,141,3,1,66,41,25,5
25‑Oct‑2021,Vienna,Hard,R32,42,24,Alcarazd.Daniel Evans[GBR],6-4 6-3,(ch),1.27,5.3%,1.8%,68.4%,64.1%,55.6%,6/9,1:25,55.6%,49.0%,2.0%,38.7%,65.0%,5/6,108,3,1,57,39,18,1
4‑Oct‑2021,Indian Wells Masters,Hard,R64,38,121,(WC)Andy Murray[GBR]d.(30)Alcaraz,5-7 6-3 6-2,(ch),0.86,3.1%,3.1%,62.5%,61.7%,47.2%,7/11,3:03,46.7%,37.6%,3.0%,33.3%,43.9%,2/10,197,3,3,96,60,36,3
30‑Aug‑2021,US Open,Hard,QF,55,15,(12)Felix Auger Aliassime[CAN]d.Alcaraz,6-3 3-1 RET,,0.66,2.1%,2.1%,61.7%,65.5%,44.4%,5/7,1:08,43.3%,27.9%,18.6%,21.4%,40.0%,0/3,90,1,1,47,29,18,8
30‑Aug‑2021,US Open,Hard,R16,55,141,Alcarazd.(Q)Peter Gojowczyk[GER],5-7 6-1 5-7 6-2 6-0,(ch),1.25,4.9%,2.8%,65.5%,60.2%,53.1%,11/18,3:31,55.3%,53.0%,2.0%,50.0%,56.5%,13/26,291,7,4,142,93,49,3
30‑Aug‑2021,US Open,Hard,R32,55,3,Alcarazd.(3)Stefanos Tsitsipas[GRE],6-3 4-6 7-6(2) 0-6 7-6(5),(ch),0.91,1.2%,1.2%,63.5%,60.2%,59.7%,9/17,4:07,48.8%,36.5%,9.6%,25.8%,52.4%,6/13,326,2,2,170,108,62,15
30‑Aug‑2021,US Open,Hard,R64,55,83,Alcarazd.Arthur Rinderknech[FRA],7-6(6) 4-6 6-1 6-4,,1.52,7.3%,2.7%,59.1%,84.6%,68.9%,0/1,2:58,54.5%,33.1%,8.3%,23.8%,51.2%,3/11,231,8,3,110,65,45,10
30‑Aug‑2021,US Open,Hard,R128,55,29,Alcarazd.(26)Cameron Norrie[GBR],6-4 6-4 6-3,,1.47,8.1%,2.7%,66.2%,77.6%,56.0%,1/3,1:54,55.3%,43.8%,6.3%,29.8%,64.1%,6/10,170,6,2,74,49,25,6
23‑Aug‑2021,Winston-Salem,Hard,SF,54,90,Mikael Ymer[SWE]d.(15)Alcaraz,7-5 6-3,,0.79,3.6%,3.6%,69.1%,71.1%,47.1%,0/3,1:16,45.6%,28.8%,5.1%,25.0%,33.3%,1/2,114,2,2,55,38,17,3
23‑Aug‑2021,Winston-Salem,Hard,QF,54,65,(15)Alcarazd.Marcos Giron[USA],7-6(2) 6-2,,1.68,5.3%,3.5%,52.6%,73.3%,70.4%,3/5,1:38,58.0%,47.3%,2.7%,33.3%,73.1%,4/12,131,3,2,57,30,27,2
23‑Aug‑2021,Winston-Salem,Hard,R16,54,42,(15)Alcarazd.(4)Marton Fucsovics[HUN],6-3 0-6 6-2,,0.91,0.0%,2.1%,56.8%,57.4%,58.5%,11/14,2:06,49.4%,38.4%,9.6%,31.7%,46.9%,3/6,168,0,2,95,54,41,7
23‑Aug‑2021,Winston-Salem,Hard,R32,54,71,(15)Alcarazd.(Q)Alexei Popyrin[AUS],6-7(9) 6-1 7-6(1),,1.79,7.5%,1.1%,66.7%,77.4%,87.1%,2/2,2:20,56.0%,34.6%,9.3%,23.9%,55.6%,2/7,200,7,1,93,62,31,10
16‑Aug‑2021,Cincinnati Masters,Hard,R64,55,27,Lorenzo Sonego[ITA]d.(Q)Alcaraz,6-3 7-6(6),,0.84,1.4%,4.2%,50.7%,72.2%,37.1%,1/4,2:11,46.0%,38.0%,3.8%,34.7%,43.3%,2/7,150,1,3,71,36,35,3
16‑Aug‑2021,Cincinnati Masters,Hard,Q2,55,67,(2)Alcarazd.(9)Ilya Ivashka[BLR],6-3 6-4,,1.33,0.0%,4.8%,69.4%,67.4%,57.9%,4/6,,56.5%,47.2%,3.8%,42.4%,55.0%,4/6,115,0,3,62,43,19,2
16‑Aug‑2021,Cincinnati Masters,Hard,Q1,55,94,(2)Alcarazd.Thiago Monteiro[BRA],6-2 6-3,,1.80,3.7%,3.7%,66.7%,77.8%,66.7%,3/3,,61.6%,46.7%,2.2%,40.7%,55.6%,3/3,99,2,2,54,36,18,1
26‑Jul‑2021,Kitzbuhel,Clay,R32,55,337,(WC)Alexander Erler[AUT]d.(10)Alcaraz,7-5 1-6 6-2,,0.97,1.2%,4.8%,53.0%,65.9%,51.3%,0/4,2:09,48.9%,39.6%,2.2%,35.7%,45.7%,3/11,174,1,4,83,44,39,2
19‑Jul‑2021,Umag,Clay,F,73,59,(7)Alcarazd.(4)Richard Gasquet[FRA],6-2 6-2,(ch),1.54,0.0%,4.1%,55.1%,77.8%,59.1%,3/3,1:16,57.7%,47.3%,1.8%,30.8%,62.1%,4/8,104,0,2,49,27,22,1
19‑Jul‑2021,Umag,Clay,SF,73,43,(7)Alcarazd.(1)Albert Ramos[ESP],6-2 7-6(3),,1.19,1.4%,2.9%,71.4%,64.0%,50.0%,5/8,1:59,53.2%,47.6%,2.4%,50.9%,41.9%,5/14,154,1,2,70,50,20,2
19‑Jul‑2021,Umag,Clay,QF,73,34,(7)Alcarazd.(3)Filip Krajinovic[SRB],7-6(3) 2-6 6-1,,1.13,0.0%,2.2%,70.8%,69.8%,38.5%,5/9,2:18,52.5%,44.6%,2.2%,43.8%,46.4%,5/9,181,0,2,89,63,26,2
19‑Jul‑2021,Umag,Clay,R16,73,117,(7)Alcarazd.Andrej Martin[SVK],6-3 6-1,(ch),1.52,1.9%,3.8%,73.1%,65.8%,50.0%,3/5,1:15,60.0%,58.3%,0.0%,61.3%,52.9%,6/14,100,1,2,52,38,14,0
19‑Jul‑2021,Umag,Clay,R32,73,103,(7)Alcarazd.Lucas Pouille[FRA],3-6 6-2 6-2,(ch),1.27,0.0%,0.0%,65.8%,70.8%,44.0%,2/5,2:06,54.7%,48.8%,3.5%,40.0%,58.5%,6/9,159,0,0,73,48,25,3
28‑Jun‑2021,Wimbledon,Grass,R64,75,2,(2)Daniil Medvedev[RUS]d.(WC)Alcaraz,6-4 6-1 6-2,(ch),0.50,2.4%,6.1%,67.1%,61.8%,25.9%,8/15,1:35,39.0%,25.0%,9.4%,5.0%,58.3%,2/3,146,2,5,82,55,27,6
28‑Jun‑2021,Wimbledon,Grass,R128,75,116,(WC)Alcarazd.(LL)Yasutaka Uchiyama[JPN],6-3 6-7(4) 6-2 3-6 6-3,,1.11,3.6%,3.0%,59.8%,66.3%,48.5%,17/23,4:18,51.8%,45.2%,4.3%,35.8%,57.5%,10/23,355,6,5,169,101,68,8
31‑May‑2021,Roland Garros,Clay,R32,97,42,Jan Lennard Struff[GER]d.(Q)Alcaraz,6-4 7-6(3) 6-2,,0.76,3.0%,1.0%,59.0%,52.5%,58.5%,5/11,2:16,44.8%,34.0%,10.6%,16.7%,48.1%,3/8,194,3,1,100,59,41,10
31‑May‑2021,Roland Garros,Clay,R64,97,31,(Q)Alcarazd.(28)Nikoloz Basilashvili[GEO],6-4 6-2 6-4,,1.39,12.3%,1.2%,67.9%,78.2%,50.0%,4/6,1:56,55.8%,42.9%,0.0%,40.4%,45.9%,6/12,165,10,1,81,55,26,0
31‑May‑2021,Roland Garros,Clay,R128,97,128,(Q)Alcarazd.(Q)Bernabe Zapata Miralles[ESP],6-3 2-6 6-1 7-6(4),,1.12,1.5%,4.4%,61.3%,59.5%,56.6%,6/12,3:08,52.9%,46.6%,2.5%,40.3%,58.5%,8/15,255,2,6,137,84,53,3
31‑May‑2021,Roland Garros,Clay,Q3,97,166,(6)Alcarazd.Alejandro Tabilo[CHI],6-1 6-1,,1.74,4.2%,6.3%,70.8%,70.6%,42.9%,2/3,0:58,63.7%,65.1%,0.0%,64.3%,66.7%,6/8,91,2,3,48,34,14,0
31‑May‑2021,Roland Garros,Clay,Q2,97,235,(6)Alcarazd.Andrea Pellegrino[ITA],6-1 6-2,,1.85,1.9%,0.0%,73.1%,71.1%,71.4%,2/2,1:07,62.9%,53.3%,0.0%,63.0%,38.9%,4/5,97,1,0,52,38,14,0
31‑May‑2021,Roland Garros,Clay,Q1,97,213,(6)Alcarazd.Lukas Lacko[SVK],6-3 6-3,,1.74,7.4%,0.0%,59.3%,78.1%,63.6%,2/3,1:22,59.3%,48.4%,0.0%,48.3%,48.6%,4/10,118,4,0,54,32,22,0
17‑May‑2021,Oeiras 3 CH,Clay,F,114,109,Alcarazd.(7)Facundo Bagnis[ARG],6-4 6-4,,1.47,0.0%,3.4%,72.4%,71.4%,68.8%,4/5,1:38,55.4%,43.1%,2.8%,28.9%,66.7%,3/6,130,0,2,58,42,16,2
17‑May‑2021,Oeiras 3 CH,Clay,SF,114,112,Alcarazd.Taro Daniel[JPN],6-2 5-7 6-2,,1.27,5.5%,4.4%,59.3%,74.1%,45.9%,6/9,2:35,54.1%,47.4%,2.6%,42.2%,61.3%,6/15,205,5,4,91,54,37,3
17‑May‑2021,Oeiras 3 CH,Clay,QF,114,313,Alcarazd.(WC)Gastao Elias[POR],7-5 6-4,,1.40,1.7%,5.2%,62.1%,72.2%,63.6%,0/2,1:28,55.9%,43.3%,6.7%,48.5%,37.0%,4/7,118,1,3,58,36,22,4
17‑May‑2021,Oeiras 3 CH,Clay,R16,114,139,Alcarazd.Brandon Nakashima[USA],3-6 6-4 6-4,,1.06,1.2%,3.6%,71.1%,61.0%,50.0%,2/7,2:11,50.8%,44.7%,3.2%,43.9%,45.9%,6/11,177,1,3,83,59,24,3
17‑May‑2021,Oeiras 3 CH,Clay,R32,114,113,Alcarazd.Yasutaka Uchiyama[JPN],6-0 6-3,,1.80,6.0%,6.0%,54.0%,77.8%,52.2%,3/4,1:03,63.8%,61.4%,4.5%,53.3%,78.6%,6/7,94,3,3,50,27,23,2
3‑May‑2021,Madrid Masters,Clay,R32,120,2,(1)Rafael Nadal[ESP]d.(WC)Alcaraz,6-1 6-2,(ch),0.46,0.0%,7.9%,57.9%,40.9%,31.3%,2/7,1:17,32.5%,28.9%,2.2%,19.2%,42.1%,1/3,83,0,3,38,22,16,1
3‑May‑2021,Madrid Masters,Clay,R64,120,34,(WC)Alcarazd.Adrian Mannarino[FRA],6-4 6-0,,2.17,2.4%,2.4%,61.9%,80.8%,68.8%,0/0,1:11,62.0%,51.7%,1.7%,56.3%,46.2%,4/7,100,1,1,42,26,16,1
26‑Apr‑2021,Estoril,Clay,R32,120,42,(6)Marin Cilic[CRO]d.(Q)Alcaraz,6-3 1-6 6-4,,0.97,1.1%,3.2%,61.1%,60.3%,43.2%,9/14,2:13,49.7%,44.9%,7.7%,40.0%,53.6%,5/11,173,1,3,95,58,37,6
26‑Apr‑2021,Estoril,Clay,Q2,120,142,(6)Alcarazd.Carlos Taberner[ESP],7-5 6-3,,1.15,4.0%,4.0%,68.0%,62.7%,62.5%,5/6,1:38,53.6%,43.1%,3.1%,35.6%,60.0%,4/5,140,3,3,75,51,24,2
26‑Apr‑2021,Estoril,Clay,Q1,120,143,(6)Alcarazd.Tallon Griekspoor[NED],6-1 6-3,,1.98,9.3%,0.0%,62.8%,74.1%,75.0%,0/0,1:17,58.9%,50.6%,1.2%,47.7%,54.1%,4/16,124,4,0,43,27,16,1
19‑Apr‑2021,Barcelona,Clay,R64,119,65,Frances Tiafoe[USA]d.(WC)Alcaraz,6-4 7-6(2),,0.77,2.8%,2.8%,57.7%,65.9%,43.3%,3/6,1:43,45.3%,33.8%,4.4%,29.4%,38.2%,2/4,139,2,2,71,41,30,3
5‑Apr‑2021,Marbella,Clay,SF,133,95,Jaume Munar[ESP]d.(WC)Alcaraz,7-6(4) 6-4,,0.81,0.0%,4.9%,69.5%,59.6%,44.0%,7/11,1:54,46.6%,36.4%,4.5%,28.6%,50.0%,3/5,148,0,4,82,57,25,3
5‑Apr‑2021,Marbella,Clay,QF,133,26,(WC)Alcarazd.(3)Casper Ruud[NOR],6-2 6-4,,1.80,4.3%,0.0%,60.9%,82.1%,55.6%,2/4,1:18,60.0%,50.8%,0.0%,50.0%,52.2%,5/8,105,2,0,46,28,18,0
5‑Apr‑2021,Marbella,Clay,R16,133,64,(WC)Alcarazd.(6)Feliciano Lopez[ESP],4-6 6-2 6-4,,1.17,8.3%,2.4%,72.6%,67.2%,52.2%,9/12,2:00,52.9%,43.0%,4.7%,35.6%,59.3%,5/10,170,7,2,84,61,23,4
5‑Apr‑2021,Marbella,Clay,R32,133,129,(WC)Alcarazd.(Q)Nikola Milojevic[SRB],7-6(3) 6-3,,1.53,1.6%,1.6%,71.0%,79.5%,55.6%,0/1,1:38,55.9%,41.9%,1.4%,25.5%,70.4%,2/6,136,1,1,62,44,18,1
22‑Mar‑2021,Miami Masters,Hard,R128,132,83,Emil Ruusuvuori[FIN]d.(WC)Alcaraz,6-4 2-6 7-5,(ch),1.09,2.4%,4.8%,63.9%,69.8%,53.3%,4/7,2:11,50.8%,39.4%,1.1%,35.4%,48.3%,3/6,177,2,4,83,53,30,1
15‑Mar‑2021,Acapulco,Hard,R32,132,7,(2)Alexander Zverev[GER]d.(WC)Alcaraz,6-3 6-1,,0.59,0.0%,1.6%,59.7%,51.4%,40.0%,9/14,1:24,40.0%,31.3%,22.9%,13.8%,57.9%,1/4,110,0,1,62,37,25,11
1‑Mar‑2021,Las Palmas 2 CH,Clay,R16,131,248,Marco Trungelliti[ARG]d.(1)Alcaraz,7-6(5) 6-3,,0.88,1.8%,5.3%,59.6%,67.6%,34.8%,2/6,1:28,46.5%,40.0%,2.9%,23.8%,46.9%,3/3,127,1,3,57,34,23,2
1‑Mar‑2021,Las Palmas 2 CH,Clay,R32,131,389,(1)Alcarazd.(Q)Filip Cristian Jianu[ROU],6-3 6-7(3) 6-1,,1.50,4.8%,3.6%,58.3%,79.6%,68.6%,0/1,1:58,56.7%,37.5%,1.3%,26.1%,52.9%,4/9,164,4,3,84,49,35,1
22‑Feb‑2021,Montpellier,Hard,Q1,127,160,Tallon Griekspoor[NED]d.(6)Alcaraz,4-6 6-3 6-1,,0.72,3.3%,3.3%,67.8%,65.6%,37.9%,5/10,1:47,44.9%,31.2%,10.4%,20.0%,51.9%,2/4,167,3,3,90,61,29,8
8‑Feb‑2021,Australian Open,Hard,R64,141,95,Mikael Ymer[SWE]d.(Q)Alcaraz,2-6 6-4 6-4 7-6(5),,0.97,5.3%,3.8%,62.4%,62.7%,44.0%,10/18,3:08,49.4%,43.2%,1.5%,36.4%,56.8%,8/15,265,7,5,133,83,50,2
8‑Feb‑2021,Australian Open,Hard,R128,141,151,(Q)Alcarazd.(Q)Botic Van De Zandschulp[NED],6-1 6-4 6-4,(ch),1.52,2.4%,1.2%,57.1%,77.1%,63.9%,3/4,1:54,56.9%,43.3%,4.4%,28.6%,61.0%,5/12,174,2,1,84,48,36,4
1‑Feb‑2021,Great Ocean Road Open,Hard,R16,146,83,Thiago Monteiro[BRA]d.Alcaraz,7-6(3) 6-3,,0.89,8.2%,0.0%,70.5%,72.1%,61.1%,1/2,1:37,46.0%,27.6%,2.6%,24.5%,33.3%,0/7,137,5,0,61,43,18,2
1‑Feb‑2021,Great Ocean Road Open,Hard,R32,146,14,Alcarazd.(1)David Goffin[BEL],6-3 6-3,,1.37,1.7%,3.4%,62.1%,63.9%,45.5%,2/5,1:13,57.9%,59.2%,4.1%,44.0%,75.0%,6/7,107,1,2,58,36,22,2
1‑Feb‑2021,Great Ocean Road Open,Hard,R64,146,94,Alcarazd.Attila Balazs[HUN],2-2 RET,,0.60,25.0%,0.0%,50.0%,83.3%,50.0%,0/0,0:19,45.5%,20.0%,0.0%,16.7%,25.0%,0/0,22,3,0,12,6,6,0
10‑Jan‑2021,Doha Aus Open Qualies,Hard,Q3,141,111,(21)Alcarazd.(2)Hugo Dellien[BOL],6-2 6-3,,1.46,3.1%,3.1%,69.2%,73.3%,30.0%,4/6,1:22,59.4%,58.5%,0.0%,44.4%,85.7%,5/8,106,2,2,65,45,20,0
10‑Jan‑2021,Doha Aus Open Qualies,Hard,Q2,141,258,(21)Alcarazd.Evgeny Karlovskiy[RUS],7-6(1) 7-6(4),,1.13,4.8%,2.4%,73.8%,59.7%,54.5%,4/8,2:16,52.2%,47.1%,2.0%,40.0%,62.5%,4/15,186,4,2,84,62,22,2
10‑Jan‑2021,Doha Aus Open Qualies,Hard,Q1,141,184,(21)Alcarazd.Filip Horansky[SVK],5-7 6-1 6-4,,1.27,4.7%,4.7%,65.9%,75.0%,48.3%,2/5,2:23,53.4%,43.3%,3.8%,33.8%,61.1%,5/11,189,4,4,85,56,29,4
26‑Oct‑2020,Marbella CH,Clay,R32,138,146,Lorenzo Giustino[ITA]d.Alcaraz,3-6 7-5 6-4,,1.02,1.1%,2.1%,76.6%,58.3%,45.5%,7/13,2:25,50.3%,45.6%,1.9%,25.9%,67.3%,6/14,197,1,2,94,72,22,2
12‑Oct‑2020,Alicante CH,Clay,F,158,97,Alcarazd.(1)Pedro Martinez[ESP],7-6(6) 6-3,(ch),1.18,0.0%,4.0%,73.3%,63.6%,55.0%,5/8,1:43,54.5%,45.8%,1.7%,40.0%,54.2%,4/6,134,0,3,75,55,20,1
12‑Oct‑2020,Alicante CH,Clay,SF,158,188,Alcarazd.Mario Vilella Martinez[ESP],1-6 6-3 6-4,,0.98,0.0%,2.1%,75.0%,58.3%,50.0%,10/14,2:22,49.3%,43.0%,3.7%,33.9%,54.2%,4/19,203,0,2,96,72,24,4
12‑Oct‑2020,Alicante CH,Clay,QF,158,200,Alcarazd.Juan Pablo Ficovich[ARG],3-6 6-4 6-2,,1.04,0.0%,0.0%,80.2%,50.6%,63.2%,7/12,2:23,51.1%,48.8%,1.2%,35.9%,59.6%,6/12,182,0,0,96,77,19,1
