Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
16‑May‑2022,Lyon,Clay,R32,40,65,Runed.Arthur Rinderknech[FRA],7-6(4) 7-6(3),,1.35,5.3%,1.3%,65.8%,78.0%,69.2%,0/1,2:02,52.7%,33.7%,6.7%,16.7%,53.7%,1/7,165,4,1,76,50,26,6
9‑May‑2022,Rome Masters,Clay,Q1,42,81,Hugo Dellien[BOL]d.(2)Rune,6-1 1-6 6-3,,0.89,0.0%,0.0%,55.4%,61.1%,55.2%,3/7,1:43,48.0%,37.1%,0.0%,31.3%,57.1%,3/4,127,0,0,65,36,29,0
25‑Apr‑2022,Munich,Clay,F,70,40,(WC)Runed.(8)Botic Van De Zandschulp[NED],3-4 RET,(ch),1.00,0.0%,0.0%,68.2%,53.3%,42.9%,1/3,0:59,50.0%,50.0%,0.0%,60.0%,33.3%,2/5,54,0,0,22,15,7,0
25‑Apr‑2022,Munich,Clay,SF,70,62,(WC)Runed.Oscar Otte[GER],6-4 6-4,(ch),1.50,7.0%,1.8%,61.4%,77.1%,63.6%,6/7,1:28,55.6%,42.0%,4.3%,38.8%,50.0%,3/13,126,4,1,57,35,22,3
25‑Apr‑2022,Munich,Clay,QF,70,63,(WC)Runed.Emil Ruusuvuori[FIN],6-0 6-2,,2.06,7.5%,2.5%,70.0%,78.6%,58.3%,3/3,1:02,64.0%,56.5%,2.2%,54.3%,63.6%,5/10,86,3,1,40,28,12,1
25‑Apr‑2022,Munich,Clay,R16,70,3,(WC)Runed.(1)Alexander Zverev[GER],6-3 6-2,(ch),1.27,1.3%,0.0%,77.6%,62.7%,52.9%,6/7,1:39,56.5%,50.0%,0.0%,47.2%,58.3%,4/11,124,1,0,76,59,17,0
25‑Apr‑2022,Munich,Clay,R32,70,88,(WC)Runed.(Q)Jiri Lehecka[CZE],7-6(4) 6-3,,1.37,4.8%,3.2%,68.3%,69.8%,55.0%,1/4,1:37,56.0%,47.9%,2.8%,42.0%,61.9%,4/11,134,3,2,63,43,20,2
18‑Apr‑2022,Belgrade,Clay,R16,72,104,(Q)Taro Daniel[JPN]d.Rune,6-3 6-7(1) 6-3,,0.88,4.6%,5.7%,55.2%,60.4%,59.0%,4/8,2:38,46.2%,35.5%,3.6%,31.3%,41.3%,2/3,197,4,5,87,48,39,4
18‑Apr‑2022,Belgrade,Clay,R32,72,31,Runed.(5)Cristian Garin[CHI],6-3 6-1,(ch),1.35,3.9%,3.9%,72.5%,59.5%,50.0%,1/3,1:24,57.5%,58.1%,0.0%,45.9%,76.0%,6/17,113,2,2,51,37,14,0
11‑Apr‑2022,Monte Carlo Masters,Clay,R32,79,7,(4)Casper Ruud[NOR]d.(Q)Rune,7-6(5) 7-5,(ch),0.87,0.0%,5.2%,62.3%,62.5%,48.3%,1/5,1:55,47.1%,37.5%,2.5%,24.4%,54.3%,3/5,157,0,4,77,48,29,2
