Player,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
AlexanderZverev,69.2,40.0,62.2,79.6,54.8,39.1,28.8,70.0,34.8
AndreyRublev,69.2,44.3,63.4,72.9,58.5,31.2,22.3,65.4,36.3
CarlosAlcaraz,70.1,42.8,66.5,72.7,60.9,39.9,38.3,70.8,42.8
CasperRuud,69.3,43.7,65.5,73.9,57.0,30.1,18.9,66.5,26.9
DaniilMedvedev,69.4,47.5,70.1,79.0,64.0,43.9,26.8,70.2,40.3
HolgerRune,67.5,49.0,68.6,80.3,64.2,40.9,18.5,61.2,59.8
HubertHurkacz,69.3,43.8,65.9,75.5,63.8,34.6,20.9,65.8,39.6
JannikSinner,66.1,49.5,63.5,74.1,64.8,33.3,22.5,64.9,42.9
NovakDjokovic,72.9,48.9,71.2,82.5,54.9,34.3,35.4,76.4,44.7
StefanosTsitsipas,69.7,37.4,68.3,76.5,57.3,37.5,19.6,64.9,35.4
