Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 Australian Open R64,W vsRuusuvuori,1.07,1.17,40.7,11.7,13.3%,58.9%,12.9%,61.2%,43.3%,44.8%
2023 Tour Finals SF,L vsSinner,0.93,0.82,58.5,2.3,10.6%,74.5%,12.2%,51.2%,29.6%,34.0%
2023 Tour Finals RR,L vsAlcaraz,0.81,0.61,50.4,2.6,6.9%,72.4%,7.4%,55.6%,34.5%,18.5%
2023 Tour Finals RR,W vsRublev,1.03,1.50,49.7,2.2,21.2%,81.8%,12.9%,54.8%,50.0%,41.2%
2023 Tour Finals RR,W vsZverev,1.13,1.36,64.5,3.0,0.0%,64.9%,9.1%,78.8%,34.3%,34.4%
2023 Vienna F,L vsSinner,0.98,0.91,84.6,3.0,11.8%,58.8%,7.8%,54.7%,40.0%,39.7%
2023 Vienna SF,W vsTsitsipas,1.20,1.51,63.2,2.6,2.8%,75.0%,9.4%,78.1%,31.6%,27.3%
2023 Vienna QF,W vsKhachanov,1.18,1.35,44.9,2.1,10.9%,71.7%,2.3%,65.1%,34.8%,37.2%
2023 Vienna R16,W vsDimitrov,1.24,1.27,58.4,4.4,18.8%,64.6%,11.6%,60.5%,50.0%,25.7%
2023 Vienna R32,W vsFils,1.40,5.11,31.2,2.3,13.6%,81.8%,10.5%,94.7%,40.6%,48.4%
2023 Shanghai R32,L vsKorda,0.81,0.73,56.0,3.2,9.4%,75.0%,10.7%,64.3%,25.0%,29.4%
2023 Shanghai R64,W vsGarin,1.13,1.61,40.1,2.7,20.0%,66.7%,4.0%,64.0%,51.6%,46.7%
2023 Beijing F,L vsSinner,0.85,0.59,52.3,2.3,7.1%,69.0%,5.6%,69.4%,20.5%,22.2%
2023 Beijing SF,W vsZverev,1.15,1.77,49.7,2.3,10.3%,72.4%,17.9%,82.1%,37.0%,33.3%
2023 Beijing QF,W vsHumbert,1.00,1.23,63.5,2.5,2.3%,58.1%,15.4%,64.1%,48.8%,47.4%
2023 Beijing R16,W vsDe Minaur,1.16,1.37,50.4,2.8,2.6%,68.4%,5.6%,55.6%,41.9%,47.5%
2023 Beijing R32,W vsPaul,0.93,1.88,38.1,2.6,19.2%,69.2%,16.7%,75.0%,59.3%,53.8%
2023 US Open F,L vsDjokovic,0.97,0.74,38.6,2.0,3.7%,61.1%,7.7%,57.7%,23.2%,39.6%
