Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2021 Australian Open R16,W vsMcdonald,1.67,2.54,18.9,2.2,5.3%,65.8%,15.2%,78.8%,42.1%,43.8%
2021 Australian Open R32,W vsKrajinovic,1.07,1.29,36.0,2.2,14.7%,64.7%,8.1%,66.1%,47.3%,35.3%
2021 Australian Open R64,W vsCarballes Baena,0.88,1.76,31.3,2.5,15.0%,70.0%,19.4%,75.0%,54.1%,57.1%
2021 Australian Open R128,W vsPospisil,1.26,2.14,23.3,2.1,7.9%,71.1%,13.9%,77.8%,48.8%,37.8%
2021 Atp Cup F,W vsBerrettini,1.15,2.07,36.6,2.2,7.4%,66.7%,8.0%,84.0%,43.8%,46.7%
2021 Atp Cup SF,W vsZverev,1.14,1.14,81.4,9.5,10.7%,60.7%,11.8%,62.7%,33.3%,43.1%
2020 Tour Finals F,W vsThiem,1.14,1.23,66.9,7.5,7.0%,71.9%,15.1%,64.2%,36.7%,31.6%
2020 Tour Finals SF,W vsNadal,0.96,1.27,69.4,19.5,18.2%,72.7%,13.2%,63.2%,51.7%,31.6%
2020 Tour Finals RR,W vsDjokovic,1.15,1.84,41.7,2.3,16.7%,80.0%,19.2%,65.4%,34.3%,51.5%
2020 Tour Finals RR,W vsZverev,1.04,1.45,53.5,2.8,3.1%,59.4%,9.7%,77.4%,34.3%,54.5%
2020 Paris F,W vsZverev,0.95,1.35,54.6,5.2,9.3%,62.8%,25.0%,80.0%,37.7%,44.9%
2020 Paris SF,W vsRaonic,1.06,1.38,54.8,2.2,10.8%,75.7%,9.1%,69.7%,30.6%,40.6%
2020 Paris QF,W vsSchwartzman,1.12,2.87,31.5,2.1,18.2%,81.8%,21.1%,78.9%,46.2%,54.5%
2020 St Petersburg R16,L vsOpelka,0.63,1.05,66.9,5.5,7.9%,81.6%,9.1%,75.8%,40.4%,29.8%
2020 Roland Garros R128,L vsFucsovics,0.84,0.78,37.8,2.2,1.6%,57.1%,3.8%,57.7%,40.3%,39.1%
2020 Roland Garros R128,L vsFucsovics,0.84,0.78,37.8,2.2,1.6%,57.1%,3.8%,57.7%,40.3%,39.1%
2020 US Open SF,L vsThiem,0.93,0.73,40.9,2.0,7.8%,59.4%,11.3%,62.9%,35.0%,25.9%
2020 US Open QF,W vsRublev,1.19,1.73,34.2,3.0,15.7%,82.4%,17.4%,76.1%,20.4%,41.3%
2020 US Open R16,W vsTiafoe,1.33,2.53,19.5,2.1,18.8%,71.9%,3.6%,67.9%,51.4%,63.6%
2020 US Open R32,W vsWolf,1.10,1.75,25.9,2.1,15.0%,70.0%,18.9%,64.9%,44.4%,59.1%
2020 US Open R64,W vsOconnell,1.12,1.75,28.9,2.1,9.1%,70.5%,13.2%,73.7%,47.2%,40.0%
2020 US Open R128,W vsDelbonis,1.22,2.87,18.5,2.0,5.7%,74.3%,6.5%,87.1%,44.2%,48.8%
2020 Marseille QF,L vsSimon,1.42,0.49,39.9,3.0,0.0%,50.0%,0.0%,40.0%,20.0%,17.6%
2020 Australian Open R16,L vsWawrinka,0.93,0.83,46.9,4.6,10.7%,62.7%,16.2%,66.2%,31.9%,31.8%
2020 Australian Open R32,W vsPopyrin,1.18,1.94,24.6,2.1,5.1%,66.7%,10.8%,78.4%,44.4%,46.3%
2020 Australian Open R64,W vsMartinez,0.94,1.73,28.3,2.0,22.7%,84.1%,22.5%,62.5%,47.9%,48.9%
2020 Australian Open R128,W vsTiafoe,1.12,1.27,43.9,2.2,6.6%,57.4%,15.3%,61.0%,50.0%,41.8%
2020 Atp Cup SF,L vsDjokovic,1.01,0.86,72.5,2.8,7.3%,61.8%,3.8%,49.1%,40.7%,34.6%
2020 Atp Cup QF,W vsSchwartzman,1.19,1.22,60.5,2.2,11.3%,64.2%,16.0%,64.0%,28.6%,45.0%
2019 Tour Finals RR,L vsNadal,0.85,0.82,68.2,127.4,29.6%,66.7%,9.6%,65.4%,37.3%,27.1%
2019 Tour Finals RR,L vsTsitsipas,0.82,0.73,60.6,2.2,10.0%,62.5%,8.1%,70.3%,26.3%,34.3%
2019 Tour Finals RR,L vsZverev,0.74,0.70,50.3,2.1,18.8%,78.1%,14.3%,75.0%,32.4%,10.3%
2019 Shanghai F,W vsZverev,1.17,1.75,41.3,2.2,9.7%,64.5%,3.8%,69.2%,48.0%,52.2%
2019 Shanghai SF,W vsTsitsipas,1.08,1.50,57.4,2.9,5.6%,75.0%,12.9%,80.6%,22.5%,41.2%
2019 Shanghai QF,W vsFognini,1.23,2.47,50.4,2.1,21.9%,81.3%,21.4%,82.1%,33.3%,40.6%
2019 Shanghai R32,W vsNorrie,1.36,3.16,27.3,2.0,21.7%,69.6%,22.2%,88.9%,60.0%,40.9%
2019 St. Petersburg F,W vsCoric,1.12,2.70,33.8,2.1,23.8%,81.0%,15.8%,78.9%,50.0%,46.7%
2019 St. Petersburg SF,W vsGerasimov,1.30,1.31,56.6,2.4,2.4%,61.0%,13.5%,73.0%,21.6%,48.4%
2019 St. Petersburg QF,W vsRublev,1.00,1.19,57.9,3.1,10.8%,54.1%,25.0%,65.6%,52.2%,44.2%
2019 St. Petersburg R16,W vsDonskoy,1.03,1.74,41.6,2.2,14.8%,70.4%,11.5%,76.9%,57.1%,31.3%
2019 US Open F,L vsNadal,1.00,0.85,51.2,3.4,6.4%,59.6%,9.1%,62.5%,37.3%,28.9%
2019 US Open SF,W vsDimitrov,1.21,1.33,41.2,2.5,9.8%,68.9%,7.1%,51.8%,35.3%,52.2%
2019 US Open QF,W vsWawrinka,1.23,1.33,36.5,2.6,10.4%,68.7%,6.5%,64.5%,38.3%,33.3%
2019 US Open R16,W vsKoepfer,1.06,1.29,43.5,5.2,16.4%,62.3%,8.9%,71.4%,43.5%,37.0%
2019 US Open R32,W vsLopez,0.98,1.51,48.3,2.9,18.8%,75.4%,23.3%,76.7%,39.3%,34.6%
2019 US Open R64,W vsDellien,0.99,1.26,35.3,2.0,13.3%,61.7%,14.5%,65.5%,48.6%,44.1%
2019 US Open R128,W vsGunneswaran,1.35,2.31,22.4,2.1,15.8%,68.4%,10.0%,70.0%,58.3%,46.9%
2019 Cincinnati F,W vsGoffin,0.89,1.70,48.4,2.3,20.0%,76.7%,14.8%,77.8%,47.5%,39.5%
2019 Cincinnati SF,W vsDjokovic,1.41,1.29,50.6,5.7,-,63.4%,-,70.0%,35.9%,23.3%
2019 Cincinnati QF,W vsRublev,1.50,2.57,25.1,2.1,-,63.0%,-,70.8%,50.0%,65.2%
2019 Cincinnati R16,W vsStruff,1.29,2.17,29.2,2.0,-,67.9%,-,69.2%,48.1%,57.7%
2019 Cincinnati R32,W vsPaire,0.88,1.59,46.4,3.3,-,82.1%,-,69.6%,33.3%,52.6%
2019 Cincinnati R64,W vsEdmund,0.99,1.56,47.4,2.1,-,71.4%,-,69.6%,41.9%,51.9%
2019 Canada F,L vsNadal,0.79,0.39,29.3,2.2,12.0%,52.0%,8.3%,50.0%,20.0%,28.6%
2019 Canada SF,W vsKhachanov,0.86,1.40,27.6,2.0,-,76.5%,-,58.1%,51.6%,54.2%
2019 Canada QF,W vsThiem,1.59,4.43,23.7,2.0,-,81.8%,-,82.4%,56.5%,42.9%
2019 Canada R16,W vsGarin,0.96,2.31,36.4,2.0,-,76.2%,-,85.7%,40.6%,51.6%
2019 Washington F,L vsKyrgios,0.80,0.87,76.5,8.3,-,84.2%,-,69.7%,17.5%,32.4%
2019 Washington SF,W vsGojowczyk,1.04,2.10,36.0,2.1,18.2%,68.2%,14.3%,76.2%,54.5%,57.9%
2019 Wimbledon R32,L vsGoffin,1.13,0.86,61.0,10.8,8.9%,56.7%,14.3%,58.3%,31.9%,33.3%
2019 Wimbledon R64,W vsPopyrin,0.86,1.53,43.7,3.2,10.7%,80.4%,7.7%,73.1%,44.9%,36.9%
2019 Wimbledon R128,W vsLorenzi,1.03,1.95,35.1,2.2,14.3%,85.7%,19.0%,76.2%,35.6%,35.2%
2019 Queen's Club SF,L vsSimon,0.92,0.86,68.6,4.7,18.0%,72.0%,9.1%,50.0%,36.2%,34.6%
2019 Queen's Club QF,W vsSchwartzman,1.23,2.00,30.5,2.1,-,53.8%,-,84.0%,47.1%,54.5%
2019 Queen's Club R16,W vsPouille,0.99,1.18,70.7,2.2,-,69.5%,-,62.7%,39.7%,40.4%
2019 Queen's Club R32,W vsVerdasco,1.23,2.06,34.8,2.0,-,69.0%,-,76.9%,41.9%,50.0%
2019 Stuttgart R16,L vsPouille,0.84,0.78,34.0,2.2,-,60.3%,-,58.9%,39.6%,34.8%
2019 Roland Garros R128,L vsHerbert,0.89,0.90,57.9,9.9,1.3%,56.4%,1.4%,64.8%,43.2%,36.1%
2019 Rome R64,L vsKyrgios,0.97,0.69,46.0,2.1,20.9%,72.1%,12.2%,58.5%,23.1%,25.7%
2019 Madrid R64,L vsPella,0.86,0.77,58.1,2.6,0.0%,57.9%,12.5%,62.5%,39.5%,32.5%
2019 Barcelona F,L vsThiem,0.98,0.53,37.5,3.1,0.0%,48.0%,0.0%,33.3%,34.6%,29.2%
2019 Barcelona SF,W vsNishikori,1.07,1.18,78.2,6.0,4.2%,66.7%,13.0%,65.2%,39.6%,34.8%
2019 Barcelona QF,W vsJarry,1.05,1.67,52.8,2.2,9.4%,68.8%,7.1%,78.6%,42.1%,43.2%
2019 Barcelona R16,W vsMcdonald,1.04,1.38,49.9,2.8,3.3%,60.0%,3.7%,59.3%,56.7%,50.0%
2019 Barcelona R32,W vsRamos,1.37,1.45,51.8,2.6,5.4%,59.5%,8.6%,60.0%,48.6%,36.4%
2019 Monte Carlo SF,L vsLajovic,0.85,0.68,37.8,3.9,0.0%,44.1%,0.0%,51.5%,45.5%,37.5%
2019 Monte Carlo QF,W vsDjokovic,1.09,1.37,46.7,2.5,4.7%,74.4%,2.6%,56.4%,37.5%,48.8%
2019 Monte Carlo R16,W vsTsitsipas,1.14,1.23,62.2,4.1,0.0%,52.9%,6.3%,71.9%,46.3%,35.1%
2019 Monte Carlo R32,W vsAlbot,1.25,2.03,29.6,2.1,4.0%,68.0%,4.5%,59.1%,46.7%,71.4%
2019 Monte Carlo R64,W vsSousa,1.15,2.45,33.9,2.0,10.0%,80.0%,15.0%,65.0%,62.5%,54.5%
2019 Miami R16,L vsFederer,0.84,0.49,39.5,2.3,3.7%,74.1%,4.2%,45.8%,28.0%,17.4%
2019 Miami R32,W vsOpelka,1.00,1.35,69.5,3.5,14.3%,87.5%,22.0%,76.0%,23.7%,25.0%
2019 Miami R64,W vsMannarino,0.82,1.78,35.8,2.0,26.1%,78.3%,15.0%,70.0%,59.4%,51.6%
2019 Indian Wells R32,L vsKrajinovic,0.85,0.59,44.6,2.2,3.8%,61.5%,3.8%,53.8%,23.3%,35.7%
2019 Indian Wells R64,W vsMcdonald,1.05,1.74,42.3,2.2,7.7%,73.1%,12.0%,68.0%,51.9%,45.8%
2019 Dubai R32,L vsBerankis,0.86,0.65,41.4,2.0,9.1%,48.5%,6.3%,56.3%,30.3%,41.9%
2019 Rotterdam SF,L vsMonfils,0.95,0.82,63.1,4.4,4.3%,59.6%,4.7%,46.5%,33.3%,47.8%
2019 Rotterdam QF,W vsTsonga,1.23,2.03,33.9,2.1,16.7%,73.3%,8.0%,72.0%,47.2%,42.9%
2019 Rotterdam R16,W vsVerdasco,1.10,1.49,53.0,2.0,0.0%,71.0%,3.4%,58.6%,50.0%,44.4%
2019 Rotterdam R32,W vsChardy,1.08,1.40,53.2,3.3,13.2%,73.7%,8.8%,58.8%,50.0%,36.4%
2019 Sofia F,W vsFucsovics,1.11,1.44,52.3,2.3,3.2%,54.8%,17.9%,71.4%,51.6%,44.8%
2019 Sofia SF,W vsMonfils,1.35,1.74,34.0,2.1,6.7%,56.7%,10.3%,72.4%,39.4%,53.3%
2019 Sofia QF,W vsKlizan,1.02,3.15,34.3,2.2,23.8%,85.7%,23.5%,82.4%,58.8%,37.5%
2019 Sofia R16,W vsHaase,0.98,1.48,47.5,4.4,15.8%,73.7%,5.9%,67.6%,39.5%,48.6%
2019 Davis Cup RR,W vsLaaksonen,1.18,1.09,69.6,3.4,3.1%,68.8%,6.7%,65.0%,30.4%,30.8%
2019 Australian Open R16,L vsDjokovic,0.99,0.82,43.8,2.7,8.1%,59.5%,10.3%,55.9%,36.9%,32.8%
2019 Australian Open R32,W vsGoffin,1.02,1.57,30.7,2.0,6.5%,67.4%,10.3%,69.2%,46.9%,51.2%
2019 Australian Open R64,W vsHarrison,1.19,2.94,23.4,2.2,2.9%,85.7%,13.3%,76.7%,56.1%,33.3%
2019 Australian Open R128,W vsHarris,1.36,2.65,18.5,2.2,5.1%,71.8%,3.0%,72.7%,53.8%,54.3%
2019 Brisbane F,L vsNishikori,0.98,0.80,55.7,3.3,11.5%,53.8%,4.2%,54.2%,37.5%,37.8%
2019 Brisbane SF,W vsTsonga,0.82,1.87,56.9,3.3,7.4%,81.5%,32.0%,80.0%,43.9%,44.4%
2019 Brisbane QF,W vsRaonic,1.17,1.19,63.9,5.1,9.3%,63.0%,13.7%,76.5%,34.0%,27.3%
2019 Brisbane R16,W vsMurray,1.18,1.97,33.4,2.2,43.3%,83.3%,12.5%,62.5%,31.3%,57.1%
2018 Paris R32,L vsCoric,0.88,0.47,41.6,2.2,3.1%,59.4%,9.4%,62.5%,22.2%,20.0%
2018 Paris R64,W vsCarreno Busta,1.38,3.45,28.6,2.1,4.8%,66.7%,30.0%,95.0%,40.0%,57.9%
2018 Basel SF,L vsFederer,0.75,0.49,29.1,2.2,3.3%,53.3%,0.0%,41.4%,37.9%,30.8%
2018 Basel QF,W vsTsitsipas,1.14,1.34,61.1,2.4,4.9%,73.2%,11.1%,69.4%,33.3%,34.1%
2018 Basel R16,W vsSeppi,1.05,1.37,58.7,2.8,8.3%,66.7%,9.1%,66.7%,36.8%,50.0%
2018 Basel R32,W vsMarterer,1.15,1.49,49.0,2.1,8.6%,71.4%,11.8%,61.8%,41.9%,44.8%
2018 Moscow SF,L vsKhachanov,0.99,0.73,55.1,2.3,2.3%,62.8%,5.0%,65.0%,28.6%,24.4%
2018 Moscow QF,W vsBerankis,1.21,1.41,60.9,2.2,28.6%,60.0%,12.9%,71.0%,50.0%,30.4%
2018 Moscow R16,W vsLajovic,1.21,1.86,35.3,2.0,14.8%,74.1%,4.2%,54.2%,52.0%,56.5%
2018 Shanghai R32,L vsFederer,1.00,0.79,70.4,2.9,9.3%,68.5%,0.0%,51.1%,30.4%,32.5%
2018 Shanghai R64,W vsZhang,1.10,1.22,74.9,8.1,11.8%,76.5%,12.5%,62.5%,26.7%,41.1%
2018 Tokyo F,W vsNishikori,0.94,3.45,38.1,2.2,22.7%,86.4%,14.3%,90.5%,53.8%,30.4%
2018 Tokyo SF,W vsShapovalov,1.22,2.03,36.7,2.3,18.5%,66.7%,25.9%,81.5%,53.8%,32.0%
2018 Tokyo QF,W vsRaonic,1.31,1.84,43.4,2.5,3.1%,81.3%,3.6%,78.6%,23.3%,33.3%
2018 Tokyo R16,W vsKlizan,1.41,1.79,44.7,2.3,12.9%,77.4%,10.7%,50.0%,40.7%,50.0%
2018 Tokyo R32,W vsSchwartzman,0.93,1.39,55.7,2.0,7.1%,67.9%,4.2%,70.8%,43.2%,48.6%
2018 Tokyo Q2,W vsGerasimov,1.04,1.27,64.7,5.1,5.5%,61.8%,6.3%,68.8%,41.4%,43.9%
2018 Tokyo Q1,W vsMoriya,1.43,2.01,38.9,2.0,7.4%,70.4%,16.0%,76.0%,54.2%,19.0%
2018 St. Petersburg QF,L vsThiem,0.97,0.79,70.9,2.4,0.0%,54.9%,4.2%,64.6%,29.5%,36.8%
2018 St. Petersburg R16,W vsKukushkin,1.24,1.47,51.6,2.2,5.6%,63.9%,9.4%,65.6%,44.8%,38.5%
2018 St. Petersburg R32,W vsSousa,1.24,1.72,48.4,2.7,12.9%,67.7%,7.4%,63.0%,52.0%,43.5%
2018 US Open R32,L vsCoric,0.89,0.65,31.0,2.2,4.1%,44.9%,13.3%,64.4%,39.6%,26.2%
2018 US Open R64,W vsTsitsipas,1.00,1.58,32.3,2.1,12.2%,75.5%,4.4%,73.3%,43.1%,37.0%
2018 US Open R128,W vsDonskoy,1.10,1.95,31.5,2.3,22.0%,82.9%,18.4%,73.7%,36.0%,40.4%
2018 Winston-Salem F,W vsJohnson,1.31,1.56,47.9,2.3,15.6%,71.9%,10.0%,66.7%,36.4%,36.7%
2018 Winston-Salem SF,W vsDaniel,1.05,2.36,31.2,2.1,9.5%,61.9%,16.7%,88.9%,55.6%,60.0%
2018 Winston-Salem QF,W vsHarrison,1.20,1.34,57.8,2.6,7.7%,69.2%,17.1%,68.6%,30.0%,40.0%
2018 Winston-Salem R16,W vsAndreozzi,1.13,1.48,45.9,2.4,6.3%,62.5%,9.7%,64.5%,48.6%,47.1%
2018 Winston-Salem R32,W vsDe Minaur,1.12,1.39,56.2,2.2,13.3%,63.3%,10.3%,62.1%,51.4%,41.7%
2018 Winston-Salem R64,W vsBasic,1.16,1.43,41.5,2.0,6.5%,61.3%,17.2%,58.6%,48.6%,50.0%
2018 Cincinnati R64,L vsCoric,1.06,0.40,38.6,2.1,7.7%,61.5%,8.3%,50.0%,20.0%,13.0%
2018 Canada R16,L vsZverev,0.95,0.22,33.4,2.1,4.2%,54.2%,18.2%,59.1%,9.1%,11.1%
2018 Canada R32,W vsAuger Aliassime,1.14,1.12,88.0,9.4,3.4%,56.9%,12.0%,66.0%,42.9%,32.7%
2018 Canada R64,W vsSock,1.23,1.22,68.3,2.8,7.8%,60.8%,10.9%,67.4%,35.7%,36.1%
2018 Washington R32,L vsShapovalov,1.19,0.81,70.4,14.1,0.0%,62.0%,4.3%,51.1%,34.1%,24.3%
2018 Washington R64,W vsWatanuki,1.01,1.25,59.6,53.0,10.6%,70.2%,6.8%,59.1%,43.8%,43.2%
2018 Wimbledon R32,L vsMannarino,1.05,0.90,50.4,8.8,9.1%,54.5%,6.0%,56.7%,49.3%,25.8%
2018 Wimbledon R64,W vsGarcia Lopez,1.27,1.89,26.3,2.0,8.7%,69.6%,20.0%,77.5%,51.3%,26.5%
2018 Wimbledon R128,W vsCoric,1.11,1.60,34.6,2.5,8.5%,70.2%,11.9%,73.8%,39.5%,41.0%
2018 Eastbourne R32,L vsJohnson,1.10,0.57,52.3,2.1,0.0%,50.0%,8.3%,61.1%,18.5%,28.0%
2018 Queen's Club R16,L vsChardy,1.04,0.62,54.8,2.4,15.8%,63.2%,16.7%,63.9%,18.8%,25.0%
2018 Queen's Club R32,W vsSock,1.27,1.70,44.9,2.4,8.8%,73.5%,21.4%,75.0%,35.7%,33.3%
2018 s Hertogenbosch R16,L vsVerdasco,0.98,0.59,45.7,3.1,3.8%,53.8%,0.0%,47.8%,29.6%,29.2%
2018 s Hertogenbosch R32,W vsBhambri,1.14,2.16,36.5,2.1,16.7%,70.8%,30.0%,80.0%,43.3%,51.7%
2018 Roland Garros R128,L vsPouille,0.89,0.51,23.5,2.0,6.5%,58.7%,2.3%,48.8%,24.4%,28.6%
2018 Rome R64,L vsHaase,0.93,0.83,53.4,14.3,9.5%,45.2%,8.1%,56.8%,43.9%,43.6%
2018 Madrid R64,L vsEdmund,0.97,0.70,54.3,2.6,0.0%,55.6%,12.0%,44.0%,48.5%,24.2%
2018 Estoril R32,L vsSousa,1.11,0.77,59.0,3.4,2.5%,50.0%,2.5%,55.0%,36.1%,29.4%
2018 Monte Carlo R32,L vsNishikori,1.07,0.66,47.4,3.0,0.0%,56.1%,2.5%,50.0%,31.3%,26.7%
2018 Monte Carlo R64,W vsFucsovics,1.03,1.18,80.9,4.6,1.6%,74.2%,1.8%,56.4%,44.1%,33.9%
2018 Davis Cup RR,W vsOfner,1.25,3.46,29.5,2.0,18.2%,86.4%,5.6%,72.2%,47.4%,64.7%
2018 Miami R64,L vsZverev,0.87,0.90,84.4,3.3,7.3%,69.1%,8.2%,57.1%,32.1%,43.8%
2018 Miami R128,W vsTsitsipas,1.26,1.29,52.7,5.4,7.3%,58.5%,2.8%,63.9%,48.8%,30.8%
2018 Indian Wells R32,L vsCarreno Busta,0.83,0.69,52.8,2.0,16.1%,58.1%,10.0%,53.3%,37.5%,35.9%
2018 Indian Wells R64,W vsBerrettini,1.12,1.14,78.4,28.3,7.7%,61.5%,1.7%,66.1%,36.7%,37.5%
2018 Indian Wells R128,W vsJohnson,1.27,1.62,47.2,2.4,16.1%,67.7%,16.7%,80.0%,29.4%,37.5%
2018 Rotterdam QF,L vsSeppi,0.89,0.86,65.6,2.8,7.7%,63.5%,4.3%,65.2%,34.6%,34.7%
2018 Rotterdam R16,W vsHerbert,1.15,1.18,66.1,6.3,4.0%,66.0%,4.3%,71.7%,24.5%,40.0%
2018 Rotterdam R32,W vsMuller,1.05,1.23,70.3,2.1,10.9%,60.9%,16.7%,64.3%,53.8%,33.3%
2018 Rotterdam Q2,W vsMahut,1.19,1.59,46.1,2.6,19.4%,58.1%,13.3%,83.3%,43.8%,34.5%
2018 Montpellier R32,L vsGasquet,0.86,0.39,32.6,2.0,0.0%,37.0%,4.0%,60.0%,23.8%,23.5%
2018 Australian Open R64,L vsChung,1.17,0.58,36.6,2.5,15.7%,52.9%,6.5%,52.2%,22.5%,24.3%
2018 Australian Open R128,W vsKokkinakis,0.98,1.21,51.1,2.9,1.4%,64.9%,10.3%,76.5%,29.3%,44.8%
2018 Sydney F,W vsDe Minaur,1.12,1.25,55.1,4.8,2.2%,64.4%,7.3%,61.0%,38.3%,45.5%
2018 Sydney SF,W vsFognini,1.09,1.24,59.6,13.3,9.5%,59.5%,13.2%,68.4%,36.4%,46.5%
2018 Sydney QF,W vsLorenzi,0.91,2.20,41.1,2.1,4.5%,77.3%,20.0%,85.0%,51.6%,39.3%
2018 Sydney R16,W vsDonaldson,0.95,1.50,71.9,2.6,7.1%,81.0%,5.6%,72.2%,35.2%,38.0%
2018 Sydney R32,W vsKohlschreiber,1.09,1.99,36.4,2.5,14.3%,75.0%,14.8%,74.1%,41.4%,51.9%
2018 Sydney Q2,W vsSafranek,1.08,1.71,40.0,2.1,13.8%,65.5%,20.0%,72.0%,50.0%,50.0%
2018 Sydney Q1,W vsZhurbin,1.14,2.49,34.1,2.0,4.3%,82.6%,4.5%,68.2%,59.1%,47.6%
2018 Playford CH R32,L vsMatosevic,0.94,0.82,64.0,21.5,7.5%,52.8%,2.0%,74.5%,40.7%,21.3%
2017 Brest CH QF,L vsMaden,1.10,0.52,58.4,3.0,9.3%,60.5%,12.2%,58.5%,24.2%,13.8%
2017 Brest CH R16,W vsBonzi,1.23,1.14,71.9,5.1,9.3%,74.1%,12.5%,60.4%,26.5%,33.3%
2017 Brest CH R32,W vsDonati,1.15,1.33,58.5,4.2,20.5%,68.2%,14.6%,65.9%,35.9%,40.5%
2017 Moscow QF,L vsBasic,0.87,0.74,48.3,14.6,7.7%,64.1%,12.5%,53.1%,34.1%,35.7%
2017 Moscow R16,W vsCarreno Busta,0.96,1.58,49.2,2.3,11.5%,65.4%,21.7%,78.3%,39.5%,55.6%
2017 Moscow R32,W vsKuznetsov,1.26,1.15,82.5,10.7,15.1%,62.3%,15.7%,66.7%,30.2%,34.7%
2017 Shanghai R64,L vsPouille,0.72,0.65,42.7,2.2,15.4%,65.4%,8.0%,52.0%,23.3%,51.7%
2017 Tokyo R32,L vsDolgopolov,0.79,0.52,30.4,2.0,3.8%,46.2%,0.0%,44.0%,38.5%,33.3%
2017 St. Petersburg R32,L vsFabbiano,1.00,0.74,46.5,2.2,6.8%,61.4%,14.6%,48.8%,27.8%,40.7%
2017 US Open R128,L vsShapovalov,0.99,0.59,26.4,2.1,2.3%,41.9%,2.6%,48.7%,31.8%,34.1%
2017 Winston-Salem R32,L vsEdmund,0.85,0.91,99.2,9.6,10.2%,61.2%,8.9%,64.4%,38.0%,41.3%
2017 Cincinnati R64,L vsFognini,0.98,0.85,67.1,3.4,4.3%,40.4%,11.6%,65.1%,45.0%,37.5%
2017 Washington QF,L vsZverev,0.70,0.36,32.9,2.0,3.7%,66.7%,4.2%,50.0%,16.0%,27.3%
2017 Washington R16,W vsDimitrov,1.09,1.92,41.3,2.2,20.8%,70.8%,9.5%,76.2%,52.0%,41.7%
2017 Washington R32,W vsJohnson,1.12,1.17,74.8,22.9,8.3%,66.7%,10.7%,62.5%,39.6%,34.0%
2017 Washington R64,W vsOpelka,1.05,1.27,90.5,5.2,10.7%,73.2%,16.0%,72.0%,27.6%,38.6%
2017 Wimbledon R64,L vsBemelmans,1.06,0.81,42.7,4.9,6.3%,60.8%,10.5%,56.6%,33.3%,30.0%
2017 Wimbledon R128,W vsWawrinka,1.04,1.39,37.6,2.3,12.1%,77.6%,9.4%,60.4%,38.6%,43.1%
2017 Eastbourne SF,L vsDjokovic,0.76,0.64,46.4,2.6,6.3%,65.6%,7.4%,55.6%,38.2%,26.7%
2017 Eastbourne QF,W vsJohnson,1.21,1.60,42.9,2.0,2.9%,74.3%,12.9%,71.0%,37.8%,34.3%
2017 Eastbourne R32,W vsQuerrey,1.11,1.38,56.3,2.0,16.2%,75.7%,8.6%,57.1%,36.1%,47.2%
2017 Queen's Club QF,L vsDimitrov,0.93,0.80,53.8,4.8,14.3%,55.1%,15.2%,63.0%,36.4%,34.1%
2017 Queen's Club R16,W vsKokkinakis,1.30,4.73,25.6,2.1,35.0%,90.0%,29.4%,82.4%,50.0%,48.1%
2017 Queen's Club R32,W vsMahut,1.10,1.21,60.1,4.2,5.3%,78.9%,4.3%,61.7%,35.2%,28.0%
2017 s Hertogenbosch QF,L vsKarlovic,0.87,0.42,37.7,2.3,6.1%,66.7%,6.7%,56.7%,22.2%,13.6%
2017 s Hertogenbosch R16,W vsKokkinakis,1.14,1.81,46.7,2.1,9.7%,77.4%,27.6%,79.3%,31.4%,37.5%
2017 s Hertogenbosch R32,W vsHaase,1.18,1.05,72.1,2.4,4.9%,62.3%,7.0%,70.2%,29.4%,31.1%
2017 s Hertogenbosch Q2,W vsSmyczek,1.24,1.22,55.4,4.2,9.3%,70.4%,14.9%,57.4%,36.0%,34.0%
2017 s Hertogenbosch Q1,W vsRam,1.37,3.13,34.2,2.2,20.8%,83.3%,18.2%,86.4%,40.9%,28.6%
2017 Lyon R32,L vsSimon,1.01,0.78,53.0,2.4,1.8%,57.9%,0.0%,63.3%,33.9%,27.1%
2017 Monte Carlo R64,L vsLopez,0.97,0.83,70.6,2.5,1.9%,57.4%,7.5%,52.8%,40.0%,36.8%
2017 Indian Wells R128,L vsYouzhny,0.95,0.79,56.7,2.4,2.7%,43.2%,10.8%,59.5%,43.8%,36.7%
2017 Dubai R16,L vsKohlschreiber,0.96,0.48,51.8,2.6,5.9%,55.9%,3.2%,67.7%,22.2%,16.0%
2017 Dubai R32,W vsAwadhy,1.32,2.02,34.7,2.1,13.8%,69.0%,19.2%,69.2%,51.6%,42.3%
2017 Marseille QF,L vsPouille,1.10,0.62,66.0,4.0,13.0%,65.2%,6.8%,61.4%,19.4%,21.9%
2017 Marseille R16,W vsStruff,1.32,1.10,66.8,3.0,5.9%,74.5%,4.7%,67.4%,20.9%,27.0%
2017 Marseille R32,W vsPaire,1.18,1.12,83.0,24.5,4.2%,62.0%,4.8%,57.1%,37.7%,38.9%
2017 Montpellier QF,L vsTsonga,0.96,0.40,43.5,2.3,3.2%,64.5%,0.0%,55.6%,11.5%,22.7%
2017 Montpellier R16,W vsVerdasco,1.42,2.01,40.8,2.3,18.8%,78.1%,7.4%,55.6%,52.0%,38.1%
2017 Montpellier R32,W vsKamke,1.22,1.55,47.9,2.1,9.1%,60.6%,12.9%,77.4%,38.9%,40.6%
