Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 Australian Open QF,W vsFritz,0.92,1.42,41.7,2.7,21.0%,79.0%,15.1%,66.0%,40.0%,43.2%
2024 Australian Open R16,W vsMannarino,1.07,2.48,23.1,2.2,25.0%,88.9%,24.2%,60.6%,61.3%,51.9%
2024 Australian Open R64,W vsPopyrin,1.03,1.28,44.3,3.4,6.3%,79.4%,12.5%,66.1%,35.0%,31.4%
2024 United Cup QF,L vsDe Minaur,0.89,0.37,45.4,2.3,8.6%,57.1%,6.1%,63.6%,11.5%,21.7%
2024 United Cup RR,W vsZhang,1.37,2.88,27.8,2.2,20.8%,70.8%,9.1%,86.4%,31.0%,60.7%
2024 United Cup RR,W vsLehecka,0.92,1.41,51.4,2.2,2.4%,66.7%,5.3%,71.1%,39.0%,58.8%
2023 Davis Cup RR,L vsSinner,0.73,0.90,64.4,10.8,9.8%,73.2%,5.6%,63.9%,33.3%,43.1%
2023 Tour Finals F,W vsSinner,0.89,2.35,34.7,2.0,20.8%,87.5%,40.9%,77.3%,44.7%,47.2%
2023 Tour Finals SF,W vsAlcaraz,1.13,1.78,43.1,2.3,3.3%,83.3%,8.0%,60.0%,37.9%,48.1%
2023 Tour Finals RR,W vsHurkacz,1.20,1.72,45.1,2.2,2.3%,76.7%,10.5%,71.1%,32.6%,41.9%
2023 Tour Finals RR,W vsRune,1.12,1.19,63.2,3.0,6.9%,70.7%,12.0%,56.0%,39.3%,37.7%
2023 Tour Finals RR,L vsSinner,0.82,0.93,69.0,2.6,20.4%,68.5%,19.6%,78.3%,31.1%,29.8%
2023 Paris F,W vsDimitrov,1.04,1.94,43.9,2.5,12.0%,84.0%,13.0%,69.6%,37.1%,48.5%
2023 Paris SF,W vsRublev,1.17,1.20,72.7,6.2,16.1%,67.7%,12.5%,69.6%,32.2%,32.1%
2023 Paris QF,W vsRune,1.15,1.34,55.9,2.3,14.3%,77.6%,7.1%,69.0%,32.7%,28.3%
2023 Paris R16,W vsGriekspoor,1.25,1.22,64.4,8.0,7.3%,60.0%,11.8%,70.6%,30.0%,38.3%
2023 Paris R32,W vsEtcheverry,1.41,2.09,37.0,2.0,14.3%,75.0%,12.5%,70.8%,38.5%,41.7%
2023 US Open F,W vsMedvedev,1.08,1.41,38.6,2.0,1.8%,76.8%,5.7%,60.4%,38.9%,42.3%
2023 US Open SF,W vsShelton,1.11,1.51,30.0,2.1,7.8%,66.7%,2.1%,68.8%,49.1%,38.8%
2023 US Open QF,W vsFritz,1.16,1.51,33.0,2.2,4.2%,60.4%,10.9%,67.4%,40.4%,54.8%
2023 US Open R16,W vsGojo,0.99,1.84,28.1,2.0,15.0%,77.5%,16.7%,75.0%,36.2%,51.8%
2023 US Open R32,W vsDjere,0.98,1.32,37.3,8.8,6.0%,65.7%,13.3%,73.3%,37.8%,44.9%
2023 US Open R64,W vsZapata Miralles,1.06,2.06,26.0,2.4,13.2%,81.6%,0.0%,67.6%,41.5%,56.4%
2023 US Open R128,W vsMuller,1.28,2.33,21.3,2.0,12.1%,81.8%,7.4%,59.3%,54.3%,48.5%
2023 Cincinnati F,W vsAlcaraz,1.03,1.10,104.5,17.5,1.5%,68.7%,4.9%,62.3%,41.4%,31.7%
2023 Cincinnati SF,W vsZverev,1.15,1.30,56.7,2.4,2.3%,74.4%,8.1%,67.6%,38.1%,26.3%
2023 Cincinnati QF,W vsFritz,0.99,2.08,41.1,2.0,0.0%,61.9%,10.5%,89.5%,52.2%,52.4%
2023 Cincinnati R16,W vsMonfils,1.40,2.73,33.1,2.0,4.0%,80.0%,0.0%,66.7%,51.7%,50.0%
2023 Wimbledon F,L vsAlcaraz,0.95,0.89,52.5,5.1,1.1%,62.8%,1.1%,56.7%,39.2%,35.2%
2023 Wimbledon SF,W vsSinner,1.30,1.34,31.0,2.2,10.2%,74.6%,9.4%,62.3%,31.3%,33.3%
2023 Wimbledon QF,W vsRublev,1.02,1.37,40.5,3.2,5.1%,66.1%,3.6%,76.4%,32.7%,45.8%
2023 Wimbledon R16,W vsHurkacz,1.07,1.56,43.4,2.9,13.6%,80.3%,15.3%,81.4%,30.7%,25.4%
2023 Wimbledon R32,W vsWawrinka,1.17,2.35,26.5,2.0,12.2%,80.5%,17.6%,79.4%,42.6%,37.8%
2023 Wimbledon R64,W vsThompson,1.23,2.09,33.6,2.1,8.2%,75.5%,8.9%,86.7%,29.1%,36.0%
2023 Wimbledon R128,W vsCachin,1.13,1.63,30.3,2.6,14.9%,68.1%,14.0%,74.4%,40.7%,42.9%
2023 Roland Garros F,W vsRuud,1.00,1.60,33.1,2.8,13.2%,77.4%,8.3%,72.9%,40.0%,39.2%
2023 Roland Garros SF,W vsAlcaraz,1.06,1.38,37.8,2.3,3.0%,59.1%,10.2%,67.8%,50.0%,44.9%
2023 Roland Garros QF,W vsKhachanov,1.02,1.36,38.1,3.3,5.9%,70.6%,11.1%,68.3%,29.6%,53.2%
2023 Roland Garros R16,W vsVarillas,1.23,2.38,21.0,2.2,10.5%,65.8%,9.4%,84.4%,51.3%,48.5%
2023 Roland Garros R64,W vsFucsovics,1.09,1.45,31.6,2.0,2.0%,60.8%,2.1%,60.4%,52.0%,53.1%
2023 Rome QF,L vsRune,0.92,0.72,40.6,2.1,4.8%,57.1%,5.7%,54.3%,40.0%,28.9%
2023 Rome R64,W vsEtcheverry,0.99,1.56,54.6,3.1,0.0%,76.7%,3.7%,70.4%,42.1%,41.2%
2023 Banja Luka QF,L vsLajovic,0.90,0.84,69.9,2.2,2.3%,56.8%,4.9%,63.4%,39.6%,34.7%
2023 Monte Carlo R16,L vsMusetti,0.85,0.81,69.9,14.6,0.0%,55.1%,2.2%,48.9%,48.1%,42.9%
2023 Dubai SF,L vsMedvedev,0.65,0.62,37.6,2.1,6.5%,71.0%,9.7%,58.1%,25.0%,43.3%
2023 Dubai QF,W vsHurkacz,1.36,2.02,45.9,2.1,6.9%,69.0%,7.7%,92.3%,22.6%,38.5%
2023 Dubai R16,W vsGriekspoor,1.11,2.58,27.1,2.1,17.4%,78.3%,20.0%,80.0%,52.4%,44.7%
2023 Dubai R32,W vsMachac,1.03,1.22,71.2,2.5,17.6%,72.5%,6.1%,57.1%,38.8%,44.4%
2023 Australian Open F,W vsTsitsipas,1.10,1.53,34.1,2.0,5.8%,75.0%,8.3%,75.0%,40.0%,29.4%
2023 Australian Open SF,W vsPaul,1.27,1.96,24.9,2.2,10.6%,72.3%,15.9%,61.4%,55.0%,45.9%
2023 Australian Open QF,W vsRublev,1.18,1.84,24.2,2.1,26.1%,65.2%,7.1%,73.8%,57.4%,37.8%
2023 Australian Open R16,W vsDe Minaur,1.35,2.48,19.0,2.0,5.6%,69.4%,6.3%,75.0%,42.9%,60.0%
2023 Australian Open R32,W vsDimitrov,1.09,1.35,36.6,2.5,6.8%,66.1%,13.2%,64.2%,41.7%,44.6%
2023 Australian Open R64,W vsCouacaud,0.81,1.46,39.7,2.0,15.8%,84.2%,2.0%,61.2%,49.3%,46.4%
2023 Australian Open R128,W vsCarballes Baena,0.98,2.24,28.1,2.4,16.2%,83.8%,9.1%,72.7%,43.9%,54.1%
2023 Adelaide 1 F,W vsKorda,0.91,1.43,74.8,8.5,5.9%,76.5%,8.3%,81.3%,32.8%,33.9%
2023 Adelaide 1 SF,W vsMedvedev,1.35,1.71,43.9,2.0,6.3%,59.4%,10.3%,89.7%,26.9%,40.9%
