Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2021 San Diego R32,W vsBolt,1.30,3.02,42.1,2.2,17.2%,86.2%,8.0%,76.0%,38.9%,47.1%
2021 Metz F,W vsCarreno Busta,1.10,1.69,45.1,3.1,16.7%,70.0%,15.4%,76.9%,41.2%,41.4%
2021 Metz SF,W vsGojowczyk,1.06,1.39,59.3,2.4,8.3%,66.7%,12.1%,72.7%,42.9%,36.6%
2021 Metz QF,W vsMurray,1.20,1.21,49.4,2.6,10.0%,72.5%,23.7%,71.1%,17.6%,41.4%
2021 Metz R16,W vsPouille,1.37,2.25,32.7,2.0,14.8%,70.4%,18.2%,77.3%,38.7%,48.4%
2021 US Open R64,L vsSeppi,0.89,0.83,46.6,3.5,25.7%,65.7%,16.1%,60.7%,33.3%,34.5%
2021 US Open R128,W vsGerasimov,1.18,2.82,25.3,2.0,31.6%,78.9%,6.7%,86.7%,38.9%,45.8%
2021 Cincinnati R16,L vsCarreno Busta,1.10,0.62,66.6,2.9,14.3%,58.9%,11.3%,67.9%,25.6%,14.7%
2021 Cincinnati R32,W vsMurray,1.10,1.39,58.5,3.1,20.0%,77.1%,30.3%,66.7%,41.2%,28.6%
2021 Cincinnati R64,W vsDavidovich Fokina,1.06,1.42,45.7,2.1,18.4%,77.6%,12.8%,57.4%,44.2%,42.1%
2021 Canada QF,L vsMedvedev,0.79,1.08,82.1,8.2,15.4%,82.7%,4.3%,72.3%,30.5%,30.4%
2021 Canada R16,W vsBasilashvili,0.96,1.14,71.2,4.2,15.8%,71.9%,26.4%,67.9%,31.7%,40.0%
2021 Wimbledon SF,L vsBerrettini,0.99,0.58,27.5,2.3,6.5%,61.3%,1.7%,59.3%,17.9%,29.8%
2021 Wimbledon QF,W vsFederer,1.05,1.55,33.6,2.1,17.0%,72.3%,4.9%,65.9%,49.0%,40.9%
2021 Wimbledon R16,W vsMedvedev,1.29,1.16,42.4,4.7,6.1%,65.9%,6.8%,65.8%,25.7%,36.4%
2021 Wimbledon R32,W vsBublik,1.27,2.22,26.2,2.0,7.7%,76.9%,11.4%,80.0%,35.0%,41.2%
2021 Wimbledon R64,W vsGiron,1.16,2.12,24.3,2.0,12.8%,82.1%,20.0%,71.4%,43.1%,41.2%
2021 Wimbledon R128,W vsMusetti,0.96,1.77,36.6,2.2,9.1%,81.8%,15.8%,73.7%,48.0%,32.6%
2021 Halle R32,L vsAuger Aliassime,0.84,0.60,46.2,2.1,10.3%,55.2%,4.2%,70.8%,28.1%,25.8%
2021 Roland Garros R128,L vsVan De Zandschulp,0.95,0.80,42.2,11.7,11.0%,65.9%,2.8%,61.1%,31.8%,29.5%
2021 Madrid R64,L vsMillman,0.89,0.87,75.6,17.2,11.5%,67.3%,10.6%,70.2%,34.6%,26.1%
2021 Monte Carlo R32,L vsEvans,0.79,0.29,32.7,2.2,9.4%,53.1%,3.3%,50.0%,9.1%,29.4%
2021 Miami F,W vsSinner,1.16,1.36,51.4,3.3,5.4%,64.9%,3.1%,53.1%,55.0%,39.5%
2021 Miami SF,W vsRublev,1.38,1.64,39.0,2.0,10.8%,64.9%,11.1%,63.9%,45.2%,39.3%
2021 Miami QF,W vsTsitsipas,1.19,1.21,64.0,17.5,16.3%,67.3%,16.3%,53.5%,37.5%,41.7%
2021 Miami R16,W vsRaonic,1.17,1.28,61.8,4.5,3.8%,69.8%,25.5%,72.3%,33.3%,30.0%
2021 Miami R32,W vsShapovalov,1.23,1.56,55.4,2.3,2.7%,83.8%,3.1%,68.8%,34.4%,24.1%
2021 Miami R64,W vsKudla,1.20,1.46,50.0,2.2,19.4%,69.4%,16.1%,71.0%,35.9%,36.4%
2021 Dubai R16,L vsShapovalov,0.95,0.47,34.5,2.1,2.9%,54.3%,0.0%,54.8%,19.2%,26.1%
2021 Dubai R32,W vsGasquet,1.28,2.68,30.4,2.0,19.2%,73.1%,21.7%,91.3%,33.3%,44.4%
2021 Rotterdam R32,W vsMannarino,1.13,1.30,61.9,2.9,17.1%,48.8%,27.5%,75.0%,48.7%,39.5%
2021 Montpellier R16,L vsDavidovich Fokina,0.98,0.70,51.4,3.0,18.9%,51.4%,14.3%,57.1%,31.4%,34.4%
2021 Australian Open R128,L vsYmer,0.77,0.92,55.2,6.3,10.1%,63.8%,18.2%,69.7%,39.8%,39.6%
2021 Delray Beach F,W vsKorda,1.12,1.65,44.5,3.0,7.4%,74.1%,8.7%,60.9%,55.2%,38.5%
2021 Delray Beach SF,W vsHarrison,1.25,1.40,53.5,2.3,5.4%,56.8%,15.2%,72.7%,40.5%,39.4%
2021 Delray Beach QF,W vsQuiroz,1.07,1.50,54.5,3.2,0.0%,72.4%,8.0%,64.0%,55.6%,31.3%
2021 Delray Beach R16,W vsGalan,1.16,2.82,28.1,2.0,13.0%,78.3%,10.0%,80.0%,44.4%,58.3%
2020 Vienna R16,L vsSonego,1.11,0.74,64.1,3.4,9.1%,56.8%,7.7%,74.4%,29.7%,16.7%
2020 Vienna R32,W vsBalazs,1.26,1.62,45.7,2.1,11.8%,73.5%,3.7%,59.3%,42.4%,41.4%
2020 Cologne 1 QF,L vsBautista Agut,1.03,0.84,62.9,2.8,6.6%,67.2%,17.5%,49.1%,36.2%,31.5%
2020 Cologne 1 R16,W vsZverev,1.15,1.42,57.3,2.4,5.7%,62.9%,5.9%,70.6%,34.5%,48.1%
2020 Roland Garros R128,L vsSandgren,0.91,0.93,71.7,6.8,7.8%,63.7%,2.0%,61.2%,35.1%,41.6%
2020 Roland Garros R128,L vsSandgren,0.91,0.93,71.7,6.8,7.8%,63.7%,2.0%,61.2%,35.1%,41.6%
2020 Rome R32,W vsRublev,1.50,1.34,53.8,2.9,19.1%,74.5%,14.3%,59.5%,28.6%,30.0%
2020 US Open R128,W vsGojowczyk,1.09,1.45,36.7,2.1,20.8%,72.9%,9.5%,61.9%,42.6%,43.2%
2020 Dubai R32,L vsBublik,1.09,0.70,51.4,2.1,2.9%,40.0%,6.3%,65.6%,19.4%,42.9%
2020 Rotterdam R32,L vsTsitsipas,1.08,0.77,48.0,9.8,0.0%,60.0%,4.2%,52.1%,30.2%,32.4%
2020 Australian Open R64,L vsMillman,0.80,0.70,36.2,2.7,14.0%,58.1%,7.9%,39.5%,48.3%,40.4%
2020 Australian Open R128,W vsNovak,1.18,1.17,50.6,8.8,13.4%,68.3%,6.8%,57.5%,39.2%,33.8%
2020 Auckland SF,L vsPaire,0.80,0.76,52.8,2.0,4.4%,62.2%,15.4%,53.8%,41.8%,37.3%
2020 Auckland QF,W vsLopez,0.99,1.23,72.5,2.1,11.8%,74.5%,10.9%,69.6%,39.6%,29.4%
2020 Auckland R32,W vsSonego,1.18,1.42,55.1,2.2,2.6%,60.5%,8.3%,75.0%,41.0%,37.1%
2020 Atp Cup RR,W vsCoric,1.16,2.95,37.0,2.0,33.3%,81.0%,10.5%,78.9%,53.6%,48.1%
2020 Atp Cup RR,W vsSchwartzman,1.15,1.29,52.6,4.0,18.4%,63.3%,19.6%,67.4%,26.1%,52.3%
2020 Atp Cup RR,W vsThiem,1.24,1.11,82.4,5.8,7.7%,63.1%,10.5%,63.2%,30.6%,35.6%
2019 Paris R64,L vsCilic,0.94,0.71,62.6,2.4,7.3%,63.4%,8.1%,67.6%,25.0%,27.3%
2019 Vienna R32,L vsKhachanov,0.89,0.71,46.7,2.1,2.3%,63.6%,2.5%,50.0%,33.3%,35.3%
2019 Shanghai R16,L vsTsitsipas,0.82,0.86,65.1,3.1,7.8%,72.5%,11.6%,79.1%,24.5%,27.1%
2019 Shanghai R32,W vsMonfils,1.14,2.12,40.5,2.1,6.7%,73.3%,15.4%,84.6%,40.0%,40.0%
2019 Tokyo R32,L vsPouille,0.86,0.65,53.8,2.3,3.1%,59.4%,3.6%,64.3%,29.0%,28.6%
2019 US Open R128,L vsChardy,0.97,0.86,50.8,4.6,10.1%,59.5%,11.0%,63.0%,28.6%,41.6%
2019 Winston-Salem F,W vsPaire,1.10,1.26,61.6,3.8,8.3%,62.5%,4.5%,54.5%,40.9%,53.5%
2019 Winston-Salem SF,W vsShapovalov,1.17,1.87,45.3,2.1,13.3%,73.3%,3.7%,81.5%,28.6%,45.8%
2019 Canada R16,L vsMonfils,0.89,0.58,44.6,2.2,6.9%,51.7%,7.7%,53.8%,28.6%,33.3%
2019 Canada R32,W vsTsitsipas,1.34,1.46,51.2,2.8,-,71.4%,-,78.0%,26.2%,29.4%
2019 Canada R64,W vsFritz,1.30,1.66,45.3,2.0,11.8%,61.8%,9.1%,75.8%,37.5%,42.9%
2019 Washington R32,L vsIsner,0.84,0.61,51.0,2.6,-,59.4%,-,75.0%,22.6%,25.9%
2019 Washington R64,W vsYoung,1.15,1.78,43.7,2.0,16.1%,74.2%,0.0%,61.5%,56.0%,40.9%
2019 Wimbledon R32,L vsDjokovic,1.01,0.77,44.0,2.3,9.7%,58.3%,9.5%,66.7%,31.0%,26.2%
2019 Wimbledon R64,W vsMayer,0.97,1.26,47.0,3.5,5.7%,67.1%,7.7%,70.8%,38.6%,42.2%
2019 Wimbledon R128,W vsLajovic,0.97,1.40,44.5,2.5,8.1%,71.0%,7.1%,75.0%,38.7%,39.2%
2019 Eastbourne QF,L vsFritz,0.86,0.83,67.4,2.4,16.7%,66.7%,5.1%,59.0%,36.2%,35.7%
2019 Eastbourne R32,W vsCecchinato,1.20,1.93,44.4,2.7,-,75.0%,-,79.2%,35.5%,39.1%
2019 Halle R32,L vsSousa,0.82,0.68,47.1,2.8,-,66.7%,-,50.0%,41.7%,27.0%
2019 Roland Garros R128,L vsDjokovic,0.78,0.33,19.0,2.0,10.0%,40.0%,11.8%,64.7%,23.5%,17.2%
2019 Madrid R16,L vsZverev,0.95,0.91,72.6,11.9,5.7%,66.0%,1.9%,48.1%,40.5%,41.7%
2019 Madrid R32,W vsPouille,1.16,1.70,43.3,2.3,18.2%,75.8%,0.0%,70.0%,32.3%,48.0%
2019 Madrid R64,W vsDe Minaur,1.21,2.68,31.2,2.0,7.4%,70.4%,13.6%,95.5%,50.0%,30.8%
2019 Budapest R32,L vsBalazs,0.72,0.62,43.9,2.1,4.2%,70.8%,0.0%,59.1%,38.9%,19.4%
2019 Monte Carlo R64,L vsCoric,0.86,0.86,65.2,2.4,3.7%,68.5%,7.7%,55.8%,36.8%,38.5%
2019 Miami R32,L vsAuger Aliassime,0.82,0.72,61.4,2.6,0.0%,60.5%,13.5%,75.7%,35.0%,20.6%
2019 Miami R64,W vsThiem,1.19,1.50,48.2,2.6,3.3%,70.0%,7.1%,60.7%,51.7%,33.3%
2019 Miami R128,W vsBerrettini,1.35,1.64,47.6,2.4,5.9%,70.6%,3.8%,65.4%,36.0%,40.9%
2019 Indian Wells QF,L vsFederer,0.82,0.59,40.1,2.1,9.1%,60.6%,10.7%,64.3%,22.6%,32.1%
2019 Indian Wells R16,W vsShapovalov,1.36,1.20,60.5,2.4,7.8%,62.7%,2.0%,61.2%,31.1%,36.6%
2019 Indian Wells R32,W vsNishikori,1.22,1.28,65.6,8.0,13.3%,73.3%,10.3%,64.1%,35.7%,28.9%
2019 Indian Wells R64,W vsPouille,0.95,1.17,68.7,5.1,2.6%,59.0%,14.3%,68.6%,51.9%,38.5%
2019 Indian Wells R128,W vsYoung,1.29,1.51,51.8,2.8,0.0%,63.9%,5.9%,50.0%,53.6%,46.2%
2019 Dubai QF,L vsTsitsipas,0.90,0.82,56.5,2.8,5.5%,69.1%,7.7%,57.7%,35.7%,30.2%
2019 Dubai R16,W vsNishikori,1.23,1.41,47.7,3.3,10.4%,70.8%,8.9%,55.6%,37.0%,47.6%
2019 Dubai R32,W vsMoutet,1.26,1.89,45.5,2.2,6.3%,78.1%,0.0%,71.4%,48.5%,25.8%
2019 Marseille R16,L vsTsitsipas,1.01,0.44,44.5,2.2,6.7%,43.3%,10.0%,66.7%,20.8%,18.2%
2019 Marseille R32,W vsKrajinovic,1.11,1.71,43.6,2.4,20.6%,67.6%,20.0%,70.0%,44.0%,52.2%
2019 Montpellier R32,L vsGulbis,0.91,0.71,61.2,2.4,4.9%,65.9%,5.0%,60.0%,26.3%,31.4%
2019 Quimper CH R16,L vsBarrere,1.03,0.77,59.3,2.7,11.5%,71.2%,10.9%,60.9%,25.5%,25.0%
2019 Quimper CH R32,W vsVatutin,1.35,1.29,59.6,3.1,9.8%,58.5%,22.2%,77.8%,34.3%,27.3%
2019 Canberra CH F,W vsIvashka,1.12,1.30,49.3,2.1,2.3%,68.2%,4.8%,59.5%,35.3%,50.0%
2019 Canberra CH SF,W vsVesely,0.98,2.12,38.6,2.0,20.8%,70.8%,25.0%,85.0%,53.1%,45.2%
2019 Canberra CH QF,W vsLamasine,1.18,1.33,55.8,3.3,9.5%,71.4%,0.0%,62.2%,38.9%,35.3%
2019 Canberra CH R16,W vsWang,0.97,2.10,55.4,2.9,29.0%,80.6%,19.2%,88.5%,42.1%,25.7%
2019 Canberra CH R32,W vsTseng,0.88,1.28,65.1,2.2,3.1%,59.4%,10.3%,75.9%,42.9%,52.5%
2019 Pune R32,L vsIvashka,1.15,0.89,71.9,5.2,7.7%,61.5%,8.5%,66.0%,25.0%,31.5%
2018 NextGen Finals RR,L vsTiafoe,1.03,0.89,66.3,2.5,11.4%,71.4%,15.6%,62.5%,27.5%,28.9%
2018 Eckental CH R32,W vsDonati,1.07,1.18,71.4,5.6,7.7%,57.7%,8.2%,65.3%,40.0%,45.7%
2018 Brest CH F,W vsBerankis,1.13,1.54,45.9,3.6,13.9%,61.1%,6.1%,72.7%,37.0%,53.8%
2018 Brest CH QF,W vsBonzi,1.23,1.53,47.1,2.0,6.3%,62.5%,3.4%,69.0%,36.4%,50.0%
2018 Brest CH R16,W vsHemery,1.10,1.33,57.2,2.5,7.1%,66.7%,2.5%,62.5%,45.5%,40.0%
2018 Brest CH R32,W vsHoang,1.13,1.43,48.1,2.4,2.6%,69.2%,5.9%,73.5%,30.8%,42.9%
2018 Ningbo CH R16,L vsDurasovic,0.84,0.81,61.7,2.8,0.0%,65.8%,11.1%,58.3%,36.4%,36.6%
2018 Ningbo CH R32,W vsXia,1.05,1.54,53.0,2.4,8.8%,82.4%,12.9%,61.3%,45.7%,35.3%
2018 Shanghai R64,L vsChung,0.90,0.77,51.0,3.0,10.3%,51.3%,7.9%,52.6%,35.1%,48.5%
2018 Tokyo Q1,L vsUchiyama,0.72,0.31,28.4,2.1,7.7%,61.5%,8.0%,44.0%,22.7%,16.7%
2018 Davis Cup RR,W vsCopil,1.35,1.53,46.0,2.4,8.8%,67.6%,9.1%,66.7%,42.9%,30.4%
2018 Genova CH QF,L vsSonego,0.86,0.90,74.7,6.8,4.3%,67.4%,2.4%,61.0%,46.9%,27.1%
2018 Genova CH R16,W vsLondero,0.92,1.12,62.6,42.2,2.1%,55.3%,7.0%,60.5%,48.2%,54.7%
2018 Genova CH R32,W vsArnaboldi,1.29,1.40,46.0,2.2,14.0%,53.5%,7.3%,58.5%,52.5%,43.2%
2018 US Open R64,L vsCilic,0.87,0.39,20.5,2.3,5.6%,47.2%,2.9%,35.3%,25.8%,26.9%
2018 Cincinnati R64,L vsFucsovics,0.94,0.85,81.8,8.2,11.3%,66.0%,9.4%,64.2%,31.3%,32.6%
2018 Washington R32,L vsTiafoe,0.96,0.57,38.9,2.1,9.1%,57.6%,15.6%,46.9%,24.0%,33.3%
2018 Washington R64,W vsIvashka,1.10,1.41,53.0,3.2,2.9%,58.8%,6.3%,71.9%,35.3%,54.8%
2018 Atlanta R32,L vsDe Minaur,1.00,0.93,85.1,10.7,10.2%,61.0%,5.7%,66.0%,28.9%,40.0%
2018 Atlanta Q2,L vsKokkinakis,0.93,0.67,53.7,2.0,14.3%,60.0%,12.9%,61.3%,29.4%,27.3%
2018 Atlanta Q1,W vsMarchenko,1.17,2.48,32.3,2.0,9.1%,77.3%,21.1%,68.4%,64.3%,50.0%
2018 Wimbledon R128,L vsTomic,0.89,0.55,29.5,2.2,12.1%,62.1%,3.6%,54.5%,18.0%,34.1%
2018 Poznan CH F,W vsDaniel,1.22,2.77,27.7,2.0,13.6%,77.3%,30.0%,75.0%,58.3%,50.0%
2018 Poznan CH SF,W vsGiannessi,1.24,1.27,56.2,3.3,4.3%,70.2%,7.9%,65.8%,35.7%,28.9%
2018 Poznan CH QF,W vsVatutin,1.07,1.67,42.3,2.2,33.3%,66.7%,31.0%,72.4%,37.5%,58.1%
2018 Poznan CH R16,W vsDonati,1.01,1.33,58.0,2.2,5.9%,68.6%,12.8%,72.3%,43.1%,34.8%
2018 Poznan CH R32,W vsAndreozzi,1.11,1.49,50.4,2.0,8.1%,62.2%,14.7%,70.6%,36.4%,54.8%
2018 Roland Garros R64,L vsCilic,0.96,0.75,39.8,2.2,9.7%,55.6%,4.5%,64.2%,37.3%,25.4%
2018 Roland Garros R128,W vsSandgren,1.08,1.63,27.6,2.1,3.8%,75.0%,6.4%,68.1%,39.0%,46.4%
2018 Istanbul Q2,L vsYmer,1.00,0.86,75.1,7.5,9.2%,61.5%,0.0%,56.9%,29.1%,41.7%
2018 Istanbul Q1,W vsAgabigun,1.22,4.08,30.1,2.0,0.0%,91.3%,5.3%,78.9%,40.0%,56.5%
2018 Budapest R32,L vsSonego,0.95,0.83,71.9,35.6,3.2%,74.2%,1.8%,58.9%,32.7%,24.5%
2018 Budapest Q2,W vsMonteiro,1.32,1.33,53.9,6.3,14.0%,72.1%,7.7%,71.8%,20.0%,36.8%
2018 Budapest Q1,W vsBaghdatis,1.13,1.60,46.2,2.6,10.7%,64.3%,3.7%,59.3%,52.0%,56.5%
2018 Qujing CH QF,L vsBolt,1.11,0.65,53.2,3.4,0.0%,62.5%,2.8%,52.8%,21.9%,27.6%
2018 Qujing CH R16,W vsTakahashi,1.24,1.55,39.6,3.2,11.4%,51.4%,32.3%,80.6%,33.3%,54.8%
2018 Qujing CH R32,W vsLee,1.14,2.62,35.6,2.0,33.3%,87.5%,4.8%,76.2%,37.9%,44.0%
2018 Shenzhen CH SF,L vsZhang,0.91,0.83,66.6,3.8,7.4%,61.1%,5.9%,60.8%,43.4%,27.1%
2018 Shenzhen CH QF,W vsJaziri,1.12,1.16,70.5,18.0,10.7%,69.6%,5.6%,63.0%,34.5%,35.2%
2018 Shenzhen CH R16,W vsMaden,1.03,1.95,42.7,2.0,6.7%,83.3%,8.0%,72.0%,28.9%,54.1%
2018 Shenzhen CH R32,W vsSonego,1.18,1.14,77.7,7.2,12.7%,52.4%,0.0%,69.6%,40.7%,35.4%
2018 Zhuhai CH F,L vsBolt,0.86,0.84,72.9,6.3,3.7%,53.7%,12.8%,68.1%,43.9%,33.3%
2018 Zhuhai CH SF,W vsJung,1.13,1.21,68.9,7.2,15.8%,64.9%,3.5%,57.9%,42.6%,40.0%
2018 Zhuhai CH QF,W vsKwon,1.27,4.98,27.7,2.0,10.0%,100.0%,5.9%,70.6%,57.7%,48.0%
2018 Zhuhai CH R16,W vsIvashka,1.07,1.42,57.3,2.2,5.0%,77.5%,0.0%,74.3%,26.7%,37.5%
2018 Zhuhai CH R32,W vsGalovic,1.08,1.72,41.5,2.0,7.1%,78.6%,8.3%,58.3%,48.3%,50.0%
2018 Yokohama CH R32,L vsUchiyama,0.86,0.72,64.5,2.4,10.2%,65.3%,8.9%,66.7%,22.7%,35.1%
2018 Kyoto CH QF,L vsMillman,0.92,0.64,43.1,4.4,15.0%,60.0%,22.2%,66.7%,23.1%,28.6%
2018 Kyoto CH R16,W vsPurcell,1.23,3.28,34.4,2.0,13.0%,78.3%,10.0%,90.0%,47.8%,39.1%
2018 Kyoto CH R32,W vsKibi,1.23,1.43,52.8,3.1,21.1%,63.2%,25.0%,72.2%,32.3%,44.4%
2018 Budapest CH R16,L vsFucsovics,0.88,0.85,70.1,5.7,4.1%,61.2%,4.7%,72.1%,32.7%,32.7%
2018 Budapest CH R32,W vsNovak,1.28,2.87,35.6,2.0,29.2%,83.3%,15.0%,80.0%,50.0%,30.4%
2018 Davis Cup RR,L vsBedene,0.84,0.71,52.5,2.3,3.1%,59.4%,0.0%,62.1%,35.1%,31.4%
2018 Koblenz CH R16,L vsVatutin,1.03,0.80,84.6,5.6,4.3%,56.5%,7.5%,60.0%,32.5%,32.4%
2018 Koblenz CH R32,W vsBalazs,1.03,2.00,47.7,2.4,20.8%,75.0%,13.6%,81.8%,29.7%,55.6%
2018 Noumea CH R16,L vsPuetz,1.03,0.67,48.0,3.1,3.2%,48.4%,3.7%,44.4%,42.3%,26.1%
2018 Noumea CH R32,W vsKlahn,1.04,1.25,65.1,3.0,8.5%,83.0%,0.0%,62.2%,31.8%,31.0%
2017 Toyota CH SF,L vsEbden,1.02,0.78,66.4,17.5,8.2%,63.3%,8.7%,63.0%,24.5%,32.6%
2017 Toyota CH R16,W vsKwon,0.97,1.20,72.5,6.8,10.7%,75.0%,4.0%,60.0%,33.9%,46.2%
2017 Toyota CH R32,W vsUesugi,1.18,2.37,32.5,2.0,20.0%,80.0%,0.0%,68.0%,36.4%,68.2%
2017 Kobe CH R16,L vsSantillan,0.77,0.76,64.8,2.3,6.1%,57.6%,3.1%,50.0%,42.2%,48.8%
2017 Kobe CH R32,W vsMiedler,1.09,1.38,57.9,2.5,8.6%,65.7%,5.9%,61.8%,50.0%,41.9%
2017 Shenzhen CH F,L vsAlbot,0.88,0.86,67.5,2.8,2.9%,58.8%,6.7%,60.0%,43.9%,35.5%
2017 Shenzhen CH SF,W vsKavcic,0.94,1.47,54.9,2.3,5.7%,74.3%,3.4%,72.4%,34.1%,50.0%
2017 Shenzhen CH QF,W vsKwon,1.11,1.54,54.7,2.0,18.8%,71.9%,3.2%,67.7%,47.2%,36.4%
2017 Shenzhen CH R16,W vsSafwat,0.99,2.83,43.7,2.1,8.3%,83.3%,5.3%,84.2%,46.9%,46.4%
2017 Shenzhen CH R32,W vsHemery,1.20,1.63,47.4,2.9,6.1%,69.7%,0.0%,79.3%,31.3%,40.0%
2017 Suzhou CH QF,L vsKavcic,0.95,0.93,92.1,3.7,8.2%,59.0%,1.7%,51.7%,47.2%,40.0%
2017 Suzhou CH R16,W vsDoumbia,0.96,1.23,63.7,3.7,2.6%,68.4%,0.0%,52.8%,54.2%,45.8%
2017 Suzhou CH R32,W vsLee,1.06,1.11,94.3,15.3,4.3%,60.9%,1.6%,45.3%,49.2%,48.2%
2017 Ismaning CH QF,L vsBrown,0.81,0.70,48.3,2.2,9.4%,62.5%,10.0%,60.0%,35.1%,31.4%
2017 Ismaning CH R32,W vsKuhn,0.96,1.48,52.3,2.1,14.3%,80.0%,13.8%,62.1%,38.5%,48.6%
2017 Portugal F20 R16,L vsMertens,0.95,0.61,51.7,2.4,3.6%,42.9%,0.0%,50.0%,36.7%,32.1%
2017 France F20 QF,L vsLestienne,0.95,0.74,51.5,2.3,2.3%,58.1%,0.0%,50.0%,27.8%,45.2%
2017 France F20 R16,W vsGuinard,1.07,1.65,44.4,2.0,6.5%,71.0%,10.7%,71.4%,45.5%,43.8%
2017 France F20 R32,W vsBarrere,1.05,1.20,65.3,17.4,10.2%,65.3%,6.8%,52.3%,45.8%,47.2%
2017 Genova CH R32,L vsIgnatik,0.97,0.85,75.4,4.4,9.3%,57.4%,5.9%,60.8%,41.7%,29.5%
2017 Poland F10 QF,L vsNagal,0.86,0.80,53.3,4.4,0.0%,52.4%,0.0%,37.5%,50.0%,52.2%
2017 Poland F10 R16,W vsGawron,0.89,1.25,54.0,4.6,5.1%,61.5%,2.8%,58.3%,53.8%,58.8%
2017 Poland F10 R32,W vsKossek,1.85,2.91,30.9,2.1,11.1%,66.7%,0.0%,56.0%,55.0%,66.7%
2017 Poland F9 SF,L vsVukic,0.80,0.70,47.5,2.4,3.2%,51.6%,3.3%,53.3%,42.9%,39.4%
2017 Poland F9 QF,W vsMertl,1.17,1.64,43.2,2.2,3.2%,71.0%,3.6%,60.7%,46.7%,48.1%
2017 Poland F9 R16,W vsGawron,0.95,1.21,50.6,22.9,9.3%,62.8%,7.3%,65.9%,39.2%,52.0%
2017 Kitzbuhel Q1,L vsBagnis,0.94,0.73,39.0,2.6,5.0%,47.5%,2.7%,56.8%,34.3%,41.4%
2017 Tampere CH R32,L vsYmer,0.98,0.80,57.3,2.8,0.0%,69.2%,5.4%,40.5%,29.7%,44.1%
2017 Poznan CH R32,L vsEysseric,1.05,0.84,63.6,2.1,2.1%,48.9%,0.0%,52.2%,48.5%,30.0%
2017 Bastad CH R32,L vsDe Greef,0.99,0.82,51.7,4.0,12.7%,58.2%,11.8%,49.0%,37.0%,39.5%
2017 Fergana CH QF,L vsMilojevic,0.81,0.59,46.2,2.2,15.6%,65.6%,0.0%,62.1%,25.8%,26.9%
2017 Fergana CH R16,W vsDuldaev,1.01,1.33,63.4,2.4,19.0%,69.0%,18.4%,76.3%,25.6%,48.6%
2017 Fergana CH R32,W vsKudryavtsev,1.16,1.18,85.1,4.9,18.5%,70.4%,11.8%,58.8%,39.3%,32.1%
2017 Lisbon CH R32,L vsHarris,0.92,0.59,51.3,2.1,2.4%,54.8%,0.0%,75.0%,11.8%,35.7%
2017 Gimcheon CH R16,L vsPospisil,0.95,0.77,59.5,2.3,17.3%,73.1%,4.4%,53.3%,24.5%,34.0%
2017 Gimcheon CH R32,W vsKwon,1.32,1.69,47.8,2.8,2.8%,61.1%,9.1%,75.8%,38.5%,43.5%
2017 Qatar F3 QF,L vsShyla,0.89,0.78,54.7,2.4,4.7%,62.8%,2.7%,51.4%,40.0%,34.0%
2017 Qatar F3 R16,W vsKrawcewicz,1.24,1.66,30.3,2.0,2.9%,61.8%,0.0%,61.3%,54.3%,48.5%
2017 Portugal F4 SF,W vsMertens,1.12,1.29,56.5,3.0,5.1%,51.3%,2.7%,70.3%,43.9%,47.2%
2017 Portugal F4 QF,W vsVega Hernandez,1.08,1.58,45.3,2.0,13.8%,75.9%,11.5%,61.5%,43.8%,46.7%
2017 Portugal F4 R16,W vsBensoussan,1.12,1.31,54.9,4.9,13.6%,72.7%,7.5%,62.5%,34.7%,40.5%
2017 Quanzhou CH R32,W vsMilojevic,1.11,1.16,68.2,5.4,16.7%,63.0%,9.6%,67.3%,30.9%,42.3%
2017 Shenzhen CH R16,L vsLee,0.79,0.90,91.3,4.1,10.2%,61.2%,16.7%,64.3%,44.2%,40.8%
2017 Shenzhen CH R32,W vsWu,1.18,1.81,46.2,2.1,19.2%,61.5%,12.0%,84.0%,42.3%,41.7%
2017 Wroclaw CH R32,L vsEysseric,0.97,0.83,77.7,3.5,12.8%,63.8%,9.8%,58.5%,36.0%,30.2%
2017 Turkey F5 QF,L vsHalebian,0.92,0.77,46.9,2.1,0.0%,47.7%,0.0%,61.9%,41.0%,34.3%
2017 Davis Cup RR,L vsDzumhur,0.94,0.77,35.5,2.3,5.1%,52.5%,0.0%,45.3%,48.4%,33.9%
2017 Turkey F3 R16,L vsLazov,0.92,0.76,51.0,2.0,9.1%,54.5%,7.1%,69.0%,34.8%,28.9%
2017 Turkey F3 R32,W vsDonski,1.04,1.17,60.2,3.5,13.0%,71.7%,2.3%,50.0%,52.8%,33.3%
2016 Germany F17 SF,L vsMarti,0.83,0.88,75.6,4.6,10.6%,57.4%,8.9%,62.2%,38.6%,47.2%
2016 Germany F17 QF,W vsCatarina,0.83,1.19,62.5,19.5,12.2%,73.5%,2.3%,62.8%,33.9%,56.9%
2016 Germany F17 R16,W vsSchlageter,1.10,2.00,34.0,2.8,18.2%,81.8%,9.5%,61.9%,44.4%,57.7%
2016 Germany F17 R32,W vsVeldheer,1.11,1.40,51.6,2.5,-,56.4%,-,75.0%,47.2%,40.0%
