Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 Indian Wells R64,L vsMonfils,1.06,0.76,48.7,2.0,2.4%,47.6%,2.6%,56.4%,34.8%,34.2%
2024 Dubai QF,L vsHumbert,0.74,0.90,70.3,10.8,14.3%,71.4%,8.7%,65.2%,41.8%,34.6%
2024 Dubai R16,W vsOconnell,1.30,1.92,50.0,2.3,11.4%,85.7%,25.0%,71.4%,35.1%,25.0%
2024 Dubai R32,W vsStruff,1.14,0.92,89.5,8.6,18.3%,73.2%,16.7%,69.7%,22.6%,23.2%
2024 Rotterdam R16,L vsGriekspoor,0.85,1.01,77.4,5.5,24.1%,79.3%,25.5%,74.5%,31.7%,22.4%
2024 Rotterdam R32,W vsLehecka,1.06,1.04,106.1,5.4,19.7%,72.1%,10.9%,80.0%,17.5%,31.3%
2024 Marseille SF,L vsHumbert,0.79,0.63,42.5,2.1,24.1%,62.1%,9.1%,77.3%,28.1%,21.4%
2024 Marseille QF,W vsMachac,1.66,2.90,29.8,2.1,26.9%,80.8%,17.4%,82.6%,29.6%,34.8%
2024 Marseille R16,W vsShevchenko,0.90,1.79,35.5,2.0,20.0%,68.0%,36.4%,77.3%,46.7%,64.3%
2024 Australian Open QF,L vsMedvedev,0.78,0.96,47.4,2.4,10.7%,70.7%,12.5%,70.3%,29.0%,43.7%
2024 Australian Open R16,W vsCazaux,1.02,2.22,37.3,2.7,13.0%,84.8%,12.2%,85.4%,33.3%,31.5%
2024 Australian Open R32,W vsHumbert,1.09,1.25,42.5,3.4,14.1%,59.4%,13.1%,73.8%,36.5%,40.7%
2024 Australian Open R64,W vsMensik,0.89,1.42,55.5,4.6,18.6%,72.9%,9.2%,76.9%,44.2%,35.8%
2024 Australian Open R128,W vsJasika,1.18,1.71,33.1,2.3,28.6%,81.6%,23.3%,65.1%,32.1%,44.4%
2024 United Cup F,L vsZverev,0.98,0.64,68.3,17.2,15.9%,61.9%,16.1%,75.0%,19.6%,22.2%
2024 United Cup SF,W vsMannarino,1.09,1.94,48.5,2.0,25.8%,74.2%,25.9%,81.5%,44.4%,35.3%
2024 United Cup QF,W vsZhang,1.34,1.58,44.4,2.0,17.6%,64.7%,12.9%,74.2%,48.3%,23.1%
2024 United Cup RR,L vsDavidovich Fokina,0.86,0.77,57.0,5.0,4.7%,60.5%,18.9%,64.9%,24.4%,44.7%
2024 United Cup RR,W vsSeyboth Wild,0.98,1.45,57.9,4.0,13.6%,68.2%,10.8%,75.7%,42.1%,41.5%
2023 Tour Finals RR,L vsDjokovic,0.85,0.60,45.1,2.2,26.1%,67.4%,27.9%,58.1%,23.3%,28.9%
2023 Paris QF,L vsDimitrov,1.00,0.68,52.6,2.6,35.0%,67.5%,14.7%,61.8%,25.6%,21.9%
2023 Paris R16,W vsCerundolo,1.02,1.50,50.2,3.1,11.5%,69.2%,20.8%,66.7%,37.5%,56.3%
2023 Paris R32,W vsBautista Agut,1.82,2.98,33.0,2.2,44.4%,74.1%,29.2%,75.0%,42.1%,41.2%
2023 Paris R64,W vsKorda,1.06,1.24,63.6,2.5,12.2%,65.3%,17.4%,73.9%,30.2%,42.2%
2023 Basel F,L vsAuger Aliassime,1.01,0.41,59.6,2.2,10.6%,76.6%,13.3%,55.6%,8.1%,20.7%
2023 Basel SF,W vsHumbert,1.06,1.24,75.9,2.4,6.0%,72.0%,11.9%,69.0%,34.5%,34.0%
2023 Basel QF,W vsGriekspoor,0.97,1.29,66.3,4.6,26.4%,77.4%,19.6%,71.7%,34.5%,32.7%
2023 Basel R16,W vsStruff,1.08,1.79,37.2,2.0,33.3%,70.8%,13.0%,69.6%,45.5%,53.1%
2023 Basel R32,W vsLajovic,1.13,1.42,49.2,2.1,28.9%,71.1%,17.1%,68.6%,28.6%,48.4%
2023 Tokyo R32,L vsZhang,0.95,0.82,77.8,13.3,5.4%,60.7%,4.0%,60.0%,33.3%,35.0%
2023 Shanghai F,W vsRublev,1.19,1.20,88.3,8.2,14.0%,72.0%,32.6%,74.4%,29.2%,25.0%
2023 Shanghai SF,W vsKorda,1.26,1.72,39.0,2.2,18.8%,84.4%,22.6%,61.3%,26.7%,48.1%
2023 Shanghai QF,W vsMarozsan,0.90,1.35,61.0,4.0,29.7%,75.7%,15.2%,63.6%,44.2%,46.2%
2023 Shanghai R16,W vsZhang,0.90,1.34,75.9,3.1,20.0%,80.0%,13.6%,72.7%,32.8%,36.8%
2023 Shanghai R32,W vsHsu,1.15,1.52,43.3,2.1,21.2%,69.7%,20.7%,69.0%,33.3%,48.6%
2023 Shanghai R64,W vsKokkinakis,1.36,1.40,44.8,2.3,25.0%,75.0%,23.5%,76.5%,20.0%,31.0%
2023 US Open R64,L vsDraper,0.91,0.60,28.5,2.1,11.5%,53.8%,3.9%,58.8%,37.0%,19.5%
2023 US Open R128,W vsHuesler,1.04,1.32,34.9,39.0,14.5%,71.1%,12.3%,67.7%,46.2%,30.4%
2023 Cincinnati SF,L vsAlcaraz,0.74,0.73,62.0,1000.0,7.3%,78.2%,11.5%,51.9%,36.7%,31.0%
2023 Cincinnati QF,W vsPopyrin,1.22,2.45,50.5,2.0,13.8%,82.8%,22.2%,85.2%,33.3%,31.0%
2023 Cincinnati R16,W vsTsitsipas,1.57,2.61,31.9,2.2,22.2%,74.1%,20.0%,88.0%,23.1%,42.9%
2023 Cincinnati R32,W vsCoric,1.25,1.41,44.8,4.7,13.0%,65.2%,9.8%,70.7%,36.2%,35.9%
2023 Cincinnati R64,W vsKokkinakis,1.07,1.40,77.4,2.7,15.5%,74.1%,9.3%,70.4%,38.9%,33.3%
2023 Canada R16,L vsAlcaraz,0.95,0.79,59.3,7.5,10.5%,68.4%,3.7%,59.3%,31.4%,28.9%
2023 Canada R32,W vsKecmanovic,0.99,1.40,52.3,4.2,33.3%,76.2%,30.0%,65.0%,41.3%,41.5%
2023 Canada R64,W vsBublik,1.04,1.44,49.5,2.1,15.6%,75.0%,6.7%,60.0%,38.5%,51.5%
2023 Washington R32,L vsMmoh,0.99,0.88,87.7,4.3,17.9%,61.2%,13.1%,65.6%,32.2%,33.3%
2023 Wimbledon R16,L vsDjokovic,1.03,0.71,43.4,2.9,22.7%,69.3%,22.5%,74.6%,19.7%,18.6%
2023 Wimbledon R32,W vsMusetti,1.18,1.57,33.3,2.1,16.0%,68.0%,17.8%,80.0%,41.5%,28.0%
2023 Wimbledon R64,W vsChoinski,1.09,1.94,35.7,2.3,26.7%,75.6%,14.0%,81.4%,36.5%,40.7%
2023 Wimbledon R128,W vsRamos,1.13,1.92,27.5,2.0,16.7%,76.2%,21.1%,73.7%,48.8%,35.1%
2023 Halle R16,L vsGriekspoor,0.90,0.84,84.5,3.2,12.0%,68.0%,13.0%,63.0%,28.8%,35.6%
2023 Halle R32,W vsEubanks,1.10,1.33,68.0,2.4,26.0%,72.0%,18.8%,81.3%,35.3%,20.5%
2023 Stuttgart SF,L vsStruff,0.82,0.63,43.6,4.1,23.8%,66.7%,28.2%,66.7%,27.8%,22.6%
2023 Stuttgart QF,W vsOconnell,1.08,1.90,57.4,2.3,42.9%,82.1%,16.0%,72.0%,42.1%,37.1%
2023 Stuttgart R16,W vsWatanuki,1.12,1.17,88.7,5.1,25.4%,81.4%,11.5%,65.4%,26.2%,28.1%
2023 Roland Garros R32,L vsVarillas,0.97,0.81,49.4,5.3,5.1%,65.4%,4.2%,62.0%,32.9%,27.1%
2023 Roland Garros R64,W vsGriekspoor,0.96,1.16,71.2,30.2,8.4%,73.7%,9.6%,66.3%,31.4%,41.5%
2023 Roland Garros R128,W vsGoffin,1.10,1.16,51.1,3.2,9.0%,69.2%,8.6%,58.6%,31.6%,44.4%
2023 Rome R64,L vsWolf,0.71,0.54,38.1,2.1,28.6%,75.0%,4.2%,54.2%,23.3%,29.6%
2023 Madrid R32,L vsCoric,0.75,0.67,49.5,2.2,6.3%,68.8%,10.7%,75.0%,18.4%,32.4%
2023 Madrid R64,W vsGasquet,0.96,1.37,69.7,15.4,26.9%,76.9%,32.6%,76.1%,39.0%,27.8%
2023 Monte Carlo R16,L vsSinner,0.99,0.77,59.4,8.3,19.0%,63.8%,8.8%,52.6%,36.2%,28.6%
2023 Monte Carlo R32,W vsDraper,1.07,1.19,67.6,3.1,24.1%,70.7%,15.7%,54.9%,45.6%,35.4%
2023 Monte Carlo R64,W vsDjere,0.94,1.11,92.9,34.2,15.4%,66.2%,10.3%,62.1%,36.8%,47.3%
2023 Estoril R16,L vsZapata Miralles,0.99,0.86,66.9,6.8,9.4%,64.2%,4.3%,55.3%,36.1%,33.3%
2023 Miami R32,L vsMannarino,0.88,0.81,63.3,2.6,23.3%,67.4%,23.8%,61.9%,26.1%,39.5%
2023 Miami R64,W vsKokkinakis,0.94,1.22,96.4,17.2,21.5%,76.9%,12.3%,71.9%,38.2%,27.1%
2023 Indian Wells R32,L vsPaul,0.92,0.80,67.2,4.3,14.0%,74.4%,5.3%,50.0%,24.4%,40.5%
2023 Dubai QF,L vsDjokovic,0.75,0.50,45.9,2.1,16.1%,77.4%,7.7%,61.5%,31.0%,7.7%
2023 Dubai R16,W vsKotov,1.08,2.28,46.6,2.4,18.5%,77.8%,17.4%,82.6%,42.9%,41.7%
2023 Dubai R32,W vsShevchenko,0.99,1.37,87.2,6.3,22.7%,75.0%,24.3%,75.7%,40.7%,26.5%
