Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2020 Australian Open R128,W vsPurcell,1.01,1.41,35.7,3.0,2.0%,59.2%,2.4%,78.6%,38.2%,51.0%
2019 Ortisei CH F,W vsOfner,0.96,1.72,48.8,2.2,20.0%,76.0%,4.5%,72.7%,38.9%,52.9%
2019 Vienna R16,L vsMonfils,0.87,0.78,68.2,2.4,5.4%,64.9%,5.9%,67.6%,46.3%,13.2%
2019 Vienna R32,W vsKohlschreiber,1.16,1.44,49.7,2.0,13.2%,68.4%,5.6%,61.1%,31.3%,56.7%
2019 Antwerp SF,L vsWawrinka,0.97,0.53,36.9,2.9,0.0%,50.0%,8.3%,54.2%,25.0%,27.3%
2019 Antwerp R16,W vsMonfils,1.16,2.42,32.4,2.1,8.3%,79.2%,0.0%,75.0%,51.6%,42.9%
2019 Antwerp R32,W vsMajchrzak,1.59,2.23,26.2,2.1,7.4%,74.1%,4.0%,60.0%,41.9%,50.0%
2019 St. Petersburg R32,L vsKukushkin,0.75,0.78,57.2,2.4,18.8%,62.5%,0.0%,65.5%,40.5%,35.0%
2019 US Open R128,L vsWawrinka,0.88,0.82,43.3,2.1,3.1%,65.6%,0.0%,56.9%,39.5%,31.9%
2019 Umag R32,W vsSousa,1.27,1.18,69.7,13.7,-,66.7%,-,52.4%,41.0%,33.3%
2019 Lyon R32,L vsLamasine,0.86,0.68,49.4,2.1,-,57.1%,-,55.6%,45.7%,22.6%
2019 Lyon Q2,W vsLamasine,1.15,1.66,44.9,2.1,-,75.0%,-,65.4%,37.5%,48.4%
2019 Rome R32,L vsTsitsipas,0.85,0.57,37.8,2.2,-,56.0%,-,39.1%,44.8%,23.1%
2019 Rome R64,W vsJohnson,1.26,1.20,65.2,26.2,2.4%,58.5%,5.4%,62.2%,35.7%,40.5%
2019 Ostrava CH F,L vsMajchrzak,0.82,0.51,33.0,2.0,0.0%,41.7%,0.0%,30.4%,42.3%,37.5%
2019 Ostrava CH SF,W vsDiez,1.11,1.29,55.0,2.7,7.8%,54.9%,2.2%,65.2%,47.9%,45.5%
2019 Ostrava CH QF,W vsVesely,1.16,1.37,53.4,2.1,7.9%,68.4%,0.0%,55.6%,52.6%,36.1%
2019 Ostrava CH R16,W vsLehecka,1.21,1.54,42.0,2.5,5.7%,51.4%,3.0%,66.7%,58.1%,46.4%
2019 Ostrava CH R32,W vsKoepfer,1.08,1.64,40.9,2.1,7.1%,64.3%,0.0%,60.0%,54.8%,60.0%
2019 Ostrava CH R64,W vsBalazs,1.00,1.20,64.6,2.2,0.0%,55.0%,0.0%,62.2%,54.0%,45.7%
2019 Budapest R16,L vsDjere,0.89,0.66,41.0,2.3,2.8%,55.6%,0.0%,47.1%,36.4%,35.5%
2019 Budapest R32,W vsValkusz,1.19,1.16,55.8,2.2,0.0%,45.9%,3.2%,54.8%,50.0%,47.5%
2019 Budapest Q2,L vsMaden,0.80,0.66,47.8,2.0,3.3%,60.0%,3.7%,48.1%,43.2%,32.4%
2019 Barletta CH R32,L vsArnaboldi,0.86,0.69,46.8,3.6,3.6%,57.1%,0.0%,53.8%,33.3%,37.9%
2019 Barletta CH R64,W vsMoroni,1.10,1.19,55.9,5.1,2.8%,63.9%,6.1%,51.5%,48.8%,41.5%
2019 Villena CH R64,L vsAlcaraz,0.95,0.81,49.2,8.2,2.3%,53.5%,2.5%,42.5%,47.6%,40.5%
2019 M25 Santa Margherita Di Pula F,W vsPellegrino,1.34,2.47,29.1,2.0,0.0%,81.5%,4.0%,56.0%,65.2%,47.6%
2019 M25 Santa Margherita Di Pula SF,W vsOrnago,1.03,1.21,62.1,2.8,5.7%,60.0%,3.2%,51.6%,48.6%,54.1%
2019 M25 Santa Margherita Di Pula R16,W vsLokoli,1.14,2.40,24.1,2.1,0.0%,77.3%,0.0%,72.2%,40.6%,64.5%
2019 M25 Santa Margherita Di Pula R32,W vsBax,0.94,1.17,67.3,4.4,0.0%,68.0%,0.0%,56.3%,48.3%,45.5%
2019 M25 Trento F,W vsJahn,1.21,1.45,47.9,2.2,2.9%,68.6%,6.3%,50.0%,45.5%,51.7%
2019 M25 Trento SF,W vsEjupovic,1.11,1.69,45.6,2.2,3.2%,74.2%,3.6%,71.4%,33.3%,50.0%
2019 M25 Trento QF,W vsCornut Chauvinc,1.14,1.97,58.4,2.1,10.0%,73.3%,4.0%,76.0%,41.0%,47.2%
2019 M25 Trento R32,W vsOlivetti,1.13,1.21,82.9,10.8,14.0%,64.9%,3.6%,69.1%,27.3%,44.3%
2019 Bergamo CH F,W vsMarcora,1.35,2.13,36.0,2.2,7.7%,69.2%,4.3%,69.6%,51.6%,45.2%
2019 Bergamo CH SF,W vsLamasine,1.26,2.13,26.2,2.0,4.2%,54.2%,4.5%,77.3%,60.0%,57.1%
2019 Bergamo CH QF,W vsQuinzi,1.20,2.04,38.2,2.0,7.7%,61.5%,8.3%,70.8%,63.0%,52.0%
2019 Bergamo CH R16,W vsGalovic,1.09,1.14,70.2,3.8,5.0%,55.0%,0.0%,62.9%,44.7%,41.5%
2019 Bergamo CH R32,W vsCaruso,1.11,1.32,47.2,2.2,9.5%,59.5%,7.9%,63.2%,53.8%,37.5%
2019 Bergamo CH R64,W vsMiedler,1.06,1.75,49.8,2.7,12.1%,75.8%,13.3%,73.3%,41.9%,41.4%
2019 M25 Aktobe QF,W vsKiyamov,1.31,1.46,44.2,2.0,5.3%,65.8%,3.1%,56.3%,47.8%,37.5%
2019 M25 Aktobe R32,W vsLiaonenka,1.07,2.29,33.3,2.0,0.0%,72.0%,0.0%,76.2%,56.7%,55.2%
2019 M15 Monastir R16,L vsHoyt,0.77,0.67,53.0,2.3,0.0%,54.2%,0.0%,65.2%,40.0%,30.3%
2019 M15 Monastir R32,W vsJohnson,0.94,1.05,85.5,10.8,2.2%,48.9%,0.0%,69.2%,44.8%,48.1%
2019 M15 Monastir R32,L vsFaria,0.76,0.80,60.9,3.3,7.5%,52.5%,11.4%,65.7%,43.1%,43.8%
2018 Andria CH R32,L vsMarchenko,1.04,0.75,56.0,4.6,6.7%,60.0%,2.3%,55.8%,30.2%,30.0%
2018 Como CH R32,L vsMartin,1.03,0.64,38.7,2.3,0.0%,51.6%,0.0%,43.3%,42.9%,21.1%
