Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 Madrid R64,W vsSonego,1.33,3.23,29.2,2.0,9.1%,77.3%,0.0%,80.0%,59.1%,45.5%
2024 Monte Carlo SF,L vsTsitsipas,0.94,0.84,62.9,8.4,1.9%,60.4%,0.0%,65.3%,39.1%,26.3%
2024 Monte Carlo QF,W vsRune,0.93,1.48,67.9,2.6,4.3%,71.7%,6.8%,86.4%,38.8%,28.3%
2024 Monte Carlo R16,W vsStruff,0.89,1.77,47.0,2.2,0.0%,76.0%,19.0%,76.2%,46.9%,48.4%
2024 Monte Carlo R32,W vsKorda,0.99,2.06,36.8,2.0,4.2%,75.0%,5.3%,73.7%,53.1%,53.3%
2024 Miami F,W vsDimitrov,1.25,2.36,35.3,2.4,8.7%,73.9%,10.0%,80.0%,44.0%,44.0%
2024 Miami SF,W vsMedvedev,1.18,2.22,32.0,2.1,16.0%,68.0%,13.6%,77.3%,53.8%,50.0%
2024 Miami QF,W vsMachac,0.97,1.64,44.0,2.2,7.7%,76.9%,4.2%,66.7%,51.4%,42.9%
2024 Miami R16,W vsOconnell,0.98,1.71,41.5,3.3,0.0%,79.3%,4.0%,68.0%,44.4%,45.7%
2024 Miami R32,W vsGriekspoor,0.80,1.81,53.6,5.1,23.7%,84.2%,16.2%,81.1%,34.5%,44.4%
2024 Miami R64,W vsVavassori,1.36,2.09,38.5,2.1,3.6%,67.9%,12.5%,87.5%,29.6%,41.7%
2024 Indian Wells SF,L vsAlcaraz,0.79,0.72,47.3,4.1,5.3%,55.3%,2.8%,66.7%,36.8%,35.3%
2024 Indian Wells QF,W vsLehecka,1.13,1.96,39.3,2.2,7.4%,66.7%,4.2%,83.3%,48.6%,40.0%
2024 Indian Wells R16,W vsShelton,0.89,1.51,52.1,2.6,5.9%,76.5%,3.2%,67.7%,50.0%,44.1%
2024 Indian Wells R32,W vsStruff,1.11,2.08,40.7,2.3,7.1%,78.6%,20.8%,83.3%,30.0%,42.9%
2024 Indian Wells R64,W vsKokkinakis,0.96,2.04,41.9,2.3,4.0%,72.0%,9.1%,77.3%,43.5%,66.7%
2024 Rotterdam F,W vsDe Minaur,1.27,1.30,57.6,2.3,4.7%,69.8%,7.9%,50.0%,43.6%,37.1%
2024 Rotterdam R32,W vsVan De Zandschulp,1.08,2.22,35.2,2.3,8.0%,72.0%,9.1%,86.4%,41.7%,45.7%
2024 Australian Open F,W vsMedvedev,1.22,1.21,42.9,8.9,7.7%,60.3%,12.1%,72.7%,30.1%,37.9%
2024 Australian Open SF,W vsDjokovic,1.01,1.58,30.8,2.1,8.6%,77.6%,7.7%,71.2%,33.9%,46.3%
2024 Australian Open QF,W vsRublev,1.21,1.33,38.4,2.4,3.3%,61.7%,14.0%,73.7%,34.0%,37.5%
2024 Australian Open R16,W vsKhachanov,1.12,1.48,35.4,2.2,3.9%,68.6%,13.0%,69.6%,34.0%,47.7%
2024 Australian Open R32,W vsBaez,1.12,1.93,26.0,2.1,5.4%,64.9%,12.1%,72.7%,57.9%,50.0%
2024 Australian Open R64,W vsDe Jong,1.45,4.11,17.6,2.1,6.3%,84.4%,19.2%,80.8%,40.5%,57.9%
2024 Australian Open R128,W vsVan De Zandschulp,1.17,1.57,32.1,2.0,8.5%,57.4%,7.3%,78.0%,44.6%,43.1%
2023 Davis Cup RR,W vsDe Minaur,1.23,1.95,34.9,2.2,4.2%,66.7%,16.7%,66.7%,62.1%,42.9%
2023 Davis Cup RR,W vsDjokovic,1.36,1.11,64.4,10.8,9.3%,66.7%,11.8%,56.9%,26.8%,36.1%
2023 Davis Cup RR,W vsGriekspoor,0.91,2.89,47.0,2.6,20.0%,84.0%,12.0%,92.0%,29.0%,48.3%
2023 Tour Finals F,L vsDjokovic,1.14,0.43,34.7,2.0,10.5%,55.3%,11.1%,52.8%,12.5%,22.7%
2023 Tour Finals SF,W vsMedvedev,1.07,1.23,58.5,2.3,11.1%,70.4%,8.0%,66.0%,25.5%,48.8%
2023 Tour Finals RR,W vsDjokovic,1.29,1.14,69.0,2.6,13.1%,68.9%,12.3%,70.2%,31.5%,21.7%
2023 Tour Finals RR,W vsTsitsipas,1.28,2.24,35.8,2.1,14.3%,89.3%,21.7%,69.6%,37.5%,31.0%
2023 Paris R32,W vsMcdonald,0.91,1.50,61.5,5.1,2.4%,76.2%,7.3%,78.0%,37.5%,38.1%
2023 Vienna F,W vsMedvedev,1.06,1.15,84.6,3.0,5.0%,60.0%,3.4%,60.3%,41.2%,45.3%
2023 Vienna R32,W vsShelton,1.11,1.62,54.8,2.7,13.2%,78.9%,6.1%,78.8%,30.0%,31.6%
2023 Shanghai R32,W vsBaez,1.19,1.40,46.0,4.0,6.7%,62.2%,12.5%,75.0%,35.0%,40.6%
2023 Beijing F,W vsMedvedev,1.21,1.74,52.3,2.3,2.6%,79.5%,2.8%,77.8%,31.0%,30.6%
2023 Beijing SF,W vsAlcaraz,1.25,1.49,51.7,3.1,2.6%,63.2%,0.0%,54.1%,45.5%,53.3%
2023 US Open R16,L vsZverev,0.95,0.86,51.4,2.3,12.0%,68.7%,2.6%,50.6%,27.7%,45.6%
