Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2020 Alicante CH F,W vsMartinez,67% (8/12),67% (4/6),2/2,1/1,63% (5/8),2/2,0/0,57% (4/7),57% (4/7)
2020 Barcelona CH F,W vsDzumhur,67% (12/18),57% (4/7),2/4,1/2,83% (5/6),0/1,0/0,- (0/0),- (0/0)
2020 Roland Garros Q1,L vsVukic,55% (12/22),50% (3/6),1/5,0/2,57% (4/7),0/2,0/1,33% (2/6),50% (3/6)
2020 Cordenons CH F,L vsZapata Miralles,78% (7/9),30% (3/10),1/1,0/0,45% (5/11),0/2,0/1,- (0/0),- (0/0)
2020 Trieste CH F,W vsBonadio,89% (8/9),36% (4/11),2/3,1/2,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2020 Trieste CH SF,W vsMusetti,53% (9/17),35% (6/17),2/7,1/2,17% (1/6),0/1,0/0,- (0/0),- (0/0)
2020 ATP Rio de Janeiro R16,L vsCoria,71% (10/14),29% (4/14),1/2,0/0,44% (4/9),1/3,1/2,- (0/0),- (0/0)
2020 ATP Rio de Janeiro R32,W vsRamos,32% (12/37),21% (4/19),2/7,1/4,67% (10/15),0/1,0/0,89% (8/9),67% (6/9)
2019 M25 Denia F,W vsSkatov,58% (7/12),42% (5/12),2/8,1/1,50% (3/6),0/0,0/0,- (0/0),- (0/0)
2019 M25 Denia QF,W vsSanchez Jover,43% (10/23),40% (4/10),2/8,1/4,56% (5/9),0/1,0/0,- (0/0),- (0/0)
2019 M25 Denia R16,W vsMartos Gornes,73% (8/11),50% (4/8),2/4,1/3,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2019 M25 Martos SF,L vsKing,17% (1/6),0% (0/1),0/0,0/0,44% (4/9),0/2,0/1,- (0/0),- (0/0)
2019 Barcelona Q1,L vsSousa,54% (7/13),25% (3/12),1/1,0/0,30% (3/10),3/5,0/1,67% (4/6),50% (3/6)
2019 Murcia CH R16,L vsMolleker,69% (9/13),25% (1/4),1/2,0/0,56% (5/9),2/4,0/1,67% (4/6),50% (3/6)
2019 Murcia CH R32,W vsMartinez,45% (10/22),67% (2/3),2/6,1/3,80% (4/5),2/2,0/0,83% (5/6),40% (2/5)
2019 Murcia CH R64,W vsSakharov,62% (8/13),44% (4/9),2/2,1/1,75% (9/12),3/3,0/0,86% (6/7),29% (2/7)
2019 Villena CH R32,L vsRosol,37% (7/19),63% (5/8),1/1,0/0,0% (0/7),2/4,2/3,- (0/0),- (0/0)
2019 Villena CH R64,W vsSinner,62% (8/13),78% (7/9),2/2,1/1,38% (3/8),0/1,0/0,- (0/0),- (0/0)
2019 M15 Palmanova SF,L vsCerundolo,50% (5/10),25% (1/4),0/0,0/0,43% (3/7),0/2,0/1,- (0/0),- (0/0)
2019 M15 Palmanova QF,W vsMora,38% (6/16),75% (6/8),2/9,1/6,50% (3/6),0/0,0/0,- (0/0),- (0/0)
2019 M15 Palmanova R16,W vsVanneste,80% (8/10),44% (4/9),2/5,1/1,100% (4/4),0/0,0/0,- (0/0),- (0/0)
