Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 Rio De Janeiro R32,W vsAlves,57% (8/14),44% (4/9),2/2,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2023 Buenos Aires F,W vsNorrie,69% (9/13),67% (4/6),2/3,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2023 Buenos Aires SF,W vsZapata Miralles,58% (7/12),71% (5/7),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2023 Buenos Aires QF,W vsLajovic,78% (7/9),50% (5/10),2/2,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2023 Buenos Aires R16,W vsDjere,71% (12/17),33% (4/12),2/2,1/1,86% (6/7),1/2,0/0,- (0/0),- (0/0)
2022 Paris R16,W vsDimitrov,100% (7/7),71% (5/7),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2022 Paris R32,W vsNishioka,90% (9/10),50% (3/6),2/3,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2022 Basel SF,L vsAuger Aliassime,83% (5/6),0% (0/1),0/0,0/0,63% (5/8),1/3,1/2,- (0/0),- (0/0)
2022 Basel R16,W vsVan De Zandschulp,57% (8/14),67% (4/6),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2022 Basel R32,W vsDraper,57% (12/21),44% (4/9),2/4,1/3,57% (4/7),0/1,0/0,- (0/0),- (0/0)
2022 Astana R32,L vsGoffin,45% (5/11),30% (3/10),0/0,0/0,55% (6/11),0/2,0/1,- (0/0),- (0/0)
2022 US Open F,W vsRuud,65% (17/26),27% (3/11),3/4,1/2,70% (7/10),3/4,0/0,100% (4/4),75% (3/4)
2022 US Open SF,W vsTiafoe,88% (21/24),45% (9/20),3/9,1/4,57% (4/7),4/6,0/0,69% (9/13),15% (2/13)
2022 US Open QF,W vsSinner,69% (20/29),42% (11/26),3/8,1/1,56% (9/16),2/4,1/1,50% (6/12),9% (1/11)
2022 US Open R16,W vsCilic,53% (19/36),33% (6/18),3/6,1/1,44% (4/9),0/2,0/0,- (0/0),- (0/0)
2022 US Open R32,W vsBrooksby,73% (11/15),64% (7/11),3/4,1/1,25% (1/4),0/0,0/0,- (0/0),- (0/0)
2022 US Open R64,W vsCoria,63% (12/19),70% (7/10),3/3,1/1,93% (13/14),0/0,0/0,- (0/0),- (0/0)
2022 Cincinnati QF,L vsNorrie,67% (14/21),15% (2/13),1/1,0/0,63% (5/8),3/5,2/3,64% (7/11),36% (4/11)
2022 Cincinnati R32,W vsMcdonald,89% (8/9),57% (4/7),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2022 Canada R32,L vsPaul,71% (12/17),27% (3/11),1/3,0/1,79% (15/19),5/7,4/5,57% (8/14),46% (6/13)
2022 Umag F,L vsSinner,73% (8/11),0% (0/9),1/2,0/0,44% (4/9),1/3,0/1,67% (4/6),50% (3/6)
2022 Umag SF,W vsZeppieri,65% (11/17),40% (6/15),2/2,1/1,69% (9/13),3/4,0/0,- (0/0),- (0/0)
2022 Hamburg F,L vsMusetti,80% (12/15),40% (2/5),1/1,0/0,33% (2/6),5/7,5/6,57% (4/7),57% (4/7)
2022 Hamburg SF,W vsMolcan,70% (7/10),45% (5/11),2/6,1/1,33% (1/3),0/0,0/0,80% (4/5),75% (3/4)
2022 Hamburg R32,W vsKuhn,62% (13/21),20% (2/10),2/4,1/3,50% (1/2),0/1,0/0,80% (4/5),60% (3/5)
2022 Wimbledon R16,L vsSinner,74% (14/19),0% (0/7),1/4,0/0,67% (8/12),5/8,5/6,78% (7/9),33% (3/9)
