Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2023 Bastad SF,W vsMusetti,55% (11/20),50% (2/4),2/4,1/3,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2023 Bastad QF,W vsOfner,71% (10/14),25% (2/8),2/2,1/1,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2023 Bastad R16,W vsShevchenko,57% (8/14),57% (4/7),2/2,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2023 Wimbledon R64,L vsBroady,38% (16/42),33% (3/9),2/9,0/0,54% (7/13),2/5,0/1,- (0/0),- (0/0)
2023 Wimbledon R128,W vsLokoli,74% (17/23),55% (6/11),3/7,1/3,75% (6/8),1/2,0/0,- (0/0),- (0/0)
2023 Roland Garros F,L vsDjokovic,76% (13/17),25% (1/4),0/0,0/0,70% (7/10),3/6,1/2,25% (1/4),0% (0/4)
2023 Roland Garros SF,W vsZverev,63% (12/19),60% (6/10),3/5,1/2,89% (8/9),0/0,0/0,- (0/0),- (0/0)
2023 Roland Garros QF,W vsRune,53% (16/30),38% (5/13),3/10,1/5,86% (6/7),1/2,0/0,- (0/0),- (0/0)
2023 Rome SF,L vsRune,69% (11/16),17% (1/6),1/2,0/0,0% (0/4),0/2,0/1,80% (4/5),75% (3/4)
2023 Rome R16,W vsDjere,78% (7/9),42% (5/12),2/5,1/4,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2023 Monte Carlo R32,W vsVan De Zandschulp,73% (8/11),38% (5/13),2/2,1/1,50% (4/8),1/1,0/0,75% (3/4),100% (4/4)
2023 Estoril F,W vsKecmanovic,71% (10/14),25% (2/8),2/2,1/1,100% (3/3),0/0,0/0,80% (4/5),60% (3/5)
2023 Estoril SF,W vsHalys,61% (14/23),33% (1/3),2/2,1/1,50% (1/2),0/1,0/0,80% (4/5),75% (3/4)
2023 Miami R32,L vsVan De Zandschulp,60% (12/20),13% (2/15),1/1,0/0,50% (3/6),1/3,0/1,- (0/0),- (0/0)
2023 Miami R64,W vsIvashka,89% (8/9),50% (4/8),2/3,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2023 Indian Wells R32,L vsGarin,64% (9/14),25% (1/4),0/0,0/0,71% (5/7),0/2,0/1,40% (2/5),0% (0/4)
2023 Indian Wells R64,W vsSchwartzman,90% (9/10),60% (3/5),2/3,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2023 Australian Open R64,L vsBrooksby,57% (12/21),33% (4/12),1/4,0/0,31% (4/13),4/7,4/5,83% (5/6),40% (2/5)
2023 Australian Open R128,W vsMachac,63% (20/32),31% (4/13),3/7,1/1,75% (3/4),0/1,0/0,46% (6/13),54% (7/13)
2023 Auckland R16,L vsDjere,64% (14/22),14% (1/7),1/1,0/0,75% (3/4),2/4,2/3,60% (3/5),0% (0/5)
2023 United Cup RR,L vsBerrettini,57% (8/14),0% (0/2),0/0,0/0,0% (0/2),2/4,2/3,- (0/0),- (0/0)
2022 Tour Finals F,L vsDjokovic,62% (8/13),- (0/0),0/0,0/0,60% (3/5),0/2,0/1,- (0/0),- (0/0)
2022 Tour Finals SF,W vsRublev,73% (8/11),100% (4/4),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2022 Tour Finals RR,W vsAuger Aliassime,65% (11/17),100% (1/1),2/2,1/1,- (0/0),0/0,0/0,80% (4/5),50% (3/6)
2022 Tour Finals RR,L vsNadal,67% (10/15),0% (0/2),0/0,0/0,33% (1/3),1/3,1/2,- (0/0),- (0/0)
2022 Tour Finals RR,W vsFritz,79% (15/19),20% (1/5),2/5,1/3,75% (3/4),0/1,0/0,71% (5/7),43% (3/7)
2022 Paris R16,L vsMusetti,75% (12/16),67% (2/3),1/1,0/0,57% (4/7),0/2,0/1,- (0/0),- (0/0)
2022 Paris R32,W vsGasquet,82% (9/11),100% (3/3),2/3,1/2,75% (3/4),1/1,0/0,88% (7/8),25% (2/8)
2022 Basel R32,L vsWawrinka,89% (8/9),0% (0/3),0/0,0/0,0% (0/2),1/3,1/2,- (0/0),- (0/0)
2022 Seoul QF,L vsNishioka,60% (9/15),17% (1/6),1/1,0/0,56% (5/9),0/2,0/1,- (0/0),- (0/0)
2022 Seoul R16,W vsJarry,75% (12/16),43% (3/7),2/5,1/4,0% (0/1),2/3,0/0,- (0/0),- (0/0)
2022 US Open F,L vsAlcaraz,73% (16/22),30% (3/10),1/4,0/0,73% (8/11),1/4,1/2,25% (1/4),0% (0/4)
