Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2017 Dubai R16,L vsKohlschreiber,67% (8/12),0% (0/2),0/0,0/0,50% (2/4),0/2,0/1,- (0/0),- (0/0)
2017 Dubai R32,W vsAwadhy,75% (9/12),100% (4/4),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2017 Marseille QF,L vsPouille,53% (10/19),50% (1/2),1/1,0/0,57% (4/7),0/2,0/1,- (0/0),- (0/0)
2017 Marseille R16,W vsStruff,74% (14/19),100% (1/1),2/2,1/1,75% (3/4),0/1,0/0,100% (5/5),40% (2/5)
2017 Marseille R32,W vsPaire,57% (13/23),50% (5/10),2/3,1/1,67% (10/15),0/1,0/0,100% (5/5),33% (2/6)
2017 Montpellier QF,L vsTsonga,64% (7/11),- (0/0),0/0,0/0,25% (1/4),1/3,0/1,- (0/0),- (0/0)
2017 Montpellier R16,W vsVerdasco,57% (8/14),100% (4/4),2/2,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2017 Montpellier R32,W vsKamke,82% (9/11),38% (3/8),2/2,1/1,75% (3/4),1/1,0/0,80% (4/5),60% (3/5)
2017 Australian Open R128,L vsEscobedo,57% (17/30),20% (1/5),1/1,0/0,64% (7/11),2/5,0/1,67% (4/6),17% (1/6)
2017 Chennai F,L vsBautista Agut,47% (7/15),- (0/0),0/0,0/0,50% (2/4),0/2,0/1,- (0/0),- (0/0)
2017 Chennai SF,W vsSela,67% (12/18),57% (4/7),2/2,1/1,67% (6/9),1/2,1/1,100% (5/5),50% (2/4)
2017 Chennai QF,W vsKovalik,70% (7/10),45% (5/11),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2017 Chennai R16,W vsLu,37% (7/19),56% (5/9),2/2,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2017 Chennai R32,W vsMonteiro,40% (8/20),40% (4/10),2/7,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2016 Bratislava CH SF,L vsCopil,79% (11/14),25% (1/4),0/1,0/0,83% (5/6),4/6,0/1,67% (10/15),20% (3/15)
2016 Bratislava CH QF,W vsPavlasek,90% (9/10),33% (3/9),2/4,1/3,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2016 Bratislava CH R16,W vsMichnev,77% (10/13),33% (2/6),2/5,1/2,0% (0/1),1/1,0/0,67% (6/9),44% (4/9)
2016 Bratislava CH R32,W vsHoransky,62% (8/13),67% (4/6),2/3,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2016 Eckental CH QF,L vsKrawietz,92% (11/12),22% (2/9),1/1,0/0,79% (11/14),0/2,0/1,- (0/0),- (0/0)
2016 Eckental CH R16,W vsVatutin,75% (9/12),60% (3/5),2/2,1/1,0% (0/1),2/2,0/0,57% (4/7),57% (4/7)
2016 Eckental CH R32,W vsIvashka,50% (11/22),67% (6/9),2/2,1/1,71% (10/14),1/2,0/0,- (0/0),- (0/0)
2016 Budapest CH SF,L vsCopil,62% (8/13),17% (1/6),0/0,0/0,40% (2/5),2/4,1/2,- (0/0),- (0/0)
2016 Budapest CH QF,W vsRobredo,53% (8/15),56% (5/9),2/3,1/2,78% (7/9),0/0,0/0,- (0/0),- (0/0)
2016 Budapest CH R16,W vsRublev,90% (9/10),25% (3/12),2/4,1/3,- (0/0),0/0,0/0,- (0/0),- (0/0)
2016 Budapest CH R32,W vsLopez Perez,67% (10/15),50% (2/4),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2016 Moscow QF,L vsRobert,73% (8/11),41% (7/17),1/1,0/0,40% (4/10),1/3,1/2,- (0/0),- (0/0)
2016 Moscow R16,W vsTroicki,59% (10/17),36% (5/14),2/3,1/2,78% (7/9),0/1,0/0,- (0/0),- (0/0)
2016 Moscow Q2,W vsBasic,54% (7/13),33% (5/15),2/6,1/3,- (0/0),0/0,0/0,- (0/0),- (0/0)
2016 Moscow Q1,W vsIlhan,58% (7/12),56% (5/9),2/8,1/2,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2016 Mons CH SF,L vsStruff,77% (10/13),67% (2/3),0/0,0/0,50% (2/4),4/6,0/1,40% (4/10),27% (3/11)
2016 Mons CH QF,W vsMelzer,83% (5/6),70% (7/10),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2016 Mons CH R16,W vsGombos,69% (11/16),13% (1/8),2/7,1/3,100% (3/3),1/1,0/0,78% (7/9),33% (3/9)
2016 Mons CH R32,W vsGeens,80% (8/10),31% (4/13),2/5,1/3,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2016 Orleans CH QF,L vsBrands,59% (10/17),29% (2/7),1/6,0/0,56% (5/9),0/2,0/1,- (0/0),- (0/0)
2016 Orleans CH R16,W vsDarcis,47% (7/15),55% (6/11),2/5,1/2,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2016 Orleans CH R32,W vsStruff,78% (7/9),56% (5/9),2/3,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2016 St. Petersburg R16,L vsZverev,50% (6/12),29% (2/7),0/0,0/0,44% (4/9),2/4,2/3,- (0/0),- (0/0)
2016 St. Petersburg R32,W vsBublik,55% (6/11),60% (6/10),2/4,1/2,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2016 St. Petersburg Q2,W vsPavic,42% (8/19),50% (4/8),2/7,1/5,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2016 St. Petersburg Q1,W vsVatutin,92% (12/13),41% (7/17),2/2,1/1,58% (7/12),1/2,0/0,25% (1/4),0% (0/4)
2016 St Remy de Provence CH F,W vsDe Loore,82% (9/11),30% (3/10),2/5,1/3,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2016 St Remy de Provence CH SF,W vsBasic,52% (11/21),45% (5/11),2/4,1/2,44% (4/9),0/1,0/0,80% (4/5),50% (3/6)
2016 St Remy de Provence CH QF,W vsMuller,67% (6/9),75% (6/8),2/3,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2016 St Remy de Provence CH R16,W vsJanvier,69% (11/16),29% (2/7),2/2,1/1,100% (4/4),2/2,0/0,- (0/0),- (0/0)
2016 St Remy de Provence CH R32,W vsBachinger,70% (7/10),63% (5/8),2/4,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2016 Portoroz CH F,L vsMayer,100% (3/3),0% (0/1),0/0,0/0,44% (4/9),3/5,3/4,- (0/0),- (0/0)
2016 Portoroz CH SF,W vsKudryavtsev,71% (10/14),62% (8/13),2/3,1/2,50% (5/10),0/1,0/0,40% (2/5),33% (2/6)
2016 Portoroz CH QF,W vsFucsovics,67% (6/9),86% (6/7),2/2,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2016 Portoroz CH R16,W vsKovalik,73% (8/11),67% (4/6),2/4,1/3,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2016 Portoroz CH R32,W vsIlkel,80% (8/10),100% (4/4),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2016 Astana CH QF,L vsIstomin,53% (9/17),75% (3/4),0/0,0/0,50% (3/6),4/6,3/4,42% (5/12),42% (5/12)
2016 Astana CH R16,W vsLi,60% (9/15),38% (3/8),2/6,1/4,50% (1/2),0/0,0/0,75% (3/4),100% (4/4)
2016 Astana CH R32,W vsJung,63% (12/19),36% (4/11),2/3,1/1,64% (7/11),0/1,0/0,50% (3/6),67% (4/6)
2016 Hamburg R16,L vsGimeno Traver,65% (15/23),22% (4/18),1/1,0/0,73% (8/11),3/5,2/3,45% (5/11),11% (1/9)
2016 Hamburg R32,W vsStruff,60% (15/25),100% (2/2),2/2,1/1,0% (0/1),0/1,0/0,- (0/0),- (0/0)
2016 Hamburg Q2,W vsMertl,53% (8/15),33% (4/12),2/5,1/3,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2016 Hamburg Q1,W vsMatic,75% (9/12),75% (3/4),2/4,1/1,100% (5/5),0/0,0/0,- (0/0),- (0/0)
2016 Todi CH R16,L vsTrungelliti,45% (5/11),40% (2/5),0/0,0/0,58% (7/12),3/5,2/3,- (0/0),- (0/0)
2016 Todi CH R32,W vsUngur,53% (8/15),83% (5/6),2/2,1/1,60% (6/10),0/1,0/0,- (0/0),- (0/0)
2016 Ilkley CH R16,L vsHarrison,68% (13/19),20% (1/5),1/1,0/0,67% (6/9),3/5,2/3,83% (5/6),40% (2/5)
2016 Ilkley CH R32,W vsZopp,83% (10/12),40% (2/5),2/2,1/1,75% (3/4),0/0,0/0,100% (6/6),20% (1/5)
2016 s Hertogenbosch R16,L vsMannarino,67% (6/9),- (0/0),0/0,0/0,40% (2/5),0/2,0/1,- (0/0),- (0/0)
2016 s Hertogenbosch R32,W vsZeballos,54% (7/13),56% (5/9),2/4,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2016 s Hertogenbosch Q2,W vsKravchuk,80% (8/10),67% (4/6),2/4,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2016 s Hertogenbosch Q1,W vsZverev,53% (9/17),100% (3/3),2/2,1/1,100% (5/5),0/0,0/0,- (0/0),- (0/0)
2016 Nice R32,L vsPella,69% (11/16),11% (2/18),1/1,0/0,69% (9/13),0/2,0/1,55% (6/11),50% (6/12)
2016 Nice Q2,W vsZhang,61% (11/18),57% (4/7),2/3,1/2,67% (6/9),2/3,0/0,60% (3/5),67% (4/6)
2016 Nice Q1,W vsLapentti,65% (13/20),15% (2/13),2/2,1/1,82% (9/11),0/1,0/0,80% (4/5),50% (3/6)
2016 Bordeaux CH QF,L vsDutra Silva,62% (8/13),67% (2/3),0/0,0/0,40% (2/5),1/3,1/2,60% (3/5),0% (0/5)
2016 Bordeaux CH R16,W vsGimeno Traver,82% (9/11),43% (3/7),2/4,1/3,100% (8/8),0/0,0/0,- (0/0),- (0/0)
2016 Bordeaux CH R32,W vsDaniel,77% (10/13),33% (2/6),2/5,1/3,100% (5/5),0/0,0/0,67% (4/6),50% (3/6)
2016 Tallahassee CH R16,L vsYoung,46% (6/13),36% (4/11),0/0,0/0,64% (9/14),1/3,0/1,50% (3/6),33% (2/6)
2016 Tallahassee CH R32,W vsLock,57% (8/14),71% (5/7),2/2,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2016 Savannah CH R32,W vsKrueger,82% (9/11),50% (3/6),2/7,1/1,70% (7/10),0/0,0/0,67% (8/12),67% (8/12)
2016 Raanana CH R16,L vsDonskoy,50% (10/20),17% (2/12),1/2,0/0,77% (10/13),2/4,0/1,- (0/0),- (0/0)
2016 Raanana CH R32,W vsMiedler,70% (7/10),50% (5/10),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2016 Kazan CH SF,L vsKaratsev,57% (4/7),20% (1/5),0/0,0/0,0% (0/5),1/3,0/1,- (0/0),- (0/0)
2016 Kazan CH QF,W vsIvashka,77% (10/13),30% (6/20),2/2,1/1,25% (1/4),0/1,0/0,- (0/0),- (0/0)
2016 Kazan CH R16,W vsBublik,89% (8/9),57% (4/7),2/2,1/1,50% (2/4),0/0,0/0,60% (3/5),80% (4/5)
2016 Kazan CH R32,W vsBerankis,55% (11/20),67% (4/6),2/4,1/1,63% (5/8),1/2,0/0,- (0/0),- (0/0)
2016 France F4 QF,L vsCagnina,75% (9/12),100% (5/5),1/1,0/0,14% (1/7),1/3,1/2,- (0/0),- (0/0)
2016 France F4 R32,W vsKahlke,100% (10/10),42% (5/12),2/2,1/1,67% (2/3),0/1,0/0,- (0/0),- (0/0)
2016 Switzerland F2 F,W vsBossel,73% (8/11),57% (4/7),2/5,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2016 Switzerland F2 SF,W vsMarti,69% (11/16),31% (4/13),2/3,1/2,33% (1/3),1/2,0/0,- (0/0),- (0/0)
2016 Switzerland F2 R16,W vsAltmaier,58% (11/19),33% (3/9),2/4,1/2,33% (1/3),0/1,0/0,- (0/0),- (0/0)
2016 Switzerland F1 QF,L vsIgnatik,52% (13/25),0% (0/3),1/1,0/0,80% (8/10),0/2,0/1,100% (6/6),17% (1/6)
2016 Switzerland F1 R32,W vsJacq,68% (15/22),33% (4/12),2/6,1/3,88% (7/8),2/3,0/0,33% (2/6),50% (3/6)
2016 France F3 R32,L vsNys,29% (6/21),0% (0/2),0/0,0/0,40% (2/5),1/3,0/1,- (0/0),- (0/0)
2016 Bangkok CH R16,L vsYouzhny,67% (4/6),20% (1/5),0/0,0/0,44% (4/9),3/5,3/4,- (0/0),- (0/0)
2016 Bangkok CH R32,W vsTrongcharoenchaikul,87% (13/15),56% (5/9),2/5,1/2,20% (1/5),0/1,0/0,78% (7/9),36% (4/11)
2015 Germany F18 QF,W vsMaden,52% (13/25),67% (4/6),2/2,1/1,50% (3/6),0/1,0/0,- (0/0),- (0/0)
2015 Germany F18 R16,W vsJaensch Mueller,62% (8/13),67% (4/6),2/5,1/3,71% (5/7),0/0,0/0,100% (4/4),60% (3/5)
2015 France F21 QF,W vsEysseric,73% (8/11),80% (4/5),2/3,1/2,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2015 Nanchang CH R32,L vsThompson,50% (5/10),0% (0/4),0/0,0/0,40% (2/5),0/2,0/1,- (0/0),- (0/0)
2015 Shanghai CH QF,W vsFabbiano,80% (8/10),57% (4/7),2/2,1/1,71% (5/7),0/0,0/0,- (0/0),- (0/0)
2015 Shanghai CH R16,W vsGojowczyk,75% (15/20),38% (3/8),2/5,1/2,75% (6/8),0/1,0/0,50% (5/10),50% (5/10)
2015 Shanghai CH R32,W vsLee,64% (7/11),45% (5/11),2/5,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2015 Bangkok CH R32,L vsThompson,47% (7/15),25% (1/4),0/0,0/0,70% (7/10),4/6,0/1,- (0/0),- (0/0)
2015 Belarus F2 QF,L vsGerasimov,50% (5/10),100% (2/2),0/0,0/0,44% (4/9),1/3,0/1,- (0/0),- (0/0)
2015 Belarus F2 R16,W vsFilin,55% (6/11),75% (6/8),2/4,1/1,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2015 Belarus F1 QF,W vsIvashka,45% (9/20),60% (6/10),2/3,1/2,58% (7/12),0/1,0/0,80% (4/5),75% (3/4)
2015 Belarus F1 R16,W vsKarimov,67% (8/12),100% (4/4),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2015 France F14 QF,L vsEysseric,75% (9/12),30% (3/10),0/0,0/0,40% (2/5),3/5,3/4,33% (3/9),27% (3/11)
2015 France F11 QF,L vsMusialek,33% (5/15),33% (1/3),0/0,0/0,64% (7/11),0/2,0/1,- (0/0),- (0/0)
2015 France F11 R32,W vsCancel,86% (6/7),50% (6/12),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2015 Moscow CH R16,L vsMunoz de la Nava,38% (5/13),50% (1/2),0/3,0/0,67% (8/12),2/4,2/3,56% (5/9),33% (3/9)
2015 Moscow CH R32,W vsTiurnev,44% (7/16),56% (9/16),2/2,1/1,50% (7/14),1/2,0/0,- (0/0),- (0/0)
2015 Russia F1 F,W vsGakhov,90% (9/10),43% (3/7),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2015 Russia F1 SF,W vsElistratov,60% (9/15),41% (7/17),2/3,1/1,50% (5/10),0/1,0/0,- (0/0),- (0/0)
2014 Russia F8 QF,L vsDavydenko,86% (6/7),60% (3/5),0/0,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2014 Russia F8 R16,W vsMiocic,75% (6/8),67% (6/9),2/2,1/1,57% (4/7),0/0,0/0,- (0/0),- (0/0)
2014 Russia F8 R32,W vsDesyatnik,50% (8/16),50% (7/14),2/5,1/2,62% (8/13),1/2,0/0,- (0/0),- (0/0)
2014 Georgia F3 QF,W vsBakshi,100% (7/7),50% (5/10),2/5,1/4,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2014 Georgia F2 F,W vsMager,67% (10/15),50% (5/10),2/4,1/2,60% (3/5),1/2,0/0,- (0/0),- (0/0)
2014 Georgia F2 R16,W vsBadanov,80% (8/10),50% (4/8),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
