Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2019 Queen's Club R16,W vsPouille,70% (14/20),80% (4/5),2/8,1/3,40% (2/5),3/4,0/0,63% (10/16),38% (6/16)
2019 Queen's Club R32,W vsVerdasco,80% (8/10),57% (4/7),2/3,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2019 Stuttgart R16,L vsPouille,55% (12/22),43% (3/7),1/2,0/0,55% (6/11),5/8,0/1,57% (4/7),29% (2/7)
2019 Roland Garros R128,L vsHerbert,71% (17/24),22% (5/23),2/3,0/0,56% (9/16),3/6,0/1,- (0/0),- (0/0)
2019 Rome R64,L vsKyrgios,50% (11/22),25% (1/4),1/1,0/0,33% (1/3),0/2,0/1,- (0/0),- (0/0)
2019 Madrid R64,L vsPella,64% (9/14),25% (2/8),1/1,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2019 Barcelona F,L vsThiem,38% (3/8),33% (1/3),0/0,0/0,38% (3/8),2/4,0/1,- (0/0),- (0/0)
2019 Barcelona SF,W vsNishikori,62% (13/21),43% (3/7),2/2,1/1,60% (3/5),1/2,0/0,- (0/0),- (0/0)
2019 Barcelona QF,W vsJarry,71% (10/14),25% (2/8),2/4,1/2,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 Barcelona R16,W vsMcdonald,58% (7/12),36% (5/14),2/3,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2019 Barcelona R32,W vsRamos,64% (9/14),83% (5/6),2/3,1/2,50% (3/6),1/2,0/0,- (0/0),- (0/0)
2019 Monte Carlo SF,L vsLajovic,57% (4/7),50% (2/4),0/0,0/0,50% (6/12),3/5,1/2,- (0/0),- (0/0)
2019 Monte Carlo QF,W vsDjokovic,55% (11/20),50% (5/10),2/2,1/1,50% (2/4),0/1,0/0,- (0/0),- (0/0)
2019 Monte Carlo R16,W vsTsitsipas,69% (9/13),50% (4/8),2/4,1/2,25% (1/4),0/1,0/0,- (0/0),- (0/0)
2019 Monte Carlo R32,W vsAlbot,55% (6/11),75% (6/8),2/3,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 Monte Carlo R64,W vsSousa,64% (7/11),63% (5/8),2/4,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Miami R16,L vsFederer,55% (6/11),0% (0/3),0/0,0/0,0% (0/3),0/2,0/1,- (0/0),- (0/0)
2019 Miami R32,W vsOpelka,86% (18/21),0% (0/2),2/2,1/1,100% (2/2),1/2,0/0,81% (13/16),40% (6/15)
2019 Miami R64,W vsMannarino,64% (7/11),31% (5/16),2/6,1/5,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 Indian Wells R32,L vsKrajinovic,83% (5/6),0% (0/2),0/0,0/0,70% (7/10),5/7,3/4,- (0/0),- (0/0)
2019 Indian Wells R64,W vsMcdonald,53% (8/15),45% (5/11),2/3,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 Dubai R32,L vsBerankis,83% (5/6),25% (1/4),0/0,0/0,60% (6/10),2/4,2/3,- (0/0),- (0/0)
2019 Rotterdam SF,L vsMonfils,56% (9/16),80% (4/5),1/1,0/0,50% (5/10),2/4,0/1,- (0/0),- (0/0)
2019 Rotterdam QF,W vsTsonga,60% (9/15),30% (3/10),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 Rotterdam R16,W vsVerdasco,90% (9/10),36% (4/11),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 Rotterdam R32,W vsChardy,50% (8/16),40% (4/10),2/2,1/1,67% (4/6),0/0,0/0,100% (5/5),50% (2/4)
2019 Sofia F,W vsFucsovics,53% (8/15),44% (4/9),2/3,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2019 Sofia SF,W vsMonfils,89% (8/9),50% (4/8),2/2,1/1,86% (6/7),0/0,0/0,- (0/0),- (0/0)
2019 Sofia QF,W vsKlizan,89% (8/9),29% (4/14),2/5,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Sofia R16,W vsHaase,80% (12/15),83% (5/6),2/2,1/1,33% (1/3),1/2,0/0,- (0/0),- (0/0)
2019 Davis Cup RR,W vsLaaksonen,63% (15/24),43% (3/7),2/6,1/2,83% (5/6),1/2,0/0,69% (11/16),31% (5/16)
2019 Australian Open R16,L vsDjokovic,59% (13/22),22% (2/9),1/4,0/0,61% (11/18),2/5,2/3,50% (3/6),67% (4/6)
2019 Australian Open R32,W vsGoffin,75% (12/16),55% (6/11),3/3,1/1,25% (1/4),0/0,0/0,80% (4/5),60% (3/5)
2019 Australian Open R64,W vsHarrison,68% (13/19),71% (5/7),3/5,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Australian Open R128,W vsHarris,55% (11/20),41% (7/17),3/4,1/1,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2019 Brisbane F,L vsNishikori,60% (9/15),50% (3/6),1/1,0/0,67% (10/15),0/2,0/1,- (0/0),- (0/0)
2019 Brisbane SF,W vsTsonga,100% (9/9),23% (3/13),2/2,1/1,0% (0/1),2/2,0/0,71% (5/7),43% (3/7)
2019 Brisbane QF,W vsRaonic,73% (16/22),50% (2/4),2/2,1/1,100% (8/8),3/4,0/0,50% (2/4),0% (0/5)
2019 Brisbane R16,W vsMurray,53% (9/17),67% (4/6),2/3,1/2,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2018 Paris R32,L vsCoric,62% (8/13),0% (0/2),0/0,0/0,50% (2/4),1/3,0/1,- (0/0),- (0/0)
2018 Paris R64,W vsCarreno Busta,73% (8/11),67% (4/6),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2018 Basel SF,L vsFederer,40% (4/10),33% (1/3),0/0,0/0,56% (5/9),3/5,3/4,- (0/0),- (0/0)
2018 Basel QF,W vsTsitsipas,93% (13/14),40% (2/5),2/2,1/1,75% (3/4),1/2,0/0,- (0/0),- (0/0)
2018 Basel R16,W vsSeppi,75% (9/12),38% (3/8),2/2,1/1,83% (5/6),1/1,0/0,67% (4/6),50% (3/6)
2018 Basel R32,W vsMarterer,59% (10/17),50% (3/6),2/5,1/2,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2018 Moscow SF,L vsKhachanov,67% (10/15),- (0/0),1/4,0/0,50% (3/6),0/2,0/1,83% (5/6),33% (2/6)
2018 Moscow QF,W vsBerankis,77% (10/13),21% (3/14),2/3,1/2,60% (3/5),2/3,0/0,- (0/0),- (0/0)
2018 Moscow R16,W vsLajovic,50% (7/14),45% (5/11),2/5,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2018 Shanghai R32,L vsFederer,60% (12/20),67% (2/3),1/1,0/0,57% (4/7),1/3,0/1,- (0/0),- (0/0)
2018 Shanghai R64,W vsZhang,67% (14/21),25% (1/4),2/4,1/1,67% (2/3),3/4,0/0,75% (6/8),38% (3/8)
2018 Tokyo F,W vsNishikori,90% (9/10),60% (3/5),2/3,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2018 Tokyo SF,W vsShapovalov,60% (9/15),60% (3/5),2/3,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2018 Tokyo QF,W vsRaonic,69% (11/16),100% (1/1),2/6,1/3,- (0/0),0/0,0/0,67% (4/6),60% (3/5)
2018 Tokyo R16,W vsKlizan,80% (8/10),50% (4/8),2/3,1/2,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2018 Tokyo R32,W vsSchwartzman,73% (8/11),40% (4/10),2/3,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2018 Tokyo Q2,W vsGerasimov,61% (14/23),24% (4/17),2/6,1/1,86% (6/7),0/1,0/0,60% (3/5),17% (1/6)
2018 Tokyo Q1,W vsMoriya,100% (9/9),50% (3/6),2/3,1/2,100% (2/2),0/0,0/0,- (0/0),- (0/0)
