Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2012 Tour Finals SF,W vsdel Potro,63% (12/19),40% (4/10),2/2,1/1,71% (5/7),0/1,0/0,- (0/0),- (0/0)
2012 Tour Finals RR,W vsMurray,67% (14/21),50% (3/6),2/2,1/1,71% (5/7),1/2,0/0,- (0/0),- (0/0)
2012 Paris R32,L vsQuerrey,71% (12/17),40% (4/10),1/1,0/0,50% (2/4),1/3,1/2,67% (4/6),17% (1/6)
2012 Shanghai F,W vsMurray,58% (11/19),46% (6/13),2/7,1/3,17% (1/6),6/7,5/5,75% (9/12),33% (4/12)
2012 Shanghai SF,W vsBerdych,90% (9/10),100% (3/3),2/3,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2012 Shanghai QF,W vsHaas,54% (7/13),56% (5/9),2/7,1/5,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2012 Shanghai R16,W vsLopez,82% (9/11),43% (3/7),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2012 Shanghai R32,W vsDimitrov,82% (9/11),60% (3/5),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2012 Beijing F,W vsTsonga,90% (9/10),38% (3/8),2/2,1/1,83% (5/6),0/0,0/0,60% (3/5),67% (4/6)
2012 Beijing SF,W vsMayer,64% (9/14),100% (3/3),2/4,1/2,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2012 Beijing QF,W vsMelzer,89% (8/9),100% (4/4),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2012 Beijing R16,W vsBerlocq,55% (6/11),50% (6/12),2/6,1/5,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2012 Beijing R32,W vsBerrer,67% (14/21),57% (4/7),2/3,1/1,100% (1/1),0/1,0/0,40% (2/5),20% (1/5)
2012 US Open F,L vsMurray,64% (16/25),50% (9/18),2/2,0/0,53% (9/17),7/10,1/2,55% (6/11),36% (4/11)
2012 US Open SF,W vsFerrer,64% (14/22),67% (6/9),3/6,1/1,57% (4/7),0/1,0/0,- (0/0),- (0/0)
2012 US Open QF,W vsdel Potro,100% (12/12),46% (6/13),3/8,1/1,0% (0/1),0/0,0/0,80% (4/5),60% (3/5)
2012 US Open R32,W vsBenneteau,87% (13/15),63% (5/8),3/4,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2012 US Open R64,W vsDutra Silva,80% (12/15),38% (6/16),3/5,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2012 US Open R64,W vsDutra Silva,80% (12/15),38% (6/16),3/5,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2012 US Open R128,W vsLorenzi,69% (9/13),69% (9/13),3/5,1/2,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2012 US Open R128,W vsLorenzi,69% (9/13),69% (9/13),3/5,1/2,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2012 Cincinnati F,L vsFederer,86% (6/7),- (0/0),0/1,0/0,25% (1/4),2/4,1/2,63% (5/8),25% (2/8)
2012 Cincinnati SF,W vsdel Potro,82% (9/11),50% (3/6),2/3,1/2,100% (6/6),0/0,0/0,- (0/0),- (0/0)
2012 Cincinnati QF,W vsCilic,69% (9/13),43% (3/7),2/5,1/1,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2012 Cincinnati R32,W vsSeppi,67% (10/15),20% (2/10),2/5,1/1,- (0/0),0/0,0/0,80% (4/5),50% (3/6)
2012 Canada F,W vsGasquet,90% (9/10),100% (3/3),2/3,1/2,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2012 Canada SF,W vsTipsarevic,60% (9/15),50% (3/6),2/3,1/2,100% (7/7),0/0,0/0,- (0/0),- (0/0)
2012 Canada QF,W vsHaas,62% (13/21),20% (2/10),2/5,1/3,88% (7/8),0/1,0/0,- (0/0),- (0/0)
2012 Canada R16,W vsQuerrey,56% (10/18),50% (2/4),2/4,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2012 Canada R32,W vsTomic,82% (9/11),33% (3/9),2/2,1/1,100% (6/6),0/0,0/0,- (0/0),- (0/0)
2012 London Olympics BR,L vsdel Potro,82% (9/11),0% (0/6),0/0,0/0,67% (4/6),2/4,0/1,- (0/0),- (0/0)
2012 London Olympics SF,L vsMurray,67% (10/15),0% (0/4),0/0,0/0,50% (2/4),0/2,0/1,- (0/0),- (0/0)
2012 London Olympics QF,W vsTsonga,69% (9/13),31% (4/13),2/2,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2012 London Olympics R16,W vsHewitt,87% (13/15),57% (4/7),2/3,1/1,50% (2/4),0/1,0/0,- (0/0),- (0/0)
2012 London Olympics R32,W vsRoddick,67% (8/12),100% (4/4),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2012 Wimbledon SF,L vsFederer,60% (15/25),33% (1/3),1/1,0/0,73% (8/11),1/4,0/1,- (0/0),- (0/0)
2012 Wimbledon QF,W vsMayer,81% (13/16),56% (5/9),3/4,1/1,88% (7/8),0/0,0/0,- (0/0),- (0/0)
2012 Wimbledon R16,W vsTroicki,71% (12/17),75% (6/8),3/5,1/3,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2012 Wimbledon R32,W vsStepanek,67% (16/24),30% (6/20),3/4,1/1,80% (4/5),0/1,0/0,- (0/0),- (0/0)
2012 Wimbledon R32,W vsStepanek,67% (16/24),30% (6/20),3/4,1/1,80% (4/5),0/1,0/0,- (0/0),- (0/0)
2012 Wimbledon R64,W vsHarrison,75% (15/20),100% (3/3),3/5,1/2,100% (6/6),0/0,0/0,- (0/0),- (0/0)
2012 Wimbledon R64,W vsHarrison,75% (15/20),100% (3/3),3/5,1/2,100% (6/6),0/0,0/0,- (0/0),- (0/0)
2012 Wimbledon R128,W vsFerrero,71% (12/17),55% (6/11),3/8,1/2,88% (7/8),0/0,0/0,- (0/0),- (0/0)
2012 Wimbledon R128,W vsFerrero,71% (12/17),55% (6/11),3/8,1/2,88% (7/8),0/0,0/0,- (0/0),- (0/0)
2012 Roland Garros F,L vsNadal,69% (11/16),70% (7/10),1/1,0/0,47% (8/17),1/4,0/1,- (0/0),- (0/0)
2012 Roland Garros SF,W vsFederer,57% (12/21),70% (7/10),3/4,1/2,50% (4/8),0/0,0/0,- (0/0),- (0/0)
2012 Roland Garros QF,W vsTsonga,69% (22/32),46% (6/13),3/6,1/1,64% (7/11),6/8,4/4,57% (4/7),57% (4/7)
2012 Roland Garros R16,W vsSeppi,80% (20/25),41% (9/22),3/3,1/1,40% (4/10),0/2,0/0,83% (5/6),0% (0/6)
2012 Roland Garros R32,W vsDevilder,55% (11/20),70% (7/10),3/4,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2012 Roland Garros R32,W vsDevilder,55% (11/20),70% (7/10),3/4,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2012 Roland Garros R64,W vsKavcic,75% (12/16),40% (6/15),3/7,1/4,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2012 Roland Garros R64,W vsKavcic,75% (12/16),40% (6/15),3/7,1/4,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2012 Roland Garros R128,W vsStarace,74% (14/19),27% (4/15),3/6,1/1,- (0/0),0/0,0/0,80% (4/5),60% (3/5)
2012 Rome F,L vsNadal,50% (7/14),14% (1/7),0/0,0/0,43% (3/7),1/3,0/1,- (0/0),- (0/0)
2012 Rome SF,W vsFederer,64% (9/14),50% (3/6),2/6,1/2,0% (0/1),0/0,0/0,100% (6/6),20% (1/5)
2012 Rome QF,W vsTsonga,80% (8/10),50% (5/10),2/5,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2012 Rome R32,W vsTomic,80% (8/10),50% (4/8),2/4,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2012 Madrid QF,L vsTipsarevic,82% (9/11),0% (0/7),0/0,0/0,75% (3/4),4/6,3/4,40% (2/5),0% (0/4)
2012 Madrid R16,W vsWawrinka,77% (10/13),20% (2/10),2/10,1/4,0% (0/1),0/0,0/0,67% (4/6),50% (3/6)
2012 Madrid R32,W vsGimeno Traver,100% (11/11),25% (3/12),2/4,1/1,60% (3/5),0/1,0/0,- (0/0),- (0/0)
2012 Monte Carlo F,L vsNadal,60% (3/5),100% (1/1),0/0,0/0,38% (3/8),1/3,0/1,- (0/0),- (0/0)
2012 Monte Carlo SF,W vsBerdych,63% (12/19),57% (4/7),2/2,1/1,80% (8/10),0/1,0/0,- (0/0),- (0/0)
2012 Monte Carlo QF,W vsHaase,63% (5/8),58% (7/12),2/4,1/2,50% (4/8),0/0,0/0,- (0/0),- (0/0)
2012 Monte Carlo R16,W vsDolgopolov,92% (11/12),33% (3/9),2/2,1/1,60% (3/5),1/2,0/0,- (0/0),- (0/0)
2012 Monte Carlo R32,W vsSeppi,60% (9/15),33% (3/9),2/3,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2012 Miami F,W vsMurray,63% (10/16),25% (2/8),2/2,1/1,100% (1/1),0/0,0/0,83% (5/6),40% (2/5)
2012 Miami SF,W vsMonaco,73% (8/11),36% (4/11),2/4,1/2,88% (7/8),0/0,0/0,83% (5/6),33% (2/6)
2012 Miami QF,W vsFerrer,53% (8/15),57% (4/7),2/2,1/1,50% (2/4),0/0,0/0,100% (4/4),75% (3/4)
2012 Miami R16,W vsGasquet,71% (10/14),30% (3/10),2/5,1/4,86% (6/7),0/0,0/0,- (0/0),- (0/0)
2012 Miami R32,W vsTroicki,69% (9/13),38% (3/8),2/2,1/1,88% (7/8),0/0,0/0,- (0/0),- (0/0)
