Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2020 Roland Garros R64,W vsCuevas,86% (12/14),46% (6/13),3/6,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2020 Roland Garros R128,W vsMunar,64% (18/28),43% (6/14),3/4,1/1,29% (2/7),0/2,0/0,- (0/0),- (0/0)
2020 Hamburg F,L vsRublev,55% (11/20),31% (4/13),1/3,0/0,50% (5/10),2/4,0/1,- (0/0),- (0/0)
2020 Rome R32,L vsSinner,54% (7/13),67% (2/3),1/3,0/0,50% (7/14),2/4,2/3,60% (6/10),50% (5/10)
2020 US Open R32,L vsCoric,63% (22/35),33% (5/15),2/9,0/6,54% (7/13),4/7,1/2,64% (7/11),44% (4/9)
2020 US Open R64,W vsCressy,76% (16/21),20% (2/10),3/3,1/1,100% (4/4),1/1,0/0,100% (4/4),60% (3/5)
2020 US Open R128,W vsRamos,69% (11/16),50% (7/14),3/4,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2020 Cincinnati SF,L vsRaonic,64% (9/14),0% (0/1),0/1,0/0,0% (0/1),0/2,0/1,67% (4/6),17% (1/6)
2020 Dubai F,L vsDjokovic,100% (6/6),50% (1/2),0/0,0/0,0% (0/3),0/2,0/1,- (0/0),- (0/0)
2020 Dubai SF,W vsEvans,89% (8/9),40% (4/10),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2020 Marseille F,W vsAuger Aliassime,82% (9/11),33% (3/9),2/2,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2020 Rotterdam R32,W vsHurkacz,67% (12/18),55% (6/11),2/2,1/1,0% (0/2),4/5,0/0,40% (2/5),0% (0/4)
2020 Australian Open R32,L vsRaonic,65% (15/23),- (0/0),0/0,0/0,67% (4/6),5/8,1/2,40% (2/5),0% (0/4)
2020 Australian Open R128,W vsCaruso,71% (12/17),46% (6/13),3/6,1/4,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2020 Atp Cup RR,L vsKyrgios,67% (18/27),0% (0/2),1/2,0/0,100% (1/1),2/4,0/1,68% (13/19),32% (6/19)
2020 Atp Cup RR,L vsShapovalov,75% (12/16),0% (0/4),0/1,0/0,100% (1/1),2/4,0/1,46% (6/13),33% (4/12)
2020 Atp Cup RR,W vsZverev,80% (8/10),57% (4/7),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 Tour Finals F,W vsThiem,71% (15/21),30% (3/10),2/3,1/1,75% (3/4),1/2,0/0,69% (9/13),33% (4/12)
2019 Tour Finals SF,W vsFederer,45% (9/20),75% (3/4),2/8,1/1,92% (11/12),0/0,0/0,- (0/0),- (0/0)
