Player,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1,SvImpact.1,D Wide%,A Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2,2ndAgg
AlexanderZverev,31.6,42.4,52.9,38.4,40.2,53.1,56.4,50.2,48.6,41.2,16.2,23.7,46.1,6.6
AndreyRublev,32.0,42.5,52.5,38.0,42.2,55.4,58.7,51.7,50.0,45.9,17.2,23.5,44.9,-15.2
CarlosAlcaraz,25.4,39.0,57.0,33.6,30.4,46.3,59.6,42.8,46.6,49.8,16.9,27.2,52.1,-3.6
CasperRuud,27.7,39.4,56.4,34.9,34.0,48.3,59.7,45.0,48.5,49.5,17.7,24.8,50.5,-3.6
DaniilMedvedev,31.6,42.2,57.1,37.8,40.7,54.0,60.8,50.7,52.4,47.0,18.2,25.2,52.1,19.9
HolgerRune,25.9,39.7,55.0,33.8,32.0,47.3,57.2,44.2,61.3,49.6,17.8,30.3,50.7,13.9
HubertHurkacz,36.7,48.4,52.1,43.1,47.2,60.6,56.6,57.3,48.4,48.7,19.2,28.7,46.8,-9.4
JannikSinner,27.9,38.2,55.5,34.0,36.6,50.2,59.7,46.7,46.1,53.4,16.4,22.3,50.6,-8.8
NovakDjokovic,29.8,41.2,58.5,36.9,37.4,51.7,61.9,48.3,49.2,49.0,17.3,23.7,53.2,-0.3
StefanosTsitsipas,31.0,44.2,55.8,39.0,39.7,55.3,61.3,52.2,50.9,44.9,16.9,26.6,48.1,-6.0
