Player,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
AlexanderZverev,30.1,29.6,1.2,17.2,16.8,22.1,25.4,1.0,14.4,16.5,7.9,4.7,0.9,14.8,16.6
AndreyRublev,28.5,23.2,1.4,18.5,14.5,21.6,21.3,1.2,16.2,15.4,9.9,3.3,1.2,17.8,17.7
CarlosAlcaraz,30.8,28.7,1.3,18.2,16.5,26.9,26.3,1.2,17.2,16.4,11.6,4.7,0.8,12.0,16.8
CasperRuud,25.9,22.7,1.3,16.5,14.2,20.9,20.6,1.2,14.9,14.4,10.0,2.9,1.1,20.0,20.0
DaniilMedvedev,26.8,23.8,1.3,16.9,14.6,18.9,20.4,1.1,13.5,14.1,7.0,4.7,0.9,15.8,20.6
HolgerRune,31.8,27.8,1.4,19.1,16.1,26.3,23.7,1.3,17.9,15.6,10.6,5.1,1.2,16.4,16.0
HubertHurkacz,30.8,29.6,1.2,18.1,17.2,19.2,27.5,0.8,12.9,18.5,8.5,3.9,1.0,15.0,17.5
JannikSinner,26.4,30.2,1.0,16.2,18.3,21.1,28.0,0.9,14.3,18.9,9.5,3.9,0.7,13.2,19.7
NovakDjokovic,29.4,25.0,1.4,17.0,14.0,23.6,22.7,1.3,15.3,14.3,9.2,4.7,1.0,15.9,18.0
StefanosTsitsipas,30.4,26.3,1.3,17.2,15.1,23.5,24.1,1.1,14.9,15.5,9.9,3.2,1.2,17.3,16.3
