Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],13,9-4,69.2%,60.8%,61.3%,60,5.9%,47,4.6%,12.5%,62.7%,70.4%,44.6%,50.9%,73.2%,6.6,2.6,11,Daniil Medvedev[RUS],13,43.3%,43.5%,3.5%,2.4%,39.4%,50.5%,34.4%,6.7,2.9,36.5,45.6,11,Daniil Medvedev[RUS],13,51.4%,54,105,0.67,3.0,8.1,1.54,4.2,52.3%,45,86,0.56,2.5,6.6,1.17,3.2,11,Daniil Medvedev[RUS],13,1.10,2065,51.9%,3,2-1,66.7%,8.6%,35,21-14,60.0%,310,166-144,53.5%,0:53,19.5,19.9
12,Tommy Paul[USA],13,9-4,69.2%,64.5%,63.5%,59,6.0%,19,1.9%,5.2%,63.1%,71.0%,53.3%,56.3%,80.4%,6.4,2.3,12,Tommy Paul[USA],13,41.9%,41.4%,2.4%,2.6%,37.3%,51.7%,31.3%,6.9,2.9,65.0,102.7,12,Tommy Paul[USA],13,39.8%,47,118,0.79,3.6,9.1,1.42,3.6,62.5%,50,80,0.52,2.4,6.2,0.91,2.3,12,Tommy Paul[USA],13,1.18,2016,52.9%,8,5-3,62.5%,24.2%,33,22-11,66.7%,303,170-133,56.1%,0:55,21.5,21.1
13,Ben Shelton[USA],12,7-5,58.3%,62.9%,63.4%,74,7.5%,51,5.2%,13.8%,62.6%,70.0%,50.9%,59.1%,75.6%,6.3,2.3,13,Ben Shelton[USA],12,33.6%,32.4%,4.3%,3.8%,27.9%,45.1%,16.8%,6.1,2.0,51.5,103.0,13,Ben Shelton[USA],12,48.1%,26,54,0.35,1.7,4.5,0.81,2.2,53.7%,44,82,0.53,2.6,6.8,1.19,3.2,13,Ben Shelton[USA],12,0.91,1929,48.6%,8,7-1,87.5%,25.0%,32,17-15,53.1%,311,144-167,46.3%,1:19,29.8,29.6
14,Arthur Fils[FRA],16,11-5,68.8%,64.7%,64.9%,49,4.4%,31,2.8%,7.9%,65.0%,71.3%,52.4%,56.9%,83.6%,6.5,2.3,14,Arthur Fils[FRA],16,40.1%,40.1%,4.8%,3.3%,34.0%,50.5%,26.6%,6.5,2.6,35.0,34.7,14,Arthur Fils[FRA],16,41.1%,46,112,0.65,3.0,7.0,1.24,2.9,70.5%,67,95,0.56,2.6,5.9,0.76,1.8,14,Arthur Fils[FRA],16,1.14,2235,52.4%,6,3-3,50.0%,16.2%,37,23-14,62.2%,344,189-155,54.9%,1:26,37.1,36.8
15,Grigor Dimitrov[BUL],12,9-3,75.0%,65.3%,65.5%,69,6.9%,40,4.0%,9.8%,58.9%,75.2%,51.0%,56.5%,80.7%,6.2,2.1,15,Grigor Dimitrov[BUL],12,39.3%,40.2%,6.7%,3.0%,32.6%,51.4%,26.9%,6.4,2.5,57.5,66.8,15,Grigor Dimitrov[BUL],12,46.2%,42,91,0.58,2.8,7.6,1.27,3.5,64.0%,55,86,0.53,2.6,7.2,0.94,2.6,15,Grigor Dimitrov[BUL],12,1.13,1996,52.2%,6,4-2,66.7%,18.2%,33,23-10,69.7%,317,172-145,54.3%,1:01,22.2,22.0
16,Frances Tiafoe[USA],14,8-6,57.1%,63.4%,62.4%,71,6.3%,25,2.2%,5.4%,58.5%,68.9%,55.7%,58.8%,78.1%,6.3,2.3,16,Frances Tiafoe[USA],14,39.3%,39.6%,8.3%,5.0%,31.4%,52.0%,23.3%,7.0,2.7,52.0,96.1,16,Frances Tiafoe[USA],14,29.7%,41,138,0.78,3.8,9.9,1.14,2.9,58.1%,54,93,0.52,2.6,6.6,1.08,2.8,16,Frances Tiafoe[USA],14,1.07,2356,50.8%,6,4-2,66.7%,16.7%,36,20-16,55.6%,354,180-174,50.8%,1:33,36.0,33.0
17,Andrey Rublev[RUS],12,6-6,50.0%,63.7%,63.3%,74,7.6%,36,3.7%,8.8%,57.9%,72.6%,51.6%,56.6%,80.3%,6.4,2.3,17,Andrey Rublev[RUS],12,40.4%,40.1%,7.1%,5.2%,31.3%,53.5%,26.6%,6.7,2.7,48.0,58.9,17,Andrey Rublev[RUS],12,43.2%,41,95,0.62,3.1,7.9,1.32,3.4,59.5%,44,74,0.49,2.4,6.2,0.97,2.5,17,Andrey Rublev[RUS],12,1.12,2005,51.7%,5,1-4,20.0%,16.1%,31,16-15,51.6%,306,163-143,53.3%,1:15,29.1,27.0
18,Francisco Cerundolo[ARG],37,27-10,73.0%,64.7%,65.5%,122,4.4%,98,3.6%,10.0%,64.5%,69.9%,55.2%,61.4%,80.7%,6.4,2.3,18,Francisco Cerundolo[ARG],37,41.4%,41.3%,3.5%,2.6%,35.7%,51.4%,31.1%,6.8,2.8,59.0,73.0,18,Francisco Cerundolo[ARG],37,43.2%,133,308,0.72,3.3,8.3,1.41,3.6,63.6%,145,228,0.53,2.4,6.2,0.88,2.2,18,Francisco Cerundolo[ARG],37,1.17,5650,52.7%,11,7-4,63.6%,11.7%,94,64-30,68.1%,858,480-378,55.9%,1:26,33.9,33.9
19,Stefanos Tsitsipas[GRE],20,14-6,70.0%,66.8%,67.6%,80,5.4%,57,3.8%,10.0%,61.9%,72.8%,57.0%,63.4%,86.8%,6.4,2.1,19,Stefanos Tsitsipas[GRE],20,38.5%,39.6%,5.7%,2.0%,31.7%,51.6%,27.3%,6.5,2.5,43.5,50.0,19,Stefanos Tsitsipas[GRE],20,43.8%,63,144,0.62,2.9,7.2,1.26,3.2,65.9%,60,91,0.39,1.8,4.6,0.62,1.6,19,Stefanos Tsitsipas[GRE],20,1.16,3003,52.6%,10,5-5,50.0%,20.0%,50,33-17,66.0%,466,267-199,57.3%,0:51,20.3,20.3
20,Tomas Machac[CZE],14,8-6,57.1%,60.8%,61.1%,59,4.9%,43,3.6%,11.1%,68.1%,63.9%,54.1%,60.9%,74.6%,6.5,2.6,20,Tomas Machac[CZE],14,41.3%,41.6%,5.6%,3.4%,35.4%,54.0%,30.1%,6.6,2.7,34.0,40.4,20,Tomas Machac[CZE],14,49.6%,56,113,0.61,2.8,8.1,1.37,4.0,51.5%,50,97,0.52,2.4,6.9,1.15,3.4,20,Tomas Machac[CZE],14,1.05,2431,51.0%,4,3-1,75.0%,9.8%,41,22-19,53.7%,371,194-177,52.3%,1:12,24.6,24.9
