Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],39,22-17,56.4%,63.4%,63.8%,270,8.8%,173,5.7%,14.6%,61.3%,72.7%,48.6%,56.9%,78.0%,6.5,2.4,11,Daniil Medvedev[RUS],39,38.7%,38.6%,5.5%,3.6%,31.6%,50.2%,24.7%,6.6,2.6,24.0,23.8,11,Daniil Medvedev[RUS],39,39.9%,117,293,0.62,2.9,7.5,1.17,3.0,60.4%,157,260,0.56,2.6,6.7,1.03,2.6,11,Daniil Medvedev[RUS],39,1.06,6203,50.8%,15,9-6,60.0%,15.0%,100,54-46,54.0%,942,482-460,51.2%,1:42,40.0,38.7
12,Tommy Paul[USA],29,15-14,51.7%,63.3%,62.2%,161,6.7%,53,2.2%,5.8%,61.7%,70.0%,52.6%,55.8%,78.4%,6.4,2.4,12,Tommy Paul[USA],29,37.8%,38.0%,5.8%,3.3%,31.1%,49.9%,23.9%,6.4,2.4,26.0,24.7,12,Tommy Paul[USA],29,40.1%,89,222,0.60,2.8,7.7,1.14,3.1,62.0%,132,213,0.57,2.7,7.3,1.04,2.8,12,Tommy Paul[USA],29,1.03,4799,50.6%,13,4-9,30.8%,16.7%,78,40-38,51.3%,748,383-365,51.2%,1:45,39.2,38.2
13,Ben Shelton[USA],30,15-15,50.0%,65.5%,64.1%,266,10.1%,92,3.5%,10.4%,66.4%,71.9%,52.8%,58.9%,83.3%,6.5,2.2,13,Ben Shelton[USA],30,31.4%,31.3%,7.8%,3.7%,23.6%,44.4%,14.0%,6.1,1.9,23.5,25.8,13,Ben Shelton[USA],30,39.4%,56,142,0.35,1.8,4.7,0.71,1.9,64.6%,124,192,0.47,2.4,6.4,0.86,2.3,13,Ben Shelton[USA],30,0.91,5103,49.0%,24,14-10,58.3%,30.4%,79,40-39,50.6%,809,396-413,48.9%,1:56,44.2,41.1
14,Arthur Fils[FRA],39,25-14,64.1%,65.4%,65.2%,239,7.6%,119,3.8%,10.0%,61.9%,74.1%,51.2%,56.8%,82.6%,6.4,2.2,14,Arthur Fils[FRA],39,36.3%,37.4%,8.0%,3.0%,28.9%,49.5%,19.1%,6.6,2.4,17.0,22.9,14,Arthur Fils[FRA],39,35.1%,93,265,0.54,2.6,6.8,0.92,2.4,64.6%,155,240,0.49,2.4,6.2,0.84,2.2,14,Arthur Fils[FRA],39,1.05,6348,50.6%,20,11-9,55.0%,19.8%,101,56-45,55.4%,977,497-480,50.9%,1:51,42.8,40.9
15,Grigor Dimitrov[BUL],31,18-13,58.1%,66.3%,66.4%,228,9.6%,117,4.9%,12.1%,59.4%,77.2%,50.4%,57.4%,81.7%,6.2,2.1,15,Grigor Dimitrov[BUL],31,35.2%,36.3%,9.3%,3.5%,26.4%,49.3%,18.2%,6.4,2.2,24.0,24.7,15,Grigor Dimitrov[BUL],31,35.6%,69,194,0.51,2.5,6.3,0.87,2.2,62.4%,116,186,0.49,2.4,6.0,0.89,2.3,15,Grigor Dimitrov[BUL],31,1.04,4797,50.6%,15,11-4,73.3%,19.0%,79,45-34,57.0%,762,382-380,50.1%,1:39,38.8,38.3
16,Frances Tiafoe[USA],30,16-14,53.3%,65.5%,64.5%,227,8.6%,82,3.1%,7.3%,57.6%,74.8%,52.8%,57.0%,82.2%,6.4,2.2,16,Frances Tiafoe[USA],30,36.4%,38.8%,12.9%,4.2%,28.1%,49.8%,19.6%,6.6,2.4,31.0,27.4,16,Frances Tiafoe[USA],30,36.4%,83,228,0.54,2.7,7.6,0.99,2.8,61.7%,119,193,0.46,2.3,6.4,0.88,2.5,16,Frances Tiafoe[USA],30,1.05,5431,50.6%,20,10-10,50.0%,23.8%,84,45-39,53.6%,839,425-414,50.7%,2:08,45.6,42.4
17,Andrey Rublev[RUS],31,17-14,54.8%,66.1%,65.0%,229,9.5%,82,3.4%,9.0%,62.4%,75.9%,49.8%,54.7%,82.7%,6.2,2.1,17,Andrey Rublev[RUS],31,36.5%,38.1%,10.8%,4.1%,27.0%,51.5%,21.0%,6.5,2.4,31.5,28.5,17,Andrey Rublev[RUS],31,36.5%,80,219,0.57,2.8,7.1,1.04,2.6,60.6%,103,170,0.44,2.2,5.5,0.87,2.2,17,Andrey Rublev[RUS],31,1.08,4901,51.1%,15,8-7,53.3%,19.5%,77,42-35,54.5%,769,401-368,52.1%,1:40,40.2,37.9
18,Francisco Cerundolo[ARG],35,18-17,51.4%,62.6%,63.2%,146,4.7%,115,3.7%,10.0%,62.6%,68.6%,52.5%,58.3%,78.2%,6.7,2.5,18,Francisco Cerundolo[ARG],35,37.9%,37.9%,5.9%,3.5%,29.3%,52.1%,23.8%,6.7,2.5,15.0,18.3,18,Francisco Cerundolo[ARG],35,40.6%,110,271,0.59,2.9,7.7,1.16,3.1,63.2%,172,272,0.59,2.9,7.8,1.05,2.9,18,Francisco Cerundolo[ARG],35,1.01,6183,50.2%,22,12-10,54.5%,23.2%,95,51-44,53.7%,922,469-453,50.9%,1:51,41.1,37.8
19,Stefanos Tsitsipas[GRE],32,17-15,53.1%,66.5%,67.1%,172,7.1%,104,4.3%,10.9%,60.5%,75.1%,53.4%,59.9%,84.0%,6.3,2.1,19,Stefanos Tsitsipas[GRE],32,34.6%,35.5%,7.2%,2.6%,28.4%,46.0%,19.0%,6.4,2.2,28.0,26.6,19,Stefanos Tsitsipas[GRE],32,36.1%,73,202,0.52,2.6,6.3,0.92,2.3,62.4%,103,165,0.43,2.1,5.2,0.78,1.9,19,Stefanos Tsitsipas[GRE],32,1.03,4875,50.4%,16,7-9,43.8%,20.3%,79,40-39,50.6%,772,398-374,51.6%,1:29,36.1,35.1
20,Tomas Machac[CZE],33,18-15,54.5%,61.9%,62.1%,163,5.9%,106,3.9%,11.1%,65.3%,67.0%,52.5%,59.0%,77.1%,6.6,2.5,20,Tomas Machac[CZE],33,37.2%,38.2%,8.6%,3.6%,30.8%,48.9%,23.0%,6.4,2.4,18.0,21.2,20,Tomas Machac[CZE],33,42.5%,97,228,0.54,2.5,6.9,1.08,2.9,57.5%,130,226,0.54,2.5,6.8,1.07,2.9,20,Tomas Machac[CZE],33,0.98,5454,49.7%,12,8-4,66.7%,13.3%,90,47-43,52.2%,841,420-421,49.9%,1:36,35.1,34.8
