Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],4,0-4,0.0%,57.1%,57.5%,12,4.0%,11,3.6%,9.8%,63.0%,62.3%,48.2%,53.5%,62.0%,6.1,2.6,11,Daniil Medvedev[RUS],4,33.1%,33.2%,5.7%,2.7%,25.9%,45.0%,15.7%,5.8,1.9,8.0,28.8,11,Daniil Medvedev[RUS],4,66.7%,8,12,0.24,1.2,3.0,0.80,2.0,52.5%,21,40,0.80,4.0,10.0,1.90,4.8,11,Daniil Medvedev[RUS],4,0.77,599,45.2%,1,1-0,100.0%,10.0%,10,1-9,10.0%,101,39-62,38.6%,1:48,43.3,43.4
12,Tommy Paul[USA],5,2-3,40.0%,64.3%,63.6%,22,5.6%,8,2.0%,5.1%,60.3%,68.5%,58.0%,61.1%,82.3%,6.4,2.3,12,Tommy Paul[USA],5,40.4%,41.0%,5.9%,3.1%,29.3%,59.2%,24.2%,6.8,2.8,54.0,166.0,12,Tommy Paul[USA],5,38.5%,15,39,0.63,3.3,7.8,1.25,3.0,57.7%,15,26,0.42,2.2,5.2,0.92,2.2,12,Tommy Paul[USA],5,1.13,818,52.0%,4,1-3,25.0%,33.3%,12,6-6,50.0%,124,66-58,53.2%,2:00,50.1,44.1
13,Ben Shelton[USA],4,2-2,50.0%,64.5%,64.3%,33,9.2%,17,4.7%,13.3%,64.2%,72.2%,50.8%,58.6%,76.4%,6.5,2.3,13,Ben Shelton[USA],4,31.0%,30.4%,7.4%,4.0%,24.4%,41.1%,14.5%,5.9,1.8,21.0,22.8,13,Ben Shelton[USA],4,42.1%,8,19,0.35,1.7,4.8,0.73,2.0,43.5%,10,23,0.42,2.1,5.8,1.18,3.3,13,Ben Shelton[USA],4,0.87,684,48.5%,3,2-1,66.7%,27.3%,11,5-6,45.5%,110,50-60,45.5%,2:01,44.0,42.5
14,Arthur Fils[FRA],4,2-2,50.0%,66.9%,66.2%,23,9.1%,9,3.5%,9.9%,64.2%,75.5%,51.6%,57.3%,87.2%,6.5,2.2,14,Arthur Fils[FRA],4,30.0%,29.9%,7.2%,3.2%,24.4%,44.3%,12.5%,6.3,1.9,16.5,14.5,14,Arthur Fils[FRA],4,45.5%,5,11,0.28,1.4,2.8,0.63,1.3,58.3%,7,12,0.31,1.5,3.0,0.63,1.3,14,Arthur Fils[FRA],4,0.91,504,48.6%,3,2-1,66.7%,37.5%,8,4-4,50.0%,79,39-40,49.4%,1:30,45.1,43.0
15,Grigor Dimitrov[BUL],3,1-2,33.3%,63.6%,63.7%,17,9.2%,10,5.4%,14.1%,61.4%,70.8%,52.1%,60.7%,75.0%,5.8,2.1,15,Grigor Dimitrov[BUL],3,32.0%,32.2%,10.0%,4.5%,21.6%,53.0%,12.1%,6.1,1.9,28.0,23.3,15,Grigor Dimitrov[BUL],3,26.7%,4,15,0.45,2.5,5.0,0.67,1.3,42.9%,6,14,0.44,2.3,4.7,1.33,2.7,15,Grigor Dimitrov[BUL],3,0.88,384,47.1%,0,0-0,-,0.0%,6,2-4,33.3%,65,28-37,43.1%,1:39,49.7,46.6
16,Frances Tiafoe[USA],4,2-2,50.0%,64.8%,63.0%,36,10.1%,11,3.1%,6.9%,55.3%,74.2%,53.1%,57.0%,76.7%,6.0,2.1,16,Frances Tiafoe[USA],4,34.4%,37.0%,13.0%,3.4%,26.7%,45.0%,20.0%,5.9,2.0,19.0,20.8,16,Frances Tiafoe[USA],4,54.5%,12,22,0.37,1.8,5.5,1.00,3.0,48.1%,13,27,0.45,2.3,6.8,1.17,3.5,16,Frances Tiafoe[USA],4,0.98,713,49.6%,2,2-0,100.0%,16.7%,12,6-6,50.0%,120,58-62,48.3%,2:08,42.7,43.1
17,Andrey Rublev[RUS],4,2-2,50.0%,68.9%,69.0%,23,8.0%,11,3.8%,10.9%,64.7%,78.9%,50.5%,56.7%,87.5%,6.0,1.9,17,Andrey Rublev[RUS],4,33.3%,35.3%,11.2%,3.1%,24.2%,45.9%,12.5%,6.7,2.2,41.5,52.0,17,Andrey Rublev[RUS],4,27.3%,6,22,0.46,2.4,5.5,0.67,1.5,60.0%,9,15,0.31,1.7,3.8,0.67,1.5,17,Andrey Rublev[RUS],4,1.07,607,50.1%,2,1-1,50.0%,22.2%,9,4-5,44.4%,96,48-48,50.0%,1:53,50.2,44.7
18,Francisco Cerundolo[ARG],6,2-4,33.3%,62.8%,64.6%,18,4.2%,22,5.1%,13.3%,61.9%,70.5%,50.3%,58.0%,76.5%,6.4,2.4,18,Francisco Cerundolo[ARG],6,37.5%,36.9%,4.9%,3.8%,31.9%,47.2%,19.1%,6.6,2.5,28.0,50.2,18,Francisco Cerundolo[ARG],6,32.5%,13,40,0.59,2.9,6.7,0.93,2.2,59.0%,23,39,0.57,2.8,6.5,1.14,2.7,18,Francisco Cerundolo[ARG],6,1.01,881,49.9%,2,1-1,50.0%,14.3%,14,6-8,42.9%,136,65-71,47.8%,1:46,45.4,43.2
19,Stefanos Tsitsipas[GRE],2,1-1,50.0%,71.9%,72.4%,13,9.6%,6,4.4%,13.0%,65.9%,78.7%,58.7%,67.5%,95.5%,6.1,1.7,19,Stefanos Tsitsipas[GRE],2,25.0%,27.2%,10.2%,0.8%,17.9%,45.5%,9.1%,5.8,1.5,64.5,64.5,19,Stefanos Tsitsipas[GRE],2,50.0%,2,4,0.18,1.0,2.0,0.50,1.0,66.7%,2,3,0.14,0.8,1.5,0.25,0.5,19,Stefanos Tsitsipas[GRE],2,0.89,263,49.0%,1,0-1,0.0%,25.0%,4,2-2,50.0%,44,23-21,52.3%,1:33,46.3,42.2
20,Tomas Machac[CZE],5,2-3,40.0%,60.9%,60.0%,23,6.2%,10,2.7%,6.9%,61.1%,65.8%,53.1%,57.0%,73.3%,6.2,2.4,20,Tomas Machac[CZE],5,35.4%,38.4%,11.1%,2.0%,27.5%,49.6%,19.7%,6.5,2.3,4.0,13.2,20,Tomas Machac[CZE],5,37.5%,12,32,0.52,2.5,6.4,0.92,2.4,57.9%,22,38,0.63,2.9,7.6,1.23,3.2,20,Tomas Machac[CZE],5,0.90,769,47.7%,1,1-0,100.0%,7.7%,13,6-7,46.2%,121,56-65,46.3%,1:54,43.8,44.4
21,Jakub Mensik[CZE],2,1-1,50.0%,65.1%,60.5%,26,17.8%,6,4.1%,11.3%,63.7%,76.3%,45.3%,51.1%,76.9%,5.6,2.0,21,Jakub Mensik[CZE],2,30.8%,32.6%,9.6%,1.9%,21.2%,50.0%,4.0%,6.2,1.9,10.5,10.5,21,Jakub Mensik[CZE],2,33.3%,1,3,0.12,0.6,1.5,0.20,0.5,14.3%,1,7,0.27,1.4,3.5,1.20,3.0,21,Jakub Mensik[CZE],2,0.88,302,47.4%,2,2-0,100.0%,40.0%,5,2-3,40.0%,51,21-30,41.2%,1:51,44.2,43.9
22,Ugo Humbert[FRA],4,3-1,75.0%,66.0%,65.1%,25,8.1%,9,2.9%,7.1%,59.2%,74.3%,54.0%,58.1%,87.5%,6.4,2.2,22,Ugo Humbert[FRA],4,37.4%,38.3%,7.7%,3.4%,28.3%,50.0%,24.0%,5.9,2.2,27.5,31.5,22,Ugo Humbert[FRA],4,41.4%,12,29,0.58,2.9,7.3,1.20,3.0,62.5%,10,16,0.33,1.6,4.0,0.60,1.5,22,Ugo Humbert[FRA],4,1.10,606,52.0%,2,0-2,0.0%,20.0%,10,6-4,60.0%,98,54-44,55.1%,1:56,46.5,46.0
23,Sebastian Korda[USA],5,3-2,60.0%,67.8%,66.0%,35,11.4%,10,3.3%,8.1%,59.9%,76.6%,54.5%,59.3%,86.5%,5.9,1.9,23,Sebastian Korda[USA],5,36.6%,37.1%,6.0%,2.7%,30.7%,47.1%,20.0%,6.7,2.5,29.0,36.4,23,Sebastian Korda[USA],5,58.8%,10,17,0.34,1.7,3.4,1.00,2.0,61.1%,11,18,0.35,1.8,3.6,0.70,1.4,23,Sebastian Korda[USA],5,1.14,643,51.5%,3,1-2,33.3%,30.0%,10,6-4,60.0%,102,55-47,53.9%,1:24,42.1,39.3
24,Karen Khachanov[RUS],4,2-2,50.0%,62.8%,58.6%,35,12.1%,4,1.4%,3.9%,64.8%,69.7%,50.0%,52.0%,76.0%,5.8,2.2,24,Karen Khachanov[RUS],4,38.6%,40.5%,9.2%,2.9%,31.7%,51.4%,21.3%,6.5,2.5,15.5,31.5,24,Karen Khachanov[RUS],4,52.6%,10,19,0.40,1.9,4.8,1.00,2.5,50.0%,12,24,0.48,2.4,6.0,1.20,3.0,24,Karen Khachanov[RUS],4,1.04,596,50.3%,2,1-1,50.0%,20.0%,10,5-5,50.0%,97,48-49,49.5%,1:54,45.6,45.9
25,Alexei Popyrin[AUS],1,1-0,100.0%,62.9%,67.7%,2,2.9%,6,8.6%,20.7%,58.6%,82.9%,34.5%,43.5%,80.0%,7.0,2.6,25,Alexei Popyrin[AUS],1,46.6%,43.9%,2.7%,6.8%,34.1%,62.5%,36.4%,6.6,3.1,18.0,18.0,25,Alexei Popyrin[AUS],1,36.4%,4,11,1.00,5.5,11.0,2.00,4.0,50.0%,2,4,0.40,2.0,4.0,1.00,2.0,25,Alexei Popyrin[AUS],1,1.25,143,54.5%,1,1-0,100.0%,50.0%,2,2-0,100.0%,21,12-9,57.1%,1:32,46.0,38.6
