Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],17,13-4,76.5%,64.6%,64.7%,186,10.2%,103,5.7%,14.8%,61.8%,73.6%,50.1%,58.8%,80.6%,6.3,2.2,11,Daniil Medvedev[RUS],17,41.3%,41.2%,4.5%,3.3%,33.8%,52.7%,30.1%,6.6,2.7,41.0,66.7,11,Daniil Medvedev[RUS],17,45.8%,87,190,0.66,3.1,11.2,1.40,5.1,58.2%,78,134,0.47,2.2,7.9,0.90,3.3,11,Daniil Medvedev[RUS],17,1.17,3744,52.7%,11,7-4,63.6%,17.7%,62,41-21,66.1%,577,319-258,55.3%,2:02,33.3,33.1
12,Tommy Paul[USA],17,13-4,76.5%,65.3%,64.1%,127,7.3%,37,2.1%,5.5%,61.4%,73.0%,53.0%,56.1%,82.8%,6.3,2.2,12,Tommy Paul[USA],17,43.6%,43.9%,5.0%,3.4%,37.3%,54.3%,36.5%,6.6,2.9,66.0,66.0,12,Tommy Paul[USA],17,47.9%,101,211,0.76,3.4,12.4,1.63,5.9,65.5%,91,139,0.50,2.2,8.2,0.77,2.8,12,Tommy Paul[USA],17,1.26,3562,54.3%,10,3-7,30.0%,16.1%,62,42-20,67.7%,556,332-224,59.7%,2:09,35.4,37.0
13,Ben Shelton[USA],16,12-4,75.0%,68.5%,67.7%,186,9.9%,65,3.5%,10.6%,67.5%,75.1%,54.8%,61.3%,88.0%,6.3,2.0,13,Ben Shelton[USA],16,33.1%,32.6%,5.5%,3.4%,25.8%,44.7%,15.5%,6.3,2.1,61.0,92.1,13,Ben Shelton[USA],16,37.1%,46,124,0.42,2.1,7.8,0.77,2.9,70.0%,84,120,0.40,2.0,7.5,0.60,2.3,13,Ben Shelton[USA],16,1.05,3758,50.9%,15,9-6,60.0%,25.0%,60,37-23,61.7%,597,311-286,52.1%,2:23,38.1,36.5
14,Arthur Fils[FRA],10,6-4,60.0%,63.8%,63.2%,94,7.8%,42,3.5%,9.2%,62.0%,72.5%,49.7%,54.7%,78.1%,6.2,2.2,14,Arthur Fils[FRA],10,36.5%,36.8%,7.2%,3.7%,29.3%,47.3%,20.5%,6.2,2.3,59.0,75.9,14,Arthur Fils[FRA],10,37.0%,40,108,0.55,2.7,10.8,1.00,4.0,58.3%,60,103,0.53,2.6,10.3,1.08,4.3,14,Arthur Fils[FRA],10,1.01,2415,50.2%,4,4-0,100.0%,10.0%,40,21-19,52.5%,391,193-198,49.4%,2:37,39.2,38.9
15,Grigor Dimitrov[BUL],15,11-4,73.3%,68.3%,68.9%,138,9.9%,74,5.3%,12.9%,58.6%,81.0%,50.4%,57.9%,85.6%,6.1,1.9,15,Grigor Dimitrov[BUL],15,38.0%,39.1%,9.0%,3.9%,30.1%,50.1%,24.7%,6.3,2.4,43.0,58.0,15,Grigor Dimitrov[BUL],15,46.6%,55,118,0.53,2.5,7.9,1.15,3.7,64.5%,60,93,0.41,1.9,6.2,0.69,2.2,15,Grigor Dimitrov[BUL],15,1.20,2785,53.1%,8,6-2,75.0%,16.7%,48,34-14,70.8%,452,251-201,55.5%,1:24,26.2,27.1
16,Frances Tiafoe[USA],13,9-4,69.2%,66.9%,66.6%,135,7.9%,62,3.6%,8.8%,58.5%,74.4%,56.2%,61.6%,85.0%,6.2,2.1,16,Frances Tiafoe[USA],13,36.0%,37.7%,12.6%,4.9%,27.3%,49.1%,20.1%,6.4,2.3,59.0,56.7,16,Frances Tiafoe[USA],13,33.5%,55,164,0.60,2.9,12.6,0.96,4.2,62.0%,67,108,0.39,1.9,8.3,0.72,3.2,16,Frances Tiafoe[USA],13,1.09,3458,51.2%,11,5-6,45.5%,19.3%,57,34-23,59.6%,547,288-259,52.7%,2:40,36.5,36.1
17,Andrey Rublev[RUS],9,5-4,55.6%,66.5%,65.4%,131,12.4%,52,4.9%,11.7%,57.8%,77.2%,51.9%,58.8%,86.0%,6.4,2.2,17,Andrey Rublev[RUS],9,38.5%,40.1%,10.2%,4.2%,29.2%,52.3%,23.0%,6.9,2.7,56.0,63.1,17,Andrey Rublev[RUS],9,34.2%,38,111,0.67,3.4,12.3,1.15,4.2,72.0%,59,82,0.50,2.5,9.1,0.70,2.6,17,Andrey Rublev[RUS],9,1.15,2196,52.0%,7,1-6,14.3%,21.2%,33,18-15,54.5%,329,179-150,54.4%,1:57,31.9,28.8
18,Francisco Cerundolo[ARG],10,6-4,60.0%,63.1%,63.9%,55,4.9%,44,3.9%,10.0%,60.6%,69.8%,52.8%,58.7%,79.1%,6.3,2.3,18,Francisco Cerundolo[ARG],10,40.5%,40.8%,6.5%,4.1%,32.4%,52.4%,29.8%,6.5,2.6,40.5,59.6,18,Francisco Cerundolo[ARG],10,46.1%,53,115,0.65,3.0,11.5,1.39,5.3,58.4%,52,89,0.50,2.3,8.9,0.97,3.7,18,Francisco Cerundolo[ARG],10,1.10,2277,51.6%,4,3-1,75.0%,10.5%,38,24-14,63.2%,355,193-162,54.4%,1:38,25.7,25.8
19,Stefanos Tsitsipas[GRE],9,5-4,55.6%,67.4%,66.7%,81,8.2%,30,3.1%,8.4%,63.8%,73.7%,56.5%,61.7%,87.5%,6.1,2.0,19,Stefanos Tsitsipas[GRE],9,36.5%,37.0%,6.3%,2.9%,29.4%,48.0%,20.9%,6.7,2.4,54.0,57.6,19,Stefanos Tsitsipas[GRE],9,43.4%,33,76,0.48,2.4,8.4,1.03,3.7,62.3%,33,53,0.33,1.7,5.9,0.63,2.2,19,Stefanos Tsitsipas[GRE],9,1.12,2037,51.4%,8,3-5,37.5%,25.0%,32,18-14,56.3%,318,173-145,54.4%,1:19,22.1,20.8
20,Tomas Machac[CZE],12,8-4,66.7%,61.9%,62.5%,70,5.4%,54,4.2%,11.4%,63.5%,65.1%,56.4%,63.7%,75.6%,6.3,2.4,20,Tomas Machac[CZE],12,41.2%,40.8%,8.4%,6.5%,33.0%,55.2%,30.7%,6.4,2.7,45.5,55.7,20,Tomas Machac[CZE],12,46.7%,63,135,0.66,3.1,11.3,1.43,5.3,55.4%,62,112,0.55,2.5,9.3,1.14,4.2,20,Tomas Machac[CZE],12,1.08,2620,51.5%,6,4-2,66.7%,13.6%,44,26-18,59.1%,410,218-192,53.2%,1:44,28.4,28.6
