Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],5,3-2,60.0%,64.2%,65.1%,40,8.3%,28,5.8%,14.9%,61.1%,76.3%,45.2%,53.1%,76.9%,6.2,2.2,11,Daniil Medvedev[RUS],5,44.0%,43.7%,2.4%,2.4%,40.4%,51.0%,32.5%,7.2,3.2,92.0,89.6,11,Daniil Medvedev[RUS],5,44.8%,26,58,0.73,3.6,11.6,1.63,5.2,48.6%,17,35,0.45,2.2,7.0,1.13,3.6,11,Daniil Medvedev[RUS],5,1.23,1060,53.2%,5,3-2,60.0%,31.3%,16,10-6,62.5%,158,86-72,54.4%,2:05,39.1,35.4
12,Tommy Paul[USA],8,5-3,62.5%,63.2%,61.3%,46,8.0%,11,1.9%,5.5%,65.3%,70.4%,49.7%,52.7%,78.3%,6.2,2.3,12,Tommy Paul[USA],8,37.9%,38.3%,6.4%,3.4%,29.4%,53.9%,22.2%,6.6,2.5,42.5,42.8,12,Tommy Paul[USA],8,34.5%,20,58,0.64,3.2,7.3,1.11,2.5,45.9%,17,37,0.40,2.1,4.6,1.11,2.5,12,Tommy Paul[USA],8,1.03,1165,50.4%,3,2-1,66.7%,16.7%,18,10-8,55.6%,182,92-90,50.5%,1:29,39.4,36.5
13,Ben Shelton[USA],8,6-2,75.0%,69.4%,68.8%,68,8.7%,23,3.0%,9.9%,70.2%,74.4%,57.8%,64.1%,89.8%,6.1,1.9,13,Ben Shelton[USA],8,34.1%,32.0%,3.8%,4.9%,27.8%,44.5%,17.1%,6.5,2.2,95.5,96.4,13,Ben Shelton[USA],8,34.4%,21,61,0.50,2.5,7.6,0.88,2.6,70.5%,31,44,0.34,1.8,5.5,0.54,1.6,13,Ben Shelton[USA],8,1.12,1577,51.6%,4,1-3,25.0%,16.7%,24,14-10,58.3%,251,136-115,54.2%,1:42,34.1,31.1
14,Arthur Fils[FRA],10,5-5,50.0%,67.1%,66.4%,71,8.4%,27,3.2%,8.3%,61.3%,78.3%,49.4%,53.8%,83.8%,6.2,2.0,14,Arthur Fils[FRA],10,35.5%,36.6%,8.5%,3.2%,26.7%,52.6%,16.1%,6.6,2.4,20.5,63.5,14,Arthur Fils[FRA],10,28.6%,22,77,0.56,2.6,7.7,0.73,2.2,56.9%,29,51,0.38,1.7,5.1,0.73,2.2,14,Arthur Fils[FRA],10,1.08,1749,50.8%,7,3-4,42.9%,23.3%,30,14-16,46.7%,273,136-137,49.8%,2:02,40.8,42.0
15,Grigor Dimitrov[BUL],5,5-0,100.0%,73.0%,73.0%,55,14.4%,20,5.2%,14.2%,63.1%,83.4%,55.3%,64.5%,89.7%,5.6,1.5,15,Grigor Dimitrov[BUL],5,40.5%,41.0%,7.7%,4.5%,31.5%,53.7%,28.8%,7.1,2.9,32.0,96.6,15,Grigor Dimitrov[BUL],5,38.8%,19,49,0.74,3.5,9.8,1.36,3.8,65.0%,13,20,0.29,1.4,4.0,0.50,1.4,15,Grigor Dimitrov[BUL],5,1.50,849,55.1%,3,2-1,66.7%,21.4%,14,11-3,78.6%,134,80-54,59.7%,1:58,42.1,41.7
16,Frances Tiafoe[USA],8,3-5,37.5%,65.0%,63.9%,72,8.5%,26,3.1%,8.0%,62.1%,68.8%,58.8%,64.0%,83.5%,6.4,2.2,16,Frances Tiafoe[USA],8,32.5%,34.6%,14.6%,4.4%,25.1%,46.1%,13.0%,6.4,2.1,60.0,71.4,16,Frances Tiafoe[USA],8,23.9%,17,71,0.54,2.7,8.9,0.65,2.1,60.0%,33,55,0.41,2.1,6.9,0.85,2.8,16,Frances Tiafoe[USA],8,0.93,1687,48.9%,6,2-4,33.3%,23.1%,26,11-15,42.3%,264,128-136,48.5%,1:35,29.2,27.0
17,Andrey Rublev[RUS],3,2-1,66.7%,76.1%,74.4%,36,15.1%,7,2.9%,9.9%,70.2%,83.2%,59.2%,65.6%,93.0%,5.5,1.3,17,Andrey Rublev[RUS],3,32.6%,36.0%,14.3%,2.7%,27.8%,43.6%,12.2%,6.3,2.0,22.0,31.5,17,Andrey Rublev[RUS],3,31.3%,5,16,0.39,2.0,5.3,0.63,1.7,50.0%,3,6,0.14,0.8,2.0,0.38,1.0,17,Andrey Rublev[RUS],3,1.36,496,53.4%,2,2-0,100.0%,25.0%,8,5-3,62.5%,84,45-39,53.6%,1:51,41.5,40.2
18,Francisco Cerundolo[ARG],9,6-3,66.7%,63.8%,64.0%,29,4.7%,18,2.9%,8.6%,66.2%,67.7%,56.2%,61.5%,80.6%,6.3,2.3,18,Francisco Cerundolo[ARG],9,42.5%,42.4%,5.2%,4.0%,36.1%,52.2%,34.4%,6.5,2.8,93.0,74.1,18,Francisco Cerundolo[ARG],9,54.1%,33,61,0.64,2.9,6.8,1.57,3.7,60.4%,29,48,0.49,2.3,5.3,0.90,2.1,18,Francisco Cerundolo[ARG],9,1.18,1243,53.2%,4,2-2,50.0%,19.0%,21,14-7,66.7%,194,112-82,57.7%,1:22,35.0,35.5
19,Stefanos Tsitsipas[GRE],3,1-2,33.3%,62.1%,63.2%,16,7.3%,13,5.9%,14.0%,57.5%,73.0%,47.3%,55.0%,80.0%,6.3,2.4,19,Stefanos Tsitsipas[GRE],3,32.7%,30.4%,6.6%,6.1%,22.5%,45.9%,15.2%,5.9,1.9,27.0,47.0,19,Stefanos Tsitsipas[GRE],3,35.7%,5,14,0.42,2.0,4.7,0.71,1.7,63.2%,12,19,0.54,2.7,6.3,1.00,2.3,19,Stefanos Tsitsipas[GRE],3,0.86,415,48.2%,0,0-0,-,0.0%,7,3-4,42.9%,68,33-35,48.5%,1:37,41.6,42.1
20,Tomas Machac[CZE],7,2-5,28.6%,60.6%,60.2%,34,6.5%,19,3.7%,9.3%,60.6%,65.7%,52.7%,58.1%,71.3%,6.5,2.6,20,Tomas Machac[CZE],7,35.2%,35.4%,9.7%,4.9%,27.1%,46.2%,17.3%,6.5,2.3,35.0,44.6,20,Tomas Machac[CZE],7,30.4%,14,46,0.57,2.6,6.6,0.78,2.0,51.1%,24,47,0.59,2.6,6.7,1.28,3.3,20,Tomas Machac[CZE],7,0.89,1046,47.8%,2,1-1,50.0%,11.1%,18,7-11,38.9%,161,71-90,44.1%,1:47,41.7,43.0
