Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],19,11-8,57.9%,61.1%,62.2%,100,7.7%,82,6.3%,14.8%,57.6%,71.7%,46.8%,55.0%,74.4%,6.3,2.4,11,Daniil Medvedev[RUS],19,40.8%,40.6%,4.1%,3.1%,34.3%,52.3%,28.1%,6.8,2.8,32.0,38.0,11,Daniil Medvedev[RUS],19,40.1%,59,147,0.70,3.3,7.7,1.34,3.1,53.1%,60,113,0.55,2.6,5.9,1.20,2.8,11,Daniil Medvedev[RUS],19,1.05,2735,50.5%,5,3-2,60.0%,11.4%,44,23-21,52.3%,417,213-204,51.1%,1:47,46.0,44.4
12,Tommy Paul[USA],15,8-7,53.3%,62.6%,60.9%,94,8.4%,29,2.6%,6.7%,61.2%,70.7%,49.9%,53.5%,75.4%,6.4,2.4,12,Tommy Paul[USA],15,37.3%,37.0%,6.7%,4.5%,29.8%,49.7%,22.4%,6.5,2.4,33.0,47.3,12,Tommy Paul[USA],15,41.5%,39,94,0.54,2.6,6.3,1.08,2.6,55.7%,54,97,0.55,2.7,6.5,1.19,2.9,12,Tommy Paul[USA],15,1.00,2251,49.8%,7,5-2,71.4%,19.4%,36,19-17,52.8%,349,171-178,49.0%,1:44,43.4,41.7
13,Ben Shelton[USA],19,11-8,57.9%,68.9%,67.7%,149,10.6%,46,3.3%,9.9%,67.1%,75.3%,55.8%,62.0%,88.2%,6.2,1.9,13,Ben Shelton[USA],19,33.0%,33.5%,7.7%,3.1%,26.1%,46.1%,16.2%,6.4,2.1,50.0,67.2,13,Ben Shelton[USA],19,36.7%,36,98,0.44,2.2,5.2,0.82,1.9,65.8%,52,79,0.35,1.8,4.2,0.61,1.4,13,Ben Shelton[USA],19,1.06,2822,51.0%,15,7-8,46.7%,34.1%,44,25-19,56.8%,450,237-213,52.7%,1:44,44.7,41.8
14,Arthur Fils[FRA],20,12-8,60.0%,65.3%,65.9%,99,6.7%,66,4.5%,12.0%,63.0%,75.2%,48.5%,55.1%,82.4%,6.4,2.2,14,Arthur Fils[FRA],20,38.2%,39.7%,8.9%,3.3%,29.6%,51.3%,23.5%,6.8,2.6,39.0,53.1,14,Arthur Fils[FRA],20,39.4%,54,137,0.60,2.9,6.9,1.13,2.7,60.6%,63,104,0.45,2.2,5.2,0.85,2.1,14,Arthur Fils[FRA],20,1.10,3037,51.4%,10,3-7,30.0%,20.8%,48,26-22,54.2%,463,246-217,53.1%,1:48,44.8,42.5
15,Grigor Dimitrov[BUL],24,16-8,66.7%,66.9%,67.2%,160,8.9%,87,4.9%,11.9%,59.3%,76.9%,52.3%,59.3%,83.4%,6.2,2.1,15,Grigor Dimitrov[BUL],24,37.0%,37.9%,8.1%,3.5%,29.0%,51.6%,20.9%,6.5,2.4,46.0,68.0,15,Grigor Dimitrov[BUL],24,37.3%,60,161,0.56,2.7,6.7,1.00,2.5,66.2%,94,142,0.49,2.4,5.9,0.80,2.0,15,Grigor Dimitrov[BUL],24,1.12,3660,51.6%,11,6-5,54.5%,18.3%,60,36-24,60.0%,576,301-275,52.3%,1:51,44.5,43.8
16,Frances Tiafoe[USA],19,11-8,57.9%,64.9%,63.8%,126,8.3%,44,2.9%,6.8%,57.0%,73.8%,53.2%,57.1%,81.7%,6.7,2.4,16,Frances Tiafoe[USA],19,37.6%,39.3%,11.5%,4.8%,29.3%,50.2%,21.6%,6.8,2.5,39.0,72.4,16,Frances Tiafoe[USA],19,35.3%,49,139,0.61,3.2,7.3,1.11,2.6,65.3%,77,118,0.53,2.7,6.2,0.93,2.2,16,Frances Tiafoe[USA],19,1.07,3045,51.2%,14,8-6,57.1%,31.8%,44,25-19,56.8%,451,232-219,51.4%,1:52,48.3,41.9
17,Andrey Rublev[RUS],15,7-8,46.7%,62.9%,61.8%,92,8.6%,38,3.6%,9.1%,60.9%,72.6%,47.7%,52.5%,76.0%,6.4,2.4,17,Andrey Rublev[RUS],15,39.6%,40.9%,9.5%,4.4%,26.2%,55.8%,27.6%,6.4,2.6,44.0,40.6,17,Andrey Rublev[RUS],15,43.7%,45,103,0.63,3.0,6.9,1.32,3.0,63.3%,69,109,0.65,3.2,7.3,1.18,2.7,17,Andrey Rublev[RUS],15,1.07,2117,51.3%,6,4-2,66.7%,17.6%,34,17-17,50.0%,330,172-158,52.1%,1:37,42.6,41.0
18,Francisco Cerundolo[ARG],20,13-7,65.0%,63.6%,64.3%,68,4.8%,53,3.7%,10.2%,63.5%,68.8%,54.6%,60.8%,79.9%,6.5,2.4,18,Francisco Cerundolo[ARG],20,39.4%,39.5%,5.3%,3.2%,31.2%,54.2%,25.9%,6.7,2.6,18.5,42.8,18,Francisco Cerundolo[ARG],20,38.0%,57,150,0.68,3.3,7.5,1.27,2.9,63.0%,75,119,0.54,2.6,6.0,0.98,2.2,18,Francisco Cerundolo[ARG],20,1.08,2908,51.3%,11,8-3,72.7%,24.4%,45,29-16,64.4%,439,232-207,52.8%,1:44,46.2,42.9
19,Stefanos Tsitsipas[GRE],20,12-8,60.0%,66.4%,66.5%,124,8.6%,64,4.4%,10.7%,58.8%,75.8%,53.0%,59.4%,85.2%,6.1,2.1,19,Stefanos Tsitsipas[GRE],20,36.1%,36.5%,6.2%,2.9%,27.6%,51.0%,22.1%,6.3,2.3,32.5,72.0,19,Stefanos Tsitsipas[GRE],20,36.4%,52,143,0.61,3.0,7.2,1.08,2.6,66.0%,68,103,0.44,2.1,5.2,0.73,1.8,19,Stefanos Tsitsipas[GRE],20,1.08,2925,51.1%,5,1-4,20.0%,10.4%,48,26-22,54.2%,471,253-218,53.7%,1:45,43.7,43.0
20,Tomas Machac[CZE],14,7-7,50.0%,62.7%,63.4%,75,7.3%,54,5.2%,13.2%,60.4%,72.2%,48.3%,55.6%,79.1%,6.5,2.4,20,Tomas Machac[CZE],14,34.7%,36.9%,11.4%,3.1%,25.5%,49.5%,19.5%,6.1,2.1,60.0,68.3,20,Tomas Machac[CZE],14,47.0%,31,66,0.42,1.9,4.7,0.91,2.2,60.7%,51,84,0.53,2.5,6.0,0.97,2.4,20,Tomas Machac[CZE],14,0.93,1996,49.1%,5,4-1,80.0%,14.7%,34,18-16,52.9%,317,156-161,49.2%,1:38,40.5,41.4
