Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
1,Jannik Sinner,14,100.0,74.3,72.6,11.9,2.2,6.0,63.0,81.3,62.2,66.2,96.4,5.7,42.7,44.4,6.5,2.1,32.2,59.8,6.8,44.5,48.8,42.6,129,0.79,3.6,9.2,1.53,3.9,87.0,0.28,1.3,3.3,0.17,0.4,57.3,0.0,88.9
2,Alexander Zverev,18,94.4,71.8,69.8,12.3,2.4,8.5,71.4,78.1,56.1,61.3,90.7,6.0,40.1,41.0,6.3,2.9,32.1,54.7,6.6,41.0,91.2,40.7,145,0.65,3.2,8.1,1.28,3.3,67.2,0.28,1.4,3.6,0.46,1.2,55.3,90.0,84.8
3,Carlos Alcaraz,13,84.6,71.2,70.8,8.0,2.7,8.1,66.1,75.6,62.6,68.1,92.0,5.8,41.8,40.8,6.1,5.8,31.6,56.2,6.5,46.0,92.5,52.5,80,0.6,2.7,6.2,1.4,3.2,73.2,0.3,1.4,3.2,0.37,0.8,55.9,80.0,86.7
4,Taylor Fritz,14,71.4,71.5,69.2,14.3,3.2,8.5,63.0,79.0,58.6,64.1,92.7,6.0,36.9,37.9,7.7,3.1,32.3,44.9,6.4,27.0,64.7,38.0,108,0.59,2.8,7.7,1.05,2.9,77.8,0.33,1.6,4.5,0.36,1.0,53.9,20.0,69.2
5,Jack Draper,13,76.9,69.6,69.2,10.3,4.0,10.2,60.6,80.8,52.5,58.5,86.5,5.9,37.8,38.4,8.0,4.1,30.5,49.6,6.6,44.0,56.5,44.3,88,0.56,2.8,6.8,1.22,3.0,56.3,0.31,1.5,3.7,0.66,1.6,52.7,71.4,71.9
6,Novak Djokovic,9,66.7,68.7,68.2,9.7,3.8,10.2,62.7,77.9,53.3,59.3,84.0,5.9,41.3,42.9,7.8,3.1,33.1,56.5,6.6,32.0,58.2,37.8,90,0.73,3.3,10.0,1.26,3.8,50.0,0.32,1.5,4.4,0.74,2.2,54.3,66.7,63.0
7,Casper Ruud,15,66.7,66.2,65.8,7.7,3.4,10.4,67.1,73.0,52.3,58.3,83.1,6.2,38.3,39.5,8.0,3.2,30.4,51.0,6.3,34.0,54.7,39.7,131,0.67,3.1,8.7,1.24,3.5,62.9,0.46,2.1,5.9,0.79,2.2,52.1,16.7,59.5
8,Alex De Minaur,13,92.3,65.8,66.2,5.6,3.4,7.1,52.9,74.7,55.9,60.2,86.1,6.4,44.6,44.1,5.9,5.5,33.7,59.0,7.0,40.5,106.7,43.2,139,0.88,4.0,10.7,1.71,4.6,69.0,0.45,2.0,5.5,0.63,1.7,54.7,50.0,80.0
9,Lorenzo Musetti,18,55.6,64.6,64.7,3.9,2.2,5.9,62.7,70.3,55.2,58.7,81.0,6.4,35.7,36.9,7.6,2.5,27.8,50.0,6.7,48.0,48.6,32.8,128,0.57,2.8,7.1,0.91,2.3,60.0,0.47,2.4,6.1,0.96,2.4,50.2,46.2,54.3
10,Holger Rune,17,82.4,69.3,69.1,8.0,3.3,8.6,61.3,75.4,59.6,65.2,89.4,6.0,36.6,36.5,7.8,4.6,27.8,51.3,6.4,39.0,104.9,42.6,115,0.54,2.6,6.8,1.09,2.9,69.3,0.35,1.7,4.4,0.51,1.4,52.5,71.4,73.3
11,Daniil Medvedev,17,82.4,64.1,65.9,8.0,6.9,17.6,60.7,73.2,50.1,60.8,80.4,6.4,42.6,42.8,5.3,3.6,36.3,53.5,6.7,36.0,42.3,43.9,171,0.74,3.7,10.1,1.63,4.4,61.7,0.51,2.5,6.8,0.96,2.6,53.0,71.4,73.9
12,Tommy Paul,14,57.1,62.3,61.0,6.3,1.9,5.0,62.2,69.7,50.2,52.8,77.0,6.7,40.9,41.9,6.1,2.7,34.3,54.6,6.8,35.5,44.4,37.9,124,0.69,3.2,8.9,1.21,3.4,64.1,0.64,3.0,8.4,1.08,3.0,51.6,57.1,59.0
13,Ben Shelton,18,44.4,67.5,66.8,9.9,3.9,12.1,67.8,74.2,53.4,60.7,85.8,6.4,30.9,30.0,6.9,4.2,23.2,42.9,6.3,40.0,65.6,28.7,115,0.43,2.2,6.4,0.62,1.8,67.2,0.43,2.2,6.4,0.72,2.1,49.3,43.8,43.4
14,Arthur Fils,16,68.8,65.5,65.4,7.6,3.9,10.5,63.0,73.5,51.8,57.9,84.5,6.3,36.4,37.2,7.4,3.1,28.1,49.2,6.2,58.5,101.6,41.7,84,0.46,2.2,5.3,0.9,2.2,68.5,0.49,2.4,5.8,0.74,1.8,51.2,50.0,59.0
15,Grigor Dimitrov,16,87.5,73.3,73.4,11.4,4.3,10.8,60.2,84.3,56.6,63.5,90.9,5.7,39.8,41.2,9.2,4.1,29.3,56.2,6.6,47.0,54.4,39.4,137,0.71,3.3,8.6,1.32,3.4,66.7,0.27,1.3,3.4,0.44,1.1,55.5,71.4,80.5
16,Frances Tiafoe,11,54.5,67.1,66.6,6.8,2.7,6.5,58.8,74.0,57.1,61.1,83.5,6.1,36.5,39.3,13.2,4.0,27.7,53.5,6.5,53.0,49.3,35.1,94,0.59,2.9,8.5,1.03,3.0,61.2,0.42,2.1,6.1,0.81,2.4,51.3,33.3,53.1
17,Andrey Rublev,17,58.8,66.8,65.3,10.8,3.3,8.8,62.2,76.2,51.4,56.4,86.5,6.4,36.5,38.4,10.9,3.7,27.4,51.4,6.5,44.0,64.4,41.2,97,0.48,2.4,5.7,0.98,2.4,71.7,0.48,2.4,5.8,0.68,1.6,51.7,33.3,56.1
18,Francisco Cerundolo,15,46.7,62.2,62.8,4.6,3.7,10.5,65.1,66.5,54.2,60.6,77.7,6.8,37.7,38.1,4.3,2.0,29.8,50.8,6.4,16.0,38.0,42.1,114,0.58,2.9,7.6,1.23,3.2,61.4,0.58,2.9,7.6,1.13,2.9,50.2,33.3,48.7
19,Stefanos Tsitsipas,15,80.0,68.2,66.9,8.9,2.5,6.7,63.2,74.5,57.4,61.6,86.9,6.0,40.2,41.1,6.2,2.9,34.0,50.4,6.1,43.0,86.7,54.3,92,0.57,2.6,6.1,1.43,3.3,60.0,0.33,1.6,3.7,0.63,1.5,54.4,80.0,80.0
20,Tomas Machac,15,60.0,67.7,67.0,7.6,2.8,7.7,64.0,74.6,55.4,60.0,86.4,6.2,35.9,36.9,9.2,3.7,27.2,49.9,6.5,36.0,50.4,39.3,112,0.55,2.8,7.5,1.1,2.9,66.7,0.41,2.1,5.6,0.7,1.9,51.5,40.0,57.5
21,Jakub Mensik,12,50.0,61.2,60.6,10.5,5.8,13.7,57.7,72.3,46.1,53.4,76.1,6.4,37.7,38.2,7.3,3.7,29.9,51.8,6.8,34.5,65.1,35.1,77,0.57,2.5,6.4,0.87,2.3,56.6,0.55,2.5,6.3,1.06,2.8,49.2,57.1,48.4
22,Ugo Humbert,17,41.2,67.5,66.0,8.0,1.8,5.1,63.9,73.3,57.3,60.4,86.5,6.2,34.6,34.9,8.3,4.0,26.4,48.1,6.4,49.0,56.7,34.3,108,0.47,2.3,6.4,0.8,2.2,62.7,0.36,1.8,4.9,0.67,1.8,50.8,27.3,47.8
23,Sebastian Korda,15,40.0,64.0,60.9,11.2,2.2,5.5,60.2,72.2,51.5,54.5,80.4,6.7,31.8,32.0,8.1,3.5,22.2,48.9,6.1,13.0,43.7,33.3,81,0.45,2.3,5.4,0.75,1.8,64.3,0.55,2.7,6.5,0.97,2.3,48.5,55.6,41.7
24,Karen Khachanov,13,69.2,67.0,66.1,7.5,2.6,7.2,64.4,75.6,51.4,55.5,85.3,6.2,36.0,37.4,10.2,3.8,28.7,48.7,6.3,46.0,52.8,52.4,63,0.41,2.0,4.8,1.06,2.5,65.7,0.43,2.2,5.2,0.74,1.8,51.4,60.0,61.3
25,Alexei Popyrin,16,50.0,65.4,63.0,11.5,3.0,8.6,64.7,73.5,50.6,55.4,84.2,6.6,32.5,33.1,10.4,4.2,24.8,45.6,6.4,54.0,67.4,29.5,95,0.44,2.3,5.9,0.67,1.8,68.6,0.5,2.5,6.6,0.79,2.1,49.0,44.4,50.0
26,Alejandro Davidovich Fokina,13,53.8,65.5,64.4,8.1,2.8,8.5,67.0,73.0,50.4,55.1,84.7,6.6,35.1,37.5,11.0,2.8,25.3,51.1,6.4,46.5,62.8,37.2,78,0.48,2.4,6.0,0.88,2.2,66.7,0.46,2.3,5.8,0.76,1.9,50.6,33.3,48.5
27,Felix Auger Aliassime,15,53.3,67.8,67.6,12.2,5.6,14.7,62.0,76.8,53.2,62.3,84.5,6.0,38.0,37.7,4.7,3.4,32.3,48.3,6.4,59.0,58.8,44.0,84,0.5,2.3,5.6,1.03,2.5,55.9,0.35,1.6,3.9,0.72,1.7,52.4,55.6,55.6
28,Denis Shapovalov,17,35.3,62.8,64.2,9.4,7.4,17.7,58.0,74.7,46.4,56.4,81.6,6.6,33.5,33.5,4.8,2.4,28.4,44.3,6.1,67.0,63.1,42.5,87,0.42,2.0,5.1,0.86,2.2,67.0,0.56,2.7,6.8,0.88,2.2,48.8,25.0,41.9
29,Brandon Nakashima,15,73.3,69.6,66.1,12.8,1.3,4.3,68.6,75.9,55.7,58.2,91.1,6.2,34.1,35.4,9.4,3.2,26.7,45.1,6.3,45.0,69.0,38.4,86,0.48,2.4,5.7,0.92,2.2,74.2,0.34,1.7,4.1,0.44,1.1,51.8,62.5,66.7
30,Matteo Berrettini,8,100.0,72.5,68.7,14.7,1.1,3.7,70.5,78.7,57.8,60.0,93.3,6.1,37.7,37.4,4.4,3.1,30.2,51.4,6.7,61.5,66.4,47.6,42,0.48,2.5,5.3,1.18,2.5,66.7,0.2,1.1,2.3,0.35,0.8,54.4,100.0,94.1
31,Hubert Hurkacz,12,100.0,71.5,67.9,15.7,2.0,5.8,65.0,79.8,56.1,59.5,92.9,6.5,33.4,34.8,7.6,1.9,26.3,46.0,6.6,48.0,52.7,41.3,63,0.36,1.9,5.3,0.76,2.2,79.7,0.35,1.9,5.3,0.38,1.1,52.7,75.0,76.5
