Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
68,Mattia Bellucci,14,42.9,65.5,63.5,12.1,3.9,10.4,62.6,73.9,51.3,57.2,81.3,6.5,32.9,35.8,12.4,2.5,26.3,44.3,6.2,60.0,64.6,31.7,82,0.43,2.1,5.9,0.65,1.9,69.0,0.6,2.8,8.1,0.88,2.5,49.4,71.4,47.5
69,Damir Dzumhur,6,33.3,58.8,60.5,0.7,3.3,9.1,63.9,65.1,47.5,52.2,70.5,6.2,38.5,38.5,6.0,3.8,32.3,47.7,6.3,117.5,205.0,44.0,25,0.6,1.8,4.2,0.79,1.8,43.5,0.52,1.6,3.8,0.93,2.2,48.8,0.0,35.7
70,Learner Tien,10,60.0,61.8,61.5,4.3,2.1,6.6,67.5,65.7,53.9,57.7,75.4,6.3,35.5,37.9,9.7,2.0,26.4,52.6,6.3,59.0,103.5,38.8,67,0.54,1.9,6.7,0.72,2.6,64.8,0.7,2.4,8.8,0.86,3.1,48.8,62.5,50.0
71,Daniel Altmaier,36,36.1,62.3,61.3,7.6,3.1,8.4,62.7,70.6,48.4,52.8,77.3,6.5,35.3,34.6,4.9,3.6,29.0,45.0,6.5,52.5,98.5,37.0,211,0.46,2.3,5.9,0.84,2.2,58.9,0.55,2.7,7.0,1.12,2.9,48.8,58.3,40.9
72,Hamad Medjedovic,17,52.9,67.2,65.6,11.8,3.8,11.4,66.9,74.3,53.0,59.8,85.2,6.2,34.7,36.5,11.8,3.9,27.3,46.8,6.6,42.0,66.5,32.4,105,0.46,2.3,6.2,0.74,2.0,69.1,0.48,2.4,6.5,0.74,2.0,50.6,50.0,50.0
73,Bu Yunchaokete,15,60.0,66.3,64.5,9.4,2.3,5.4,57.8,74.5,55.2,58.3,82.6,6.2,35.5,37.8,10.9,2.9,29.4,46.1,6.3,48.0,83.7,40.2,92,0.52,2.6,6.1,1.06,2.5,61.3,0.45,2.3,5.3,0.89,2.1,50.8,50.0,57.1
74,Yoshihito Nishioka,37,54.1,63.0,63.0,3.0,1.8,4.8,63.3,67.7,54.9,57.7,79.0,6.4,35.4,38.0,13.1,3.8,25.9,50.2,6.3,58.0,115.5,40.3,216,0.5,2.3,5.8,0.91,2.4,60.8,0.54,2.4,6.1,0.93,2.4,49.2,64.3,53.1
75,Arthur Rinderknech,43,48.8,66.5,63.7,13.2,3.1,8.4,63.1,76.6,49.3,53.8,83.4,6.3,33.1,34.0,8.4,3.0,25.7,44.4,6.3,61.0,82.1,32.2,276,0.48,2.4,6.4,0.78,2.1,64.1,0.46,2.3,6.1,0.82,2.2,49.6,56.0,49.1
76,Alexander Bublik,50,50.0,62.9,62.6,14.2,8.0,19.9,60.1,75.7,43.8,54.7,78.3,6.5,35.5,36.0,7.2,3.3,29.1,45.9,6.4,58.0,72.3,39.5,291,0.49,2.3,5.8,0.9,2.3,62.1,0.57,2.7,7.0,1.03,2.6,49.5,47.6,46.9
77,Roman Safiullin,43,41.9,64.3,63.4,8.5,3.6,9.3,61.1,73.3,50.1,55.3,79.2,6.3,36.5,37.2,7.4,3.2,29.6,48.7,6.5,42.0,93.8,36.7,313,0.55,2.7,7.3,0.99,2.7,62.3,0.55,2.7,7.3,1.03,2.8,50.2,38.9,46.6
