Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
19,Stefanos Tsitsipas,15,73.3,67.7,68.5,7.6,4.6,11.9,61.1,76.4,54.0,61.3,88.0,6.5,34.9,36.5,8.3,2.3,28.8,45.8,6.4,35.0,44.7,35.2,105,0.59,2.9,7.0,1.03,2.5,74.7,0.48,2.4,5.8,0.61,1.5,51.6,66.7,66.7
20,Tomas Machac,9,66.7,63.3,63.2,6.5,3.7,10.1,63.5,69.6,52.1,58.0,80.4,6.6,36.5,38.2,9.6,3.2,27.9,48.5,6.3,27.0,61.0,40.0,60,0.58,2.6,6.7,1.04,2.7,62.5,0.52,2.4,6.2,0.91,2.3,50.3,33.3,56.5
21,Jakub Mensik,6,83.3,64.6,61.4,14.1,3.7,9.6,61.4,74.8,48.2,53.4,85.3,6.8,37.0,36.3,6.7,4.8,30.4,46.7,6.8,41.5,45.3,40.0,40,0.55,2.7,6.7,1.07,2.7,65.6,0.43,2.1,5.3,0.73,1.8,51.0,60.0,66.7
22,Ugo Humbert,12,58.3,66.9,65.2,9.0,2.1,5.7,62.9,73.8,55.3,58.6,85.0,6.2,39.0,39.0,5.7,3.6,31.1,52.0,6.6,57.0,63.8,35.4,96,0.64,2.9,8.0,1.03,2.8,68.1,0.47,2.2,6.0,0.7,1.9,52.6,66.7,57.6
23,Sebastian Korda,7,71.4,66.2,63.3,11.0,1.7,4.1,58.0,78.7,49.0,51.1,79.5,5.9,39.3,40.8,9.3,4.0,32.7,51.4,6.3,59.5,55.6,46.9,49,0.61,3.1,7.0,1.44,3.3,48.4,0.4,1.9,4.4,1.0,2.3,52.2,33.3,62.5
24,Karen Khachanov,15,46.7,66.3,63.4,10.5,1.4,4.1,65.1,74.0,52.0,54.2,80.6,6.2,35.2,36.7,9.9,3.3,25.3,51.6,6.5,36.0,48.9,39.1,92,0.48,2.5,6.1,0.97,2.4,54.9,0.43,2.2,5.5,1.0,2.5,50.2,50.0,51.4
25,Alexei Popyrin,8,25.0,65.1,63.5,11.0,3.9,10.7,63.4,76.2,45.8,51.3,83.7,6.9,30.4,31.9,11.6,3.2,24.6,40.2,6.1,16.5,33.6,31.7,41,0.4,1.9,5.1,0.59,1.6,69.1,0.53,2.5,6.9,0.77,2.1,48.8,42.9,31.8
26,Alejandro Davidovich Fokina,8,37.5,61.3,60.2,7.2,3.0,9.1,67.6,65.8,51.9,57.1,74.7,6.5,40.5,40.8,7.6,4.7,30.2,55.6,7.4,57.0,118.5,35.1,77,0.8,3.9,9.6,1.35,3.4,55.4,0.57,2.8,7.0,1.25,3.1,50.4,20.0,50.0
27,Felix Auger Aliassime,12,50.0,64.5,64.4,10.0,5.3,13.8,61.9,74.5,48.4,56.1,83.1,6.8,34.4,35.0,8.4,3.5,29.3,44.3,6.6,50.0,47.9,32.4,71,0.5,2.4,5.9,0.79,1.9,64.7,0.48,2.3,5.7,0.83,2.0,49.8,42.9,48.3
28,Denis Shapovalov,6,50.0,71.1,71.3,14.5,6.0,15.3,60.6,81.5,55.1,65.1,89.0,6.1,33.5,31.9,4.7,4.7,27.8,43.6,6.3,39.0,46.3,46.4,28,0.37,1.9,4.7,0.87,2.2,55.6,0.25,1.2,3.0,0.53,1.3,51.9,50.0,53.3
29,Brandon Nakashima,12,25.0,65.3,62.4,9.9,1.3,3.6,63.6,73.1,51.8,53.8,81.1,6.3,30.0,31.2,11.2,3.4,20.3,48.2,6.1,27.0,56.8,31.6,57,0.4,1.9,4.8,0.6,1.5,68.2,0.59,2.8,7.1,0.9,2.3,48.2,14.3,33.3
30,Matteo Berrettini,8,62.5,67.1,63.4,13.1,1.7,5.2,68.0,75.3,49.7,52.5,89.1,6.5,34.7,35.1,6.1,2.7,27.8,44.8,6.5,63.0,95.3,32.7,52,0.57,2.9,6.5,0.94,2.1,73.7,0.41,2.1,4.8,0.56,1.3,51.0,60.0,66.7
31,Hubert Hurkacz,14,57.1,70.5,66.1,15.9,1.5,3.9,61.4,78.9,57.2,59.6,89.1,6.1,32.5,34.2,9.4,2.4,24.8,45.6,6.5,30.0,52.2,33.8,68,0.38,1.9,4.9,0.66,1.6,67.7,0.34,1.8,4.4,0.57,1.4,51.2,53.8,54.3
32,Alex Michelsen,11,72.7,63.6,63.9,4.5,3.1,10.0,69.0,68.5,52.6,58.4,82.4,6.6,40.0,39.7,6.0,4.5,29.2,53.5,6.6,79.0,75.4,41.0,78,0.62,3.0,7.1,1.23,2.9,64.6,0.5,2.5,5.9,0.88,2.1,52.1,66.7,69.2
33,Sebastian Baez,11,63.6,62.3,63.0,2.8,2.7,9.2,70.8,63.1,60.5,66.7,77.0,6.5,39.2,40.7,6.6,1.9,33.3,50.7,6.5,62.0,66.0,37.5,96,0.76,3.7,8.7,1.38,3.3,60.8,0.59,2.8,6.7,1.12,2.6,50.7,50.0,57.7
34,Flavio Cobolli,12,50.0,62.2,62.8,5.7,4.4,10.1,56.3,73.6,47.5,52.8,78.3,6.6,37.6,37.5,5.9,3.8,27.7,53.7,6.7,48.5,76.4,38.7,80,0.57,2.8,6.7,1.07,2.6,61.5,0.57,2.7,6.5,1.03,2.5,49.7,30.0,44.8
35,Tallon Griekspoor,9,44.4,66.4,65.1,9.8,3.3,9.1,64.0,74.5,52.1,57.3,81.3,6.3,31.6,33.7,12.1,2.9,23.0,46.9,6.4,74.0,71.4,37.1,35,0.33,1.7,3.9,0.62,1.4,42.9,0.33,1.7,3.9,0.95,2.2,48.9,55.6,42.9
36,Giovanni Mpetshi Perricard,5,20.0,67.6,63.4,22.2,6.2,18.0,65.4,77.7,48.4,59.0,81.3,5.8,23.8,24.9,9.7,1.8,22.0,27.0,5.4,52.5,67.7,35.7,14,0.22,1.1,2.8,0.38,1.0,65.7,0.55,2.7,7.0,0.92,2.4,46.6,100.0,30.8
37,Matteo Arnaldi,9,33.3,61.8,61.3,8.3,4.4,9.9,55.4,72.3,48.8,54.1,78.5,7.0,36.2,36.1,4.8,3.0,29.2,49.1,6.7,60.0,77.2,38.3,60,0.5,2.4,6.7,0.92,2.6,67.9,0.67,3.2,9.0,1.04,2.9,49.3,28.6,40.0
38,Jiri Lehecka,9,77.8,68.7,67.3,11.8,3.7,9.6,61.7,78.5,52.8,58.4,90.4,6.5,35.5,37.4,9.2,2.5,26.3,49.7,6.4,61.0,116.8,33.8,68,0.6,3.1,7.6,1.05,2.6,78.8,0.46,2.4,5.8,0.5,1.2,52.2,50.0,68.2
39,Alexandre Muller,6,16.7,56.2,56.8,2.0,2.6,6.7,61.2,61.6,47.8,51.2,63.6,6.3,35.0,36.6,9.9,3.3,25.5,49.3,6.1,39.0,49.5,42.3,26,0.47,2.2,4.3,0.92,1.8,47.4,0.69,3.2,6.3,1.67,3.3,45.8,0.0,16.7
40,Nuno Borges,11,27.3,56.8,57.2,3.4,3.3,8.9,62.9,62.9,46.6,51.1,63.1,6.7,35.1,35.2,8.5,4.4,27.3,49.1,6.4,35.0,96.4,38.7,62,0.5,2.3,5.6,0.89,2.2,48.3,0.71,3.2,7.9,1.67,4.1,46.2,50.0,29.6
41,Jordan Thompson,12,66.7,64.1,61.9,8.1,1.4,3.6,60.5,72.0,52.1,54.1,79.3,6.4,37.3,36.6,6.3,4.7,29.5,49.5,6.2,78.0,84.8,46.7,60,0.49,2.3,5.0,1.08,2.3,63.2,0.56,2.6,5.7,0.96,2.1,50.8,100.0,61.5
42,Alejandro Tabilo,11,54.5,69.3,68.4,8.8,2.8,7.5,63.1,79.4,52.0,56.2,86.7,6.0,33.7,34.9,11.1,4.0,25.2,51.8,6.3,58.0,51.6,39.2,51,0.46,2.2,4.6,0.87,1.8,63.4,0.36,1.8,3.7,0.65,1.4,51.2,40.0,56.5
43,Gael Monfils,7,28.6,67.5,66.2,11.2,3.8,9.3,59.1,77.4,53.1,58.5,86.2,5.9,30.9,30.2,4.3,2.9,27.5,36.5,6.0,16.5,30.8,33.3,30,0.32,1.6,4.3,0.53,1.4,58.1,0.33,1.6,4.4,0.68,1.9,49.1,50.0,42.1
44,Lorenzo Sonego,9,22.2,63.8,62.5,7.2,2.2,6.3,65.2,70.1,51.9,55.4,81.7,6.6,30.3,30.5,6.1,2.3,24.9,39.3,6.1,22.0,43.7,24.0,50,0.48,2.4,5.6,0.57,1.3,68.9,0.59,2.9,6.8,0.9,2.1,47.5,0.0,28.6
45,Marcos Giron,10,60.0,65.2,63.1,8.3,1.6,4.1,60.3,73.5,52.5,54.8,82.4,6.3,34.4,35.3,8.7,3.3,26.3,48.7,6.4,52.5,66.9,32.8,64,0.54,2.6,6.4,0.84,2.1,58.0,0.42,2.0,5.0,0.84,2.1,49.6,75.0,56.0
46,Luciano Darderi,9,55.6,62.8,61.6,6.0,1.9,4.9,61.3,68.5,53.7,56.5,74.3,6.2,38.0,39.4,8.8,3.3,29.3,50.8,6.4,38.0,53.7,43.1,51,0.52,2.4,5.7,1.05,2.4,56.7,0.59,2.9,6.7,1.24,2.9,50.3,100.0,47.6
47,Miomir Kecmanovic,9,33.3,64.7,64.1,5.5,2.1,5.5,61.3,69.4,57.3,60.6,83.5,6.6,32.8,34.5,10.7,3.1,23.2,50.2,6.4,51.0,48.4,33.3,48,0.41,2.1,5.3,0.7,1.8,63.5,0.45,2.3,5.8,0.83,2.1,49.0,16.7,39.1
48,David Goffin,6,50.0,61.0,61.2,4.3,3.0,8.2,63.0,68.3,48.6,53.0,76.7,6.6,35.7,38.9,10.6,1.5,26.3,50.7,6.5,36.0,51.5,26.8,41,0.67,3.2,6.8,0.85,1.8,57.6,0.55,2.5,5.5,1.08,2.3,48.4,100.0,46.2
49,Pedro Martinez,8,75.0,60.7,61.8,4.4,4.4,14.1,68.9,68.1,44.5,51.8,72.9,6.4,40.0,42.5,8.4,1.9,33.9,51.1,6.6,70.0,74.4,32.9,82,0.86,4.3,10.3,1.42,3.4,60.6,0.69,3.5,8.3,1.37,3.3,50.2,66.7,63.2
50,Zizou Bergs,5,40.0,60.9,61.4,5.0,3.8,9.4,59.2,70.0,47.8,52.8,75.0,6.5,36.7,35.2,3.3,4.2,28.6,53.2,6.2,27.0,37.0,36.7,30,0.56,2.7,6.0,1.0,2.2,67.5,0.77,3.6,8.0,1.18,2.6,48.9,-,45.5
51,Tomas Martin Etcheverry,8,75.0,63.1,61.1,8.5,2.1,6.2,65.4,72.9,44.6,47.5,82.6,6.6,39.2,40.2,5.2,1.8,33.7,48.5,6.5,81.5,85.9,42.4,59,0.69,3.3,7.4,1.39,3.1,66.7,0.52,2.5,5.6,0.83,1.9,51.2,33.3,66.7
52,Quentin Halys,3,66.7,66.7,65.8,17.0,7.6,17.2,56.1,81.8,47.4,57.3,90.0,6.6,35.8,36.1,8.0,4.0,25.3,54.0,7.0,118.0,85.0,41.2,17,0.44,2.1,5.7,0.88,2.3,77.8,0.45,2.3,6.0,0.5,1.3,50.9,0.0,50.0
53,Nicolas Jarry,7,85.7,69.8,66.3,14.3,2.0,5.9,65.8,79.0,52.2,55.4,88.5,6.3,35.8,37.3,8.0,2.4,27.3,50.9,6.6,60.0,69.7,35.8,53,0.56,2.9,7.6,1.06,2.7,64.5,0.32,1.7,4.4,0.61,1.6,52.5,62.5,72.2
54,Gabriel Diallo,1,100.0,73.1,71.9,11.9,3.0,10.5,71.6,83.3,47.4,52.9,100.0,6.1,32.9,33.3,4.3,1.4,38.3,21.7,6.4,96.0,96.0,25.0,4,0.36,2.0,4.0,0.5,1.0,100.0,0.18,1.0,2.0,0.0,0.0,52.6,100.0,100.0
55,Zhizhen Zhang,6,83.3,69.3,68.6,9.4,3.2,8.8,63.4,77.3,55.6,61.0,90.0,6.2,38.1,38.9,10.2,5.2,27.3,54.3,6.8,58.0,60.5,44.4,36,0.53,2.6,6.0,1.14,2.7,66.7,0.3,1.5,3.5,0.5,1.2,53.3,75.0,78.6
56,Roberto Bautista Agut,10,30.0,61.1,61.2,3.0,2.0,6.6,69.6,65.6,50.7,54.3,71.6,6.0,33.2,38.3,17.5,2.6,25.5,45.4,6.1,33.0,54.0,38.3,47,0.41,2.0,4.7,0.75,1.8,45.9,0.53,2.5,6.1,1.38,3.3,47.1,33.3,33.3
57,Jacob Fearnley,1,0.0,54.5,58.6,1.3,7.8,17.1,54.5,64.3,42.9,51.7,72.7,7.0,27.3,31.1,16.4,1.8,15.8,52.9,5.5,37.0,37.0,100.0,1,0.1,0.5,1.0,0.5,1.0,70.0,0.91,5.0,10.0,1.5,3.0,43.2,0.0,0.0
58,Benjamin Bonzi,1,100.0,76.4,72.9,12.7,0.0,0.0,70.9,84.6,56.3,56.3,100.0,5.5,37.1,36.5,9.7,6.5,31.8,50.0,6.2,7.0,7.0,40.0,5,0.5,2.5,5.0,1.0,2.0,100.0,0.1,0.5,1.0,0.0,0.0,55.6,-,100.0
59,Roberto Carballes Baena,10,40.0,62.8,63.7,3.1,3.2,8.5,62.2,69.5,51.7,56.5,77.3,6.5,36.1,36.5,5.9,2.8,29.1,46.4,6.9,41.0,75.3,30.4,56,0.51,2.4,5.6,0.74,1.7,63.2,0.62,3.0,6.8,1.09,2.5,49.1,33.3,39.1
60,Camilo Ugo Carabelli,2,0.0,48.0,49.6,4.1,7.4,21.6,65.5,56.7,31.4,40.0,47.6,7.0,40.9,38.2,1.5,5.3,27.4,64.6,6.3,5.5,5.5,46.2,13,0.62,3.3,6.5,1.5,3.0,56.0,1.19,6.3,12.5,2.75,5.5,44.6,-,0.0
61,Fabian Marozsan,9,33.3,62.1,61.4,5.4,2.4,7.2,67.0,69.2,47.6,51.3,74.7,6.4,32.3,33.7,10.7,3.3,24.5,47.9,5.7,16.5,35.9,46.9,32,0.32,1.5,3.6,0.71,1.7,56.1,0.58,2.7,6.3,1.19,2.8,48.0,100.0,38.1
62,Kei Nishikori,2,100.0,63.1,64.9,2.5,4.1,11.4,63.9,69.2,52.3,59.0,83.3,6.8,47.5,48.4,5.9,4.0,40.4,56.8,5.6,36.0,36.0,75.0,12,0.67,3.0,6.0,2.25,4.5,75.0,0.67,3.0,6.0,0.75,1.5,56.1,-,100.0
64,Laslo Djere,7,14.3,61.1,59.5,6.5,1.8,4.9,63.8,67.5,49.7,52.3,74.7,6.4,32.1,32.9,5.0,1.2,26.8,43.0,6.1,72.0,76.9,41.4,29,0.37,1.8,4.1,0.75,1.7,58.3,0.61,3.0,6.9,1.25,2.9,46.9,25.0,25.0
65,Joao Fonseca,2,100.0,66.1,65.8,4.0,1.6,4.8,66.1,67.1,64.3,67.5,85.0,6.2,41.8,39.4,4.1,6.6,29.5,63.6,6.1,113.5,113.5,53.8,13,0.65,3.3,6.5,1.75,3.5,40.0,0.25,1.3,2.5,0.75,1.5,54.1,100.0,100.0
66,Jaume Munar,4,50.0,58.8,59.5,2.9,3.2,8.6,62.9,63.5,50.9,55.7,68.8,6.5,44.1,45.2,5.1,2.2,36.7,58.7,5.9,93.0,85.8,57.1,28,0.61,2.8,7.0,1.6,4.0,68.8,1.0,4.8,12.0,1.5,3.8,52.0,-,60.0
67,Juncheng Shang,4,100.0,65.7,66.1,4.9,3.1,7.8,60.3,72.4,55.6,60.3,86.4,6.5,34.7,38.8,12.8,1.5,26.5,48.4,5.9,56.0,53.2,52.2,23,0.4,2.1,5.8,1.09,3.0,65.2,0.39,2.1,5.8,0.73,2.0,51.1,75.0,72.7
68,Mattia Bellucci,2,50.0,62.6,59.6,12.3,3.4,9.5,64.8,70.7,47.6,52.6,78.3,7.8,28.1,31.4,11.9,0.7,22.6,40.5,5.9,40.0,40.0,16.7,6,0.26,1.2,3.0,0.2,0.5,77.3,0.96,4.4,11.0,1.0,2.5,47.8,100.0,40.0
70,Learner Tien,1,100.0,68.3,68.9,1.6,1.6,7.1,77.8,67.3,71.4,76.9,90.0,6.3,42.9,41.9,0.0,1.6,37.5,52.2,7.0,69.0,69.0,30.0,10,1.11,5.0,10.0,1.5,3.0,66.7,0.3,1.5,3.0,0.5,1.0,55.6,-,100.0
71,Daniel Altmaier,5,20.0,59.7,58.0,8.4,3.1,7.9,60.3,71.0,42.5,46.2,70.2,6.8,28.1,28.5,9.0,3.1,20.8,39.1,6.1,33.0,39.6,14.3,14,0.3,1.4,2.8,0.2,0.4,58.8,0.72,3.4,6.8,1.4,2.8,44.7,100.0,20.0
72,Hamad Medjedovic,3,33.3,71.4,68.5,17.3,3.8,13.2,71.4,78.0,54.7,63.0,90.0,6.2,29.4,33.3,21.0,4.7,19.7,48.6,6.7,17.0,43.3,12.5,8,0.25,1.3,2.7,0.17,0.3,70.0,0.33,1.7,3.3,0.5,1.0,48.9,33.3,33.3
73,Bu Yunchaokete,3,100.0,71.5,69.1,12.1,1.9,5.0,61.4,79.5,58.8,61.8,86.1,5.8,38.7,42.5,13.1,3.2,30.1,52.3,6.3,23.0,50.3,47.4,19,0.54,2.7,6.3,1.29,3.0,44.4,0.25,1.3,3.0,0.71,1.7,54.5,100.0,85.7
74,Yoshihito Nishioka,6,33.3,57.5,57.9,2.4,2.4,6.2,61.7,63.2,48.5,51.6,66.7,5.9,31.1,34.9,18.3,4.0,22.9,45.8,5.8,48.0,140.5,42.9,21,0.37,1.6,3.5,0.69,1.5,40.6,0.56,2.5,5.3,1.46,3.2,44.5,0.0,30.8
75,Arthur Rinderknech,11,27.3,67.8,64.8,14.7,3.4,9.3,63.8,78.0,49.8,54.9,86.2,6.4,27.3,29.9,12.7,1.7,17.3,43.3,5.9,35.0,43.6,32.4,34,0.26,1.4,3.1,0.44,1.0,73.9,0.53,2.8,6.3,0.72,1.6,48.2,37.5,36.0
76,Alexander Bublik,11,63.6,65.9,65.6,16.1,7.9,19.6,59.7,76.9,49.7,61.9,84.5,6.5,35.4,36.7,10.0,3.8,27.8,47.2,6.6,81.0,101.9,34.3,67,0.54,2.6,6.1,0.88,2.1,64.3,0.43,2.2,5.1,0.77,1.8,50.8,66.7,57.7
77,Roman Safiullin,7,14.3,63.2,61.8,9.8,3.8,9.8,61.2,71.9,49.5,54.9,76.7,6.4,32.5,33.5,10.0,3.5,22.5,52.2,6.3,29.0,37.7,24.4,41,0.47,2.3,5.9,0.56,1.4,64.3,0.65,3.1,8.0,1.11,2.9,47.9,33.3,27.8
