Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],2,0-2,0.0%,53.8%,53.5%,4,3.8%,3,2.8%,6.4%,55.7%,62.7%,42.6%,45.5%,57.9%,5.6,2.6,Daniil Medvedev[RUS],2,34.6%,34.2%,6.2%,3.8%,25.9%,51.1%,15.0%,6.5,2.3,54.5,54.5,Daniil Medvedev[RUS],2,42.9%,3,7,0.35,1.8,3.5,0.75,1.5,42.9%,6,14,0.74,3.5,7.0,2.00,4.0,Daniil Medvedev[RUS],2,0.75,236,43.2%,0,0-0,-,0.0%,4,0-4,0.0%,39,14-25,35.9%,1:26,42.8,43.5
12,Tommy Paul[USA],3,0-3,0.0%,63.4%,63.2%,15,5.7%,8,3.1%,7.0%,56.5%,68.9%,56.1%,60.4%,78.6%,6.2,2.3,Tommy Paul[USA],3,38.7%,38.5%,4.7%,3.4%,29.4%,56.3%,20.9%,6.9,2.7,54.0,196.7,Tommy Paul[USA],3,34.6%,9,26,0.60,3.3,8.7,1.13,3.0,55.0%,11,20,0.48,2.5,6.7,1.13,3.0,Tommy Paul[USA],3,1.06,559,50.3%,3,0-3,0.0%,37.5%,8,2-6,25.0%,85,42-43,49.4%,2:20,52.5,45.1
13,Ben Shelton[USA],2,1-1,50.0%,57.1%,57.8%,13,6.1%,12,5.7%,13.5%,58.0%,61.8%,50.6%,58.4%,65.5%,7.3,3.1,Ben Shelton[USA],2,33.0%,33.1%,5.0%,2.2%,31.2%,35.7%,17.2%,6.2,2.0,11.5,11.5,Ben Shelton[USA],2,41.7%,5,12,0.41,2.0,6.0,0.83,2.5,44.4%,8,18,0.62,3.0,9.0,1.67,5.0,Ben Shelton[USA],2,0.77,391,46.0%,2,1-1,50.0%,33.3%,6,2-4,33.3%,58,24-34,41.4%,2:22,47.2,43.4
14,Arthur Fils[FRA],1,0-1,0.0%,55.4%,57.1%,3,5.4%,4,7.1%,20.0%,64.3%,58.3%,50.0%,62.5%,66.7%,6.2,2.8,Arthur Fils[FRA],1,26.4%,24.5%,3.8%,3.8%,23.1%,35.7%,0.0%,5.9,1.6,2.0,2.0,Arthur Fils[FRA],1,0.0%,0,1,0.11,0.5,1.0,0.00,0.0,40.0%,2,5,0.56,2.5,5.0,1.50,3.0,Arthur Fils[FRA],1,0.59,109,41.3%,0,0-0,-,0.0%,2,0-2,0.0%,18,6-12,33.3%,1:15,37.5,41.3
15,Grigor Dimitrov[BUL],2,0-2,0.0%,63.0%,62.8%,9,9.8%,5,5.4%,13.5%,59.8%,72.7%,48.6%,56.3%,70.6%,5.4,2.0,Grigor Dimitrov[BUL],2,25.8%,25.0%,9.3%,4.1%,18.5%,40.6%,5.6%,5.4,1.4,16.5,16.5,Grigor Dimitrov[BUL],2,50.0%,1,2,0.11,0.7,1.0,0.33,0.5,37.5%,3,8,0.47,2.7,4.0,1.67,2.5,Grigor Dimitrov[BUL],2,0.70,189,43.9%,0,0-0,-,0.0%,3,0-3,0.0%,35,13-22,37.1%,1:17,51.0,48.6
16,Frances Tiafoe[USA],1,1-0,100.0%,63.3%,61.8%,4,6.7%,1,1.7%,4.2%,60.0%,69.4%,54.2%,56.5%,63.6%,5.5,2.0,Frances Tiafoe[USA],1,48.1%,51.4%,7.4%,1.2%,37.7%,67.9%,45.5%,7.4,3.5,33.0,33.0,Frances Tiafoe[USA],1,50.0%,5,10,0.91,5.0,10.0,2.50,5.0,20.0%,1,5,0.45,2.5,5.0,2.00,4.0,Frances Tiafoe[USA],1,1.31,141,54.6%,1,1-0,100.0%,50.0%,2,2-0,100.0%,22,12-10,54.5%,1:41,50.5,43.0
17,Andrey Rublev[RUS],2,1-1,50.0%,71.3%,70.5%,16,10.0%,5,3.1%,9.6%,67.5%,81.5%,50.0%,55.3%,85.7%,5.7,1.6,Andrey Rublev[RUS],2,31.2%,35.9%,15.9%,1.6%,23.1%,44.4%,7.1%,6.8,2.1,62.5,62.5,Andrey Rublev[RUS],2,15.4%,2,13,0.46,2.6,6.5,0.40,1.0,55.6%,5,9,0.32,1.8,4.5,0.80,2.0,Andrey Rublev[RUS],2,1.09,349,49.6%,1,1-0,100.0%,20.0%,5,2-3,40.0%,56,26-30,46.4%,2:11,52.2,44.9
18,Francisco Cerundolo[ARG],4,1-3,25.0%,62.2%,62.7%,13,4.2%,10,3.3%,9.3%,64.8%,67.8%,51.9%,57.1%,75.0%,6.4,2.4,Francisco Cerundolo[ARG],4,38.8%,38.2%,4.3%,3.7%,34.8%,45.8%,22.9%,6.7,2.6,28.0,43.5,Francisco Cerundolo[ARG],4,32.4%,11,34,0.71,3.4,8.5,1.10,2.8,60.0%,18,30,0.63,3.0,7.5,1.20,3.0,Francisco Cerundolo[ARG],4,1.03,629,50.2%,1,0-1,0.0%,10.0%,10,4-6,40.0%,96,47-49,49.0%,1:54,45.5,43.4
19,Stefanos Tsitsipas[GRE],1,1-0,100.0%,80.0%,80.5%,7,14.0%,2,4.0%,11.1%,64.0%,90.6%,61.1%,68.8%,100.0%,5.0,1.0,Stefanos Tsitsipas[GRE],1,35.4%,37.9%,9.2%,1.5%,28.9%,50.0%,20.0%,6.5,2.3,47.0,47.0,Stefanos Tsitsipas[GRE],1,50.0%,2,4,0.40,2.0,4.0,1.00,2.0,-,0,0,0.00,0.0,0.0,0.00,0.0,Stefanos Tsitsipas[GRE],1,1.77,115,54.8%,0,0-0,-,0.0%,2,2-0,100.0%,20,12-8,60.0%,1:23,41.5,43.3
20,Tomas Machac[CZE],2,1-1,50.0%,63.3%,62.8%,9,5.7%,4,2.5%,6.8%,62.7%,68.7%,54.2%,58.2%,76.0%,6.3,2.3,Tomas Machac[CZE],2,34.0%,38.0%,13.6%,1.9%,25.5%,51.9%,20.0%,6.5,2.2,23.0,23.0,Tomas Machac[CZE],2,31.3%,5,16,0.64,3.2,8.0,1.00,2.5,50.0%,6,12,0.48,2.4,6.0,1.20,3.0,Tomas Machac[CZE],2,0.92,320,48.4%,1,1-0,100.0%,20.0%,5,3-2,60.0%,50,24-26,48.0%,1:57,46.8,43.9
21,Jakub Mensik[CZE],1,1-0,100.0%,74.3%,69.4%,25,24.8%,4,4.0%,14.3%,72.3%,82.2%,53.6%,62.5%,94.1%,5.9,1.5,Jakub Mensik[CZE],1,30.7%,33.0%,12.3%,2.6%,20.3%,54.3%,0.0%,6.7,2.1,4.0,4.0,Jakub Mensik[CZE],1,0.0%,0,2,0.12,0.7,2.0,0.00,0.0,50.0%,1,2,0.12,0.7,2.0,0.33,1.0,Jakub Mensik[CZE],1,1.19,215,51.2%,2,2-0,100.0%,66.7%,3,2-1,66.7%,34,16-18,47.1%,2:25,48.3,40.5
