Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],19,12-7,63.2%,66.3%,65.9%,138,10.6%,63,4.8%,12.1%,60.2%,75.3%,52.7%,60.0%,81.9%,6.0,2.0,Daniil Medvedev[RUS],19,41.2%,40.7%,3.9%,3.5%,33.3%,54.7%,27.6%,7.0,2.9,47.0,81.5,Daniil Medvedev[RUS],19,36.5%,61,167,0.76,3.6,8.8,1.30,3.2,62.1%,64,103,0.48,2.2,5.4,0.83,2.1,Daniil Medvedev[RUS],19,1.22,2863,52.7%,8,4-4,50.0%,17.0%,47,28-19,59.6%,437,238-199,54.5%,1:50,44.6,44.0
12,Tommy Paul[USA],18,13-5,72.2%,65.5%,64.3%,126,8.6%,43,3.0%,7.6%,61.2%,73.3%,53.1%,57.5%,83.4%,6.2,2.1,Tommy Paul[USA],18,41.8%,42.1%,6.5%,4.2%,33.6%,56.7%,31.9%,6.7,2.8,76.0,135.6,Tommy Paul[USA],18,44.4%,76,171,0.72,3.4,9.5,1.52,4.2,58.9%,56,95,0.40,1.9,5.3,0.78,2.2,Tommy Paul[USA],18,1.21,3061,53.1%,9,2-7,22.2%,18.0%,50,32-18,64.0%,473,272-201,57.5%,2:02,44.0,43.1
13,Ben Shelton[USA],16,10-6,62.5%,67.8%,66.8%,141,9.5%,49,3.3%,9.3%,64.3%,74.3%,56.1%,61.8%,89.5%,6.5,2.1,Ben Shelton[USA],16,33.1%,33.3%,5.2%,2.3%,26.0%,45.3%,16.0%,6.3,2.1,45.0,57.8,Ben Shelton[USA],16,40.4%,36,89,0.40,2.0,5.6,0.82,2.3,71.8%,61,85,0.37,1.9,5.3,0.55,1.5,Ben Shelton[USA],16,1.03,2896,50.8%,16,8-8,50.0%,36.4%,44,27-17,61.4%,453,240-213,53.0%,2:11,47.6,43.4
14,Arthur Fils[FRA],17,11-6,64.7%,65.0%,64.6%,103,7.6%,49,3.6%,9.5%,61.6%,72.7%,52.6%,58.1%,79.8%,6.2,2.2,Arthur Fils[FRA],17,37.7%,38.8%,8.4%,3.4%,29.2%,50.8%,22.1%,6.5,2.5,67.0,59.6,Arthur Fils[FRA],17,41.6%,47,113,0.53,2.4,6.6,0.98,2.8,56.0%,56,100,0.46,2.1,5.9,0.92,2.6,Arthur Fils[FRA],17,1.07,2741,51.1%,8,5-3,62.5%,16.7%,48,27-21,56.3%,431,221-210,51.3%,1:55,40.7,42.8
15,Grigor Dimitrov[BUL],15,9-6,60.0%,67.2%,67.0%,94,10.0%,44,4.7%,12.2%,61.5%,76.1%,52.9%,60.3%,84.0%,6.3,2.1,Grigor Dimitrov[BUL],15,34.5%,35.5%,8.0%,2.8%,26.8%,48.2%,15.9%,6.3,2.2,32.0,68.5,Grigor Dimitrov[BUL],15,28.2%,24,85,0.56,2.7,5.7,0.77,1.6,64.7%,44,68,0.45,2.2,4.5,0.77,1.6,Grigor Dimitrov[BUL],15,1.05,1890,50.7%,7,5-2,71.4%,22.6%,31,18-13,58.1%,301,150-151,49.8%,1:32,44.4,43.7
16,Frances Tiafoe[USA],12,6-6,50.0%,63.8%,62.6%,117,10.0%,47,4.0%,9.4%,57.5%,75.0%,48.7%,53.8%,79.8%,6.8,2.5,Frances Tiafoe[USA],12,35.8%,38.4%,12.6%,3.7%,27.9%,49.6%,20.7%,6.6,2.4,60.0,83.9,Frances Tiafoe[USA],12,37.5%,36,96,0.55,2.8,8.0,1.06,3.0,66.0%,68,103,0.60,3.0,8.6,1.03,2.9,Frances Tiafoe[USA],12,0.99,2321,50.0%,11,7-4,63.6%,32.4%,34,18-16,52.9%,347,174-173,50.1%,2:14,47.3,41.6
17,Andrey Rublev[RUS],16,9-7,56.3%,68.2%,66.5%,122,10.4%,32,2.7%,7.8%,65.2%,74.9%,55.6%,60.3%,85.7%,6.0,1.9,Andrey Rublev[RUS],16,36.1%,38.9%,11.7%,2.9%,28.0%,49.7%,18.5%,6.6,2.4,50.5,61.6,Andrey Rublev[RUS],16,31.0%,36,116,0.59,3.1,7.3,0.95,2.3,62.2%,46,74,0.38,1.9,4.6,0.74,1.8,Andrey Rublev[RUS],16,1.14,2459,51.5%,8,5-3,62.5%,21.1%,38,20-18,52.6%,391,204-187,52.2%,1:46,44.7,41.5
18,Francisco Cerundolo[ARG],12,8-4,66.7%,63.3%,63.6%,46,5.2%,31,3.5%,9.2%,62.1%,68.4%,55.0%,60.6%,79.7%,6.5,2.4,Francisco Cerundolo[ARG],12,42.1%,41.1%,4.7%,5.0%,34.3%,54.9%,31.7%,6.8,2.9,26.0,38.3,Francisco Cerundolo[ARG],12,47.8%,44,92,0.66,3.2,7.7,1.52,3.7,59.4%,41,69,0.50,2.4,5.8,0.97,2.3,Francisco Cerundolo[ARG],12,1.15,1833,52.4%,7,4-3,57.1%,24.1%,29,19-10,65.5%,277,154-123,55.6%,1:51,45.9,43.5
19,Stefanos Tsitsipas[GRE],17,11-6,64.7%,69.3%,69.1%,113,8.9%,46,3.6%,9.6%,62.4%,78.0%,54.9%,60.8%,86.4%,6.0,1.8,Stefanos Tsitsipas[GRE],17,34.4%,34.9%,6.4%,2.6%,27.2%,48.3%,17.9%,6.4,2.2,43.0,64.2,Stefanos Tsitsipas[GRE],17,34.9%,38,109,0.51,2.6,6.4,0.90,2.2,62.3%,48,77,0.36,1.8,4.5,0.69,1.7,Stefanos Tsitsipas[GRE],17,1.12,2629,51.3%,9,4-5,44.4%,21.4%,42,24-18,57.1%,425,222-203,52.2%,1:53,45.7,43.8
20,Tomas Machac[CZE],19,14-5,73.7%,66.8%,67.2%,117,8.7%,64,4.8%,12.7%,62.5%,75.3%,52.7%,60.4%,83.8%,6.0,2.0,Tomas Machac[CZE],19,37.5%,38.9%,11.4%,5.0%,29.3%,51.5%,23.9%,6.2,2.3,54.0,87.1,Tomas Machac[CZE],19,45.3%,53,117,0.53,2.4,6.2,1.10,2.8,57.1%,48,84,0.38,1.8,4.4,0.75,1.9,Tomas Machac[CZE],19,1.13,2728,51.9%,10,7-3,70.0%,20.8%,48,33-15,68.8%,444,239-205,53.8%,1:42,40.3,42.5
