Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],1,1-0,100.0%,72.4%,72.9%,14,13.3%,6,5.7%,13.0%,56.2%,83.1%,58.7%,67.5%,94.4%,5.8,1.6,Jannik Sinner[ITA],1,40.0%,39.6%,4.5%,3.6%,33.8%,50.0%,23.5%,6.5,2.6,13.0,13.0,Jannik Sinner[ITA],1,50.0%,4,8,0.47,2.0,8.0,1.00,4.0,80.0%,4,5,0.28,1.3,5.0,0.25,1.0,Jannik Sinner[ITA],1,1.45,215,55.8%,0,0-0,-,0.0%,4,3-1,75.0%,35,21-14,60.0%,3:13,48.3,53.9
2,Alexander Zverev[GER],7,4-3,57.1%,67.6%,65.7%,47,10.0%,11,2.3%,8.1%,71.0%,75.1%,49.3%,53.6%,81.3%,5.9,1.9,Alexander Zverev[GER],7,39.9%,40.5%,5.8%,2.9%,31.6%,56.1%,23.5%,6.8,2.7,68.0,55.4,Alexander Zverev[GER],7,39.6%,19,48,0.59,2.8,6.9,1.12,2.7,53.1%,17,32,0.40,1.9,4.6,0.88,2.1,Alexander Zverev[GER],7,1.23,1023,52.6%,2,2-0,100.0%,11.8%,17,10-7,58.8%,161,84-77,52.2%,1:48,44.5,44.4
3,Carlos Alcaraz[ESP],6,6-0,100.0%,69.9%,70.0%,20,6.3%,9,2.8%,9.1%,68.7%,74.7%,59.6%,65.6%,90.7%,5.9,1.8,Carlos Alcaraz[ESP],6,50.1%,49.3%,3.7%,5.3%,43.4%,59.5%,51.9%,7.0,3.5,82.0,99.8,Carlos Alcaraz[ESP],6,48.3%,28,58,1.07,4.5,9.7,2.15,4.7,80.0%,20,25,0.46,1.9,4.2,0.38,0.8,Carlos Alcaraz[ESP],6,1.67,693,59.2%,0,0-0,-,0.0%,13,12-1,92.3%,108,77-31,71.3%,1:24,38.5,43.4
4,Taylor Fritz[USA],5,2-3,40.0%,67.7%,63.6%,43,13.5%,4,1.3%,4.2%,69.9%,71.7%,58.3%,60.9%,87.7%,5.6,1.8,Taylor Fritz[USA],5,34.2%,35.4%,9.5%,3.4%,26.2%,49.2%,14.0%,6.3,2.1,54.0,48.2,Taylor Fritz[USA],5,27.6%,8,29,0.51,2.6,5.8,0.73,1.6,58.8%,10,17,0.30,1.5,3.4,0.64,1.4,Taylor Fritz[USA],5,1.06,676,50.0%,2,1-1,50.0%,18.2%,11,5-6,45.5%,114,58-56,50.9%,1:38,44.4,43.3
5,Jack Draper[GBR],5,3-2,60.0%,64.3%,64.6%,27,9.1%,16,5.4%,11.8%,54.2%,72.7%,54.4%,61.7%,78.0%,5.9,2.1,Jack Draper[GBR],5,42.0%,43.3%,5.2%,1.7%,36.3%,53.0%,32.1%,6.5,2.7,12.0,28.6,Jack Draper[GBR],5,44.7%,17,38,0.72,3.5,7.6,1.55,3.4,57.7%,15,26,0.52,2.4,5.2,1.00,2.2,Jack Draper[GBR],5,1.18,640,52.3%,1,1-0,100.0%,9.1%,11,7-4,63.6%,103,56-47,54.4%,1:33,42.3,43.6
6,Novak Djokovic[SRB],3,3-0,100.0%,72.6%,72.4%,15,7.9%,5,2.6%,7.1%,63.2%,78.3%,62.9%,67.7%,93.9%,5.8,1.6,Novak Djokovic[SRB],3,43.3%,43.7%,7.6%,5.2%,33.8%,59.7%,34.4%,6.6,2.8,29.0,33.3,Novak Djokovic[SRB],3,42.3%,11,26,0.81,3.7,8.7,1.57,3.7,60.0%,3,5,0.15,0.7,1.7,0.29,0.7,Novak Djokovic[SRB],3,1.58,400,57.3%,1,1-0,100.0%,14.3%,7,7-0,100.0%,65,42-23,64.6%,1:45,44.9,47.1
7,Casper Ruud[NOR],5,3-2,60.0%,62.3%,62.4%,19,4.7%,12,3.0%,9.3%,68.0%,65.3%,55.8%,61.5%,82.5%,7.1,2.7,Casper Ruud[NOR],5,38.7%,39.8%,6.9%,2.7%,31.9%,51.6%,23.6%,6.6,2.6,49.5,150.8,Casper Ruud[NOR],5,33.3%,13,39,0.71,3.5,7.8,1.18,2.6,75.6%,31,41,0.72,3.7,8.2,0.91,2.0,Casper Ruud[NOR],5,1.03,767,51.1%,0,0-0,-,0.0%,11,7-4,63.6%,112,60-52,53.6%,1:51,50.6,43.6
8,Alex De Minaur[AUS],8,5-3,62.5%,64.5%,64.7%,26,5.3%,16,3.2%,7.0%,53.5%,72.0%,55.9%,60.1%,80.0%,6.2,2.2,Alex De Minaur[AUS],8,42.9%,42.7%,5.7%,4.6%,34.2%,54.5%,32.1%,7.0,3.0,36.0,41.0,Alex De Minaur[AUS],8,37.9%,25,66,0.85,3.9,8.3,1.47,3.1,57.9%,22,38,0.48,2.2,4.8,0.94,2.0,Alex De Minaur[AUS],8,1.21,1036,53.2%,2,1-1,50.0%,11.8%,17,11-6,64.7%,158,89-69,56.3%,1:38,46.1,45.4
9,Lorenzo Musetti[ITA],5,4-1,80.0%,68.5%,69.7%,12,4.6%,10,3.8%,13.3%,71.2%,71.4%,61.3%,70.8%,88.6%,5.9,1.9,Lorenzo Musetti[ITA],5,41.0%,40.9%,3.8%,2.8%,32.5%,58.5%,29.5%,6.5,2.7,34.0,39.8,Lorenzo Musetti[ITA],5,37.1%,13,35,0.80,3.5,7.0,1.30,2.6,72.2%,13,18,0.41,1.8,3.6,0.50,1.0,Lorenzo Musetti[ITA],5,1.30,548,54.0%,0,0-0,-,0.0%,10,8-2,80.0%,88,52-36,59.1%,1:27,43.5,47.6
10,Holger Rune[DEN],6,2-4,33.3%,59.1%,59.2%,11,2.9%,8,2.1%,5.9%,64.1%,62.6%,52.9%,56.3%,74.1%,6.5,2.7,Holger Rune[DEN],6,33.6%,33.9%,6.3%,2.8%,28.9%,42.0%,18.0%,6.0,2.0,38.5,29.7,Holger Rune[DEN],6,39.3%,11,28,0.46,2.0,4.7,0.79,1.8,58.3%,21,36,0.62,2.6,6.0,1.07,2.5,Holger Rune[DEN],6,0.82,742,46.6%,1,0-1,0.0%,7.1%,14,5-9,35.7%,119,54-65,45.4%,1:37,41.7,47.2
