Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],5,2-3,40.0%,65.2%,65.1%,29,8.1%,15,4.2%,12.1%,65.2%,68.1%,59.7%,67.9%,81.5%,6.6,2.3,Daniil Medvedev[RUS],5,36.1%,35.2%,4.7%,3.9%,29.8%,47.7%,18.2%,6.6,2.4,23.0,30.4,Daniil Medvedev[RUS],5,25.6%,10,39,0.71,3.5,7.8,0.91,2.0,67.7%,21,31,0.57,2.8,6.2,0.91,2.0,Daniil Medvedev[RUS],5,1.04,719,50.5%,2,1-1,50.0%,18.2%,11,5-6,45.5%,109,54-55,49.5%,1:42,46.4,42.6
12,Tommy Paul[USA],4,3-1,75.0%,69.2%,69.2%,23,7.7%,10,3.3%,8.6%,61.2%,76.0%,58.6%,64.2%,91.7%,6.2,1.9,Tommy Paul[USA],4,37.8%,38.3%,6.5%,3.3%,32.7%,47.8%,22.4%,6.9,2.6,112.0,106.5,Tommy Paul[USA],4,34.4%,11,32,0.65,3.2,8.0,1.10,2.8,71.4%,10,14,0.29,1.4,3.5,0.40,1.0,Tommy Paul[USA],4,1.23,635,52.6%,4,2-2,50.0%,40.0%,10,7-3,70.0%,97,55-42,56.7%,1:56,46.5,43.9
13,Ben Shelton[USA],3,2-1,66.7%,66.8%,67.2%,19,7.0%,11,4.1%,11.2%,63.8%,73.4%,55.1%,62.1%,86.0%,6.3,2.1,Ben Shelton[USA],3,35.5%,35.0%,2.5%,2.2%,31.6%,43.8%,16.7%,6.6,2.3,47.0,38.7,Ben Shelton[USA],3,38.9%,7,18,0.43,2.3,6.0,0.88,2.3,57.1%,8,14,0.33,1.8,4.7,0.75,2.0,Ben Shelton[USA],3,1.07,547,51.0%,1,1-0,100.0%,12.5%,8,5-3,62.5%,85,44-41,51.8%,2:14,50.3,44.1
14,Arthur Fils[FRA],5,1-4,20.0%,58.9%,62.5%,6,1.7%,24,6.8%,16.2%,58.1%,71.7%,41.2%,49.2%,68.5%,6.5,2.7,Arthur Fils[FRA],5,36.1%,36.0%,7.0%,4.1%,29.6%,46.9%,22.6%,6.4,2.3,16.0,29.2,Arthur Fils[FRA],5,32.4%,12,37,0.70,3.1,7.4,1.00,2.4,57.5%,23,40,0.74,3.3,8.0,1.42,3.4,Arthur Fils[FRA],5,0.88,694,47.7%,2,0-2,0.0%,16.7%,12,4-8,33.3%,107,49-58,45.8%,1:38,40.9,42.4
15,Grigor Dimitrov[BUL],3,2-1,66.7%,62.0%,62.0%,8,4.7%,5,2.9%,7.7%,62.0%,73.6%,43.1%,46.7%,71.4%,6.1,2.3,Grigor Dimitrov[BUL],3,35.5%,36.4%,4.7%,1.2%,30.7%,42.3%,21.4%,6.1,2.2,24.0,20.0,Grigor Dimitrov[BUL],3,35.3%,6,17,0.61,2.4,5.7,0.86,2.0,38.5%,5,13,0.46,1.9,4.3,1.14,2.7,Grigor Dimitrov[BUL],3,0.93,343,48.7%,2,1-1,50.0%,28.6%,7,4-3,57.1%,56,26-30,46.4%,1:25,36.4,44.6
16,Frances Tiafoe[USA],1,1-0,100.0%,69.0%,69.2%,4,6.9%,2,3.4%,8.0%,56.9%,78.8%,56.0%,60.9%,90.0%,5.8,1.8,Frances Tiafoe[USA],1,47.4%,46.3%,5.3%,6.6%,36.4%,62.5%,44.4%,8.4,4.0,34.0,34.0,Frances Tiafoe[USA],1,25.0%,4,16,1.78,8.0,16.0,2.00,4.0,66.7%,2,3,0.30,1.5,3.0,0.50,1.0,Frances Tiafoe[USA],1,1.53,134,56.7%,0,0-0,-,0.0%,2,2-0,100.0%,19,13-6,68.4%,1:32,46.0,41.2
17,Andrey Rublev[RUS],3,2-1,66.7%,63.6%,62.1%,20,8.9%,7,3.1%,9.1%,65.8%,69.6%,51.9%,57.1%,84.4%,7.0,2.6,Andrey Rublev[RUS],3,36.7%,39.7%,10.9%,2.2%,28.1%,48.9%,17.6%,6.7,2.5,21.0,69.0,Andrey Rublev[RUS],3,33.3%,6,18,0.53,2.6,6.0,0.86,2.0,64.3%,9,14,0.44,2.0,4.7,0.71,1.7,Andrey Rublev[RUS],3,1.01,454,50.0%,2,2-0,100.0%,28.6%,7,4-3,57.1%,66,33-33,50.0%,1:50,47.0,43.5
18,Francisco Cerundolo[ARG],7,4-3,57.1%,64.1%,65.2%,24,4.2%,22,3.9%,10.7%,63.8%,71.2%,51.7%,57.9%,81.8%,6.4,2.3,Francisco Cerundolo[ARG],7,37.4%,37.9%,6.7%,3.2%,28.8%,53.4%,20.0%,6.6,2.5,23.0,28.3,Francisco Cerundolo[ARG],7,31.6%,18,57,0.63,3.2,8.1,1.00,2.6,67.3%,33,49,0.56,2.7,7.0,0.89,2.3,Francisco Cerundolo[ARG],7,1.04,1160,50.4%,4,2-2,50.0%,22.2%,18,9-9,50.0%,178,90-88,50.6%,2:03,47.7,44.4
19,Stefanos Tsitsipas[GRE],4,1-3,25.0%,62.4%,63.6%,12,5.1%,11,4.6%,11.0%,57.8%,73.0%,48.0%,53.9%,75.7%,6.4,2.4,Stefanos Tsitsipas[GRE],4,30.6%,31.3%,4.9%,1.2%,28.7%,35.2%,10.5%,6.4,2.0,23.0,38.0,Stefanos Tsitsipas[GRE],4,16.0%,4,25,0.66,2.8,6.3,0.44,1.0,62.5%,15,24,0.65,2.7,6.0,1.00,2.3,Stefanos Tsitsipas[GRE],4,0.82,482,46.3%,1,1-0,100.0%,11.1%,9,3-6,33.3%,75,32-43,42.7%,1:30,40.0,44.8
20,Tomas Machac[CZE],3,2-1,66.7%,63.2%,61.6%,13,8.4%,4,2.6%,7.1%,63.9%,66.7%,57.1%,61.5%,74.1%,5.7,2.1,Tomas Machac[CZE],3,45.3%,44.0%,5.8%,7.0%,40.0%,52.8%,40.7%,6.4,2.9,54.0,56.3,Tomas Machac[CZE],3,55.0%,11,20,0.74,3.3,6.7,1.83,3.7,30.0%,3,10,0.37,1.7,3.3,1.17,2.3,Tomas Machac[CZE],3,1.23,327,53.8%,1,0-1,0.0%,16.7%,6,4-2,66.7%,54,31-23,57.4%,1:15,37.7,41.5
