Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],1,1-0,100.0%,69.0%,67.9%,14,14.0%,5,5.0%,13.2%,62.0%,77.4%,55.3%,63.6%,94.4%,5.6,1.7,Jannik Sinner[ITA],1,43.5%,43.5%,9.4%,7.2%,28.9%,65.5%,27.8%,7.7,3.3,173.0,173.0,Jannik Sinner[ITA],1,38.5%,5,13,0.72,3.3,13.0,1.25,5.0,0.0%,0,1,0.06,0.3,1.0,0.25,1.0,Jannik Sinner[ITA],1,1.40,238,54.2%,0,0-0,-,0.0%,4,3-1,75.0%,36,22-14,61.1%,2:46,41.5,41.8
2,Alexander Zverev[GER],4,3-1,75.0%,70.7%,68.5%,32,11.9%,6,2.2%,7.5%,70.4%,74.7%,61.3%,66.2%,91.3%,5.9,1.7,Alexander Zverev[GER],4,44.8%,43.9%,4.7%,5.4%,37.8%,58.3%,39.1%,6.9,3.1,49.5,56.3,Alexander Zverev[GER],4,43.9%,18,41,0.89,4.1,10.3,1.80,4.5,76.5%,13,17,0.37,1.7,4.3,0.40,1.0,Alexander Zverev[GER],4,1.53,587,56.7%,2,0-2,0.0%,20.0%,10,8-2,80.0%,92,60-32,65.2%,1:51,44.5,45.5
3,Carlos Alcaraz[ESP],3,2-1,66.7%,70.7%,69.0%,29,13.9%,8,3.8%,9.5%,59.6%,76.6%,61.9%,68.4%,89.2%,5.6,1.6,Carlos Alcaraz[ESP],3,40.2%,39.9%,3.0%,2.5%,32.8%,51.9%,31.4%,5.7,2.3,59.0,59.7,Carlos Alcaraz[ESP],3,55.0%,11,20,0.57,2.5,6.7,1.38,3.7,50.0%,4,8,0.22,1.0,2.7,0.50,1.3,Carlos Alcaraz[ESP],3,1.37,407,55.8%,0,0-0,-,0.0%,8,6-2,75.0%,72,44-28,61.1%,1:35,35.8,42.2
4,Taylor Fritz[USA],4,4-0,100.0%,72.1%,69.2%,27,11.3%,2,0.8%,2.2%,62.1%,84.6%,51.6%,52.8%,95.2%,5.7,1.6,Taylor Fritz[USA],4,45.1%,45.9%,6.2%,3.9%,34.6%,61.4%,39.5%,6.8,3.1,118.5,123.0,Taylor Fritz[USA],4,51.7%,15,29,0.76,3.2,7.3,1.67,3.8,80.0%,8,10,0.24,1.1,2.5,0.22,0.5,Taylor Fritz[USA],4,1.62,497,58.1%,1,1-0,100.0%,11.1%,9,9-0,100.0%,80,55-25,68.8%,1:28,39.2,42.6
5,Jack Draper[GBR],4,3-1,75.0%,68.5%,68.1%,35,9.7%,14,3.9%,9.7%,59.9%,74.2%,60.0%,66.4%,91.1%,6.5,2.0,Jack Draper[GBR],4,35.4%,38.1%,10.4%,2.1%,25.1%,56.9%,24.1%,6.2,2.2,62.5,59.8,Jack Draper[GBR],4,52.0%,13,25,0.46,2.3,6.3,1.18,3.3,79.2%,19,24,0.43,2.2,6.0,0.45,1.3,Jack Draper[GBR],4,1.12,698,52.6%,3,0-3,0.0%,27.3%,11,7-4,63.6%,110,64-46,58.2%,2:15,49.0,46.3
6,Novak Djokovic[SRB],4,2-2,50.0%,65.6%,64.3%,27,9.4%,9,3.1%,9.7%,67.7%,73.8%,48.4%,53.6%,79.2%,6.0,2.1,Novak Djokovic[SRB],4,41.4%,42.8%,7.7%,3.4%,35.1%,52.1%,26.5%,6.7,2.8,85.5,85.0,Novak Djokovic[SRB],4,41.9%,13,31,0.63,2.8,7.8,1.18,3.3,50.0%,10,20,0.42,1.8,5.0,0.91,2.5,Novak Djokovic[SRB],4,1.20,614,52.8%,2,1-1,50.0%,18.2%,11,6-5,54.5%,97,51-46,52.6%,2:00,43.7,47.0
7,Casper Ruud[NOR],4,2-2,50.0%,62.7%,63.3%,21,5.6%,16,4.3%,12.2%,65.1%,72.1%,45.0%,51.3%,80.4%,6.7,2.5,Casper Ruud[NOR],4,34.1%,36.7%,9.1%,1.1%,27.3%,44.9%,16.4%,6.4,2.2,48.0,55.0,Casper Ruud[NOR],4,33.3%,9,27,0.49,2.3,6.8,0.75,2.3,67.6%,23,34,0.61,2.8,8.5,0.92,2.8,Casper Ruud[NOR],4,0.91,727,48.8%,1,0-1,0.0%,8.3%,12,6-6,50.0%,111,54-57,48.6%,2:10,43.3,42.9
8,Alex De Minaur[AUS],4,4-0,100.0%,81.0%,82.8%,14,7.2%,7,3.6%,9.2%,61.0%,87.4%,71.1%,78.3%,95.1%,4.8,0.9,Alex De Minaur[AUS],4,45.0%,44.9%,4.5%,3.7%,34.9%,58.1%,41.0%,6.9,3.1,62.5,76.0,Alex De Minaur[AUS],4,44.4%,16,36,0.92,4.0,9.0,1.78,4.0,71.4%,5,7,0.17,0.8,1.8,0.22,0.5,Alex De Minaur[AUS],4,2.37,464,60.1%,0,0-0,-,0.0%,9,9-0,100.0%,80,55-25,68.8%,1:28,39.2,45.6
9,Lorenzo Musetti[ITA],5,5-0,100.0%,65.6%,66.4%,14,2.9%,13,2.7%,8.5%,68.5%,70.6%,54.9%,60.0%,86.5%,6.6,2.3,Lorenzo Musetti[ITA],5,40.2%,38.6%,6.8%,7.0%,30.0%,55.0%,23.0%,6.6,2.6,57.0,60.0,Lorenzo Musetti[ITA],5,35.4%,17,48,0.65,3.4,9.6,1.21,3.4,52.4%,11,21,0.28,1.5,4.2,0.71,2.0,Lorenzo Musetti[ITA],5,1.17,973,52.9%,4,4-0,100.0%,28.6%,14,11-3,78.6%,148,81-67,54.7%,2:27,52.6,45.4
10,Holger Rune[DEN],5,2-3,40.0%,65.4%,67.2%,11,3.4%,14,4.3%,11.6%,62.7%,72.4%,53.7%,60.7%,77.8%,6.0,2.1,Holger Rune[DEN],5,35.9%,39.2%,12.2%,2.4%,33.1%,42.7%,16.4%,6.7,2.4,43.0,61.2,Holger Rune[DEN],5,32.1%,9,28,0.51,2.3,5.6,0.75,1.8,50.0%,12,24,0.44,2.0,4.8,1.00,2.4,Holger Rune[DEN],5,1.04,694,49.7%,3,2-1,66.7%,25.0%,12,6-6,50.0%,109,51-58,46.8%,1:44,43.4,45.0
