Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],2,1-1,50.0%,65.9%,64.2%,44,16.1%,17,6.2%,14.2%,56.0%,78.4%,50.0%,58.3%,76.6%,5.8,2.0,Daniil Medvedev[RUS],2,43.8%,43.6%,3.1%,2.8%,37.8%,55.3%,34.0%,7.6,3.3,269.5,269.5,Daniil Medvedev[RUS],2,43.2%,16,37,0.79,3.7,18.5,1.60,8.0,47.6%,10,21,0.45,2.1,10.5,1.10,5.5,Daniil Medvedev[RUS],2,1.29,629,53.4%,3,1-2,33.3%,30.0%,10,5-5,50.0%,94,52-42,55.3%,3:58,47.6,45.4
12,Tommy Paul[USA],5,4-1,80.0%,66.2%,64.1%,47,9.0%,9,1.7%,4.7%,63.5%,76.3%,48.7%,51.1%,85.7%,6.2,2.1,Tommy Paul[USA],5,45.9%,45.8%,3.8%,3.5%,37.6%,60.6%,41.7%,7.2,3.3,66.0,54.2,Tommy Paul[USA],5,44.9%,35,78,0.93,4.1,15.6,1.84,7.0,57.1%,16,28,0.33,1.5,5.6,0.63,2.4,Tommy Paul[USA],5,1.36,1125,55.4%,5,1-4,20.0%,26.3%,19,13-6,68.4%,168,107-61,63.7%,2:48,44.2,44.7
13,Ben Shelton[USA],6,5-1,83.3%,69.1%,68.6%,63,8.7%,23,3.2%,9.2%,65.2%,75.6%,57.0%,62.7%,89.4%,6.4,2.0,Ben Shelton[USA],6,32.2%,32.4%,5.3%,2.3%,24.7%,45.0%,15.2%,6.3,2.0,38.0,54.8,Ben Shelton[USA],6,41.5%,17,41,0.37,1.9,6.8,0.77,2.8,71.4%,30,42,0.37,1.9,7.0,0.55,2.0,Ben Shelton[USA],6,1.04,1424,50.9%,8,5-3,62.5%,36.4%,22,15-7,68.2%,225,118-107,52.4%,2:55,47.8,44.3
14,Arthur Fils[FRA],3,2-1,66.7%,68.5%,67.3%,33,9.8%,10,3.0%,8.2%,63.8%,77.2%,53.3%,58.0%,86.2%,5.8,1.8,Arthur Fils[FRA],3,36.5%,36.4%,10.2%,5.9%,25.7%,53.1%,15.5%,6.4,2.3,74.0,60.3,Arthur Fils[FRA],3,37.5%,9,24,0.41,2.0,8.0,0.75,3.0,60.0%,12,20,0.34,1.7,6.7,0.67,2.7,Arthur Fils[FRA],3,1.16,710,51.7%,2,2-0,100.0%,16.7%,12,7-5,58.3%,116,59-57,50.9%,2:45,41.2,41.7
15,Grigor Dimitrov[BUL],1,0-1,0.0%,59.3%,59.1%,6,11.1%,4,7.4%,25.0%,70.4%,65.8%,43.8%,58.3%,71.4%,7.7,3.1,Grigor Dimitrov[BUL],1,28.2%,32.4%,12.8%,0.0%,27.3%,29.4%,0.0%,4.9,1.4,104.0,104.0,Grigor Dimitrov[BUL],1,-,0,0,0.00,0.0,0.0,0.00,0.0,50.0%,2,4,0.57,2.0,4.0,1.00,2.0,Grigor Dimitrov[BUL],1,0.69,93,46.2%,0,0-0,-,0.0%,2,0-2,0.0%,15,5-10,33.3%,1:05,32.5,41.9
16,Frances Tiafoe[USA],2,1-1,50.0%,66.5%,66.8%,33,10.3%,18,5.6%,13.2%,57.4%,78.7%,50.0%,57.6%,84.0%,6.4,2.1,Frances Tiafoe[USA],2,33.3%,35.2%,14.1%,4.8%,21.5%,50.0%,16.0%,6.7,2.2,60.0,60.0,Frances Tiafoe[USA],2,26.7%,8,30,0.60,3.0,15.0,0.80,4.0,70.4%,19,27,0.54,2.7,13.5,0.80,4.0,Frances Tiafoe[USA],2,0.99,652,49.5%,3,2-1,66.7%,30.0%,10,5-5,50.0%,100,50-50,50.0%,3:43,44.5,41.0
17,Andrey Rublev[RUS],1,0-1,0.0%,64.8%,63.2%,13,12.4%,5,4.8%,15.6%,69.5%,68.5%,56.3%,66.7%,87.5%,6.6,2.3,Andrey Rublev[RUS],1,29.2%,32.4%,11.7%,0.8%,21.4%,47.2%,5.9%,7.1,2.1,112.0,112.0,Andrey Rublev[RUS],1,16.7%,1,6,0.35,2.0,6.0,0.33,1.0,80.0%,8,10,0.63,3.3,10.0,0.67,2.0,Andrey Rublev[RUS],1,0.83,225,45.8%,2,0-2,0.0%,66.7%,3,0-3,0.0%,33,15-18,45.5%,2:27,49.0,39.2
18,Francisco Cerundolo[ARG],3,2-1,66.7%,62.1%,62.3%,13,5.0%,9,3.4%,7.8%,55.9%,71.2%,50.4%,54.7%,75.6%,6.4,2.4,Francisco Cerundolo[ARG],3,44.1%,41.0%,6.3%,9.6%,33.1%,56.3%,35.9%,6.9,3.1,37.0,39.3,Francisco Cerundolo[ARG],3,50.0%,14,28,0.72,3.1,9.3,1.56,4.7,52.4%,11,21,0.51,2.3,7.0,1.11,3.3,Francisco Cerundolo[ARG],3,1.16,531,52.9%,2,1-1,50.0%,22.2%,9,6-3,66.7%,80,45-35,56.3%,2:07,42.4,43.2
19,Stefanos Tsitsipas[GRE],1,0-1,0.0%,62.9%,59.4%,13,11.2%,2,1.7%,4.5%,62.1%,69.4%,52.3%,54.8%,73.7%,6.1,2.3,Stefanos Tsitsipas[GRE],1,36.3%,34.3%,6.5%,6.5%,30.6%,48.7%,20.0%,6.2,2.3,42.0,42.0,Stefanos Tsitsipas[GRE],1,57.1%,4,7,0.35,1.8,7.0,1.00,4.0,58.3%,7,12,0.63,3.0,12.0,1.25,5.0,Stefanos Tsitsipas[GRE],1,0.98,240,49.2%,0,0-0,-,0.0%,4,1-3,25.0%,39,18-21,46.2%,2:43,40.8,40.8
20,Tomas Machac[CZE],3,2-1,66.7%,67.6%,68.3%,27,8.0%,16,4.8%,11.8%,59.5%,77.0%,53.7%,60.8%,85.5%,6.1,2.0,Tomas Machac[CZE],3,33.8%,33.8%,14.5%,7.4%,22.3%,56.6%,16.4%,6.1,2.1,91.0,89.3,Tomas Machac[CZE],3,39.1%,9,23,0.42,2.1,7.7,0.82,3.0,73.3%,22,30,0.55,2.7,10.0,0.73,2.7,Tomas Machac[CZE],3,1.04,673,50.7%,3,2-1,66.7%,27.3%,11,6-5,54.5%,110,56-54,50.9%,2:37,42.9,42.1
21,Jakub Mensik[CZE],3,2-1,66.7%,66.7%,62.4%,69,18.4%,16,4.3%,9.9%,57.1%,79.0%,50.3%,55.9%,86.7%,6.3,2.1,Jakub Mensik[CZE],3,39.7%,39.0%,5.3%,4.6%,31.1%,53.3%,26.7%,6.6,2.6,66.0,92.7,Jakub Mensik[CZE],3,32.7%,16,49,0.82,3.8,16.3,1.23,5.3,72.4%,21,29,0.48,2.2,9.7,0.62,2.7,Jakub Mensik[CZE],3,1.19,768,52.9%,2,0-2,0.0%,15.4%,13,8-5,61.5%,120,68-52,56.7%,2:56,40.5,41.2
