Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],5,5-0,100.0%,70.0%,69.7%,51,14.9%,21,6.1%,15.8%,61.2%,78.6%,56.4%,67.0%,91.1%,6.1,1.8,Daniil Medvedev[RUS],5,41.5%,41.2%,5.3%,4.2%,31.4%,59.4%,31.5%,6.6,2.7,13.0,37.8,Daniil Medvedev[RUS],5,43.6%,17,39,0.72,3.3,7.8,1.42,3.4,68.8%,11,16,0.29,1.3,3.2,0.42,1.0,Daniil Medvedev[RUS],5,1.38,700,55.4%,1,1-0,100.0%,8.3%,12,11-1,91.7%,110,68-42,61.8%,1:37,40.4,41.6
12,Tommy Paul[USA],3,3-0,100.0%,69.3%,67.6%,14,7.3%,2,1.0%,3.1%,66.1%,72.4%,63.1%,65.1%,89.7%,6.6,2.0,Tommy Paul[USA],3,44.3%,45.5%,6.9%,3.4%,35.4%,60.7%,38.5%,6.7,3.0,30.0,85.7,Tommy Paul[USA],3,52.6%,10,19,0.73,3.2,6.3,1.67,3.3,70.0%,7,10,0.34,1.7,3.3,0.50,1.0,Tommy Paul[USA],3,1.44,366,57.4%,1,1-0,100.0%,16.7%,6,6-0,100.0%,55,36-19,65.5%,1:24,42.2,41.5
13,Ben Shelton[USA],10,7-3,70.0%,72.0%,71.2%,90,10.7%,27,3.2%,10.5%,69.6%,77.6%,59.0%,65.9%,92.1%,6.1,1.7,Ben Shelton[USA],10,32.6%,31.6%,8.2%,5.2%,21.7%,49.0%,15.1%,6.2,2.0,85.0,99.1,Ben Shelton[USA],10,37.5%,21,56,0.40,2.2,5.6,0.81,2.1,71.8%,28,39,0.28,1.5,3.9,0.42,1.1,Ben Shelton[USA],10,1.16,1707,52.0%,8,4-4,50.0%,30.8%,26,16-10,61.5%,278,149-129,53.6%,1:47,41.2,37.6
14,Arthur Fils[FRA],9,5-4,55.6%,63.7%,64.4%,42,7.2%,30,5.2%,13.2%,60.9%,72.0%,50.7%,58.4%,78.0%,6.4,2.3,Arthur Fils[FRA],9,36.0%,37.0%,5.2%,1.4%,31.1%,44.9%,18.7%,6.1,2.2,59.0,54.9,Arthur Fils[FRA],9,44.7%,17,38,0.42,1.9,4.2,0.85,1.9,56.5%,26,46,0.51,2.3,5.1,1.00,2.2,Arthur Fils[FRA],9,0.99,1134,50.2%,3,3-0,100.0%,15.0%,20,11-9,55.0%,182,88-94,48.4%,1:32,41.2,43.6
15,Grigor Dimitrov[BUL],3,3-0,100.0%,76.2%,74.3%,30,14.9%,5,2.5%,6.1%,59.4%,88.3%,58.5%,62.3%,92.3%,5.2,1.2,Grigor Dimitrov[BUL],3,43.9%,45.4%,6.5%,2.8%,32.8%,61.4%,36.1%,5.9,2.6,56.0,66.3,Grigor Dimitrov[BUL],3,76.5%,13,17,0.47,2.1,5.7,1.63,4.3,70.0%,7,10,0.26,1.3,3.3,0.38,1.0,Grigor Dimitrov[BUL],3,1.85,416,59.6%,0,0-0,-,0.0%,8,8-0,100.0%,75,49-26,65.3%,0:57,21.4,24.7
16,Frances Tiafoe[USA],10,6-4,60.0%,68.1%,66.8%,91,10.1%,27,3.0%,7.9%,62.1%,71.4%,62.8%,68.2%,86.8%,6.3,2.0,Frances Tiafoe[USA],10,37.0%,39.2%,14.2%,5.5%,27.5%,52.0%,17.9%,7.0,2.6,61.0,64.7,Frances Tiafoe[USA],10,27.4%,26,95,0.66,3.3,9.5,0.90,2.6,61.2%,30,49,0.34,1.7,4.9,0.66,1.9,Frances Tiafoe[USA],10,1.16,1911,51.6%,8,4-4,50.0%,27.6%,29,16-13,55.2%,289,151-138,52.2%,1:55,39.5,35.9
17,Andrey Rublev[RUS],4,2-2,50.0%,72.9%,71.9%,48,14.3%,14,4.2%,11.2%,62.8%,81.5%,58.4%,65.8%,93.2%,5.7,1.5,Andrey Rublev[RUS],4,35.9%,37.5%,11.0%,3.9%,25.2%,54.7%,18.3%,6.8,2.5,80.5,96.8,Andrey Rublev[RUS],4,30.6%,11,36,0.60,3.0,9.0,0.92,2.8,75.0%,12,16,0.27,1.3,4.0,0.33,1.0,Andrey Rublev[RUS],4,1.32,746,52.5%,3,0-3,0.0%,25.0%,12,7-5,58.3%,119,66-53,55.5%,2:02,40.5,39.1
18,Francisco Cerundolo[ARG],7,4-3,57.1%,61.5%,62.0%,19,3.1%,16,2.6%,7.2%,64.1%,65.8%,53.8%,58.0%,78.9%,6.8,2.6,Francisco Cerundolo[ARG],7,37.4%,38.0%,5.1%,2.2%,27.9%,52.6%,20.0%,6.6,2.5,17.0,38.0,Francisco Cerundolo[ARG],7,40.9%,18,44,0.49,2.4,6.3,1.00,2.6,70.8%,46,65,0.72,3.6,9.3,1.06,2.7,Francisco Cerundolo[ARG],7,0.97,1209,49.7%,5,4-1,80.0%,27.8%,18,10-8,55.6%,180,89-91,49.4%,2:10,50.6,45.2
19,Stefanos Tsitsipas[GRE],6,5-1,83.3%,67.9%,67.9%,34,7.1%,16,3.4%,8.8%,62.1%,73.6%,58.6%,64.2%,91.8%,6.5,2.1,Stefanos Tsitsipas[GRE],6,36.9%,37.0%,6.4%,3.7%,28.1%,53.1%,23.2%,5.9,2.2,91.5,118.2,Stefanos Tsitsipas[GRE],6,55.2%,16,29,0.42,1.9,4.8,1.07,2.7,81.3%,26,32,0.44,2.1,5.3,0.40,1.0,Stefanos Tsitsipas[GRE],6,1.15,883,53.7%,2,1-1,50.0%,13.3%,15,11-4,73.3%,142,83-59,58.5%,1:08,27.3,27.8
20,Tomas Machac[CZE],3,3-0,100.0%,63.8%,63.4%,17,6.5%,8,3.1%,8.1%,61.9%,68.3%,56.6%,61.5%,82.5%,6.5,2.4,Tomas Machac[CZE],3,41.1%,42.7%,7.1%,2.5%,29.4%,56.2%,34.2%,6.3,2.6,27.0,35.3,Tomas Machac[CZE],3,61.9%,13,21,0.55,2.6,7.0,1.63,4.3,56.3%,9,16,0.40,2.0,5.3,0.88,2.3,Tomas Machac[CZE],3,1.14,501,52.9%,2,1-1,50.0%,25.0%,8,6-2,75.0%,78,46-32,59.0%,1:60,44.9,43.0
