Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],8,6-2,75.0%,68.0%,67.8%,91,11.0%,41,5.0%,14.7%,66.3%,75.0%,54.1%,63.4%,87.0%,6.3,2.0,Daniil Medvedev[RUS],8,36.0%,36.7%,8.0%,3.5%,26.5%,52.3%,19.8%,6.4,2.3,41.5,42.3,Daniil Medvedev[RUS],8,49.1%,26,53,0.40,2.0,6.6,1.00,3.3,64.6%,31,48,0.37,1.8,6.0,0.65,2.1,Daniil Medvedev[RUS],8,1.12,1662,51.9%,8,5-3,62.5%,30.8%,26,17-9,65.4%,262,140-122,53.4%,2:20,43.2,40.5
12,Tommy Paul[USA],12,10-2,83.3%,68.1%,66.7%,86,8.2%,21,2.0%,5.5%,63.5%,74.9%,56.3%,59.5%,85.0%,6.1,1.9,Tommy Paul[USA],12,38.6%,39.3%,6.0%,2.7%,33.0%,49.2%,25.1%,6.2,2.4,28.0,44.7,Tommy Paul[USA],12,44.7%,42,94,0.56,2.7,7.8,1.20,3.5,68.3%,56,82,0.47,2.3,6.8,0.74,2.2,Tommy Paul[USA],12,1.21,2091,53.4%,3,3-0,100.0%,8.6%,35,25-10,71.4%,340,189-151,55.6%,1:56,39.9,40.0
13,Ben Shelton[USA],8,4-4,50.0%,68.4%,67.2%,111,12.2%,38,4.2%,13.8%,69.6%,75.9%,51.1%,59.2%,90.6%,6.5,2.1,Ben Shelton[USA],8,31.6%,31.9%,9.3%,4.1%,23.4%,46.5%,12.9%,6.4,2.0,109.5,115.0,Ben Shelton[USA],8,32.7%,18,55,0.40,2.0,6.9,0.64,2.3,78.7%,48,61,0.44,2.2,7.6,0.46,1.6,Ben Shelton[USA],8,1.00,1795,50.2%,8,2-6,25.0%,28.6%,28,13-15,46.4%,278,144-134,51.8%,2:27,42.1,39.4
14,Arthur Fils[FRA],9,6-3,66.7%,65.6%,66.5%,63,7.3%,43,5.0%,12.8%,61.1%,75.3%,50.4%,57.8%,83.8%,6.4,2.2,Arthur Fils[FRA],9,33.9%,34.4%,7.3%,3.1%,26.6%,46.1%,17.0%,6.2,2.1,36.0,45.6,Arthur Fils[FRA],9,35.4%,23,65,0.48,2.4,7.2,0.85,2.6,68.1%,47,69,0.51,2.6,7.7,0.81,2.4,Arthur Fils[FRA],9,0.99,1699,50.1%,3,2-1,66.7%,11.1%,27,16-11,59.3%,271,137-134,50.6%,2:12,43.9,41.9
15,Grigor Dimitrov[BUL],6,4-2,66.7%,73.5%,72.6%,65,14.3%,19,4.2%,10.2%,59.2%,85.6%,55.9%,62.3%,90.5%,5.4,1.4,Grigor Dimitrov[BUL],6,37.8%,39.6%,10.6%,4.0%,27.7%,53.8%,24.7%,6.2,2.3,28.0,38.2,Grigor Dimitrov[BUL],6,48.8%,20,41,0.51,2.4,6.8,1.18,3.3,69.2%,18,26,0.31,1.5,4.3,0.47,1.3,Grigor Dimitrov[BUL],6,1.43,958,54.8%,1,0-1,0.0%,5.9%,17,12-5,70.6%,165,96-69,58.2%,1:46,37.5,40.0
16,Frances Tiafoe[USA],6,3-3,50.0%,66.1%,65.4%,58,8.7%,24,3.6%,9.1%,60.5%,77.4%,48.7%,53.6%,87.1%,6.6,2.2,Frances Tiafoe[USA],6,34.4%,37.2%,13.1%,3.3%,29.3%,45.2%,18.4%,6.2,2.1,64.5,59.3,Frances Tiafoe[USA],6,44.2%,19,43,0.42,2.0,7.2,0.90,3.2,69.8%,30,43,0.43,2.0,7.2,0.62,2.2,Frances Tiafoe[USA],6,1.01,1308,50.5%,5,2-3,40.0%,23.8%,21,12-9,57.1%,204,107-97,52.5%,2:27,42.1,40.6
17,Andrey Rublev[RUS],2,0-2,0.0%,63.2%,62.6%,15,7.5%,7,3.5%,8.8%,60.2%,74.4%,46.3%,50.7%,81.8%,6.1,2.2,Andrey Rublev[RUS],2,32.8%,37.3%,14.4%,1.5%,25.4%,46.5%,9.7%,6.5,2.1,87.5,87.5,Andrey Rublev[RUS],2,25.0%,3,12,0.39,2.0,6.0,0.50,1.5,45.5%,5,11,0.33,1.8,5.5,1.00,3.0,Andrey Rublev[RUS],2,0.89,402,48.0%,2,0-2,0.0%,33.3%,6,1-5,16.7%,64,30-34,46.9%,2:14,44.5,39.9
18,Francisco Cerundolo[ARG],3,0-3,0.0%,63.3%,63.5%,19,6.0%,12,3.8%,9.6%,60.4%,71.2%,51.2%,56.6%,80.9%,6.7,2.5,Francisco Cerundolo[ARG],3,25.6%,25.6%,6.1%,2.2%,20.1%,35.7%,8.3%,5.8,1.5,44.0,30.7,Francisco Cerundolo[ARG],3,28.6%,4,14,0.29,1.6,4.7,0.44,1.3,67.9%,19,28,0.60,3.1,9.3,1.00,3.0,Francisco Cerundolo[ARG],3,0.70,593,45.7%,3,1-2,33.3%,33.3%,9,2-7,22.2%,95,42-53,44.2%,2:09,43.1,39.3
19,Stefanos Tsitsipas[GRE],4,2-2,50.0%,72.7%,71.4%,47,12.7%,12,3.2%,9.6%,66.2%,79.2%,60.0%,66.4%,91.8%,6.1,1.7,Stefanos Tsitsipas[GRE],4,29.4%,29.6%,8.1%,3.1%,21.7%,42.4%,8.6%,6.6,1.9,85.5,98.3,Stefanos Tsitsipas[GRE],4,35.7%,5,14,0.24,1.3,3.5,0.45,1.3,68.8%,11,16,0.26,1.5,4.0,0.45,1.3,Stefanos Tsitsipas[GRE],4,1.08,754,50.7%,5,3-2,60.0%,45.5%,11,6-5,54.5%,119,61-58,51.3%,1:57,42.6,37.3
20,Tomas Machac[CZE],3,1-2,33.3%,55.9%,55.0%,12,3.5%,4,1.2%,3.4%,66.3%,58.7%,50.4%,52.2%,62.3%,6.5,2.9,Tomas Machac[CZE],3,38.4%,38.3%,8.4%,5.4%,27.5%,55.8%,28.3%,6.3,2.4,44.0,54.7,Tomas Machac[CZE],3,35.7%,15,42,0.79,3.8,14.0,1.36,5.0,42.9%,15,35,0.66,3.2,11.7,1.82,6.7,Tomas Machac[CZE],3,0.87,680,47.4%,1,1-0,100.0%,9.1%,11,4-7,36.4%,106,48-58,45.3%,2:20,38.3,37.1
