Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
11,Daniil Medvedev[RUS],2,0-2,0.0%,62.4%,61.6%,14,6.4%,6,2.8%,8.0%,65.6%,71.3%,45.3%,49.3%,78.1%,6.8,2.6,Daniil Medvedev[RUS],2,32.0%,32.8%,8.3%,2.9%,25.8%,42.3%,14.7%,6.1,1.9,3.0,3.0,Daniil Medvedev[RUS],2,35.7%,5,14,0.41,2.0,7.0,0.71,2.5,63.2%,12,19,0.59,2.7,9.5,1.00,3.5,Daniil Medvedev[RUS],2,0.85,424,47.6%,1,0-1,0.0%,14.3%,7,2-5,28.6%,66,30-36,45.5%,2:43,46.6,46.1
12,Tommy Paul[USA],4,3-1,75.0%,67.0%,65.8%,22,7.5%,6,2.0%,5.8%,64.6%,70.0%,61.5%,65.3%,82.2%,6.5,2.2,Tommy Paul[USA],4,36.6%,35.8%,3.5%,3.2%,33.0%,43.4%,20.9%,6.6,2.4,20.0,29.0,Tommy Paul[USA],4,42.9%,9,21,0.49,2.3,5.3,1.00,2.3,55.6%,10,18,0.40,2.0,4.5,0.89,2.0,Tommy Paul[USA],4,1.11,578,52.1%,2,2-0,100.0%,22.2%,9,6-3,66.7%,88,46-42,52.3%,1:46,47.2,44.1
13,Ben Shelton[USA],2,1-1,50.0%,70.4%,71.0%,21,13.0%,10,6.2%,17.5%,64.8%,79.0%,54.4%,66.0%,92.6%,6.0,1.8,Ben Shelton[USA],2,27.8%,30.6%,16.6%,3.3%,24.5%,33.3%,7.7%,5.8,1.6,35.5,35.5,Ben Shelton[USA],2,66.7%,2,3,0.12,0.6,1.5,0.40,1.0,60.0%,3,5,0.19,1.0,2.5,0.40,1.0,Ben Shelton[USA],2,0.94,313,49.8%,1,0-1,0.0%,20.0%,5,2-3,40.0%,53,27-26,50.9%,1:51,44.4,42.6
14,Arthur Fils[FRA],2,2-0,100.0%,64.9%,65.1%,10,4.1%,6,2.4%,6.5%,62.0%,73.0%,51.6%,55.2%,90.6%,7.7,2.7,Arthur Fils[FRA],2,38.3%,40.7%,8.8%,2.1%,31.6%,51.2%,9.7%,7.7,3.0,11.0,11.0,Arthur Fils[FRA],2,23.1%,3,13,0.42,2.2,6.5,0.50,1.5,88.9%,24,27,0.84,4.5,13.5,0.50,1.5,Arthur Fils[FRA],2,1.09,485,51.8%,2,2-0,100.0%,33.3%,6,4-2,66.7%,63,32-31,50.8%,3:19,66.2,49.1
15,Grigor Dimitrov[BUL],4,1-3,25.0%,61.5%,60.1%,22,9.2%,9,3.8%,10.7%,64.9%,70.3%,45.2%,50.7%,73.0%,6.5,2.5,Grigor Dimitrov[BUL],4,30.5%,32.6%,11.3%,2.3%,22.5%,43.8%,7.7%,6.6,2.0,10.5,11.3,Grigor Dimitrov[BUL],4,18.8%,3,16,0.41,2.0,4.0,0.38,0.8,56.5%,13,23,0.62,2.9,5.8,1.25,2.5,Grigor Dimitrov[BUL],4,0.79,495,45.5%,1,1-0,100.0%,12.5%,8,2-6,25.0%,76,30-46,39.5%,1:34,47.1,45.7
16,Frances Tiafoe[USA],2,0-2,0.0%,63.2%,63.3%,8,4.7%,5,2.9%,7.1%,59.1%,69.3%,54.3%,58.5%,84.0%,6.8,2.5,Frances Tiafoe[USA],2,24.7%,23.2%,16.4%,6.8%,16.1%,37.3%,3.8%,5.6,1.4,8.5,8.5,Frances Tiafoe[USA],2,20.0%,1,5,0.19,1.0,2.5,0.20,0.5,63.6%,7,11,0.44,2.2,5.5,0.80,2.0,Frances Tiafoe[USA],2,0.67,317,45.4%,1,0-1,0.0%,20.0%,5,1-4,20.0%,51,22-29,43.1%,1:56,46.4,43.9
17,Andrey Rublev[RUS],3,2-1,66.7%,65.9%,66.5%,16,7.6%,10,4.7%,12.0%,60.7%,72.7%,55.4%,63.0%,83.3%,5.9,2.0,Andrey Rublev[RUS],3,38.6%,40.4%,11.6%,4.8%,26.7%,60.2%,16.7%,6.9,2.7,62.0,55.3,Andrey Rublev[RUS],3,25.0%,6,24,0.67,3.4,8.0,0.86,2.0,57.1%,8,14,0.39,2.0,4.7,0.86,2.0,Andrey Rublev[RUS],3,1.13,460,51.1%,0,0-0,-,0.0%,7,4-3,57.1%,72,36-36,50.0%,1:51,47.7,43.6
18,Francisco Cerundolo[ARG],1,1-0,100.0%,57.9%,59.5%,1,0.8%,4,3.2%,11.4%,72.2%,62.6%,45.7%,51.6%,73.3%,8.4,3.5,Francisco Cerundolo[ARG],1,39.8%,40.4%,3.1%,1.0%,33.9%,50.0%,20.0%,6.5,2.6,17.0,17.0,Francisco Cerundolo[ARG],1,60.0%,3,5,0.33,1.7,5.0,1.00,3.0,63.6%,7,11,0.73,3.7,11.0,1.33,4.0,Francisco Cerundolo[ARG],1,0.95,224,50.0%,1,1-0,100.0%,33.3%,3,2-1,66.7%,30,14-16,46.7%,3:00,60.0,48.2
19,Stefanos Tsitsipas[GRE],2,1-1,50.0%,61.2%,61.8%,6,4.5%,5,3.7%,7.8%,52.2%,61.4%,60.9%,66.1%,83.3%,7.4,2.9,Stefanos Tsitsipas[GRE],2,34.2%,33.7%,3.6%,2.7%,27.2%,53.3%,25.0%,5.6,1.9,8.0,8.0,Stefanos Tsitsipas[GRE],2,50.0%,5,10,0.50,2.5,5.0,1.25,2.5,78.6%,11,14,0.78,3.5,7.0,0.75,1.5,Stefanos Tsitsipas[GRE],2,0.88,245,49.0%,0,0-0,-,0.0%,4,2-2,50.0%,38,20-18,52.6%,1:33,46.3,45.3
20,Tomas Machac[CZE],1,0-1,0.0%,57.7%,58.5%,3,4.2%,3,4.2%,9.1%,53.5%,60.5%,54.5%,60.0%,70.0%,7.1,3.0,Tomas Machac[CZE],1,36.5%,37.5%,2.7%,0.0%,31.3%,46.2%,9.1%,6.7,2.5,7.0,7.0,Tomas Machac[CZE],1,100.0%,1,1,0.09,0.5,1.0,0.50,1.0,25.0%,1,4,0.40,2.0,4.0,1.50,3.0,Tomas Machac[CZE],1,0.86,145,46.9%,0,0-0,-,0.0%,2,0-2,0.0%,21,8-13,38.1%,1:47,53.5,44.3
