Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Jannik Sinner[ITA],25,23-2,92.0%,69.9%,68.9%,220,9.1%,65,2.7%,6.8%,60.5%,78.5%,56.5%,60.7%,89.7%,6.0,1.8,Jannik Sinner[ITA],25,42.2%,42.9%,6.8%,3.8%,33.2%,58.2%,30.7%,6.6,2.8,29.0,46.5,Jannik Sinner[ITA],25,46.4%,123,265,0.66,3.0,10.6,1.41,4.9,70.4%,100,142,0.35,1.6,5.7,0.48,1.7,Jannik Sinner[ITA],25,1.40,5090,55.4%,12,10-2,83.3%,13.8%,87,73-14,83.9%,808,488-320,60.4%,1:59,34.1,35.0
2,Alexander Zverev[GER],22,18-4,81.8%,69.7%,67.8%,299,11.8%,72,2.8%,10.2%,72.3%,76.8%,51.1%,57.0%,87.8%,6.0,1.8,Alexander Zverev[GER],22,38.5%,39.1%,5.4%,2.4%,31.7%,50.0%,24.5%,6.6,2.5,37.5,55.8,Alexander Zverev[GER],22,39.1%,104,266,0.63,3.1,12.1,1.20,4.7,66.7%,104,156,0.37,1.8,7.1,0.60,2.4,Alexander Zverev[GER],22,1.27,5339,53.3%,20,13-7,65.0%,23.0%,87,61-26,70.1%,850,477-373,56.1%,2:04,31.4,30.7
3,Carlos Alcaraz[ESP],21,19-2,90.5%,66.8%,66.7%,133,6.2%,61,2.8%,8.3%,65.5%,71.9%,57.2%,62.4%,83.2%,6.1,2.0,Carlos Alcaraz[ESP],21,42.5%,42.2%,3.9%,3.4%,36.1%,54.2%,33.3%,6.6,2.8,29.0,66.3,Carlos Alcaraz[ESP],21,44.3%,116,262,0.75,3.4,12.5,1.53,5.5,57.6%,80,139,0.39,1.8,6.6,0.78,2.8,Carlos Alcaraz[ESP],21,1.28,4437,54.2%,11,9-2,81.8%,14.5%,76,58-18,76.3%,700,409-291,58.4%,1:44,28.7,29.5
4,Taylor Fritz[USA],21,17-4,81.0%,69.3%,66.9%,285,12.3%,56,2.4%,6.3%,61.7%,77.7%,55.9%,59.7%,87.6%,5.9,1.8,Taylor Fritz[USA],21,37.9%,37.9%,6.9%,4.2%,28.3%,53.4%,23.9%,6.4,2.4,44.0,46.8,Taylor Fritz[USA],21,41.7%,91,218,0.57,2.7,10.4,1.11,4.3,66.0%,95,144,0.37,1.8,6.9,0.60,2.3,Taylor Fritz[USA],21,1.23,4770,53.2%,11,6-5,54.5%,13.4%,82,55-27,67.1%,775,436-339,56.3%,2:09,32.9,34.0
5,Jack Draper[GBR],11,7-4,63.6%,63.8%,63.3%,114,9.7%,57,4.8%,10.7%,54.7%,75.0%,50.3%,56.3%,81.2%,6.3,2.3,Jack Draper[GBR],11,40.2%,40.9%,7.8%,4.3%,31.6%,52.7%,31.7%,6.2,2.5,42.0,66.5,Jack Draper[GBR],11,50.0%,58,116,0.63,2.9,10.5,1.45,5.3,62.4%,58,93,0.50,2.3,8.5,0.88,3.2,Jack Draper[GBR],11,1.11,2313,52.3%,4,1-3,25.0%,10.0%,40,24-16,60.0%,369,209-160,56.6%,2:13,36.7,38.1
6,Novak Djokovic[SRB],19,16-3,84.2%,68.3%,67.6%,185,9.3%,70,3.5%,9.7%,63.9%,75.8%,54.9%,60.9%,87.0%,6.2,2.0,Novak Djokovic[SRB],19,40.3%,41.5%,7.3%,3.1%,33.0%,52.7%,27.0%,6.5,2.6,30.0,63.8,Novak Djokovic[SRB],19,39.7%,85,214,0.68,3.1,11.3,1.25,4.5,63.5%,73,115,0.36,1.7,6.1,0.62,2.2,Novak Djokovic[SRB],19,1.27,4046,54.0%,10,7-3,70.0%,14.7%,68,50-18,73.5%,638,366-272,57.4%,2:11,36.7,37.0
7,Casper Ruud[NOR],14,10-4,71.4%,66.7%,65.9%,153,9.4%,58,3.6%,10.5%,65.9%,74.1%,52.5%,58.7%,82.9%,6.3,2.1,Casper Ruud[NOR],14,38.7%,40.1%,9.6%,4.0%,29.9%,52.7%,23.3%,6.6,2.6,45.0,63.1,Casper Ruud[NOR],14,34.9%,60,172,0.67,3.1,12.3,1.09,4.3,66.7%,88,132,0.51,2.4,9.4,0.80,3.1,Casper Ruud[NOR],14,1.16,3336,52.3%,10,8-2,80.0%,18.2%,55,34-21,61.8%,516,274-242,53.1%,1:52,28.5,28.2
8,Alex De Minaur[AUS],17,14-3,82.4%,64.4%,64.9%,105,6.1%,71,4.1%,8.7%,52.5%,71.3%,56.7%,62.1%,81.5%,6.3,2.3,Alex De Minaur[AUS],17,44.7%,44.3%,4.8%,4.6%,37.1%,55.0%,36.1%,6.9,3.1,46.0,75.9,Alex De Minaur[AUS],17,43.8%,99,226,0.82,3.8,13.3,1.68,5.8,64.0%,89,139,0.51,2.4,8.2,0.85,2.9,Alex De Minaur[AUS],17,1.25,3616,54.0%,9,6-3,66.7%,15.3%,59,43-16,72.9%,545,320-225,58.7%,1:53,32.5,31.8
9,Lorenzo Musetti[ITA],14,10-4,71.4%,65.0%,64.6%,88,5.0%,38,2.1%,5.9%,63.6%,71.0%,54.3%,57.8%,80.5%,6.3,2.2,Lorenzo Musetti[ITA],14,38.1%,38.5%,6.4%,3.3%,30.0%,51.1%,23.2%,6.5,2.5,56.0,77.1,Lorenzo Musetti[ITA],14,39.9%,65,163,0.58,2.8,11.6,1.12,4.6,56.7%,72,127,0.45,2.2,9.1,0.95,3.9,Lorenzo Musetti[ITA],14,1.09,3595,51.3%,12,8-4,66.7%,20.7%,58,35-23,60.3%,562,292-270,52.0%,2:34,37.1,35.9
10,Holger Rune[DEN],11,7-4,63.6%,66.2%,66.1%,102,8.1%,49,3.9%,9.0%,57.0%,74.4%,55.4%,60.9%,84.4%,6.3,2.1,Holger Rune[DEN],11,34.9%,35.9%,8.6%,3.3%,26.7%,47.8%,17.4%,6.3,2.2,62.0,105.5,Holger Rune[DEN],11,32.1%,35,109,0.54,2.6,9.9,0.83,3.2,68.4%,67,98,0.49,2.3,8.9,0.74,2.8,Holger Rune[DEN],11,1.03,2528,50.6%,7,4-3,57.1%,16.7%,42,24-18,57.1%,400,203-197,50.7%,1:35,25.0,24.9
